# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.24
metadata : {}


# id : NWRW1800000028.24.1.1
맛에 취해 약효에 반해…동동주 인기 솔솔

맛에	맛/NNG+에/JKB
부산·대구·진주·진해	부산/NNP+·/SP+대구/NNP+·/SP+진주/NNP+·/SP+진해/NNP
등지로	등지/NNB+로/JKB
보낸다.	보내/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.24.4.3
설설동동주의 경우 국산쌀 78%에 전분 22%를 넣어 제조된다.

설설동동주의	설설동동주/NNP+의/JKG
경우	경우/NNG
국산쌀	국산/NNG+쌀/NNG
78%에	78/SN+%/SW+에/JKB
전분	전분/NNG
22%를	22/SN+%/SW+를/JKO
넣어	넣/VV+어/EC
제조된다.	제조/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.24.4.4
53년 동안 이어온 주조 원칙이자 비법이다.

53년	53/SN+년/NNB
동안	동안/NNG
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
주조	주조/NNG
원칙이자	원칙/NNG+이/VCP+자/EC
비법이다.	비법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.24.4.5
일본인 관광객들이 많이 찾는 부산의 ㅋ 호텔에서 식당을 운영하는 박세영(45)씨는 “설설동동주의 뒷맛이 개운하고 술을 마신 뒤에도 머리가 아프지 않다고들 한다”고 말했다.

일본인	일본인/NNG
관광객들이	관광객/NNG+들/XSN+이/JKS
많이	많이/MAG
찾는	찾/VV+는/ETM
부산의	부산/NNP+의/JKG
ㅋ	ㅋ/NNG
호텔에서	호텔/NNG+에서/JKB
식당을	식당/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
박세영(45)씨는	박세영/NNP+(/SS+45/SN+)/SS+씨/NNB+는/JX
“설설동동주의	“/SS+설설동동주/NNP+의/JKG
뒷맛이	뒷맛/NNG+이/JKS
개운하고	개운하/VA+고/EC
술을	술/NNG+을/JKO
마신	마시/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
머리가	머리/NNG+가/JKS
아프지	아프/VA+지/EC
않다고들	않/VX+다고/EC+들/XSN
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.24.5.1
전남도내에선 병영주조장 등 5곳에서 농림식품수산부가 주관하는 ‘친환경 햅쌀 막걸리 프로젝트’에 선정돼 참여하고 있다.

전남도내에선	전남도/NNP+내/NNB+에서/JKB+ㄴ/JX
병영주조장	병영주조장/NNP
등	등/NNB
5곳에서	5/SN+곳/NNG+에서/JKB
농림식품수산부가	농림/NNG+식품/NNG+수산부/NNG+가/JKS
주관하는	주관/NNG+하/XSV+는/ETM
‘친환경	‘/SS+친/XPN+환경/NNG
햅쌀	햅쌀/NNG
막걸리	막걸리/NNG
프로젝트’에	프로젝트/NNG+’/SS+에/JKB
선정돼	선정/NNG+되/XSV+어/EC
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.24.5.2
막걸리와 동동주에 햅쌀의 원산지와 농부의 이름까지 밝히고, 소비자 반응도 듣고 있다.

막걸리와	막걸리/NNG+와/JC
동동주에	동동주/NNG+에/JKB
햅쌀의	햅쌀/NNG+의/JKG
원산지와	원산지/NNG+와/JC
농부의	농부/NNG+의/JKG
이름까지	이름/NNG+까지/JX
밝히고,	밝히/VV+고/EC+,/SP
소비자	소비자/NNG
반응도	반응/NNG+도/JX
듣고	듣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.24.5.3
장흥 안양주조장도 논 100마지기에서 직접 짓는 친환경 쌀을 100% 사용해 빚은 막걸리 ‘햇찹쌀이하늘수’로 인기몰이를 하고 있다.

장흥	장흥/NNP
안양주조장도	안양주조장/NNP+도/JX
논	논/NNG
100마지기에서	100/SN+마지기/NNB+에서/JKB
직접	직접/MAG
짓는	짓/VV+는/ETM
친환경	친/XPN+환경/NNG
쌀을	쌀/NNG+을/JKO
100%	100/SN+%/SW
사용해	사용/NNG+하/XSV+아/EC
빚은	빚/VV+은/ETM
막걸리	막걸리/NNG
‘햇찹쌀이하늘수’로	‘/SS+햇찹쌀이하늘수/NNG+’/SS+로/JKB
인기몰이를	인기몰이/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.24.5.4
순천주조공사의 나누우리, 영암 삼호주조장 도갓집막걸리, 함평의 자희향탁주 등도 햅쌀 술로 소비자들한테서 “맛이 깔끔하다”는 평가를 받고 있다.

순천주조공사의	순천주조공사/NNP+의/JKG
나누우리,	나누우리/NNP+,/SP
영암	영암/NNP
삼호주조장	삼호주조장/NNP
도갓집막걸리,	도갓집막걸리/NNG+,/SP
함평의	함평/NNP+의/JKG
자희향탁주	자희향탁주/NNG
등도	등/NNB+도/JX
햅쌀	햅쌀/NNG
술로	술/NNG+로/JKB
소비자들한테서	소비자/NNG+들/XSN+한테서/JKB
“맛이	“/SS+맛/NNG+이/JKS
깔끔하다”는	깔끔/NNG+하/XSA+다/EF+”/SS+는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.24.6.1
전남도 관계자는 “묵은쌀이나 수입쌀을 사용할 때보다 맛이 신선하고 산뜻하다는 평가가 나온다”며 “기존의 묵은쌀 막걸리보다 숙취 성분인 퓨젤유와 메탄올이 감소하기 때문”이라고 말했다.

전남도	전남도/NNP
관계자는	관계자/NNG+는/JX
“묵은쌀이나	“/SS+묵은쌀/NNG+이나/JC
수입쌀을	수입/NNG+쌀/NNG+을/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
때보다	때/NNG+보다/JKB
맛이	맛/NNG+이/JKS
신선하고	신선하/VA+고/EC
산뜻하다는	산뜻/MAG+하/XSA+다는/ETM
평가가	평가/NNG+가/JKS
나온다”며	나오/VV+ㄴ다/EF+”/SS+며/EC
“기존의	“/SS+기존/NNG+의/JKG
묵은쌀	묵은쌀/NNG
막걸리보다	막걸리/NNG+보다/JKB
숙취	숙취/NNG
성분인	성분/NNG+이/VCP+ㄴ/ETM
퓨젤유와	퓨젤유/NNG+와/JC
메탄올이	메탄올/NNG+이/JKS
감소하기	감소/NNG+하/XSV+기/ETN
때문”이라고	때문/NNB+”/SS+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


