# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.336
metadata : {}


# id : NWRW1800000038.336.1.1
[北 3차 핵실험] 北 "설계값과 완전히 일치"… 국정원 "핵탄두 소형화는 과장광고"

[北	[/SS+北/SH
중으로	중/NNB+으로/JKB
보면	보/VV+면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
의원들이	의원/NNG+들/XSN+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.7.1
과학기술정책연구원 이춘근 연구위원은 "핵무기를 소형화·경량화했다고 해서 핵무기 위력에 대한 목표치까지 줄이지 않는다"면서 "위력이 1만t(10㏏, 위력 1t은 TNT 1t에 해당)은 되어야 핵무기로 만들 수 있을 정도의 성공이라고 볼 수 있다"고 말했다.

과학기술정책연구원	과학/NNG+기술/NNG+정책/NNG+연구원/NNG
이춘근	이춘근/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
"핵무기를	"/SS+핵무기/NNG+를/JKO
소형화·경량화했다고	소형/NNG+화/XSN+·/SP+경량/NNG+화/XSN+하/XSV+았/EP+다고/EC
해서	하/VV+아서/EC
핵무기	핵무기/NNG
위력에	위력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
목표치까지	목표/NNG+치/XSN+까지/JX
줄이지	줄이/VV+지/EC
않는다"면서	않/VX+는다/EF+"/SS+면서/EC
"위력이	"/SS+위력/NNG+이/JKS
1만t(10㏏,	1/SN+만/NR+t/SW+(/SS+10/SN+㏏/SW+,/SP
위력	위력/NNG
1t은	1/SN+t/SW+은/JX
TNT	TNT/SL
1t에	1/SN+t/SW+에/JKB
해당)은	해당/NNG+)/SS+은/JX
되어야	되/VV+어야/EC
핵무기로	핵무기/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도의	정도/NNG+의/JKG
성공이라고	성공/NNG+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.7.2
국방부는 북한의 3차 핵실험의 위력이 6000~7000t인 것으로 추정하고 있다.

국방부는	국방부/NNG+는/JX
북한의	북한/NNP+의/JKG
3차	3/SN+차/NNB
핵실험의	핵/NNG+실험/NNG+의/JKG
위력이	위력/NNG+이/JKS
6000~7000t인	6000/SN+~/SO+7000/SN+t/SW+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.336.7.3
2차 세계대전 당시 일본 히로시마와 나가사키에 투하된 원자폭탄 위력은 각각 1만5000t, 2만2000t이었다.

2차	2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
당시	당시/NNG
일본	일본/NNP
히로시마와	히로시마/NNP+와/JC
나가사키에	나가사키/NNP+에/JKB
투하된	투하/NNG+되/XSV+ㄴ/ETM
원자폭탄	원자/NNG+폭탄/NNG
위력은	위력/NNG+은/JX
각각	각각/MAG
1만5000t,	1/SN+만/NR+5000/SN+t/SW+,/SP
2만2000t이었다.	2/SN+만/NR+2000/SN+t/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.336.8.1
김관진 국방장관은 이날 국회 국방위 전체회의에서 "(핵실험) 3번을 가지고는 (소형화 기술을 얻는 게) 부족하다고 생각한다"고 말했다.

김관진	김관진/NNP
국방장관은	국방/NNG+장관/NNG+은/JX
이날	이날/NNG
국회	국회/NNG
국방위	국방위/NNG
전체회의에서	전체/NNG+회의/NNG+에서/JKB
"(핵실험)	"/SS+(/SS+핵/NNG+실험/NNG+)/SS
3번을	3/SN+번/NNB+을/JKO
가지고는	가지/VV+고/EC+는/JX
(소형화	(/SS+소형/NNG+화/XSN
기술을	기술/NNG+을/JKO
얻는	얻/VV+는/ETM
게)	거/NNB+이/JKS+)/SS
부족하다고	부족/NNG+하/XSA+다고/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.9.1
◇"4~5년 내 성공… 실전 배치 가능성"

◇"4~5년	◇/SW+"/SS+4/SN+~/SO+5/SN+년/NNB
내	내/NNB
성공…	성공/NNG+…/SE
실전	실전/NNG
배치	배치/NNG
가능성"	가능/NNG+성/XSN+"/SS


# id : NWRW1800000038.336.10.1
그러나 이미 상당한 수준에 도달했을 것이라는 관측도 있다.

그러나	그러나/MAJ
이미	이미/MAG
상당한	상당/NNG+하/XSA+ㄴ/ETM
수준에	수준/NNG+에/JKB
도달했을	도달/NNG+하/XSV+았/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측도	관측/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.336.10.2
김태우 전 통일연구원장은 "과거에 핵개발을 할 당시보다 현재 컴퓨터 모의 프로그램과 고폭(高爆·기폭) 장약 기술이 발전했다"면서 "조만간 결실을 거둘 수 있다"고 말했다.

김태우	김태우/NNP
전	전/MMD
통일연구원장은	통일/NNG+연구원장/NNG+은/JX
"과거에	"/SS+과거/NNG+에/JKB
핵개발을	핵/NNG+개발/NNG+을/JKO
할	하/VV+ㄹ/ETM
당시보다	당시/NNG+보다/JKB
현재	현재/MAG
컴퓨터	컴퓨터/NNG
모의	모의/NNG
프로그램과	프로그램/NNG+과/JC
고폭(高爆·기폭)	고폭/NNG+(/SS+高爆/SH+·/SP+기폭/NNG+)/SS
장약	장약/NNG
기술이	기술/NNG+이/JKS
발전했다"면서	발전/NNG+하/XSV+았/EP+다/EF+"/SS+면서/EC
"조만간	"/SS+조만간/MAG
결실을	결실/NNG+을/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.10.3
북한은 1980년대부터 140차례 이상의 고폭 실험을 수행해 온 것으로 알려졌다.

북한은	북한/NNP+은/JX
1980년대부터	1980/SN+년대/NNB+부터/JX
140차례	140/SN+차례/NNG
이상의	이상/NNG+의/JKG
고폭	고폭/NNG
실험을	실험/NNG+을/JKO
수행해	수행/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.336.11.1
인도·파키스탄은 1998년 5월 2주 간격을 두고 5~6차례 연쇄 핵실험을 했으며, 4~5년 후 핵탄두 장착 미사일을 실험했다.

인도·파키스탄은	인도/NNP+·/SP+파키스탄/NNP+은/JX
1998년	1998/SN+년/NNB
5월	5/SN+월/NNB
2주	2/SN+주/NNB
간격을	간격/NNG+을/JKO
두고	두/VV+고/EC
5~6차례	5/SN+~/SO+6/SN+차례/NNG
연쇄	연쇄/NNG
핵실험을	핵/NNG+실험/NNG+을/JKO
했으며,	하/VV+았/EP+으며/EC+,/SP
4~5년	4/SN+~/SO+5/SN+년/NNB
후	후/NNG
핵탄두	핵탄두/NNG
장착	장착/NNG
미사일을	미사일/NNG+을/JKO
실험했다.	실험/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.11.2
북한은 2006년 10월 최초 핵실험을 했으며, 2009년 5월 2차 핵실험을 감행했다.

북한은	북한/NNP+은/JX
2006년	2006/SN+년/NNB
10월	10/SN+월/NNB
최초	최초/NNG
핵실험을	핵/NNG+실험/NNG+을/JKO
했으며,	하/VV+았/EP+으며/EC+,/SP
2009년	2009/SN+년/NNB
5월	5/SN+월/NNB
2차	2/SN+차/NNB
감행했다.	감행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.11.3
인도·파키스탄의 예로 봤을 때 북한이 조만간 핵탄두를 장착한 미사일 실험을 감행할 수 있다는 얘기다.

인도·파키스탄의	인도/NNP+·/SP+파키스탄/NNP+의/JKG
예로	예/NNG+로/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
북한이	북한/NNP+이/JKS
조만간	조만간/MAG
핵탄두를	핵탄두/NNG+를/JKO
장착한	장착/NNG+하/XSV+ㄴ/ETM
미사일	미사일/NNG
실험을	실험/NNG+을/JKO
감행할	감행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.336.11.4
과학기술정책연구원 이춘근 연구위원은 "4~5년 내 탄도미사일에 장착 가능한 수준의 소형화·경량화에 성공할 가능성이 크다"고 말했다.

과학기술정책연구원	과학/NNG+기술/NNG+정책/NNG+연구원/NNG
이춘근	이춘근/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
"4~5년	"/SS+4/SN+~/SO+5/SN+년/NNB
내	내/NNB
탄도미사일에	탄도/NNG+미사일/NNG+에/JKB
장착	장착/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
수준의	수준/NNG+의/JKG
소형화·경량화에	소형/NNG+화/XSN+·/SP+경량/NNG+화/XSN+에/JKB
성공할	성공/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.12.1
일각에선 북한의 이번 핵실험이 대륙간탄도미사일(ICBM)에 장착할 수 있을 정도의 핵무기 경량화를 실험한 것 아니냐는 관측도 나온다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
북한의	북한/NNP+의/JKG
이번	이번/NNG
핵실험이	핵/NNG+실험/NNG+이/JKS
대륙간탄도미사일(ICBM)에	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS+에/JKB
장착할	장착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도의	정도/NNG+의/JKG
핵무기	핵무기/NNG
경량화를	경량/NNG+화/XSN+를/JKO
실험한	실험/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.336.12.2
사실상 ICBM으로 추정되는 북한 장거리로켓 은하 3호의 경우 최대 500㎏의 탄두를 실을 수 있을 것으로 전문가들은 보고 있다.

사실상	사실/NNG+상/XSN
ICBM으로	ICBM/SL+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
북한	북한/NNP
장거리로켓	장거리/NNG+로켓/NNG
은하	은하/NNP
3호의	3/SN+호/NNB+의/JKG
경우	경우/NNG
최대	최대/NNG
500㎏의	500/SN+㎏/SW+의/JKG
탄두를	탄두/NNG+를/JKO
실을	싣/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


