# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.308
metadata : {}


# id : NWRW1800000056.308.1.1
[댓글중계] 촛불 염원 업고 여정에 오른 ‘문재인 호’

[댓글중계]	[/SS+댓글/NNG+중계/NNG+]/SS
부대끼는	부대끼/VV+는/ETM
모습까지.	모습/NNG+까지/JX+./SF


# id : NWRW1800000056.308.2.4
문 대통령의 행보는 ‘새로운 대한민국’을 향한 여정의 시작이라 볼 수 있다.

문	문/NNP
대통령의	대통령/NNG+의/JKG
행보는	행보/NNG+는/JX
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
대한민국’을	대한민국/NNP+’/SS+을/JKO
향한	향하/VV+ㄴ/ETM
여정의	여정/NNG+의/JKG
시작이라	시작/NNG+이/VCP+라/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.308.2.5
이런 ‘문재인 호’를 보는 독자 시선도 다양했다.

이런	이런/MMD
‘문재인	‘/SS+문재인/NNP
호’를	호/NA+’/SS+를/JKO
보는	보/VV+는/ETM
독자	독자/NNG
시선도	시선/NNG+도/JX
다양했다.	다양/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000056.308.3.1
‘국방 중심 안보, 외교분야로 확장…“안보가 곧 경제다”’(5월22일치 4면)에서 문 대통령은 “안보가 곧 경제, 안보가 곧 민생”이라는 말과 함께 인선 배경을 밝혔다.

‘국방	‘/SS+국방/NNG
중심	중심/NNG
안보,	안보/NNG+,/SP
외교분야로	외교/NNG+분야/NNG+로/JKB
확장…“안보가	확장/NNG+…/SE+“/SS+안보/NNG+가/JKS
곧	곧/MAG
경제다”’(5월22일치	경제/NNG+이/VCP+다/EF+”/SS+’/SS+(/SS+5/SN+월/NNB+22/SN+일/NNB+치/NNB
4면)에서	4/SN+면/NNG+)/SS+에서/JKB
문	문/NNP
대통령은	대통령/NNG+은/JX
“안보가	“/SS+안보/NNG+가/JKS
경제,	경제/NNG+,/SP
안보가	안보/NNG+가/JKS
민생”이라는	민생/NNG+”/SS+이/VCP+라는/ETM
말과	말/NNG+과/JKB
함께	함께/MAG
인선	인선/NNG
배경을	배경/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.308.3.2
이를 본 누리꾼 song**은 “‘안보’에 군인들만 채운 이전 인사와 차원이 다르다”고 했고, 도선*은 “예전 정권은 공신들 한자리 챙겨준다는 느낌이었는데 이번 인사는 큰 그림에 조각들을 맞추는 실용적인 느낌”이라며 이번 인선을 긍정적으로 평가했다.

이를	이/NP+를/JKO
본	보/VV+ㄴ/ETM
누리꾼	누리/NNG+꾼/XSN
song**은	song/SL+*/SW+*/SW+은/JX
“‘안보’에	“/SS+‘/SS+안보/NNG+’/SS+에/JKB
군인들만	군인/NNG+들/XSN+만/JX
채운	채우/VV+ㄴ/ETM
이전	이전/NNG
인사와	인사/NNG+와/JKB
차원이	차원/NNG+이/JKS
다르다”고	다르/VA+다/EF+”/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
도선*은	도선/NNP+*/SW+은/JX
“예전	“/SS+예전/NNG
정권은	정권/NNG+은/JX
공신들	공신/NNG+들/XSN
한자리	한자리/NNG
챙겨준다는	챙기/VV+어/EC+주/VX+ㄴ다는/ETM
느낌이었는데	느낌/NNG+이/VCP+었/EP+는데/EC
이번	이번/NNG
인사는	인사/NNG+는/JX
큰	크/VA+ㄴ/ETM
그림에	그림/NNG+에/JKB
조각들을	조각/NNG+들/XSN+을/JKO
맞추는	맞추/VV+는/ETM
실용적인	실용/NNG+적/XSN+이/VCP+ㄴ/ETM
느낌”이라며	느낌/NNG+”/SS+이/VCP+라며/EC
인선을	인선/NNG+을/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.308.3.3
또 youc**는 “안보가 곧 경제 맞다.

또	또/MAG
youc**는	youc/SL+*/SW+*/SW+는/JX
“안보가	“/SS+안보/NNG+가/JKS
곧	곧/MAG
경제	경제/NNG
맞다.	맞/VV+다/EF+./SF


# id : NWRW1800000056.308.3.4
안보가 불안하면 어느 나라에서 투자할까.

안보가	안보/NNG+가/JKS
불안하면	불안/NNG+하/XSA+면/EC
어느	어느/MMD
나라에서	나라/NNG+에서/JKB
투자할까.	투자/NNG+하/XSV+ㄹ까/EF+./SF


# id : NWRW1800000056.308.3.5
안보가 불안하면 외화도 빠져나가고 경제도 파탄 난다”는 글로 안보 중요성에 공감했다.

안보가	안보/NNG+가/JKS
불안하면	불안/NNG+하/XSA+면/EC
외화도	외화/NNG+도/JX
빠져나가고	빠져나가/VV+고/EC
경제도	경제/NNG+도/JX
파탄	파탄/NNG
난다”는	나/VV+ㄴ다/EF+”/SS+는/ETM
글로	글/NNG+로/JKB
안보	안보/NNG
중요성에	중요/NNG+성/XSN+에/JKB
공감했다.	공감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.308.4.1
한편 우려의 목소리도 적지 않다.

한편	한편/MAG
우려의	우려/NNG+의/JKG
목소리도	목소리/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000056.308.4.2
누리꾼 koj2**는 “국가안보 책임자는 정통 군 출신을 임명하는 게 낫지 않을까?

누리꾼	누리/NNG+꾼/XSN
koj2**는	koj/SL+2/SN+*/SW+*/SW+는/JX
“국가안보	“/SS+국가/NNG+안보/NNG
책임자는	책임자/NNG+는/JX
정통	정통/NNG
군	군/NNG
출신을	출신/NNG+을/JKO
임명하는	임명/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
낫지	낫/VA+지/EC
않을까?	않/VX+을까/EF+?/SF


# id : NWRW1800000056.308.4.3
책상에 앉아 볼펜만 굴린 사람보다”, yong**을 비롯한 다수의 누리꾼은 “대북 ‘퍼주기’ 합리화의 미사여구”라는 말로 ‘햇볕정책’과 비슷한 기조가 아니냐는 의문을 제기했다.

책상에	책상/NNG+에/JKB
앉아	앉/VV+아/EC
볼펜만	볼펜/NNG+만/JX
굴린	굴리/VV+ㄴ/ETM
사람보다”,	사람/NNG+보다/JKB+”/SS+,/SP
yong**을	yong/SL+*/SW+*/SW+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
다수의	다수/NNG+의/JKG
누리꾼은	누리/NNG+꾼/XSN+은/JX
“대북	“/SS+대북/NNG
‘퍼주기’	‘/SS+푸/VV+어/EC+주/VX+기/ETN+’/SS
합리화의	합리/NNG+화/XSN+의/JKG
미사여구”라는	미사여구/NNG+”/SS+이/VCP+라는/ETM
말로	말/NNG+로/JKB
‘햇볕정책’과	‘/SS+햇볕/NNG+정책/NNG+’/SS+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
기조가	기조/NNG+가/JKC
아니냐는	아니/VCN+냐는/ETM
의문을	의문/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.308.4.4
이어 강경화 후보자의 자녀 위장전입이 문 대통령이 중요시하는 ‘적폐청산’과 맞지 않는다는 댓글도 보였다.

이어	이어/MAG
강경화	강경화/NNP
후보자의	후보자/NNG+의/JKG
자녀	자녀/NNG
위장전입이	위장/NNG+전입/NNG+이/JKS
문	문/NNP
대통령이	대통령/NNG+이/JKS
중요시하는	중요/NNG+시/XSN+하/XSV+는/ETM
‘적폐청산’과	‘/SS+적폐/NNG+청산/NNG+’/SS+과/JKB
맞지	맞/VV+지/EC
않는다는	않/VX+는다는/ETM
댓글도	댓글/NNG+도/JX
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.308.5.1
<한겨레>의 창간 29돌 여론조사(5월15일치 5면)에 따르면 국민은 새로 출범한 문재인 대통령 체제 아래에서 최우선 과제로 ‘검찰개혁’을 꼽았다.

<한겨레>의	</SS+한겨레/NNP+>/SS+의/JKG
창간	창간/NNG
29돌	29/SN+돌/NNB
여론조사(5월15일치	여론/NNG+조사/NNG+(/SS+5/SN+월/NNB+15/SN+일/NNB+치/NNB
5면)에	5/SN+면/NNG+)/SS+에/JKB
따르면	따르/VV+면/EC
국민은	국민/NNG+은/JX
새로	새로/MAG
출범한	출범/NNG+하/XSV+ㄴ/ETM
문재인	문재인/NNP
대통령	대통령/NNG
체제	체제/NNG
아래에서	아래/NNG+에서/JKB
최우선	최/XPN+우선/NNG
과제로	과제/NNG+로/JKB
‘검찰개혁’을	‘/SS+검찰/NNG+개혁/NNG+’/SS+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.308.5.2
특히 <한겨레>가 단독 보도한 ‘돈봉투 만찬’ 파문은 검찰개혁 여론에 불을 지폈다.

특히	특히/MAG
<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
단독	단독/NNG
보도한	보도/NNG+하/XSV+ㄴ/ETM
‘돈봉투	‘/SS+돈/NNG+봉투/NNG
만찬’	만찬/NNG+’/SS
파문은	파문/NNG+은/JX
검찰개혁	검찰/NNG+개혁/NNG
여론에	여론/NNG+에/JKB
불을	불/NNG+을/JKO
지폈다.	지피/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.308.5.3
‘인적 청산·제도개혁…청와대, ‘검찰개혁’ 방아쇠 당겼다’(5월20일치 8면) 기사를 본 누리꾼 han**은 검찰을 두고 “모든 적폐와 부패의 근본과 시발점”이라고 일갈했고, drug**은 “검찰개혁은 검찰이 자처했다”고 꼬집었다.

‘인적	‘/SS+인/NNG+적/XSN
청산·제도개혁…청와대,	청산/NNG+·/SP+제도/NNG+개혁/NNG+…/SE+청와대/NNP+,/SP
‘검찰개혁’	‘/SS+검찰/NNG+개혁/NNG+’/SS
방아쇠	방아쇠/NNG
당겼다’(5월20일치	당기/VV+었/EP+다/EF+’/SS+(/SS+5/SN+월/NNB+20/SN+일/NNB+치/NNB
8면)	8/SN+면/NNG+)/SS
기사를	기사/NNG+를/JKO
본	보/VV+ㄴ/ETM
누리꾼	누리/NNG+꾼/XSN
han**은	han/SL+*/SW+*/SW+은/JX
검찰을	검찰/NNG+을/JKO
두고	두/VV+고/EC
“모든	“/SS+모든/MMN
적폐와	적폐/NNG+와/JC
부패의	부패/NNG+의/JKG
근본과	근본/NNG+과/JC
시발점”이라고	시발점/NNG+”/SS+이라고/JKQ
일갈했고,	일갈/NNG+하/XSV+았/EP+고/EC+,/SP
drug**은	drug/SL+*/SW+*/SW+은/JX
“검찰개혁은	“/SS+검찰/NNG+개혁/NNG+은/JX
검찰이	검찰/NNG+이/JKS
자처했다”고	자처/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.308.5.4
이어 윤석열 검사 기용에 대해 roll**은 “윤 검사는 권력 눈치를 안 보고 일한다.

이어	이어/MAG
윤석열	윤석열/NNP
검사	검사/NNG
기용에	기용/NNG+에/JKB
대해	대하/VV+아/EC
roll**은	roll/SL+*/SW+*/SW+은/JX
“윤	“/SS+윤/NNP
검사는	검사/NNG+는/JX
권력	권력/NNG
눈치를	눈치/NNG+를/JKO
안	안/MAG
보고	보/VV+고/EC
일한다.	일/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.308.5.5
검찰개혁에 어울리는 인사”라고 칭찬했고 많은 누리꾼이 이에 동의했다.

검찰개혁에	검찰/NNG+개혁/NNG+에/JKB
어울리는	어울리/VV+는/ETM
인사”라고	인사/NNG+”/SS+라고/JKQ
칭찬했고	칭찬/NNG+하/XSV+았/EP+고/EC
많은	많/VA+은/ETM
누리꾼이	누리/NNG+꾼/XSN+이/JKS
이에	이/NP+에/JKB
동의했다.	동의/NNG+하/XSV+았/EP+다/EF+./SF


