# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.372
metadata : {}


# id : NWRW1800000022.372.1.1
현실보다 더 생생한 스포츠게임 세계 게임을 하는 순간 국가대표 선수가 된다;실제 선수들의 모습·능력 그대로 반영해 몰입 높여

현실보다	현실/NNG+보다/JKB
신기록을	신/XPN+기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.4.3
우리나라에서는 '마구마구'와 '슬러거' 같은 온라인 야구 게임이 10만여명의 이용자를 모으며 시장을 주도하고 있다.

우리나라에서는	우리나라/NNG+에서/JKB+는/JX
'마구마구'와	'/SS+마구마구/NNP+'/SS+와/JC
'슬러거'	'/SS+슬러거/NNP+'/SS
같은	같/VA+은/ETM
온라인	온라인/NNG
야구	야구/NNG
게임이	게임/NNG+이/JKS
10만여명의	10/SN+만/NR+여/XSN+명/NNB+의/JKG
이용자를	이용자/NNG+를/JKO
모으며	모으/VV+며/EC
시장을	시장/NNG+을/JKO
주도하고	주도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.372.5.1
◆현실만큼 실감 나는 화면과 움직임

◆현실만큼	◆/SW+현실/NNG+만큼/JKB
실감	실감/NNG
나는	나/VV+는/ETM
화면과	화면/NNG+과/JC
움직임	움직임/NNG


# id : NWRW1800000022.372.6.1
최근 스포츠 게임들은 PC나 차세대 게임기의 높은 성능 덕분에 현실과 분간이 가지 않는 멋진 화면을 보여준다.

최근	최근/NNG
스포츠	스포츠/NNG
게임들은	게임/NNG+들/XSN+은/JX
PC나	PC/SL+나/JC
차세대	차세대/NNG
게임기의	게임기/NNG+의/JKG
높은	높/VA+은/ETM
성능	성능/NNG
덕분에	덕분/NNG+에/JKB
현실과	현실/NNG+과/JKB
분간이	분간/NNG+이/JKS
가지	가/VV+지/EC
않는	않/VX+는/ETM
멋진	멋지/VA+ㄴ/ETM
화면을	화면/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.372.6.2
또 모션캡처(motion capture·사람의 실제 움직임을 미리 저장해놓고 게임 캐릭터에 반영하는 기술)를 활용해 움직임도 실감 난다.

또	또/MAG
모션캡처(motion	모션캡처/NNG+(/SS+motion/SL
capture·사람의	capture/SL+·/SP+사람/NNG+의/JKG
실제	실제/NNG
움직임을	움직임/NNG+을/JKO
미리	미리/MAG
저장해놓고	저장/NNG+하/XSV+아/EC+놓/VX+고/EC
게임	게임/NNG
캐릭터에	캐릭터/NNG+에/JKB
반영하는	반영/NNG+하/XSV+는/ETM
기술)를	기술/NNG+)/SS+를/JKO
활용해	활용/NNG+하/XSV+아/EC
움직임도	움직임/NNG+도/JX
실감	실감/NNG
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.372.7.1
미국의 스포츠 게임 전문 개발사 2K스포츠가 출시한 '메이저리그 베이스볼 2K9'은 메이저리그의 모든 경기장과 선수 모습을 그대로 재현했다.

미국의	미국/NNP+의/JKG
스포츠	스포츠/NNG
게임	게임/NNG
전문	전문/NNG
개발사	개발사/NNG
2K스포츠가	2K스포츠/NNP+가/JKS
출시한	출시/NNG+하/XSV+ㄴ/ETM
'메이저리그	'/SS+메이저리그/NNG
베이스볼	베이스볼/NNG
2K9'은	2/SN+K/SL+9/SN+'/SS+은/JX
메이저리그의	메이저리그/NNG+의/JKG
모든	모든/MMN
경기장과	경기장/NNG+과/JC
선수	선수/NNG
모습을	모습/NNG+을/JKO
그대로	그대로/MAG
재현했다.	재현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.372.7.2
특히 개별 선수들의 고유한 동작 300여개를 애니메이션으로 표현, 실제 선수가 게임 속으로 들어온 듯한 착각을 불러일으킨다.

특히	특히/MAG
개별	개별/NNG
선수들의	선수/NNG+들/XSN+의/JKG
고유한	고유/NNG+하/XSA+ㄴ/ETM
동작	동작/NNG
300여개를	300/SN+여/XSN+개/NNB+를/JKO
애니메이션으로	애니메이션/NNG+으로/JKB
표현,	표현/NNG+,/SP
실제	실제/NNG
선수가	선수/NNG+가/JKS
게임	게임/NNG
속으로	속/NNG+으로/JKB
들어온	들어오/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
착각을	착각/NNG+을/JKO
불러일으킨다.	불러일으키/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.372.7.3
소니컴퓨터엔터테인먼트의 'MLB09더쇼'는 한발 더 나아가 유니폼에 흙이 묻거나 땀에 젖는 모습까지 재현했다.

소니컴퓨터엔터테인먼트의	소니컴퓨터엔터테인먼트/NNP+의/JKG
'MLB09더쇼'는	'/SS+MLB09더쇼/NNG+'/SS+는/JX
한발	한발/MAG
더	더/MAG
나아가	나아가/VV+아/EC
유니폼에	유니폼/NNG+에/JKB
흙이	흙/NNG+이/JKS
묻거나	묻/VV+거나/EC
땀에	땀/NNG+에/JKB
젖는	젖/VV+는/ETM
모습까지	모습/NNG+까지/JX
재현했다.	재현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.372.7.4
수십대의 카메라를 경기장에 배치해 다양한 각도에서 경기장면을 다시 보여준다.

수십대의	수십/NR+대/NNB+의/JKG
카메라를	카메라/NNG+를/JKO
경기장에	경기장/NNG+에/JKB
배치해	배치/NNG+하/XSV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
각도에서	각도/NNG+에서/JKB
경기장면을	경기/NNG+장면/NNG+을/JKO
다시	다시/MAG
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.372.8.1
축구 게임은 선수들끼리 직접적인 신체 접촉이 일어나는 경우가 많아 동작 구현이 쉽지 않다.

축구	축구/NNG
게임은	게임/NNG+은/JX
선수들끼리	선수/NNG+들/XSN+끼리/XSN
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
신체	신체/NNG
접촉이	접촉/NNG+이/JKS
일어나는	일어나/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
동작	동작/NNG
구현이	구현/NNG+이/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000022.372.8.2
예전에는 두 명의 선수가 부딪히면 한 선수가 다른 선수의 몸을 통과하는 웃지 못할 상황까지 벌어졌다.

예전에는	예전/NNG+에/JKB+는/JX
두	두/MMN
명의	명/NNB+의/JKG
선수가	선수/NNG+가/JKS
부딪히면	부딪히/VV+면/EC
한	한/MMN
다른	다른/MMD
선수의	선수/NNG+의/JKG
몸을	몸/NNG+을/JKO
통과하는	통과/NNG+하/XSV+는/ETM
웃지	웃/VV+지/EC
못할	못하/VX+ㄹ/ETM
상황까지	상황/NNG+까지/JX
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.8.3
EA의 'FIFA 10'과 코나미의 '위닝 일레븐 2010'은 이런 점에서 진일보했다.

EA의	EA/SL+의/JKG
'FIFA	'/SS+FIFA/SL
10'과	10/SN+'/SS+과/JC
코나미의	코나미/NNP+의/JKG
'위닝	'/SS+위닝/NNP
일레븐	일레븐/NNP
2010'은	2010/SN+'/SS+은/JX
이런	이런/MMD
점에서	점/NNG+에서/JKB
진일보했다.	진일보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.372.8.4
뛰어난 물리엔진(중력과 충돌 등 현실의 물리 현상을 계산해서 게임 속에서 표현하는 기술)을 바탕으로 선수들끼리 접촉하는 신체 부위나 상황에 따라 서로 다른 동작을 자연스럽게 연출한다.

뛰어난	뛰어나/VA+ㄴ/ETM
물리엔진(중력과	물리/NNG+엔진/NNG+(/SS+중력/NNG+과/JC
충돌	충돌/NNG
등	등/NNB
현실의	현실/NNG+의/JKG
물리	물리/NNG
현상을	현상/NNG+을/JKO
계산해서	계산/NNG+하/XSV+아서/EC
게임	게임/NNG
속에서	속/NNG+에서/JKB
표현하는	표현/NNG+하/XSV+는/ETM
기술)을	기술/NNG+)/SS+을/JKO
바탕으로	바탕/NNG+으로/JKB
선수들끼리	선수/NNG+들/XSN+끼리/XSN
접촉하는	접촉/NNG+하/XSV+는/ETM
신체	신체/NNG
부위나	부위/NNG+나/JC
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
동작을	동작/NNG+을/JKO
자연스럽게	자연/NNG+스럽/XSA+게/EC
연출한다.	연출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.372.9.1
또 EA의 'NBA라이브10'과 2K스포츠의 'NBA2K10' 등 농구게임들은 클로즈업 기능으로 선수들의 화려한 개인기는 물론 표정까지 생생하게 전달해 화제를 모으고 있다.

또	또/MAG
EA의	EA/SL+의/JKG
'NBA라이브10'과	'/SS+NBA라이브10/NNG+'/SS+과/JC
2K스포츠의	2K스포츠/NNP+의/JKG
'NBA2K10'	'/SS+NBA2K10/NNG+'/SS
등	등/NNB
농구게임들은	농구/NNG+게임/NNG+들/XSN+은/JX
클로즈업	클로즈업/NNG
기능으로	기능/NNG+으로/JKB
선수들의	선수/NNG+들/XSN+의/JKG
화려한	화려하/VA+ㄴ/ETM
개인기는	개인기/NNG+는/JX
물론	물론/MAG
표정까지	표정/NNG+까지/JX
생생하게	생생하/VA+게/EC
전달해	전달/NNG+하/XSV+아/EC
화제를	화제/NNG+를/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.372.10.1
◆실명 선수 등장으로 몰입감 높여

◆실명	◆/SW+실명/NNG
선수	선수/NNG
등장으로	등장/NNG+으로/JKB
몰입감	몰입감/NNG
높여	높이/VV+어/EF


# id : NWRW1800000022.372.11.1
EA의 'FIFA 10'에는 수십개 국가의 대표팀은 물론, 박지성이 뛰고 있는 영국의 맨체스터 유나이티드부터 우리나라 K리그의 포항 스틸러스에 이르기까지 30여개 리그의 500여개 프로축구팀 선수들이 실명으로 등장한다.

EA의	EA/SL+의/JKG
'FIFA	'/SS+FIFA/SL
10'에는	10/SN+'/SS+에/JKB+는/JX
수십개	수십/NR+개/NNB
국가의	국가/NNG+의/JKG
대표팀은	대표/NNG+팀/NNG+은/JX
물론,	물론/MAG+,/SP
박지성이	박지성/NNP+이/JKS
뛰고	뛰/VV+고/EC
있는	있/VX+는/ETM
영국의	영국/NNP+의/JKG
맨체스터	맨체스터/NNP
유나이티드부터	유나이티드/NNP+부터/JX
우리나라	우리나라/NNG
K리그의	K/SL+리그/NNG+의/JKG
포항	포항/NNP
스틸러스에	스틸러스/NNP+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
30여개	30/SN+여/XSN+개/NNB
리그의	리그/NNG+의/JKG
500여개	500/SN+여/XSN+개/NNB
프로축구팀	프로/NNG+축구/NNG+팀/NNG
선수들이	선수/NNG+들/XSN+이/JKS
실명으로	실명/NNG+으로/JKB
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.372.11.2
단지 겉모습이 비슷한 것을 넘어 스피드·슈팅력·점프력 등 세세하게 설정된 각 선수의 능력치가 경기에 반영되기 때문에 게임에 더욱 몰입할 수 있다.

단지	단지/MAG
겉모습이	겉모습/NNG+이/JKS
비슷한	비슷하/VA+ㄴ/ETM
것을	것/NNB+을/JKO
넘어	넘/VV+어/EC
스피드·슈팅력·점프력	스피드/NNG+·/SP+슈팅력/NNG+·/SP+점프력/NNG
등	등/NNB
세세하게	세세하/VA+게/EC
설정된	설정/NNG+되/XSV+ㄴ/ETM
각	각/MMD
선수의	선수/NNG+의/JKG
능력치가	능력/NNG+치/XSN+가/JKS
경기에	경기/NNG+에/JKB
반영되기	반영/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
게임에	게임/NNG+에/JKB
더욱	더욱/MAG
몰입할	몰입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.12.1
CJ인터넷의 PC 온라인 야구 게임 '마구마구'와 네오위즈게임즈의 '슬러거'는 KBO(대한야구협회)로부터 사용권을 얻어 8개 구단의 실명 선수 5000여명을 등장시켰다.

CJ인터넷의	CJ인터넷/NNP+의/JKG
PC	PC/SL
온라인	온라인/NNG
야구	야구/NNG
게임	게임/NNG
'마구마구'와	'/SS+마구마구/NNP+'/SS+와/JC
네오위즈게임즈의	네오위즈게임즈/NNP+의/JKG
'슬러거'는	'/SS+슬러거/NNP+'/SS+는/JX
KBO(대한야구협회)로부터	KBO/SL+(/SS+대한야구협회/NNP+)/SS+로부터/JKB
사용권을	사용/NNG+권/XSN+을/JKO
얻어	얻/VV+어/EC
8개	8/SN+개/NNB
구단의	구단/NNG+의/JKG
실명	실명/NNG
선수	선수/NNG
5000여명을	5000/SN+여/XSN+명/NNB+을/JKO
등장시켰다.	등장/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.12.2
이제 이정범(이종범)·강만호(강민호)와 같은 우스꽝스러운 이름은 게임에 나오지 않는다.

이제	이제/MAG
이정범(이종범)·강만호(강민호)와	이정범/NNP+(/SS+이종범/NNP+)/SS+·/SP+강만호/NNP+(/SS+강민호/NNP+)/SS+와/JKB
같은	같/VA+은/ETM
우스꽝스러운	우스꽝스럽/VA+ㄴ/ETM
이름은	이름/NNG+은/JX
게임에	게임/NNG+에/JKB
나오지	나오/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.372.12.3
또 다른 PC 온라인 게임 '골드슬램'에서는 간판 테니스 선수 이형택을 조종할 수 있다.

또	또/MAG
다른	다른/MMD
PC	PC/SL
온라인	온라인/NNG
게임	게임/NNG
'골드슬램'에서는	'/SS+골드슬램/NNG+'/SS+에서/JKB+는/JX
간판	간판/NNG
테니스	테니스/NNG
선수	선수/NNG
이형택을	이형택/NNP+을/JKO
조종할	조종/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.13.1
스포츠 게임에 실명 선수들이 등장한 것은 2000년대 초.

스포츠	스포츠/NNG
게임에	게임/NNG+에/JKB
실명	실명/NNG
선수들이	선수/NNG+들/XSN+이/JKS
등장한	등장/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2000년대	2000/SN+년대/NNB
초.	초/NNB+./SF


# id : NWRW1800000022.372.13.2
EA가 NFL(북미미식축구리그)과 독점 계약을 맺고 실제 활동하는 선수의 이름과 정보를 게임에 활용하기 시작했다.

EA가	EA/SL+가/JKS
NFL(북미미식축구리그)과	NFL/SL+(/SS+북미/NNP+미식축구/NNG+리그/NNG+)/SS+과/JKB
독점	독점/NNG
계약을	계약/NNG+을/JKO
맺고	맺/VV+고/EC
실제	실제/MAG
활동하는	활동/NNG+하/XSV+는/ETM
선수의	선수/NNG+의/JKG
이름과	이름/NNG+과/JC
정보를	정보/NNG+를/JKO
게임에	게임/NNG+에/JKB
활용하기	활용/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.372.13.3
그때까지 미식축구 게임에서 EA와 경쟁하던 일본 게임 업체 세가는 선수 정보를 놓치면서 인기도 잃었다.

그때까지	그때/NNG+까지/JX
미식축구	미식축구/NNG
게임에서	게임/NNG+에서/JKB
EA와	EA/SL+와/JKB
경쟁하던	경쟁/NNG+하/XSV+던/ETM
일본	일본/NNP
게임	게임/NNG
업체	업체/NNG
세가는	세가/NNP+는/JX
선수	선수/NNG
정보를	정보/NNG+를/JKO
놓치면서	놓치/VV+면서/EC
인기도	인기/NNG+도/JX
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.14.1
EA는 내친김에 자금력을 앞세워 FIFA(국제축구연맹)·NBA(북미농구리그) 등의 선수 이용권을 획득, 관련 게임을 쏟아내면서 스포츠 게임의 명가로 자리매김했다.

EA는	EA/SL+는/JX
내친김에	내친김/NNG+에/JKB
자금력을	자금력/NNG+을/JKO
앞세워	앞세우/VV+어/EC
FIFA(국제축구연맹)·NBA(북미농구리그)	FIFA/SL+(/SS+국제축구연맹/NNP+)/SS+·/SP+NBA/SL+(/SS+북미/NNP+농구/NNG+리그/NNG+)/SS
등의	등/NNB+의/JKG
선수	선수/NNG
이용권을	이용/NNG+권/XSN+을/JKO
획득,	획득/NNG+,/SP
관련	관련/NNG
게임을	게임/NNG+을/JKO
쏟아내면서	쏟/VV+아/EC+내/VX+면서/EC
스포츠	스포츠/NNG
게임의	게임/NNG+의/JKG
명가로	명가/NNG+로/JKB
자리매김했다.	자리매김/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.372.14.2
하지만 또 다른 게임 업체 테이크투인터랙티브가 2005년 메이저리그 사무국과 독점 이용권을 맺으면서 EA는 이후 야구게임에서 손을 떼는 아픔을 겪었다.

하지만	하지만/MAJ
또	또/MAG
다른	다른/MMD
게임	게임/NNG
업체	업체/NNG
테이크투인터랙티브가	테이크투인터랙티브/NNP+가/JKS
2005년	2005/SN+년/NNB
메이저리그	메이저리그/NNG
사무국과	사무국/NNG+과/JKB
독점	독점/NNG
이용권을	이용/NNG+권/XSN+을/JKO
맺으면서	맺/VV+으면서/EC
EA는	EA/SL+는/JX
이후	이후/NNG
야구게임에서	야구/NNG+게임/NNG+에서/JKB
손을	손/NNG+을/JKO
떼는	떼/VV+는/ETM
아픔을	아픔/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.372.14.3
스포츠 게임에서 선수 정보 확보 전쟁이 치열하게 벌어지고 있는 것이다.

스포츠	스포츠/NNG
게임에서	게임/NNG+에서/JKB
선수	선수/NNG
정보	정보/NNG
확보	확보/NNG
전쟁이	전쟁/NNG+이/JKS
치열하게	치열/NNG+하/XSA+게/EC
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.372.15.1
◆직접 휘둘러 볼까

◆직접	◆/SW+직접/MAG
휘둘러	휘두르/VV+어/EC
볼까	보/VX+ㄹ까/EF


# id : NWRW1800000022.372.16.1
자신의 몸을 움직이면서 즐기는 체감형 스포츠 게임은 주로 골프와 탁구 등 개인 종목에 집중돼 있다.

자신의	자신/NNG+의/JKG
몸을	몸/NNG+을/JKO
움직이면서	움직이/VV+면서/EC
즐기는	즐기/VV+는/ETM
체감형	체감/NNG+형/XSN
스포츠	스포츠/NNG
게임은	게임/NNG+은/JX
주로	주로/MAG
골프와	골프/NNG+와/JC
탁구	탁구/NNG
등	등/NNB
개인	개인/NNG
종목에	종목/NNG+에/JKB
집중돼	집중/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.372.16.2
EA가 닌텐도의 동작 인식 게임기 Wii(위) 용으로 개발한 '타이거 우즈 PGA 투어 10'이 대표적.

EA가	EA/SL+가/JKS
닌텐도의	닌텐도/NNP+의/JKG
동작	동작/NNG
인식	인식/NNG
게임기	게임기/NNG
Wii(위)	Wii/SL+(/SS+위/NNG+)/SS
용으로	용/XSN+으로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
'타이거	'/SS+타이거/NNP
우즈	우즈/NNP
PGA	PGA/SL
투어	투어/NNG
10'이	10/SN+'/SS+이/JKS
대표적.	대표/NNG+적/XSN+./SF


# id : NWRW1800000022.372.16.3
TV 리모컨 모양으로 생긴 Wii 컨트롤러를 손에 쥐고 실제 골프를 하듯 휘두르면 게임 속 타이거 우즈가 내 동작을 그대로 따라 한다.

TV	TV/SL
리모컨	리모컨/NNG
모양으로	모양/NNG+으로/JKB
생긴	생기/VV+ㄴ/ETM
Wii	Wii/SL
컨트롤러를	컨트롤러/NNG+를/JKO
손에	손/NNG+에/JKB
쥐고	쥐/VV+고/EC
실제	실제/NNG
골프를	골프/NNG+를/JKO
하듯	하/VV+듯/EC
휘두르면	휘두르/VV+면/EC
게임	게임/NNG
속	속/NNG
타이거	타이거/NNP
우즈가	우즈/NNP+가/JKS
내	나/NP+의/JKG
동작을	동작/NNG+을/JKO
그대로	그대로/MAG
따라	따르/VV+아/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.372.16.4
특히 초기에 등장했던 Wii의 골프 게임들이 단순히 휘두르는 속도만 반영했던 것과 달리 이 게임은 Wii 컨트롤러에 '모션 플러스(motion plus)'라는 새로운 주변기기를 추가 장착, 각도 조정과 구질 선택처럼 세밀한 동작도 할 수 있다.

특히	특히/MAG
초기에	초기/NNG+에/JKB
등장했던	등장/NNG+하/XSV+았/EP+던/ETM
Wii의	Wii/SL+의/JKG
골프	골프/NNG
게임들이	게임/NNG+들/XSN+이/JKS
단순히	단순히/MAG
휘두르는	휘두르/VV+는/ETM
속도만	속도/NNG+만/JX
반영했던	반영/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
이	이/MMD
게임은	게임/NNG+은/JX
Wii	Wii/SL
컨트롤러에	컨트롤러/NNG+에/JKB
'모션	'/SS+모션/NNG
플러스(motion	플러스/NNG+(/SS+motion/SL
plus)'라는	plus/SL+)/SS+'/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
주변기기를	주변/NNG+기기/NNG+를/JKO
추가	추가/NNG
장착,	장착/NNG+,/SP
각도	각도/NNG
조정과	조정/NNG+과/JC
구질	구질/NNG
선택처럼	선택/NNG+처럼/JKB
세밀한	세밀하/VA+ㄴ/ETM
동작도	동작/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.17.1
액토즈소프트가 개발한 '엑스업 레볼루션'은 마우스로 즐기는 PC 온라인 탁구 게임이다.

액토즈소프트가	액토즈소프트/NNP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
