# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.374
metadata : {}


# id : NWRW1800000042.374.1.1
[NEWS&VIEW] 경제 살리기 예산… 내년 20兆(2009년 글로벌 금융위기 이후 최대폭) 더 푼다

[NEWS&VIEW]	[/SS+NEWS/SL+&/SW+VIEW/SL+]/SS
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000042.374.6.3
내년 복지 예산은 기초노령연금 등 박근혜 대통령의 대선 공약이 사실상 모두 반영된 첫 예산이다.

내년	내년/NNG
복지	복지/NNG
예산은	예산/NNG+은/JX
기초노령연금	기초/NNG+노령/NNG+연금/NNG
등	등/NNB
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
대선	대선/NNG
공약이	공약/NNG+이/JKS
사실상	사실/NNG+상/XSN
모두	모두/MAG
반영된	반영/NNG+되/XSV+ㄴ/ETM
첫	첫/MMN
예산이다.	예산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.374.7.1
이에 따라 관리재정수지의 적자가 33조6000억원으로 올해(25조5000억원)보다 31%나 급증한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
관리재정수지의	관리/NNG+재정/NNG+수지/NNG+의/JKG
적자가	적자/NNG+가/JKS
33조6000억원으로	33/SN+조/NR+6000/SN+억/NR+원/NNB+으로/JKB
올해(25조5000억원)보다	올해/NNG+(/SS+25/SN+조/NR+5000/SN+억/NR+원/NNB+)/SS+보다/JKB
31%나	31/SN+%/SW+나/JX
급증한다.	급증/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000042.374.7.2
정부 관계자는 "아직은 국가 채무가 감당할 수 있는 수준일 때 승부를 건다는 측면도 있다"고 말했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"아직은	"/SS+아직/MAG+은/JX
국가	국가/NNG
채무가	채무/NNG+가/JKS
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수준일	수준/NNG+이/VCP+ㄹ/ETM
때	때/NNG
승부를	승부/NNG+를/JKO
건다는	걸/VV+ㄴ다는/ETM
측면도	측면/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.374.7.3
정부는 당초 1조원 이상 줄여 74조원대로 편성키로 했던 연구·개발(R&D), 산업 지원, 사회간접자본(SOC) 확충 등 경제 분야 예산을 77조2000억원으로 확대했다.

정부는	정부/NNG+는/JX
당초	당초/NNG
1조원	1/SN+조/NR+원/NNB
이상	이상/NNG
줄여	줄이/VV+어/EC
74조원대로	74/SN+조/NR+원/NNB+대/XSN+로/JKB
편성키로	편성/NNG+하/XSV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
연구·개발(R&D),	연구/NNG+·/SP+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+,/SP
산업	산업/NNG
지원,	지원/NNG+,/SP
사회간접자본(SOC)	사회/NNG+간접/NNG+자본/NNG+(/SS+SOC/SL+)/SS
확충	확충/NNG
등	등/NNB
경제	경제/NNG
분야	분야/NNG
예산을	예산/NNG+을/JKO
77조2000억원으로	77/SN+조/NR+2000/SN+억/NR+원/NNB+으로/JKB
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.374.7.4
특히 1조7000억원 줄일 예정이었던 SOC는 오히려 7000억원 늘어나 24조원을 웃돈다.

특히	특히/MAG
1조7000억원	1/SN+조/NR+7000/SN+억/NR+원/NNB
줄일	줄이/VV+ㄹ/ETM
예정이었던	예정/NNG+이/VCP+었/EP+던/ETM
SOC는	SOC/SL+는/JX
오히려	오히려/MAG
7000억원	7000/SN+억/NR+원/NNB
늘어나	늘어나/VV+아/EC
24조원을	24/SN+조/NR+원/NNB+을/JKO
웃돈다.	웃돌/VV+ㄴ다/EF+./SF


