# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.388
metadata : {}


# id : NWRW1800000028.388.1.1
“야당 때려잡기 수사” /분노 터트린 민주당

“야당	“/SS+야당/NNG
편파사정	편파/NNG+사정/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
철저히	철저히/MAG
따지겠다”고	따지/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.388.3.1
손학규 민주당 대표도 이날 <연합뉴스>와의 인터뷰에서 “만약 수사가 전 정권에 대한 정치보복이거나 야당탄압이 된다면 가만히 있을 수 없고, 국민도 용납하지 않을 것”이라고 말했다.

손학규	손학규/NNP
민주당	민주당/NNP
대표도	대표/NNG+도/JX
이날	이날/NNG
<연합뉴스>와의	</SS+연합뉴스/NNP+>/SS+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“만약	“/SS+만약/MAG
수사가	수사/NNG+가/JKS
전	전/MMD
정권에	정권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정치보복이거나	정치/NNG+보복/NNG+이/VCP+거나/EC
야당탄압이	야당/NNG+탄압/NNG+이/JKC
된다면	되/VV+ㄴ다면/EC
가만히	가만히/MAG
있을	있/VV+을/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
국민도	국민/NNG+도/JX
용납하지	용납/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.388.3.2
차영 대변인도 “검찰이 예산국회 시점에서 청목회 로비의혹 등과 관련해 야당 의원의 실명까지 거론하는 것은 야당을 압박하려는 의도”라고 비판했다.

차영	차영/NNP
대변인도	대변인/NNG+도/JX
“검찰이	“/SS+검찰/NNG+이/JKS
예산국회	예산/NNG+국회/NNG
시점에서	시점/NNG+에서/JKB
청목회	청목회/NNP
로비의혹	로비/NNG+의혹/NNG
등과	등/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
야당	야당/NNG
의원의	의원/NNG+의/JKG
실명까지	실명/NNG+까지/JX
거론하는	거론/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
야당을	야당/NNG+을/JKO
압박하려는	압박/NNG+하/XSV+려는/ETM
의도”라고	의도/NNG+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.388.4.1
청목회가 건넨 정치후원금이 청원경찰법 개정을 위한 대가성 자금 아니냐는 의혹을 받는 민주당의 한 의원은 관련 의혹을 부인하면서 “검찰이 대통령의 레임덕(권력누수) 방지를 위해 경쟁적으로 과잉충성을 하는 것 같다”고 말했다.

청목회가	청목회/NNP+가/JKS
건넨	건네/VV+ㄴ/ETM
정치후원금이	정치/NNG+후원금/NNG+이/JKS
청원경찰법	청원/NNG+경찰법/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대가성	대가/NNG+성/XSN
자금	자금/NNG
아니냐는	아니/VCN+냐는/ETM
의혹을	의혹/NNG+을/JKO
받는	받/VV+는/ETM
민주당의	민주당/NNP+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
관련	관련/NNG
부인하면서	부인/NNG+하/XSV+면서/EC
“검찰이	“/SS+검찰/NNG+이/JKS
대통령의	대통령/NNG+의/JKG
레임덕(권력누수)	레임덕/NNG+(/SS+권력/NNG+누수/NNG+)/SS
방지를	방지/NNG+를/JKO
위해	위하/VV+아/EC
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
과잉충성을	과잉/NNG+충성/NNG+을/JKO
하는	하/VV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.388.4.2
그는 또 “내가 남상태 대우조선해양 사장이 연임을 위해 이명박 대통령 측근과 친인척에 로비를 했다는 의혹을 제기했는데, 대우조선해양 건이 청와대로선 아픈 부분일 것”이라며 “그래서 이번에 나를 손보겠다는 의도가 있는 건 아닌지 모르겠다”고 주장했다.

그는	그/NP+는/JX
또	또/MAG
“내가	“/SS+내/NP+가/JKS
남상태	남상태/NNP
대우조선해양	대우조선해양/NNP
사장이	사장/NNG+이/JKS
연임을	연임/NNG+을/JKO
위해	위하/VV+아/EC
이명박	이명박/NNP
대통령	대통령/NNG
측근과	측근/NNG+과/JC
친인척에	친인척/NNG+에/JKB
로비를	로비/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
제기했는데,	제기/NNG+하/XSV+았/EP+는데/EC+,/SP
건이	건/NNG+이/JKS
청와대로선	청와대/NNP+로서/JKB+ㄴ/JX
아픈	아프/VA+ㄴ/ETM
부분일	부분/NNG+이/VCP+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“그래서	“/SS+그래서/MAJ
이번에	이번/NNG+에/JKB
나를	나/NP+를/JKO
손보겠다는	손보/VV+겠/EP+다는/ETM
의도가	의도/NNG+가/JKS
있는	있/VA+는/ETM
건	거/NNB+ㄴ/JX
아닌지	아니/VCN+ㄴ지/EF
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.388.5.1
그러나 민주당 내에선 사정정국 한파가 거세게 몰아칠 경우 4대강 사업 저지 등을 위한 당의 결속력이 흐트러지지 않을까 걱정하는 기류도 있다.

그러나	그러나/MAJ
민주당	민주당/NNP
내에선	내/NNB+에서/JKB+ㄴ/JX
사정정국	사정/NNG+정국/NNG
한파가	한파/NNG+가/JKS
거세게	거세/VA+게/EC
몰아칠	몰아치/VV+ㄹ/ETM
경우	경우/NNG
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
저지	저지/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
당의	당/NNG+의/JKG
결속력이	결속력/NNG+이/JKS
흐트러지지	흐트러지/VV+지/EC
않을까	않/VX+을까/EF
걱정하는	걱정/NNG+하/XSV+는/ETM
기류도	기류/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.388.5.2
민주당은 1일 대정부질문에 나서기로 했던 최규식 의원이 청목회로부터 정치후원금을 받은 것으로 알려지자 이석현 의원으로 급히 교체하는 등 분위기 수습에 나서고 있다.

민주당은	민주당/NNP+은/JX
1일	1/SN+일/NNB
대정부질문에	대정부/NNG+질문/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
최규식	최규식/NNP
의원이	의원/NNG+이/JKS
청목회로부터	청목회/NNP+로부터/JKB
정치후원금을	정치/NNG+후원금/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려지자	알려지/VV+자/EC
이석현	이석현/NNP
의원으로	의원/NNG+으로/JKB
급히	급히/MAG
교체하는	교체/NNG+하/XSV+는/ETM
등	등/NNB
분위기	분위기/NNG
수습에	수습/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.388.5.3
한 당직자는 “자칫 의원 한명이라도 로비의혹에 연루된 것이 사실로 드러나면 연말 예산국회 전선에서 전투력이 흔들릴 수도 있다”고 우려했다.

한	한/MMN
당직자는	당직자/NNG+는/JX
“자칫	“/SS+자칫/MAG
의원	의원/NNG
한명이라도	한/MMN+명/NNB+이라도/JX
로비의혹에	로비/NNG+의혹/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
사실로	사실/NNG+로/JKB
드러나면	드러나/VV+면/EC
연말	연말/NNG
예산국회	예산/NNG+국회/NNG
전선에서	전선/NNG+에서/JKB
전투력이	전투력/NNG+이/JKS
흔들릴	흔들리/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


