# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.355
metadata : {}


# id : NWRW1800000056.355.1.1
후보들 일정 취소하고 산불 피해 현장으로

후보들	후보/NNG+들/XSN
더불어민주당	더불어민주당/NNP
후보는	후보/NNG+는/JX
거리	거리/NNG
유세	유세/NNG
대신	대신/NNG
대피소가	대피소/NNG+가/JKS
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
강릉	강릉/NNP
성산초등학교를	성산초등학교/NNP+를/JKO
찾아	찾/VV+아/EC
피해	피해/NNG
주민들을	주민/NNG+들/XSN+을/JKO
위로했다.	위로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.8.2
문 후보는 “이 정도 산불이 발생하면 위험한 지역 주민들에게 신속하게 그 사실을 알리고 대피시키는 조치가 필요한데 그런 게 미흡했던 것 같다”며 “저는 정권 교체하면 소방과 해경은 독립시키고, 육상 재난은 우선 소방이 현장 책임을 지도록 재난 구조 대응체계를 일원화하겠다.

문	문/NNP
후보는	후보/NNG+는/JX
“이	“/SS+이/MMD
정도	정도/NNG
산불이	산불/NNG+이/JKS
발생하면	발생/NNG+하/XSV+면/EC
위험한	위험/NNG+하/XSA+ㄴ/ETM
지역	지역/NNG
주민들에게	주민/NNG+들/XSN+에게/JKB
신속하게	신속/NNG+하/XSA+게/EC
그	그/MMD
사실을	사실/NNG+을/JKO
알리고	알리/VV+고/EC
대피시키는	대피/NNG+시키/XSV+는/ETM
조치가	조치/NNG+가/JKS
필요한데	필요/NNG+하/XSA+ㄴ데/EC
그런	그런/MMD
게	거/NNB+이/JKS
미흡했던	미흡/NNG+하/XSA+았/EP+던/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“저는	“/SS+저/NP+는/JX
정권	정권/NNG
교체하면	교체/NNG+하/XSV+면/EC
소방과	소방/NNG+과/JC
해경은	해경/NNG+은/JX
독립시키고,	독립/NNG+시키/XSV+고/EC+,/SP
육상	육상/NNG
재난은	재난/NNG+은/JX
우선	우선/MAG
소방이	소방/NNG+이/JKS
현장	현장/NNG
책임을	책임/NNG+을/JKO
지도록	지/VV+도록/EC
재난	재난/NNG
구조	구조/NNG
대응체계를	대응/NNG+체계/NNG+를/JKO
일원화하겠다.	일원/NNG+화/XSN+하/XSV+겠/EP+다/EF+./SF


# id : NWRW1800000056.355.8.3
또 청와대가 국가재난에 대한 강력한 컨트롤타워가 되도록 하겠다”고 밝혔다.

또	또/MAG
청와대가	청와대/NNP+가/JKS
국가재난에	국가/NNG+재난/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
컨트롤타워가	컨트롤/NNG+타워/NNG+가/JKC
되도록	되/VV+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.355.9.1
안철수 국민의당 후보도 이날 오전 예정된 서울 유세를 취소하고 주민들이 대피해있는 강릉종합노인복지관과 성산초교를 찾았다.

안철수	안철수/NNP
국민의당	국민의당/NNP
후보도	후보/NNG+도/JX
이날	이날/NNG
오전	오전/NNG
예정된	예정/NNG+되/XSV+ㄴ/ETM
서울	서울/NNP
유세를	유세/NNG+를/JKO
취소하고	취소/NNG+하/XSV+고/EC
주민들이	주민/NNG+들/XSN+이/JKS
대피해있는	대피/NNG+하/XSV+아/EC+있/VX+는/ETM
강릉종합노인복지관과	강릉종합노인복지관/NNP+과/JC
성산초교를	성산초교/NNP+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.9.2
안 후보는 “화재 진압과 정부의 피해자 지원활동을 강화하겠다”며 “다시 생업에 돌아가서 생활하실 수 있도록 지원을 아끼지 않겠다”고 밝혔다.

안	안/NNP
후보는	후보/NNG+는/JX
“화재	“/SS+화재/NNG
진압과	진압/NNG+과/JC
정부의	정부/NNG+의/JKG
피해자	피해자/NNG
지원활동을	지원/NNG+활동/NNG+을/JKO
강화하겠다”며	강화/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“다시	“/SS+다시/MAG
생업에	생업/NNG+에/JKB
돌아가서	돌아가/VV+아서/EC
생활하실	생활/NNG+하/XSV+시/EP+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원을	지원/NNG+을/JKO
아끼지	아끼/VV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.355.9.3
안 후보는 “현재 국민안전처가 여러 가지 미흡함을 사고 때마다 노출하고 있다”며 “청와대가 구호재난에 대해서는 컨트롤센터가 되어야 한다.

안	안/NNP
후보는	후보/NNG+는/JX
“현재	“/SS+현재/MAG
국민안전처가	국민/NNG+안전처/NNG+가/JKS
여러	여러/MMN
가지	가지/NNB
미흡함을	미흡/NNG+하/XSA+ㅁ/ETN+을/JKO
사고	사고/NNG
때마다	때/NNG+마다/JX
노출하고	노출/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“청와대가	“/SS+청와대/NNP+가/JKS
구호재난에	구호/NNG+재난/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
컨트롤센터가	컨트롤/NNG+센터/NNG+가/JKC
되어야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.355.9.4
다음 정부에서는 선진국 수준의 재난대응이 될 수 있도록 체계를 바로잡아 나가겠다”고 말했다.

다음	다음/NNG
정부에서는	정부/NNG+에서/JKB+는/JX
선진국	선진국/NNG
수준의	수준/NNG+의/JKG
재난대응이	재난/NNG+대응/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
체계를	체계/NNG+를/JKO
바로잡아	바로잡/VV+아/EC
나가겠다”고	나가/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.10.1
유승민 바른정당 후보도 예정돼 있던 서울 여의도 당사 기자회견을 연기하고, 대전 유세를 취소한 채 강릉 성산초교와 상황실이 마련된 강릉시청을 방문했다.

유승민	유승민/NNP
바른정당	바른정당/NNP
후보도	후보/NNG+도/JX
예정돼	예정/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
서울	서울/NNP
여의도	여의도/NNP
당사	당사/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
연기하고,	연기/NNG+하/XSV+고/EC+,/SP
대전	대전/NNP
유세를	유세/NNG+를/JKO
취소한	취소/NNG+하/XSV+ㄴ/ETM
채	채/NNB
강릉	강릉/NNP
성산초교와	성산초교/NNP+와/JC
상황실이	상황실/NNG+이/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
강릉시청을	강릉시청/NNP+을/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.10.2
유 후보는 “여기를 비롯해 산불피해가 큰 데는 특별재난지역을 빨리 선포해야 예산 지원도 할 수 있다고 본다.

유	유/NNP
후보는	후보/NNG+는/JX
“여기를	“/SS+여기/NP+를/JKO
비롯해	비롯하/VV+아/EC
산불피해가	산불/NNG+피해/NNG+가/JKS
큰	크/VA+ㄴ/ETM
데는	데/NNB+는/JX
특별재난지역을	특별/NNG+재난/NNG+지역/NNG+을/JKO
빨리	빨리/MAG
선포해야	선포/NNG+하/XSV+아야/EC
예산	예산/NNG
지원도	지원/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.355.10.3
중앙정부가 빨리 특별재난지역을 선포하고 피해복구와 정부가 지원할 수 있는 부분에 대해 최대한 신속하게 (하는 게) 옳겠다”고 말했다.

중앙정부가	중앙/NNG+정부/NNG+가/JKS
빨리	빨리/MAG
특별재난지역을	특별/NNG+재난/NNG+지역/NNG+을/JKO
선포하고	선포/NNG+하/XSV+고/EC
피해복구와	피해/NNG+복구/NNG+와/JC
정부가	정부/NNG+가/JKS
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
최대한	최대한/MAG
신속하게	신속/NNG+하/XSA+게/EC
(하는	(/SS+하/VV+는/ETM
게)	거/NNB+이/JKS+)/SS
옳겠다”고	옳/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.11.1
심상정 정의당 후보도 창원 유세 일정을 취소하고 강릉 성산초교를 찾았다.

심상정	심상정/NNP
정의당	정의당/NNP
후보도	후보/NNG+도/JX
창원	창원/NNP
유세	유세/NNG
일정을	일정/NNG+을/JKO
취소하고	취소/NNG+하/XSV+고/EC
강릉	강릉/NNP
성산초교를	성산초교/NNP+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.11.2
심 후보는 “강원도에 큰불이 자주 나고, 쉽게 진압이 되지 않는 근본 원인과 배경을 철저히 분석해 앞으로 큰 산불을 예방하고 조기 진압할 수 있는 시스템을 갖추도록 하겠다”고 약속했다.

심	심/NNP
후보는	후보/NNG+는/JX
“강원도에	“/SS+강원도/NNP+에/JKB
큰불이	큰불/NNG+이/JKS
자주	자주/MAG
나고,	나/VV+고/EC+,/SP
쉽게	쉽/VA+게/EC
진압이	진압/NNG+이/JKC
되지	되/VV+지/EC
않는	않/VX+는/ETM
근본	근본/NNG
원인과	원인/NNG+과/JC
배경을	배경/NNG+을/JKO
철저히	철저히/MAG
분석해	분석/NNG+하/XSV+아/EC
앞으로	앞/NNG+으로/JKB
큰	크/VA+ㄴ/ETM
산불을	산불/NNG+을/JKO
예방하고	예방/NNG+하/XSV+고/EC
조기	조기/NNG
진압할	진압/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시스템을	시스템/NNG+을/JKO
갖추도록	갖추/VV+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.11.3
심 후보는 또 “국무총리 산하 국민안전처를 대통령 직속 국민안전부로 승격시키고 대통령 비서실에 위기관리수석실을 신설해 청와대가 안보와 재난 컨트롤타워가 될 수 있도록 하겠다”고 덧붙였다.

심	심/NNP
후보는	후보/NNG+는/JX
또	또/MAG
“국무총리	“/SS+국무총리/NNG
산하	산하/NNG
국민안전처를	국민/NNG+안전처/NNG+를/JKO
대통령	대통령/NNG
직속	직속/NNG
국민안전부로	국민/NNG+안전부/NNG+로/JKB
승격시키고	승격/NNG+시키/XSV+고/EC
비서실에	비서실/NNG+에/JKB
위기관리수석실을	위기관리/NNG+수석실/NNG+을/JKO
신설해	신설/NNG+하/XSV+아/EC
청와대가	청와대/NNP+가/JKS
안보와	안보/NNG+와/JC
재난	재난/NNG
컨트롤타워가	컨트롤/NNG+타워/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.355.12.1
홍준표 자유한국당 후보는 직접 현장을 찾지 않았지만 부인 이순삼씨와 박정이 상임중앙선거대책위원장이 선거운동 일정을 취소하고 피해 현장에서 자원봉사에 나섰다.

홍준표	홍준표/NNP
자유한국당	자유한국당/NNP
후보는	후보/NNG+는/JX
직접	직접/MAG
현장을	현장/NNG+을/JKO
찾지	찾/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
부인	부인/NNG
이순삼씨와	이순삼/NNP+씨/NNB+와/JC
박정이	박정이/NNP
상임중앙선거대책위원장이	상임/NNG+중앙/NNG+선거/NNG+대책/NNG+위원장/NNG+이/JKS
선거운동	선거/NNG+운동/NNG
일정을	일정/NNG+을/JKO
취소하고	취소/NNG+하/XSV+고/EC
피해	피해/NNG
현장에서	현장/NNG+에서/JKB
자원봉사에	자원봉사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


