# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.329
metadata : {}


# id : NWRW1800000037.329.1.1
[北 3차 핵실험]“불확실성 커져” 불안… “별 일 없을것” 무신경

[北	[/SS+北/SH
불안한데	불안/NNG+하/XSA+ㄴ데/EC
핵실험까지	핵/NNG+실험/NNG+까지/JX
터져	터지/VV+어/EC
불확실성만	불확실/NNG+성/XSN+만/JX
커질	커지/VV+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.329.4.1
정부의 실효성 있는 대책을 촉구하는 목소리도 나왔다.

정부의	정부/NNG+의/JKG
실효성	실효/NNG+성/XSN
있는	있/VA+는/ETM
대책을	대책/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
목소리도	목소리/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.329.4.2
윤종기 씨(34)는 “북한 핵실험이 있을 때마다 정부는 실효성 있는 대책을 내놓지 못했다”며 “주변국과 협의해 핵 개발에 실질적이고 근본적으로 대응할 수 있는 정책을 세워야 한다”고 말했다.

윤종기	윤종기/NNP
씨(34)는	씨/NNB+(/SS+34/SN+)/SS+는/JX
“북한	“/SS+북한/NNP
핵실험이	핵/NNG+실험/NNG+이/JKS
있을	있/VA+을/ETM
때마다	때/NNG+마다/JX
정부는	정부/NNG+는/JX
실효성	실효/NNG+성/XSN
있는	있/VA+는/ETM
대책을	대책/NNG+을/JKO
내놓지	내놓/VV+지/EC
못했다”며	못하/VX+았/EP+다/EF+”/SS+며/EC
“주변국과	“/SS+주변국/NNG+과/JKB
협의해	협의/NNG+하/XSV+아/EC
핵	핵/NNG
개발에	개발/NNG+에/JKB
실질적이고	실질/NNG+적/XSN+이/VCP+고/EC
근본적으로	근본/NNG+적/XSN+으로/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
정책을	정책/NNG+을/JKO
세워야	세우/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.329.5.1
시민단체들도 한목소리로 북한을 비판했다.

시민단체들도	시민/NNG+단체/NNG+들/XSN+도/JX
한목소리로	한목소리/NNG+로/JKB
북한을	북한/NNP+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.329.5.2
참여연대 평화군축센터는 논평을 내고 “3차 핵실험을 강행한 북한을 강력히 규탄한다”며 “수년간 지속되어온 북한에 대한 적대적 무시 정책, 그리고 제재와 압박 위주의 대응이 북한의 잇단 자극적 행동을 제어하는 데 실패해왔다는 사실을 직시해야 한다”고 밝혔다.

참여연대	참여연대/NNP
평화군축센터는	평화/NNG+군축/NNG+센터/NNG+는/JX
논평을	논평/NNG+을/JKO
내고	내/VV+고/EC
“3차	“/SS+3/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
강행한	강행/NNG+하/XSV+ㄴ/ETM
북한을	북한/NNP+을/JKO
강력히	강력히/MAG
규탄한다”며	규탄/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“수년간	“/SS+수년/NNG+간/XSN
지속되어온	지속/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
적대적	적대/NNG+적/XSN
무시	무시/NNG
정책,	정책/NNG+,/SP
그리고	그리고/MAJ
제재와	제재/NNG+와/JC
압박	압박/NNG
위주의	위주/NNG+의/JKG
대응이	대응/NNG+이/JKS
북한의	북한/NNP+의/JKG
잇단	잇달/VV+ㄴ/ETM
자극적	자극/NNG+적/XSN
행동을	행동/NNG+을/JKO
제어하는	제어/NNG+하/XSV+는/ETM
데	데/NNB
실패해왔다는	실패/NNG+하/XSV+아/EC+오/VX+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
직시해야	직시/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.329.6.1
반복되는 핵 위협에 무감각해 하는 분위기도 있었다.

반복되는	반복/NNG+되/XSV+는/ETM
핵	핵/NNG
위협에	위협/NNG+에/JKB
무감각해	무/XPN+감각/NNG+하/XSA+아/EC
하는	하/VX+는/ETM
분위기도	분위기/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.329.6.2
회사원 김모 씨(31·여)는 “북한이 2006, 2009년에도 핵 실험을 했지만 실제 큰일은 일어나지 않았다”며 “북한도 지켜야 하는 선을 명확히 알고 있는 것 같다”고 했다.

회사원	회사원/NNG
김모	김/NNP+모/NP
씨(31·여)는	씨/NNB+(/SS+31/SN+·/SP+여/NNG+)/SS+는/JX
“북한이	“/SS+북한/NNP+이/JKS
2006,	2006/SN+,/SP
2009년에도	2009/SN+년/NNB+에/JKB+도/JX
핵	핵/NNG
실험을	실험/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
실제	실제/NNG
큰일은	큰일/NNG+은/JX
일어나지	일어나/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“북한도	“/SS+북한/NNP+도/JX
지켜야	지키/VV+어야/EC
하는	하/VX+는/ETM
선을	선/NNG+을/JKO
명확히	명확히/MAG
알고	알/VV+고/EC
있는	있/VX+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.329.6.3
강모 씨(28)는 “체제 안정과 새 돌파구 마련을 위해 핵실험을 한 것 같은데 크게 위협적으로 느껴지지 않는다”고 했다.

강모	강/NNP+모/NP
씨(28)는	씨/NNB+(/SS+28/SN+)/SS+는/JX
“체제	“/SS+체제/NNG
안정과	안정/NNG+과/JC
새	새/MMA
돌파구	돌파구/NNG
마련을	마련/NNG+을/JKO
위해	위하/VV+아/EC
핵실험을	핵/NNG+실험/NNG+을/JKO
한	하/VV+ㄴ/ETM
것	것/NNB
같은데	같/VA+은데/EC
크게	크/VA+게/EC
위협적으로	위협/NNG+적/XSN+으로/JKB
느껴지지	느끼/VV+어/EC+지/VX+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.329.7.1
이런 분위기 탓에 이날 오후 네이버 실시간 검색어에서 북한 핵실험은 2위로 밀렸다.

이런	이런/MMD
분위기	분위기/NNG
탓에	탓/NNG+에/JKB
이날	이날/NNG
오후	오후/NNG
네이버	네이버/NNP
실시간	실시간/NNG
검색어에서	검색어/NNG+에서/JKB
북한	북한/NNP
핵실험은	핵/NNG+실험/NNG+은/JX
2위로	2/SN+위/NNB+로/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.329.7.2
한 트위터리안은 “사람들의 관심은 북한 핵 따위가 아니라 (검색어 1위에 오른 화장품 회사) 이니스프리의 반값 할인. 김정은 자존심 상하겠다”라는 글을 올리기도 했다.

한	한/MMN
트위터리안은	트위터리안/NNG+은/JX
“사람들의	“/SS+사람/NNG+들/XSN+의/JKG
관심은	관심/NNG+은/JX
북한	북한/NNP
핵	핵/NNG
따위가	따위/NNB+가/JKC
아니라	아니/VCN+라/EC
(검색어	(/SS+검색어/NNG
1위에	1/SN+위/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
화장품	화장품/NNG
회사)	회사/NNG+)/SS
이니스프리의	이니스프리/NNP+의/JKG
반값	반값/NNG
할인.	할인/NNG+./SF
김정은	김정은/NNP
자존심	자존심/NNG
상하겠다”라는	상하/VV+겠/EP+다/EF+”/SS+이/VCP+라는/ETM
글을	글/NNG+을/JKO
올리기도	올리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


