# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.364
metadata : {}


# id : NWRW1800000052.364.1.1
청와대, 북 미사일 들먹이며 ‘우병우 감싸기’

청와대,	청와대/NNP+,/SP
할	하/VV+ㄹ/ETM
말이	말/NNG+이/JKS
있다면	있/VA+다면/EC
검찰에	검찰/NNG+에/JKB
가서	가/VV+아서/EC
조사를	조사/NNG+를/JKO
받으며	받/VV+으며/EC
말해야	말/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.8.6
그는 “(김대중 정부에서) 청와대 비서실장을 지낸 사람으로서 지금의 한국 상황이 예사롭지 않은 비상 상황이라고 직감하고 있다”며 “전면적 개각”을 요구했다.

그는	그/NP+는/JX
“(김대중	“/SS+(/SS+김대중/NNP
정부에서)	정부/NNG+에서/JKB+)/SS
청와대	청와대/NNP
비서실장을	비서실장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
사람으로서	사람/NNG+으로서/JKB
지금의	지금/NNG+의/JKG
한국	한국/NNP
상황이	상황/NNG+이/JKS
예사롭지	예사/NNG+롭/XSA+지/EC
않은	않/VX+은/ETM
비상	비상/NNG
상황이라고	상황/NNG+이/VCP+라고/EC
직감하고	직감/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“전면적	“/SS+전면/NNG+적/XSN
개각”을	개각/NNG+”/SS+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.9.1
심상정 정의당 상임대표도 의원총회에서 박 대통령을 향해 “국민들에게 머리 숙여 사과하고, 이런 참담한 사태가 일어나게 된 경위를 설명해야 한다”며 철저한 수사를 지시할 것을 요구했다.

심상정	심상정/NNP
정의당	정의당/NNP
상임대표도	상임/NNG+대표/NNG+도/JX
의원총회에서	의원/NNG+총회/NNG+에서/JKB
박	박/NNP
대통령을	대통령/NNG+을/JKO
향해	향하/VV+아/EC
“국민들에게	“/SS+국민/NNG+들/XSN+에게/JKB
머리	머리/NNG
숙여	숙이/VV+어/EC
사과하고,	사과/NNG+하/XSV+고/EC+,/SP
이런	이런/MMD
참담한	참담/NNG+하/XSA+ㄴ/ETM
사태가	사태/NNG+가/JKS
일어나게	일어나/VV+게/EC
된	되/VV+ㄴ/ETM
경위를	경위/NNG+를/JKO
설명해야	설명/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
수사를	수사/NNG+를/JKO
지시할	지시/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.10.1
사태가 일파만파로 번지자 여당마저 우 수석에 대한 진상규명에 동조하는 모양새다.

사태가	사태/NNG+가/JKS
일파만파로	일파만파/NNG+로/JKB
번지자	번지/VV+자/EC
여당마저	여당/NNG+마저/JX
우	우/NNP
수석에	수석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진상규명에	진상/NNG+규명/NNG+에/JKB
동조하는	동조/NNG+하/XSV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.364.10.2
정진석 새누리당 원내대표는 의원총회에서 “청와대와 법무부 장관에게 신속한 진상규명을 요구하겠다”고 말했다.

정진석	정진석/NNP
새누리당	새누리당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
의원총회에서	의원/NNG+총회/NNG+에서/JKB
“청와대와	“/SS+청와대/NNP+와/JC
법무부	법무부/NNG
장관에게	장관/NNG+에게/JKB
신속한	신속/NNG+하/XSA+ㄴ/ETM
진상규명을	진상/NNG+규명/NNG+을/JKO
요구하겠다”고	요구/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.11.1
하지만 청와대 관계자는 우 수석에 대한 의혹 제기와 야당의 박 대통령 사과 요구 등에 대해 “북한의 미사일 발사 등 안보 위기와 경제 위기를 극복하기 위해 대통령과 정부가 총력을 다하고 있는 상황에서 일방적인 정치공세나 국정 흔들기는 자제돼야 한다고 본다”고 밝혔다.

하지만	하지만/MAJ
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
우	우/NNP
수석에	수석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의혹	의혹/NNG
제기와	제기/NNG+와/JC
야당의	야당/NNG+의/JKG
박	박/NNP
대통령	대통령/NNG
사과	사과/NNG
요구	요구/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
“북한의	“/SS+북한/NNP+의/JKG
미사일	미사일/NNG
발사	발사/NNG
등	등/NNB
안보	안보/NNG
위기와	위기/NNG+와/JC
경제	경제/NNG
위기를	위기/NNG+를/JKO
극복하기	극복/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
대통령과	대통령/NNG+과/JC
정부가	정부/NNG+가/JKS
총력을	총력/NNG+을/JKO
다하고	다/MAG+하/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
정치공세나	정치/NNG+공세/NNG+나/JC
국정	국정/NNG
흔들기는	흔들/VV+기/ETN+는/JX
자제돼야	자제/NNG+되/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.364.11.2
이 관계자는 기자들과 만나 “근거 없이 의혹을 부풀리는 것은 무책임하고 국민 단합에 도움이 되지 않는 일”이라며 “지금은 국론을 결집하고 어려운 위기 상황을 타개하기 위해서 협력하고 단합해야 할 때라고 생각한다”고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“근거	“/SS+근거/NNG
없이	없이/MAG
의혹을	의혹/NNG+을/JKO
부풀리는	부풀리/VV+는/ETM
것은	것/NNB+은/JX
무책임하고	무/XPN+책임/NNG+하/XSA+고/EC
국민	국민/NNG
단합에	단합/NNG+에/JKB
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않는	않/VX+는/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“지금은	“/SS+지금/NNG+은/JX
국론을	국론/NNG+을/JKO
결집하고	결집/NNG+하/XSV+고/EC
어려운	어렵/VA+ㄴ/ETM
위기	위기/NNG
상황을	상황/NNG+을/JKO
타개하기	타개/NNG+하/XSV+기/ETN
위해서	위하/VV+아서/EC
협력하고	협력/NNG+하/XSV+고/EC
단합해야	단합/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
때라고	때/NNG+이/VCP+라고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.11.3
청와대는 우 수석의 소명을 받아들여 추가적인 자체 조사는 하지 않을 것으로 전해졌다.

청와대는	청와대/NNP+는/JX
우	우/NNP
수석의	수석/NNG+의/JKG
소명을	소명/NNG+을/JKO
받아들여	받아들이/VV+어/EC
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
자체	자체/NNG
조사는	조사/NNG+는/JX
하지	하/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


