# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.406
metadata : {}


# id : NWRW1800000054.406.1.1
당국, 4월에 '살충제 계란' 알았다

당국,	당국/NNG+,/SP
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.406.4.2
소비자연맹은 "당시 토론회에는 농식품부·식약처 담당 공무원이 참석했고, 지난 4월 19일 두 기관에 정식 공문을 보내 결과를 알리면서 '살충제 검출 여부를 공동 조사하자'고 요청하기도 했다"고 말했다.

소비자연맹은	소비자/NNG+연맹/NNG+은/JX
"당시	"/SS+당시/NNG
토론회에는	토론회/NNG+에/JKB+는/JX
농식품부·식약처	농식품부/NNG+·/SP+식약처/NNG
담당	담당/NNG
공무원이	공무원/NNG+이/JKS
참석했고,	참석/NNG+하/XSV+았/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
19일	19/SN+일/NNB
두	두/MMN
기관에	기관/NNG+에/JKB
정식	정식/NNG
공문을	공문/NNG+을/JKO
보내	보내/VV+어/EC
결과를	결과/NNG+를/JKO
알리면서	알리/VV+면서/EC
'살충제	'/SS+살충제/NNG
검출	검출/NNG
여부를	여부/NNG+를/JKO
공동	공동/NNG
조사하자'고	조사/NNG+하/XSV+자/EF+'/SS+고/JKQ
요청하기도	요청/NNG+하/XSV+기/ETN+도/JX
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.406.4.3
하지만 류 처장은 16일 국회 보건복지위에 출석해 "제가 보고받기로는 '작년 조사에서 이상이 없었다'고 해서 계란을 믿고 드셔도 된다고 한 것"이라며 뒤늦게 사과했다.

하지만	하지만/MAJ
류	류/NNP
처장은	처장/NNG+은/JX
16일	16/SN+일/NNB
국회	국회/NNG
보건복지위에	보건/NNG+복지위/NNG+에/JKB
출석해	출석/NNG+하/XSV+아/EC
"제가	"/SS+제/NP+가/JKS
보고받기로는	보고/NNG+받/XSV+기/ETN+로/JKB+는/JX
'작년	'/SS+작년/NNG
조사에서	조사/NNG+에서/JKB
이상이	이상/NNG+이/JKS
없었다'고	없/VA+었/EP+다/EF+'/SS+고/JKQ
해서	하/VV+아서/EC
계란을	계란/NNG+을/JKO
믿고	믿/VV+고/EC
드셔도	들/VV+시/EP+어도/EC
된다고	되/VV+ㄴ다고/EC
한	하/VV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
뒤늦게	뒤늦/VA+게/EC
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.406.4.4
당시 토론회 참가자는 "그때 식품 당국이 즉각 대응해 시중 유통 계란에 대해 조사에 착수했으면 지금과 같은 '살충제 계란' 공포와 대란은 없었을 것"이라고 말했다.

당시	당시/NNG
토론회	토론회/NNG
참가자는	참가자/NNG+는/JX
"그때	"/SS+그때/NNG
식품	식품/NNG
당국이	당국/NNG+이/JKS
즉각	즉각/MAG
대응해	대응/NNG+하/XSV+아/EC
시중	시중/NNG
유통	유통/NNG
계란에	계란/NNG+에/JKB
대해	대하/VV+아/EC
조사에	조사/NNG+에/JKB
착수했으면	착수/NNG+하/XSV+았/EP+으면/EC
지금과	지금/NNG+과/JKB
같은	같/VA+은/ETM
'살충제	'/SS+살충제/NNG
계란'	계란/NNG+'/SS
공포와	공포/NNG+와/JC
대란은	대란/NNG+은/JX
없었을	없/VA+었/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.406.5.1
이에 대해 양창숙 식약처 농축수산물안전과장은 "4월 소비자연맹 공문이 왔을 땐 이미 잔류 살충제 검사를 시행하고 있었고, 자체 검사에선 문제가 없는 것으로 나왔다"고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
양창숙	양창숙/NNP
식약처	식약처/NNG
농축수산물안전과장은	농축수산물/NNG+안전과장/NNG+은/JX
"4월	"/SS+4/SN+월/NNB
소비자연맹	소비자/NNG+연맹/NNG
공문이	공문/NNG+이/JKS
왔을	오/VV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
이미	이미/MAG
잔류	잔류/NNG
살충제	살충제/NNG
검사를	검사/NNG+를/JKO
시행하고	시행/NNG+하/XSV+고/EC
있었고,	있/VX+었/EP+고/EC+,/SP
자체	자체/NNG
검사에선	검사/NNG+에서/JKB+ㄴ/JX
문제가	문제/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
나왔다"고	나오/VV+았/EP+다/EF+"/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.406.6.1
한편 정부는 16일 '살충제 계란' 농가 4곳이 추가 확인됐다고 밝혔다.

한편	한편/MAG
정부는	정부/NNG+는/JX
16일	16/SN+일/NNB
'살충제	'/SS+살충제/NNG
계란'	계란/NNG+'/SS
농가	농가/NNG
4곳이	4/SN+곳/NNG+이/JKS
추가	추가/NNG
확인됐다고	확인/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.406.6.2
사람의 간·신장 등을 망가뜨릴 수 있어 사용 금지된 '피프로닐'이 1곳에서 나왔고, 나머지 3곳에선 발암 물질 '비펜트린'이 기준치를 넘겼다.

사람의	사람/NNG+의/JKG
간·신장	간/NNG+·/SP+신장/NNG
등을	등/NNB+을/JKO
망가뜨릴	망가뜨리/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
사용	사용/NNG
금지된	금지/NNG+되/XSV+ㄴ/ETM
'피프로닐'이	'/SS+피프로닐/NNG+'/SS+이/JKS
1곳에서	1/SN+곳/NNG+에서/JKB
나왔고,	나오/VV+았/EP+고/EC+,/SP
나머지	나머지/NNG
3곳에선	3/SN+곳/NNG+에서/JKB+ㄴ/JX
발암	발암/NNG
물질	물질/NNG
'비펜트린'이	'/SS+비펜트린/NNG+'/SS+이/JKS
기준치를	기준/NNG+치/XSN+를/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.406.6.3
피프로닐이 나온 농장은 강원 철원에 있는 지현농장으로 계란 껍데기에 '09지현'이 찍혀 있다.

피프로닐이	피프로닐/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
농장은	농장/NNG+은/JX
강원	강원/NNP
철원에	철원/NNP+에/JKB
있는	있/VA+는/ETM
지현농장으로	지현/NNP+농장/NNG+으로/JKB
계란	계란/NNG
껍데기에	껍데기/NNG+에/JKB
'09지현'이	'/SS+09/SN+지현/NNP+'/SS+이/JKS
찍혀	찍히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.406.6.4
비펜트린 계란엔 '08신선농장' '11시온' '13정화' 등이 적혀 있다.

비펜트린	비펜트린/NNG
계란엔	계란/NNG+에/JKB+ㄴ/JX
'08신선농장'	'/SS+08/SN+신선농장/NNP+'/SS
'11시온'	'/SS+11/SN+시온/NNG+'/SS
'13정화'	'/SS+13/SN+정화/NNG+'/SS
등이	등/NNB+이/JKS
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.406.7.1
정부는 기준치 초과 여부와 상관없이 살충제가 검출된 계란은 전량 회수·폐기하기로 했다.

정부는	정부/NNG+는/JX
기준치	기준/NNG+치/XSN
초과	초과/NNG
여부와	여부/NNG+와/JKB
상관없이	상관없이/MAG
살충제가	살충제/NNG+가/JKS
검출된	검출/NNG+되/XSV+ㄴ/ETM
계란은	계란/NNG+은/JX
전량	전량/NNG
회수·폐기하기로	회수/NNG+·/SP+폐기/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.406.7.2
적합 판정을 내린 농가 241곳에 대해서는 출하 중지를 풀었다.

적합	적합/NNG
판정을	판정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
농가	농가/NNG
241곳에	241/SN+곳/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
출하	출하/NNG
중지를	중지/NNG+를/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


