# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.40
metadata : {}


# id : NWRW1800000030.40.1.1
주룽지 前총리 인기 끌자… 中정부 인터넷 통제

주룽지	주룽지/NNP
총리의	총리/NNG+의/JKG
재임	재임/NNG
당시	당시/NNG
비공개	비/XPN+공개/NNG
연설과	연설/NNG+과/JC
발언	발언/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
'주룽지	'/SS+주룽지/NNP
강화실록'	강화/NNG+실록/NNG+'/SS
출판	출판/NNG
소식을	소식/NNG+을/JKO
전하면서	전하/VV+면서/EC
연설	연설/NNG
내용을	내용/NNG+을/JKO
3개	3/SN+개/NNB
면에	면/NNG+에/JKB
걸쳐	걸치/VV+어/EC
게재했다.	게재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.40.6.2
민영 신문들도 주 전 총리 책 출간 소식을 대대적으로 보도했다.

민영	민영/NNG
신문들도	신문/NNG+들/XSN+도/JX
주	주/NNP
전	전/MMD
총리	총리/NNG
책	책/NNG
출간	출간/NNG
소식을	소식/NNG+을/JKO
대대적으로	대대적/NNG+으로/JKB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.40.7.1
주 전 총리는 지난 1998년 취임 후 첫 정부 전체회의 연설에서 공무원들이 무사안일에 빠져 '예스맨'이 돼서는 안 된다면서 일하는 태도를 바꿀 것을 주문했다.

주	주/NNP
전	전/MMD
총리는	총리/NNG+는/JX
지난	지나/VV+ㄴ/ETM
1998년	1998/SN+년/NNB
취임	취임/NNG
후	후/NNG
첫	첫/MMN
정부	정부/NNG
전체회의	전체/NNG+회의/NNG
연설에서	연설/NNG+에서/JKB
공무원들이	공무원/NNG+들/XSN+이/JKS
무사안일에	무사안일/NNG+에/JKB
빠져	빠지/VV+어/EC
'예스맨'이	'/SS+예스맨/NNG+'/SS+이/JKC
돼서는	되/VV+어서/EC+는/JX
안	안/MAG
된다면서	되/VV+ㄴ다면서/EC
일하는	일/NNG+하/XSV+는/ETM
태도를	태도/NNG+를/JKO
바꿀	바꾸/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.40.7.2
2003년 퇴임 연설에서는 "많은 동지들이 부동산시장 과열의 위험을 의식하지 못하고 있다. 농민의 땅을 싼값에 빼앗아 그 위에 부동산 개발을 하는 식은 위험하다"고 경고했다.

2003년	2003/SN+년/NNB
퇴임	퇴임/NNG
연설에서는	연설/NNG+에서/JKB+는/JX
"많은	"/SS+많/VA+은/ETM
동지들이	동지/NNG+들/XSN+이/JKS
부동산시장	부동산/NNG+시장/NNG
과열의	과열/NNG+의/JKG
위험을	위험/NNG+을/JKO
의식하지	의식/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF
농민의	농민/NNG+의/JKG
땅을	땅/NNG+을/JKO
싼값에	싼값/NNG+에/JKB
빼앗아	빼앗/VV+아/EC
그	그/MMD
위에	위/NNG+에/JKB
부동산	부동산/NNG
개발을	개발/NNG+을/JKO
하는	하/VV+는/ETM
식은	식/NNB+은/JX
위험하다"고	위험/NNG+하/XSA+다/EF+"/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.40.7.3
지난 수년간 지방 정부의 무자비한 토지 수용과 농민들의 극단적 저항으로 중국이 겪고 있는 사회적 불안을 예고한 듯한 발언이었다.

지난	지나/VV+ㄴ/ETM
수년간	수년/NNG+간/XSN
지방	지방/NNG
정부의	정부/NNG+의/JKG
무자비한	무/XPN+자비/NNG+하/XSA+ㄴ/ETM
토지	토지/NNG
수용과	수용/NNG+과/JC
농민들의	농민/NNG+들/XSN+의/JKG
극단적	극단/NNG+적/XSN
저항으로	저항/NNG+으로/JKB
중국이	중국/NNP+이/JKS
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
사회적	사회/NNG+적/XSN
불안을	불안/NNG+을/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
발언이었다.	발언/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.40.8.1
그의 연설 내용은 중국판 트위터인 '웨이보(微博)'를 통해 빠르게 전파되면서 사이트별로 수천 건의 댓글이 달리는 등 네티즌들로부터 폭발적인 호응을 얻고 있다.

그의	그/NP+의/JKG
연설	연설/NNG
내용은	내용/NNG+은/JX
중국판	중국판/NNG
트위터인	트위터/NNP+이/VCP+ㄴ/ETM
'웨이보(微博)'를	'/SS+웨이보/NNP+(/SS+微博/SH+)/SS+'/SS+를/JKO
통해	통하/VV+아/EC
빠르게	빠르/VA+게/EC
전파되면서	전파/NNG+되/XSV+면서/EC
사이트별로	사이트/NNG+별/XSN+로/JKB
수천	수천/NR
건의	건/NNB+의/JKG
댓글이	댓글/NNG+이/JKS
달리는	달리/VV+는/ETM
등	등/NNB
네티즌들로부터	네티즌/NNG+들/XSN+로부터/JKB
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
호응을	호응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.40.8.2
'예스맨'이라는 말은 유행어가 될 정도이다.

'예스맨'이라는	'/SS+예스맨/NNG+'/SS+이/VCP+라는/ETM
말은	말/NNG+은/JX
유행어가	유행어/NNG+가/JKC
될	되/VV+ㄹ/ETM
정도이다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.40.8.3
그의 연설문을 실은 남방주말도 불티나게 팔려 가판대에서 매진되는 곳이 속출하고 있다.

그의	그/NP+의/JKG
연설문을	연설문/NNG+을/JKO
실은	싣/VV+은/ETM
남방주말도	남방주말/NNP+도/JX
불티나게	불티나/VV+게/EC
팔려	팔리/VV+어/EC
가판대에서	가판대/NNG+에서/JKB
매진되는	매진/NNG+되/XSV+는/ETM
곳이	곳/NNG+이/JKS
속출하고	속출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.40.9.1
◆60살 넘어 발탁돼

◆60살	◆/SW+60/SN+살/NNB
넘어	넘/VV+어/EC
발탁돼	발탁/NNG+되/XSV+어/EF


# id : NWRW1800000030.40.10.1
베이징 정가에서는 퇴임한 지 8년이 넘은 주 전 총리가 다시 화제가 되는 이유로 '후진타오(胡錦濤) 주석과 원자바오(溫家寶) 총리가 이끄는 현 최고지도부에 대한 불만의 표출'이라는 점을 꼽는다.

베이징	베이징/NNP
정가에서는	정가/NNG+에서/JKB+는/JX
퇴임한	퇴임/NNG+하/XSV+ㄴ/ETM
지	지/NNB
8년이	8/SN+년/NNB+이/JKS
넘은	넘/VV+은/ETM
주	주/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
다시	다시/MAG
화제가	화제/NNG+가/JKC
되는	되/VV+는/ETM
이유로	이유/NNG+로/JKB
'후진타오(胡錦濤)	'/SS+후진타오/NNP+(/SS+胡錦濤/SH+)/SS
주석과	주석/NNG+과/JC
원자바오(溫家寶)	원자바오/NNP+(/SS+溫家寶/SH+)/SS
이끄는	이끌/VV+는/ETM
현	현/MMD
최고지도부에	최고/NNG+지도부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불만의	불만/NNG+의/JKG
표출'이라는	표출/NNG+'/SS+이/VCP+라는/ETM
점을	점/NNG+을/JKO
꼽는다.	꼽/VV+는다/EF+./SF


# id : NWRW1800000030.40.10.2
재임기에 철혈재상이라고 불릴 정도로 과감하고 직설적이었던 그는 정부 개혁과 금융 개혁, 국영기업 구조조정 등을 저돌적으로 이끌었다.

재임기에	재임기/NNG+에/JKB
철혈재상이라고	철혈/NNG+재상/NNG+이/VCP+라고/EC
불릴	불리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
과감하고	과감하/VA+고/EC
직설적이었던	직설/NNG+적/XSN+이/VCP+었/EP+던/ETM
그는	그/NP+는/JX
정부	정부/NNG
개혁과	개혁/NNG+과/JC
금융	금융/NNG
개혁,	개혁/NNG+,/SP
국영기업	국영/NNG+기업/NNG
구조조정	구조/NNG+조정/NNG
등을	등/NNB+을/JKO
저돌적으로	저돌/NNG+적/XSN+으로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.40.10.3
이런 모습이 부동산 정책 실패와 국영 기업 개혁 퇴보, 부패 심화 등으로 불만을 사고 있는 현 정부와 크게 대비된다는 것이다.

이런	이런/MMD
모습이	모습/NNG+이/JKS
부동산	부동산/NNG
정책	정책/NNG
실패와	실패/NNG+와/JC
국영	국영/NNG
기업	기업/NNG
개혁	개혁/NNG
퇴보,	퇴보/NNG+,/SP
부패	부패/NNG
심화	심화/NNG
등으로	등/NNB+으로/JKB
불만을	불만/NNG+을/JKO
사고	사/VV+고/EC
있는	있/VX+는/ETM
현	현/MMD
정부와	정부/NNG+와/JKB
크게	크/VA+게/EC
대비된다는	대비/NNG+되/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.40.11.1
주 전 총리는 지난 2003년 퇴임 이후 8년간 철저한 은둔 생활로 대중 앞에 거의 모습을 나타내지 않았지만 올 들어서는 이례적으로 공개 석상에 자주 등장하며 과감한 현실 발언을 하고 있다.

주	주/NNP
전	전/MMD
총리는	총리/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
퇴임	퇴임/NNG
이후	이후/NNG
8년간	8/SN+년/NNB+간/XSN
철저한	철저/NNG+하/XSA+ㄴ/ETM
은둔	은둔/NNG
생활로	생활/NNG+로/JKB
대중	대중/NNG
앞에	앞/NNG+에/JKB
거의	거의/MAG
모습을	모습/NNG+을/JKO
나타내지	나타내/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
올	올/NNG
들어서는	들어서/VV+는/ETM
이례적으로	이례/NNG+적/XSN+으로/JKB
공개	공개/NNG
석상에	석상/NNG+에/JKB
자주	자주/MAG
등장하며	등장/NNG+하/XSV+며/EC
과감한	과감하/VA+ㄴ/ETM
현실	현실/NNG
발언을	발언/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.40.11.2
지난 4월 모교인 칭화(淸華)대 100주년을 맞아 학교를 방문한 자리에서 현 정부의 부동산정책과 교육정책 등을 신랄하게 비판하기도 했다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
모교인	모교/NNG+이/VCP+ㄴ/ETM
칭화(淸華)대	칭화/NNP+(/SS+淸華/SH+)/SS+대/NNG
100주년을	100/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
학교를	학교/NNG+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
현	현/MMD
정부의	정부/NNG+의/JKG
부동산정책과	부동산/NNG+정책/NNG+과/JC
교육정책	교육/NNG+정책/NNG
등을	등/NNB+을/JKO
신랄하게	신랄하/VA+게/EC
비판하기도	비판/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.40.12.1
중국 정부는 당혹스러워하며 인터넷 통제에 나서는 모습이다.

중국	중국/NNP
정부는	정부/NNG+는/JX
당혹스러워하며	당혹/NNG+스럽/XSA+어/EC+하/VX+며/EC
인터넷	인터넷/NNG
통제에	통제/NNG+에/JKB
나서는	나서/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.40.12.2
이날 오후 들어 중국 최대 검색 사이트인 바이두(百度) 등지에서는 주룽지 전 총리의 저서에 관한 검색 내용이 대폭 줄어드는 현상이 나타났다.

이날	이날/NNG
오후	오후/NNG
들어	들/VV+어/EC
중국	중국/NNP
최대	최대/NNG
검색	검색/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
바이두(百度)	바이두/NNP+(/SS+百度/SH+)/SS
등지에서는	등지/NNB+에서/JKB+는/JX
주룽지	주룽지/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
저서에	저서/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
내용이	내용/NNG+이/JKS
대폭	대폭/MAG
줄어드는	줄어들/VV+는/ETM
현상이	현상/NNG+이/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.40.13.1
60살이 넘은 나이에 덩샤오핑(鄧小平)에 의해 경제 전문가로 발탁된 주 전 총리는 1998년부터 부총리를 맡아 개혁·개방으로 갓 태어난 중국 경제를 반석 위에 올려놓은 인물이다.

60살이	60/SN+살/NNB+이/JKS
넘은	넘/VV+은/ETM
나이에	나이/NNG+에/JKB
덩샤오핑(鄧小平)에	덩샤오핑/NNP+(/SS+鄧小平/SH+)/SS+에/JKB
의해	의하/VV+아/EC
경제	경제/NNG
전문가로	전문가/NNG+로/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
주	주/NNP
전	전/MMD
총리는	총리/NNG+는/JX
1998년부터	1998/SN+년/NNB+부터/JX
부총리를	부총리/NNG+를/JKO
맡아	맡/VV+아/EC
개혁·개방으로	개혁/NNG+·/SP+개방/NNG+으로/JKB
갓	갓/MAG
태어난	태어나/VV+ㄴ/ETM
중국	중국/NNP
경제를	경제/NNG+를/JKO
반석	반석/NNG
위에	위/NNG+에/JKB
올려놓은	올려놓/VV+은/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.40.13.2
차관직 자리 230개를 없애는 등 과감한 정부 개혁을 단행하기도 했다.

차관직	차관직/NNG
자리	자리/NNG
230개를	230/SN+개/NNB+를/JKO
없애는	없애/VV+는/ETM
등	등/NNB
과감한	과감하/VA+ㄴ/ETM
정부	정부/NNG
개혁을	개혁/NNG+을/JKO
단행하기도	단행/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.40.13.3
관료 부패사건이 속출하자 "여기 100개의 관을 준비했다. 99개는 여러분의 것이고 남은 1개는 내 것"이라며 경고한 것으로도 유명하다.

관료	관료/NNG
부패사건이	부패/NNG+사건/NNG+이/JKS
속출하자	속출/NNG+하/XSV+자/EC
"여기	"/SS+여기/NP
100개의	100/SN+개/NNB+의/JKG
관을	관/NNG+을/JKO
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF
99개는	99/SN+개/NNB+는/JX
여러분의	여러분/NP+의/JKG
것이고	것/NNB+이/VCP+고/EC
남은	남/VV+은/ETM
1개는	1/SN+개/NNB+는/JX
내	나/NP+의/JKG
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
경고한	경고/NNG+하/XSV+ㄴ/ETM
것으로도	것/NNB+으로/JKB+도/JX
유명하다.	유명/NNG+하/XSA+다/EF+./SF


