# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.382
metadata : {}


# id : NWRW1800000021.382.1.1
[김화성 전문기자의 아하, 이맛!]청국장

[김화성	[/SS+김화성/NNP
된장은 오래 묵어 되직하다.

된장은	된장/NNG+은/JX
오래	오래/MAG
묵어	묵/VV+어/EC
되직하다.	되직하/VA+다/EF+./SF


# id : NWRW1800000021.382.5.9
끈적끈적하고 되니까 된장이다.

끈적끈적하고	끈적끈적/MAG+하/XSA+고/EC
되니까	되/VA+니까/EC
된장이다.	된장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.5.10
된장은 짜지만 청국장은 전혀 소금을 쓰지 않는다.

된장은	된장/NNG+은/JX
짜지만	짜/VA+지만/EC
청국장은	청국장/NNG+은/JX
전혀	전혀/MAG
소금을	소금/NNG+을/JKO
쓰지	쓰/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.382.5.11
된장은 보통 정월에 담가 100일 이상 숙성시켜 봄에 먹는다.

된장은	된장/NNG+은/JX
보통	보통/NNG
정월에	정월/NNG+에/JKB
담가	담그/VV+아/EC
100일	100/SN+일/NNB
이상	이상/NNG
숙성시켜	숙성/NNG+시키/XSV+어/EC
봄에	봄/NNG+에/JKB
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000021.382.6.1
청국장은 사나흘이면 먹을 수 있다.

청국장은	청국장/NNG+은/JX
사나흘이면	사나흘/NNG+이/VCP+면/EC
먹을	먹/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.382.6.2
그래서 ‘청국장이 장이냐, 거적문이 문이냐’라는 말이 나왔다.

그래서	그래서/MAJ
‘청국장이	‘/SS+청국장/NNG+이/JKS
장이냐,	장/NNG+이/VCP+냐/EF+,/SP
거적문이	거적문/NNG+이/JKS
문이냐’라는	문/NNG+이/VCP+냐/EF+’/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.382.6.3
‘파리가 새냐, 모기가 시조새냐’는 것이다.

‘파리가	‘/SS+파리/NNG+가/JKS
새냐,	새/NNG+이/VCP+냐/EF+,/SP
모기가	모기/NNG+가/JKS
시조새냐’는	시조새/NNG+이/VCP+냐/EF+’/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.6.4
청국장은 무르게 익힌 콩을 질그릇에 볏짚을 몇 가닥씩 깔면서 퍼 담는다.

청국장은	청국장/NNG+은/JX
무르게	무르/VA+게/EC
익힌	익히/VV+ㄴ/ETM
콩을	콩/NNG+을/JKO
질그릇에	질그릇/NNG+에/JKB
볏짚을	볏짚/NNG+을/JKO
몇	몇/NR
가닥씩	가닥/NNG+씩/XSN
깔면서	깔/VV+면서/EC
퍼	푸/VV+어/EC
담는다.	담/VV+는다/EF+./SF


# id : NWRW1800000021.382.6.5
질그릇 위엔 솜이불이나 담요를 덮어씌운다.

질그릇	질그릇/NNG
위엔	위/NNG+에/JKB+ㄴ/JX
솜이불이나	솜이불/NNG+이나/JC
담요를	담요/NNG+를/JKO
덮어씌운다.	덮어씌우/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.6.6
그 다음엔 그것을 뜨끈뜨끈한 아랫목에서 띄운다.

그	그/MMD
다음엔	다음/NNG+에/JKB+ㄴ/JX
그것을	그것/NP+을/JKO
뜨끈뜨끈한	뜨끈뜨끈/MAG+하/XSA+ㄴ/ETM
아랫목에서	아랫목/NNG+에서/JKB
띄운다.	띄우/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.7.1
아랫목엔 사기그릇에 담긴 아버지의 고봉밥도 꽃보자기에 덮여 있다.

아랫목엔	아랫목/NNG+에/JKB+ㄴ/JX
사기그릇에	사기그릇/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
아버지의	아버지/NNG+의/JKG
고봉밥도	고봉밥/NNG+도/JX
꽃보자기에	꽃보자기/NNG+에/JKB
덮여	덮이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.382.7.2
아버지는 늘 식구들이 잠든 뒤, 어둠을 밟고 온다.

아버지는	아버지/NNG+는/JX
늘	늘/MAG
식구들이	식구/NNG+들/XSN+이/JKS
잠든	잠들/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
어둠을	어둠/NNG+을/JKO
밟고	밟/VV+고/EC
온다.	오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.7.3
아버지의 몸에선 청국장 냄새가 난다.

아버지의	아버지/NNG+의/JKG
몸에선	몸/NNG+에서/JKB+ㄴ/JX
청국장	청국장/NNG
냄새가	냄새/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.7.4
아이들은 코를 감싸 쥐며 머리를 절레절레 흔든다.

아이들은	아이/NNG+들/XSN+은/JX
코를	코/NNG+를/JKO
감싸	감싸/VV+아/EC
쥐며	쥐/VV+며/EC
머리를	머리/NNG+를/JKO
절레절레	절레절레/MAG
흔든다.	흔들/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.8.1
볏짚은 메주나 청국장을 띄울 때 ‘마법의 열쇠’이다.

볏짚은	볏짚/NNG+은/JX
메주나	메주/NNG+나/JC
청국장을	청국장/NNG+을/JKO
띄울	띄우/VV+ㄹ/ETM
때	때/NNG
‘마법의	‘/SS+마법/NNG+의/JKG
열쇠’이다.	열쇠/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.8.2
볏짚에선 발효가 잘되게 하는 바실루스균이 산다.

볏짚에선	볏짚/NNG+에서/JKB+ㄴ/JX
발효가	발효/NNG+가/JKS
잘되게	잘/MAG+되/XSV+게/EC
하는	하/VX+는/ETM
바실루스균이	바실루스/NNG+균/NNG+이/JKS
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.8.3
그것들은 탱글탱글 콩콩통통 튀는 노란 콩들을, 능글능글 뉘엿뉘엿 곰삭게 만든다.

그것들은	그것/NP+들/XSN+은/JX
탱글탱글	탱글탱글/MAG
콩콩통통	콩콩/MAG+통통/MAG
튀는	튀/VV+는/ETM
노란	노랗/VA+ㄴ/ETM
콩들을,	콩/NNG+들/XSN+을/JKO+,/SP
능글능글	능글능글/MAG
뉘엿뉘엿	뉘엿뉘엿/MAG
곰삭게	곰삭/VV+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.8.4
콩과 콩 사이에서 나무늘보처럼 느릿느릿 세월의 이끼를 깐다.

콩과	콩/NNG+과/JC
콩	콩/NNG
사이에서	사이/NNG+에서/JKB
나무늘보처럼	나무늘보/NNG+처럼/JKB
느릿느릿	느릿느릿/MAG
세월의	세월/NNG+의/JKG
이끼를	이끼/NNG+를/JKO
깐다.	깔/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.9.1
일본 청국장 낫토는 작은 흰콩만 쓴다.

일본	일본/NNP
청국장	청국장/NNG
낫토는	낫토/NNG+는/JX
작은	작/VA+은/ETM
흰콩만	흰콩/NNG+만/JX
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.9.2
바실루스균 중에서도 ‘콕 집어’ 낫토균만 쓴다.

바실루스균	바실루스/NNG+균/NNG
중에서도	중/NNB+에서/JKB+도/JX
‘콕	‘/SS+콕/MAG
집어’	집/VV+어/EC+’/SS
낫토균만	낫토/NNG+균/NNG+만/JX
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.9.3
아예 다른 균은 못 들어오도록 포장된 그릇에서 발효시킨다.

아예	아예/MAG
다른	다른/MMD
균은	균/NNG+은/JX
못	못/MAG
들어오도록	들어오/VV+도록/EC
포장된	포장/NNG+되/XSV+ㄴ/ETM
그릇에서	그릇/NNG+에서/JKB
발효시킨다.	발효/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.9.4
맛이 늘 일정할 수밖에 없다.

맛이	맛/NNG+이/JKS
늘	늘/MAG
일정할	일정/NNG+하/XSA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.382.9.5
우리 청국장은 흰콩 검은콩 따지지 않는다.

우리	우리/NP
청국장은	청국장/NNG+은/JX
흰콩	흰콩/NNG
검은콩	검은콩/NNG
따지지	따지/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.382.9.6
볏짚의 바실루스균과 공기 중 바실루스균이 마구 뒤섞인다.

볏짚의	볏짚/NNG+의/JKG
바실루스균과	바실루스/NNG+균/NNG+과/JC
공기	공기/NNG
중	중/NNB
바실루스균이	바실루스/NNG+균/NNG+이/JKS
마구	마구/MAG
뒤섞인다.	뒤섞이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.9.7
누가, 언제, 어떻게 담갔는가에 따라 맛이 제각각이다.

누가,	누구/NP+가/JKS+,/SP
언제,	언제/NP+,/SP
어떻게	어떻/VA+게/EC
담갔는가에	담그/VV+았/EP+는가/EF+에/JKB
따라	따르/VV+아/EC
맛이	맛/NNG+이/JKS
제각각이다.	제각각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.9.8
냄새도 코를 찌른다.

냄새도	냄새/NNG+도/JX
코를	코/NNG+를/JKO
찌른다.	찌르/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.9.9
낫토는 주로 생으로 먹지만 우리 청국장은 생으로도, 끓여서도 먹는다.

낫토는	낫토/NNG+는/JX
주로	주로/MAG
생으로	생/NNG+으로/JKB
먹지만	먹/VV+지만/EC
우리	우리/NP
청국장은	청국장/NNG+은/JX
생으로도,	생/NNG+으로/JKB+도/JX+,/SP
끓여서도	끓이/VV+어서/EC+도/JX
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000021.382.9.10
낫토는 인공적이고 규격화됐지만 청국장은 자연적이고 제멋대로이다.

낫토는	낫토/NNG+는/JX
인공적이고	인공/NNG+적/XSN+이/VCP+고/EC
규격화됐지만	규격/NNG+화/XSN+되/XSV+었/EP+지만/EC
청국장은	청국장/NNG+은/JX
자연적이고	자연/NNG+적/XSN+이/VCP+고/EC
제멋대로이다.	제멋대로/MAG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.9.11
청국장에선 늘 쭈글쭈글한 할머니 냄새가 난다.

청국장에선	청국장/NNG+에서/JKB+ㄴ/JX
늘	늘/MAG
쭈글쭈글한	쭈글쭈글/MAG+하/XSA+ㄴ/ETM
할머니	할머니/NNG
냄새가	냄새/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.9.12
청국장 맛있는 집엔 대부분 할머니가 주방장이다.

청국장	청국장/NNG
맛있는	맛있/VA+는/ETM
집엔	집/NNG+에/JKB+ㄴ/JX
대부분	대/XPN+부분/NNG
할머니가	할머니/NNG+가/JKS
주방장이다.	주방장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.10.1
냄새 없는 청국장으로 유명한 서울 종로구 안국동 별궁식당(02-736-2176), 경상도식 청국장 송파구 가락동 문경집(02-443-6653), 걸쭉한 맛의 성북구 성북동 할매청국장(02-743-8104), 24시간 북적이는 강남구 신사동 먹자골목의 전주청국장(02-541-3579), 청국장 전문점인데도 엉뚱한 이름을 가진, 서울 한복판 종로구 사직동의 허름하고 소박한 사직분식(02-736-0598).

냄새	냄새/NNG
없는	없/VA+는/ETM
청국장으로	청국장/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
서울	서울/NNP
종로구	종로구/NNP
안국동	안국동/NNP
별궁식당(02-736-2176),	별궁식당/NNP+(/SS+02/SN+-/SO+736/SN+-/SO+2176/SN+)/SS+,/SP
경상도식	경상도식/NNG
청국장	청국장/NNG
송파구	송파구/NNP
가락동	가락동/NNP
문경집(02-443-6653),	문경집/NNP+(/SS+02/SN+-/SO+443/SN+-/SO+6653/SN+)/SS+,/SP
걸쭉한	걸쭉하/VA+ㄴ/ETM
맛의	맛/NNG+의/JKG
성북구	성북구/NNP
성북동	성북동/NNP
할매청국장(02-743-8104),	할매청국장/NNP+(/SS+02/SN+-/SO+743/SN+-/SO+8104/SN+)/SS+,/SP
24시간	24/SN+시간/NNB
북적이는	북적이/VV+는/ETM
강남구	강남구/NNP
신사동	신사동/NNP
먹자골목의	먹자골목/NNG+의/JKG
전주청국장(02-541-3579),	전주청국장/NNP+(/SS+02/SN+-/SO+541/SN+-/SO+3579/SN+)/SS+,/SP
전문점인데도	전문점/NNG+이/VCP+ㄴ데/EC+도/JX
엉뚱한	엉뚱하/VA+ㄴ/ETM
이름을	이름/NNG+을/JKO
가진,	가지/VV+ㄴ/ETM+,/SP
한복판	한/XPN+복판/NNG
사직동의	사직동/NNP+의/JKG
허름하고	허름하/VA+고/EC
소박한	소박하/VA+ㄴ/ETM
사직분식(02-736-0598).	사직분식/NNP+(/SS+02/SN+-/SO+736/SN+-/SO+0598/SN+)/SS+./SF


# id : NWRW1800000021.382.10.2
허영만 화백의 ‘식객’에도 등장했으며 뚝배기가 아닌 국그릇에 청국장을 담아 준다.

허영만	허영만/NNP
화백의	화백/NNG+의/JKG
‘식객’에도	‘/SS+식객/NNP+’/SS+에/JKB+도/JX
등장했으며	등장/NNG+하/XSV+았/EP+으며/EC
뚝배기가	뚝배기/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
국그릇에	국그릇/NNG+에/JKB
청국장을	청국장/NNG+을/JKO
담아	담/VV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.382.10.3
디포리 육수에 맛이 심심하고 구수한 서초구 서초동 진주청국장(02-525-6919), 서대문구 홍은동 할머니토종청국장(02-395-1362), 우렁각시집이라고 불리는 성북동 신신식당(02-929-2913), 강남구 논현동 두산청국장(02-542-5985)….

디포리	디포리/NNG
육수에	육수/NNG+에/JKB
맛이	맛/NNG+이/JKS
심심하고	심심하/VA+고/EC
구수한	구수하/VA+ㄴ/ETM
서초구	서초구/NNP
서초동	서초동/NNP
진주청국장(02-525-6919),	진주청국장/NNP+(/SS+02/SN+-/SO+525/SN+-/SO+6919/SN+)/SS+,/SP
서대문구	서대문구/NNP
홍은동	홍은동/NNP
할머니토종청국장(02-395-1362),	할머니토종청국장/NNP+(/SS+02/SN+-/SO+395/SN+-/SO+1362/SN+)/SS+,/SP
우렁각시집이라고	우렁/NNG+각시/NNG+집/NNG+이/VCP+라고/EC
불리는	불리/VV+는/ETM
성북동	성북동/NNP
신신식당(02-929-2913),	신신식당/NNP+(/SS+02/SN+-/SO+929/SN+-/SO+2913/SN+)/SS+,/SP
강남구	강남구/NNP
논현동	논현동/NNP
두산청국장(02-542-5985)….	두산청국장/NNP+(/SS+02/SN+-/SO+542/SN+-/SO+5985/SN+)/SS+…/SE+./SF


# id : NWRW1800000021.382.11.1
된장이나 청국장은 다른 것들과 다투지 않는다.

된장이나	된장/NNG+이나/JC
청국장은	청국장/NNG+은/JX
다른	다른/MMD
것들과	것/NNB+들/XSN+과/JKB
다투지	다투/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.382.11.2
늙은 어머니처럼 모든 걸 내준다.

늙은	늙/VV+은/ETM
어머니처럼	어머니/NNG+처럼/JKB
모든	모든/MMN
걸	거/NNB+ㄹ/JKO
내준다.	내주/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.11.3
신 김치, 무, 대파, 양파, 마늘, 고추, 호박, 버섯, 시래기, 두부, 조개류, 멸치 등 그 어느 것도 마다하지 않고 모조리 품에 안는다.

신	시/VA+ㄴ/ETM
김치,	김치/NNG+,/SP
무,	무/NNG+,/SP
대파,	대파/NNG+,/SP
양파,	양파/NNG+,/SP
마늘,	마늘/NNG+,/SP
고추,	고추/NNG+,/SP
호박,	호박/NNG+,/SP
버섯,	버섯/NNG+,/SP
시래기,	시래기/NNG+,/SP
두부,	두부/NNG+,/SP
조개류,	조개/NNG+류/XSN+,/SP
멸치	멸치/NNG
등	등/NNB
그	그/MMD
어느	어느/MMD
것도	것/NNB+도/JX
마다하지	마다하/VV+지/EC
않고	않/VX+고/EC
모조리	모조리/MAG
품에	품/NNG+에/JKB
안는다.	안/VV+는다/EF+./SF


# id : NWRW1800000021.382.11.4
심지어 톡 쏘는 홍어회가 청국장에 들어가면 홍어애탕 맛이 나는 ‘홍어 샤부샤부’가 된다.

심지어	심지어/MAG
톡	톡/MAG
쏘는	쏘/VV+는/ETM
홍어회가	홍어회/NNG+가/JKS
청국장에	청국장/NNG+에/JKB
들어가면	들어가/VV+면/EC
홍어애탕	홍어애탕/NNG
맛이	맛/NNG+이/JKS
나는	나/VV+는/ETM
‘홍어	‘/SS+홍어/NNG
샤부샤부’가	샤부샤부/NNG+’/SS+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.12.1
인삼도 청국장에 들어가면 홍삼으로 바뀐다.

인삼도	인삼/NNG+도/JX
청국장에	청국장/NNG+에/JKB
들어가면	들어가/VV+면/EC
홍삼으로	홍삼/NNG+으로/JKB
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.12.2
경기도보건환경연구원은 6년산 인삼가루와 콩을 4시간쯤 찐 후 이를 48시간 발효시켜 청국장을 만들었다.

경기도보건환경연구원은	경기도보건환경연구원/NNP+은/JX
6년산	6/SN+년/NNB+산/XSN
인삼가루와	인삼/NNG+가루/NNG+와/JC
콩을	콩/NNG+을/JKO
4시간쯤	4/SN+시간/NNB+쯤/XSN
찐	찌/VV+ㄴ/ETM
후	후/NNG
이를	이/NP+를/JKO
48시간	48/SN+시간/NNB
발효시켜	발효/NNG+시키/XSV+어/EC
청국장을	청국장/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.382.12.3
그 결과 그 청국장에서 홍삼이나 산삼에만 있는 특정 사포닌 성분(항암효과 탁월)이 발견됐다.

그	그/MMD
결과	결과/NNG
청국장에서	청국장/NNG+에서/JKB
홍삼이나	홍삼/NNG+이나/JC
산삼에만	산삼/NNG+에/JKB+만/JX
있는	있/VA+는/ETM
특정	특정/NNG
사포닌	사포닌/NNG
성분(항암효과	성분/NNG+(/SS+항암/NNG+효과/NNG
탁월)이	탁월/XR+)/SS+이/JKS
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.382.12.4
인삼이 홍삼으로 변한 것이다.

인삼이	인삼/NNG+이/JKS
홍삼으로	홍삼/NNG+으로/JKB
변한	변하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.12.5
더구나 청국장은 전혀 냄새가 나지 않았다.

더구나	더구나/MAG
청국장은	청국장/NNG+은/JX
전혀	전혀/MAG
냄새가	냄새/NNG+가/JKS
나지	나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.382.12.6
인삼과 청국장이 ‘윈윈 상생’해 전혀 다른 ‘홍삼청국장’이 돼 버렸다.

인삼과	인삼/NNG+과/JC
청국장이	청국장/NNG+이/JKS
‘윈윈	‘/SS+윈윈/NNG
상생’해	상생/NNG+’/SS+하/XSV+아/EC
전혀	전혀/MAG
다른	다른/MMD
‘홍삼청국장’이	‘/SS+홍삼/NNG+청국장/NNG+’/SS+이/JKC
돼	되/VV+어/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.382.13.1
