# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.303
metadata : {}


# id : NWRW1800000024.303.1.1
“당당한 연설 눈에 선한데”…“아버지같은 분”

“당당한	“/SS+당당/MAG+하/XSA+ㄴ/ETM
“1971년	“/SS+1971/SN+년/NNB
대통령	대통령/NNG
선거	선거/NNG
때	때/NNG
서대문	서대문/NNP
홍제초등학교에서	홍제초등학교/NNP+에서/JKB
연설하는	연설/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
봤는데,	보/VV+았/EP+는데/EC+,/SP
그때부터	그때/NNG+부터/JX
지금까지	지금/NNG+까지/JX
김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
언제나	언제나/MAG
당당한	당당/MAG+하/XSA+ㄴ/ETM
모습이었다”고	모습/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
회고했다.	회고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.303.5.4
대학생 황의용(25)씨는 “노무현 전 대통령 서거 때 불편한 몸을 이끌고 영결식에 참여해 눈물 흘리는 걸 보면서 ‘정치적·인간적 의리란 저런 것이구나’라는 생각을 했다”며 “민주·통일·인권 등을 위해 앞장 섰던 김 전 대통령이 편안한 곳으로 가시게 해달라고 기도했다”고 말했다.

대학생	대학/NNG+생/XSN
황의용(25)씨는	황의용/NNP+(/SS+25/SN+)/SS+씨/NNB+는/JX
“노무현	“/SS+노무현/NNP
전	전/MMD
대통령	대통령/NNG
서거	서거/NNG
때	때/NNG
불편한	불편/NNG+하/XSA+ㄴ/ETM
몸을	몸/NNG+을/JKO
이끌고	이끌/VV+고/EC
영결식에	영결식/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
눈물	눈물/NNG
흘리는	흘리/VV+는/ETM
걸	거/NNB+ㄹ/JKO
보면서	보/VV+면서/EC
‘정치적·인간적	‘/SS+정치/NNG+적/XSN+·/SP+인간/NNG+적/XSN
의리란	의리/NNG+란/JX
저런	저런/MMD
것이구나’라는	것/NNB+이/VCP+구나/EF+’/SS+이/VCP+라는/ETM
생각을	생각/NNG+을/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“민주·통일·인권	“/SS+민주/NNG+·/SP+통일/NNG+·/SP+인권/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
앞장	앞장/NNG
섰던	서/VV+었/EP+던/ETM
김	김/NNP
대통령이	대통령/NNG+이/JKS
편안한	편안/NNG+하/XSA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
가시게	가시/VV+게/EC
해달라고	하/VX+아/EC+달/VX+라고/EC
기도했다”고	기도/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.303.6.1
한편, 이날 50개 종교·법조·교육·시민사회 단체 대표와 사회 원로 300여명은 서울광장에서 ‘김대중 전 대통령 시민추모위원회 결성’ 기자회견을 열었다.

한편,	한편/MAG+,/SP
이날	이날/NNG
50개	50/SN+개/NNB
종교·법조·교육·시민사회	종교/NNG+·/SP+법조/NNG+·/SP+교육/NNG+·/SP+시민/NNG+사회/NNG
단체	단체/NNG
대표와	대표/NNG+와/JC
사회	사회/NNG
원로	원로/NNG
300여명은	300/SN+여/XSN+명/NNB+은/JX
서울광장에서	서울광장/NNP+에서/JKB
‘김대중	‘/SS+김대중/NNP
전	전/MMD
대통령	대통령/NNG
시민추모위원회	시민/NNG+추모/NNG+위원회/NNG
결성’	결성/NNG+’/SS
기자회견을	기자/NNG+회견/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.303.6.2
추모위는 “‘행동하는 양심’이 돼, 김 전 대통령이 이룩한 민주주의, 인권, 평화의 업적을 기억하고 발전시키겠다”며 “시민들이 참여하는 추모위를 통해 추모행사, 남북화해 서명운동 등을 진행할 계획”이라고 밝혔다.

추모위는	추모위/NNG+는/JX
“‘행동하는	“/SS+‘/SS+행동/NNG+하/XSV+는/ETM
양심’이	양심/NNG+’/SS+이/JKC
돼,	되/VV+어/EC+,/SP
김	김/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
이룩한	이룩하/VV+ㄴ/ETM
민주주의,	민주주의/NNG+,/SP
인권,	인권/NNG+,/SP
평화의	평화/NNG+의/JKG
업적을	업적/NNG+을/JKO
기억하고	기억/NNG+하/XSV+고/EC
발전시키겠다”며	발전/NNG+시키/XSV+겠/EP+다/EF+”/SS+며/EC
“시민들이	“/SS+시민/NNG+들/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
추모위를	추모위/NNG+를/JKO
통해	통하/VV+아/EC
추모행사,	추모/NNG+행사/NNG+,/SP
남북화해	남북/NNP+화해/NNG
서명운동	서명/NNG+운동/NNG
등을	등/NNB+을/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


