# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.265
metadata : {}


# id : NWRW1800000054.265.1.1
[72회 청룡기 고교야구선수권] 청룡 만난 백호, 펄펄 날다

[72회	[/SS+72/SN+회/NNB
준우승으로	준/XPN+우승/NNG+으로/JKB
이끌었고	이끌/VV+었/EP+고/EC
3학년인	3/SN+학년/NNG+이/VCP+ㄴ/ETM
올해엔	올해/NNG+에/JKB+ㄴ/JX
대회	대회/NNG
MVP까지	MVP/SL+까지/JX
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.265.4.1
[서울고 6―3 경남고] 홀로 치고 받고 던졌음에도 무엇 하나 부족한 게 없었다.

[서울고	[/SS+서울고/NNP
6―3	6/SN+―/SS+3/SN
경남고]	경남고/NNP+]/SS
홀로	홀로/MAG
치고	치/VV+고/EC
받고	받/VV+고/EC
던졌음에도	던지/VV+었/EP+음/ETN+에/JKB+도/JX
무엇	무엇/NP
하나	하나/NR
부족한	부족/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.265.4.2
강백호는 청룡기 최다 우승팀(9회) 경남고와의 32강전에서 포수 겸 4번 타자로 출장, 팀이 5―2로 앞선 3회초 경남고의 투수 서준원을 상대로 우중간 담장을 넘기는 솔로 홈런(비거리 120m)을 터뜨렸다.

강백호는	강백호/NNP+는/JX
청룡기	청룡기/NNG
최다	최다/NNG
우승팀(9회)	우승/NNG+팀/NNG+(/SS+9/SN+회/NNB+)/SS
경남고와의	경남고/NNP+와/JKB+의/JKG
32강전에서	32/SN+강전/NNB+에서/JKB
포수	포수/NNG
겸	겸/NNB
4번	4/SN+번/NNB
타자로	타자/NNG+로/JKB
출장,	출장/NNG+,/SP
팀이	팀/NNG+이/JKS
5―2로	5/SN+―/SS+2/SN+로/JKB
앞선	앞서/VV+ㄴ/ETM
3회초	3/SN+회/NNB+초/NNB
경남고의	경남고/NNP+의/JKG
투수	투수/NNG
서준원을	서준원/NNP+을/JKO
상대로	상대/NNG+로/JKB
우중간	우중간/NNG
담장을	담장/NNG+을/JKO
넘기는	넘기/VV+는/ETM
솔로	솔로/NNG
홈런(비거리	홈런/NNG+(/SS+비거리/NNG
120m)을	120/SN+m/SW+)/SS+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.4.3
포수 마스크를 쓴 5회말 수비 땐 빠른 송구로 도루 저지까지 해냈다.

포수	포수/NNG
마스크를	마스크/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
5회말	5/SN+회/NNB+말/NNB
수비	수비/NNG
땐	때/NNG+ㄴ/JX
빠른	빠르/VA+ㄴ/ETM
송구로	송구/NNG+로/JKB
도루	도루/NNG
저지까지	저지/NNG+까지/JX
해냈다.	해내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.4.4
여기서 끝이 아니었다.

여기서	여기/NP+서/JKB
끝이	끝/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000054.265.4.5
팀이 6―3으로 앞선 7회말엔 마무리 투수로 등판해 3이닝 무실점(4탈삼진)으로 경기를 매듭지었다.

팀이	팀/NNG+이/JKS
6―3으로	6/SN+―/SS+3/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
7회말엔	7/SN+회/NNB+말/NNB+에/JKB+ㄴ/JX
마무리	마무리/NNG
투수로	투수/NNG+로/JKB
등판해	등판/NNG+하/XSV+아/EC
3이닝	3/SN+이닝/NNG
무실점(4탈삼진)으로	무/XPN+실점/NNG+(/SS+4/SN+탈삼진/NNG+)/SS+으로/JKB
경기를	경기/NNG+를/JKO
매듭지었다.	매듭짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.4.6
직구 최고 구속은 150㎞까지 찍었다.

직구	직구/NNG
최고	최고/NNG
구속은	구속/NNG+은/JX
150㎞까지	150/SN+㎞/SW+까지/JX
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.5.1
이날 투타에서 활약하며 '이도류(二刀流·칼 두 개를 휘두르는 검술)' 본능을 뽐낸 강백호는 "(경남고전이) 청룡기 초반 가장 중요한 경기라고 보고 열흘 전부터 준비했다"고 말했다.

이날	이날/NNG
투타에서	투타/NNG+에서/JKB
활약하며	활약/NNG+하/XSV+며/EC
'이도류(二刀流·칼	'/SS+이도류/NNG+(/SS+二刀流/SH+·/SP+칼/NNG
두	두/MMN
개를	개/NNB+를/JKO
휘두르는	휘두르/VV+는/ETM
검술)'	검술/NNG+)/SS+'/SS
본능을	본능/NNG+을/JKO
뽐낸	뽐내/VV+ㄴ/ETM
강백호는	강백호/NNP+는/JX
"(경남고전이)	"/SS+(/SS+경남고전/NNG+이/JKS+)/SS
청룡기	청룡기/NNG
초반	초반/NNG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
경기라고	경기/NNG+이/VCP+라고/EC
보고	보/VV+고/EC
열흘	열흘/NNG
전부터	전/NNG+부터/JX
준비했다"고	준비/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.265.6.1
[강릉고 3―1 신일고] 강릉고 2학년 좌완 신승윤은 올해 청룡기에서 첫 완투승을 거둔 투수로 기록됐다.

[강릉고	[/SS+강릉고/NNP
3―1	3/SN+―/SS+1/SN
신일고]	신일고/NNP+]/SS
강릉고	강릉고/NNP
2학년	2/SN+학년/NNG
좌완	좌완/NNG
신승윤은	신승윤/NNP+은/JX
올해	올해/NNG
청룡기에서	청룡기/NNG+에서/JKB
첫	첫/MMN
완투승을	완투/NNG+승/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
투수로	투수/NNG+로/JKB
기록됐다.	기록/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.6.2
신일고를 상대로 선발 등판한 그는 9이닝 동안 공 121개를 던지며 3피안타 4볼넷 1실점(6탈삼진)으로 팀의 3대1 승리를 이끌었다.

신일고를	신일고/NNP+를/JKO
상대로	상대/NNG+로/JKB
선발	선발/NNG
등판한	등판/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
9이닝	9/SN+이닝/NNG
동안	동안/NNG
공	공/NNG
121개를	121/SN+개/NNB+를/JKO
던지며	던지/VV+며/EC
3피안타	3/SN+피/XPN+안타/NNG
4볼넷	4/SN+볼넷/NNG
1실점(6탈삼진)으로	1/SN+실점/NNG+(/SS+6/SN+탈삼진/NNG+)/SS+으로/JKB
팀의	팀/NNG+의/JKG
3대1	3/SN+대/NNB+1/SN
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.6.3
178㎝, 75㎏으로 다소 작은 체격인 신승윤은 직구 평균 구속이 120㎞대 중후반에 머물렀지만 낮게 깔리는 안정적인 제구로 신일고 타선을 잠재웠다.

178㎝,	178/SN+㎝/SW+,/SP
75㎏으로	75/SN+㎏/SW+으로/JKB
다소	다소/MAG
작은	작/VA+은/ETM
체격인	체격/NNG+이/VCP+ㄴ/ETM
신승윤은	신승윤/NNP+은/JX
직구	직구/NNG
평균	평균/NNG
구속이	구속/NNG+이/JKS
120㎞대	120/SN+㎞/SW+대/XSN
중후반에	중후반/NNG+에/JKB
머물렀지만	머무르/VV+었/EP+지만/EC
낮게	낮/VA+게/EC
깔리는	깔리/VV+는/ETM
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
제구로	제구/NNG+로/JKB
신일고	신일고/NNP
타선을	타선/NNG+을/JKO
잠재웠다.	잠재우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.6.4
강릉고는 오는 9일 서울고와 16강전을 치른다.

강릉고는	강릉고/NNP+는/JX
오는	오/VV+는/ETM
9일	9/SN+일/NNB
서울고와	서울고/NNP+와/JC
16강전을	16/SN+강전/NNB+을/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.265.7.1
[덕수고 4―2 청주고]덕수고와 청주고가 2―2로 팽팽히 맞선 7회말 목동야구장 관중석에선 덕수고 응원가가 울려 퍼졌다.

[덕수고	[/SS+덕수고/NNP
4―2	4/SN+―/SS+2/SN
청주고]덕수고와	청주고/NNP+]/SS+덕수고/NNP+와/JC
청주고가	청주고/NNP+가/JKS
2―2로	2/SN+―/SS+2/SN+로/JKB
팽팽히	팽팽히/MAG
맞선	맞서/VV+ㄴ/ETM
7회말	7/SN+회/NNB+말/NNB
목동야구장	목동야구장/NNP
관중석에선	관중석/NNG+에서/JKB+ㄴ/JX
덕수고	덕수고/NNP
응원가가	응원가/NNG+가/JKS
울려	울리/VV+어/EC
퍼졌다.	퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.7.2
야구부 사랑으로 유명한 덕수고 동문들이었다.

야구부	야구부/NNG
사랑으로	사랑/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
덕수고	덕수고/NNP
동문들이었다.	동문/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.265.7.3
선배들의 기를 받은 덕수고 타선은 8회 공격에서 값진 2점을 뽑아내며 4대2 승리를 거머쥐었다.

선배들의	선배/NNG+들/XSN+의/JKG
기를	기/NNG+를/JKO
받은	받/VV+은/ETM
덕수고	덕수고/NNP
타선은	타선/NNG+은/JX
8회	8/SN+회/NNB
공격에서	공격/NNG+에서/JKB
값진	값지/VA+ㄴ/ETM
2점을	2/SN+점/NNB+을/JKO
뽑아내며	뽑아내/VV+며/EC
4대2	4/SN+대/NNB+2/SN
승리를	승리/NNG+를/JKO
거머쥐었다.	거머쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.7.4
후반기 주말리그에서 한 번도 등판하지 않았던 덕수고 우완 에이스 양창섭(3학년)은 이날 모습을 드러냈다.

후반기	후반기/NNG
주말리그에서	주말/NNG+리그/NNG+에서/JKB
한	한/MMN
번도	번/NNB+도/JX
등판하지	등판/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
덕수고	덕수고/NNP
우완	우완/NNG
에이스	에이스/NNG
양창섭(3학년)은	양창섭/NNP+(/SS+3/SN+학년/NNG+)/SS+은/JX
이날	이날/NNG
모습을	모습/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.7.5
8회 구원 등판한 그는 완벽한 완급 조절로 2이닝(무피안타 3탈삼진)을 틀어막으며 지난해 청룡기 우수투수상 수상자의 위엄을 보여줬다.

8회	8/SN+회/NNB
구원	구원/NNG
등판한	등판/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
완급	완급/NNG
조절로	조절/NNG+로/JKB
2이닝(무피안타	2/SN+이닝/NNG+(/SS+무/XPN+피/XPN+안타/NNG
3탈삼진)을	3/SN+탈삼진/NNG+)/SS+을/JKO
틀어막으며	틀어막/VV+으며/EC
지난해	지난해/NNG
청룡기	청룡기/NNG
우수투수상	우수/NNG+투수/NNG+상/NNG
수상자의	수상자/NNG+의/JKG
위엄을	위엄/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.265.7.6
양창섭은 "오랜 기간 쉬며 체력 관리를 했다. 비축했던 힘을 한껏 내서 대회 2연패를 달성하겠다"고 했다.

양창섭은	양창섭/NNP+은/JX
"오랜	"/SS+오랜/MMA
기간	기간/NNG
쉬며	쉬/VV+며/EC
체력	체력/NNG
관리를	관리/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF
비축했던	비축/NNG+하/XSV+았/EP+던/ETM
힘을	힘/NNG+을/JKO
한껏	한껏/MAG
내서	내/VV+어서/EC
대회	대회/NNG
2연패를	2/SN+연패/NNG+를/JKO
달성하겠다"고	달성/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ


# id : NWRW1800000054.265.8.1
[군산상고 7―2 충훈고] 청룡기 2회 우승(1982·1984) 경력의 군산상고는 안정된 투타 조합을 앞세워 충훈고를 7대2로 눌렀다.

[군산상고	[/SS+군산상고/NNP
7―2	7/SN+―/SS+2/SN
충훈고]	충훈고/NNP+]/SS
청룡기	청룡기/NNG
2회	2/SN+회/NNB
우승(1982·1984)	우승/NNG+(/SS+1982/SN+·/SP+1984/SN+)/SS
경력의	경력/NNG+의/JKG
군산상고는	군산상고/NNP+는/JX
안정된	안정/NNG+되/XSV+ㄴ/ETM
투타	투타/NNG
조합을	조합/NNG+을/JKO
앞세워	앞세우/VV+어/EC
충훈고를	충훈고/NNP+를/JKO
7대2로	7/SN+대/NNB+2/SN+로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.8.2
군산상고 선발 정영웅(3학년)이 5이닝 무실점 호투하며 승리투수가 됐다.

군산상고	군산상고/NNP
선발	선발/NNG
정영웅(3학년)이	정영웅/NNP+(/SS+3/SN+학년/NNG+)/SS+이/JKS
5이닝	5/SN+이닝/NNG
무실점	무/XPN+실점/NNG
호투하며	호투/NNG+하/XSV+며/EC
승리투수가	승리/NNG+투수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.8.3
투타를 겸업하는 임지훈(3학년)은 이날 5번 타순에 배치돼 2안타 3타점을 폭발시키며 팀 승리에 앞장섰다.

투타를	투타/NNG+를/JKO
겸업하는	겸업/NNG+하/XSV+는/ETM
임지훈(3학년)은	임지훈/NNP+(/SS+3/SN+학년/NNG+)/SS+은/JX
이날	이날/NNG
5번	5/SN+번/NNB
타순에	타순/NNG+에/JKB
배치돼	배치/NNG+되/XSV+어/EC
2안타	2/SN+안타/NNG
3타점을	3/SN+타점/NNG+을/JKO
폭발시키며	폭발/NNG+시키/XSV+며/EC
팀	팀/NNG
승리에	승리/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.8.4
오는 8일 16강에서 강호 덕수고와 맞붙는 석수철 군산상고 감독은 "고교 야구에선 어떤 일이든 벌어질 수 있다. 우리 팀만의 끈끈한 야구를 선보이겠다"고 했다.

오는	오/VV+는/ETM
8일	8/SN+일/NNB
16강에서	16/SN+강/NNB+에서/JKB
강호	강호/NNG
덕수고와	덕수고/NNP+와/JKB
맞붙는	맞붙/VV+는/ETM
석수철	석수철/NNP
군산상고	군산상고/NNP
감독은	감독/NNG+은/JX
"고교	"/SS+고교/NNG
야구에선	야구/NNG+에서/JKB+ㄴ/JX
어떤	어떤/MMD
일이든	일/NNG+이/VCP+든/EC
벌어질	벌어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF
우리	우리/NP
팀만의	팀/NNG+만/JX+의/JKG
끈끈한	끈끈하/VA+ㄴ/ETM
야구를	야구/NNG+를/JKO
선보이겠다"고	선보이/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


