# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.93
metadata : {}


# id : NWRW1800000032.93.1.1
“중동 민주화 바람 북에도 영향 줄것”미 스탠퍼드대 세미나

“중동	“/SS+중동/NNP
경수로	경수로/NNG
공사는	공사/NNG+는/JX
심각한	심각하/VA+ㄴ/ETM
안전상의	안전/NNG+상/XSN+의/JKG
우려를	우려/NNG+를/JKO
야기하고	야기/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“일부에서는	“/SS+일부/NNG+에서/JKB+는/JX
북한의	북한/NNP+의/JKG
핵무기보다	핵무기/NNG+보다/JKB
(영변	(/SS+영변/NNP
경수로)	경수로/NNG+)/SS
핵	핵/NNG
안전	안전/NNG
문제가	문제/NNG+가/JKS
더	더/MAG
긴급한	긴급/NNG+하/XSA+ㄴ/ETM
문제라고	문제/NNG+이/VCP+라고/EC
얘기하고	얘기/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.93.6.3
한편 유 장관은 자신의 딸 특채 문제와 관련해 “모든 걸 내 중심적으로 생각한 것”이라며 “내 잘못이고 내 책임”이라고 말했다.

한편	한편/MAG
유	유/NNP
장관은	장관/NNG+은/JX
자신의	자신/NNG+의/JKG
딸	딸/NNG
특채	특채/NNG
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“모든	“/SS+모든/MMN
걸	거/NNB+ㄹ/JKO
내	나/NP+의/JKG
중심적으로	중심/NNG+적/XSN+으로/JKB
생각한	생각/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“내	“/SS+나/NP+의/JKG
잘못이고	잘못/NNG+이/VCP+고/EC
책임”이라고	책임/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


