# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.60
metadata : {}


# id : NWRW1800000046.60.1.1
자연 그대로를 조각한 大家, 그의 소박함을 기리다

자연	자연/NNG
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.60.6.4
새의 형상을 매우 단순한 형태로 표현했다.

새의	새/NNG+의/JKG
형상을	형상/NNG+을/JKO
매우	매우/MAG
단순한	단순/NNG+하/XSA+ㄴ/ETM
형태로	형태/NNG+로/JKB
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.6.5
나뭇결이 그대로 살아 있는 목조 조각으로 빨랫방망이를 깎아 만든 것으로 알려졌다.

나뭇결이	나뭇결/NNG+이/JKS
그대로	그대로/MAG
살아	살/VV+아/EC
있는	있/VX+는/ETM
목조	목조/NNG
조각으로	조각/NNG+으로/JKB
빨랫방망이를	빨랫방망이/NNG+를/JKO
깎아	깎/VV+아/EC
만든	만들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.60.7.1
최태만 교수는 "여러 각도에서 감상하고, 작품의 바닥까지 보라"고 주문했다.

최태만	최태만/NNP
교수는	교수/NNG+는/JX
"여러	"/SS+여러/MMN
각도에서	각도/NNG+에서/JKB
감상하고,	감상/NNG+하/XSV+고/EC+,/SP
작품의	작품/NNG+의/JKG
바닥까지	바닥/NNG+까지/JX
보라"고	보/VV+라/EF+"/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.7.2
비대칭을 추구한 김종영의 조각은 보는 방향에 따라 입체감이 다르다.

비대칭을	비/XPN+대칭/NNG+을/JKO
추구한	추구/NNG+하/XSV+ㄴ/ETM
김종영의	김종영/NNP+의/JKG
조각은	조각/NNG+은/JX
보는	보/VV+는/ETM
방향에	방향/NNG+에/JKB
따라	따르/VV+아/EC
입체감이	입체감/NNG+이/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000046.60.7.3
7월 26일까지.

7월	7/SN+월/NNB
26일까지.	26/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000046.60.7.4
(02)880-9507

(02)880-9507	(/SS+02/SN+)/SS+880/SN+-/SO+9507/SN


# id : NWRW1800000046.60.8.1
서울 평창동 김종영미술관은 작가의 가족사, 성장 과정, 주요 활동 등을 통해 그의 삶을 재구성했다.

서울	서울/NNP
평창동	평창동/NNP
김종영미술관은	김종영미술관/NNP+은/JX
작가의	작가/NNG+의/JKG
가족사,	가족사/NNG+,/SP
성장	성장/NNG
과정,	과정/NNG+,/SP
주요	주요/NNG
활동	활동/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
그의	그/NP+의/JKG
삶을	삶/NNG+을/JKO
재구성했다.	재/XPN+구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.8.2
(02)3217-6484

(02)3217-6484	(/SS+02/SN+)/SS+3217/SN+-/SO+6484/SN


# id : NWRW1800000046.60.9.1
경기도 양주 시립 장욱진미술관에서는 김종영과 화가 장욱진(1917~1990)의 2인전이 열리고 있다.

경기도	경기도/NNP
양주	양주/NNP
시립	시립/NNG
장욱진미술관에서는	장욱진미술관/NNP+에서/JKB+는/JX
김종영과	김종영/NNP+과/JC
화가	화가/NNG
장욱진(1917~1990)의	장욱진/NNP+(/SS+1917/SN+~/SO+1990/SN+)/SS+의/JKG
2인전이	2인전/NNG+이/JKS
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.60.9.2
두 거장의 '심플 정신'을 재조명한 'simple 2015 장욱진과 김종영'전.

두	두/MMN
거장의	거장/NNG+의/JKG
'심플	'/SS+심플/NNG
정신'을	정신/NNG+'/SS+을/JKO
재조명한	재/XPN+조명/NNG+하/XSV+ㄴ/ETM
'simple	'/SS+simple/SL
2015	2015/SN
장욱진과	장욱진/NNP+과/JC
김종영'전.	김종영/NNP+'/SS+전/NA+./SF


# id : NWRW1800000046.60.9.3
군더더기를 뺀 간결한 형식 속에 본질을 담았다는 것이 둘의 공통점이다.

군더더기를	군더더기/NNG+를/JKO
뺀	빼/VV+ㄴ/ETM
간결한	간결하/VA+ㄴ/ETM
형식	형식/NNG
속에	속/NNG+에/JKB
본질을	본질/NNG+을/JKO
담았다는	담/VV+았/EP+다는/ETM
것이	것/NNB+이/JKS
둘의	둘/NR+의/JKG
공통점이다.	공통점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.60.9.4
장욱진의 유화 27점과 김종영의 조각 17점이 나왔다.

장욱진의	장욱진/NNP+의/JKG
유화	유화/NNG
27점과	27/SN+점/NNB+과/JC
김종영의	김종영/NNP+의/JKG
조각	조각/NNG
17점이	17/SN+점/NNB+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.9.5
비움의 미학에서 오는 여운이 짙다.

비움의	비우/VV+ㅁ/ETN+의/JKG
미학에서	미학/NNG+에서/JKB
오는	오/VV+는/ETM
여운이	여운/NNG+이/JKS
짙다.	짙/VA+다/EF+./SF


# id : NWRW1800000046.60.9.6
8월 16일까지.

8월	8/SN+월/NNB
16일까지.	16/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000046.60.9.7
(031)8082-4243

(031)8082-4243	(/SS+031/SN+)/SS+8082/SN+-/SO+4243/SN


