# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.329
metadata : {}


# id : NWRW1800000033.329.1.1
北전투기, 전술조치선 근접… 공군 대응출격

北전투기,	北/SH+전투기/NNG+,/SP
차례	차례/NNG
위협	위협/NNG
비행하다	비행/NNG+하/XSV+다/EC
아군	아군/NNG
전투기들이	전투기/NNG+들/XSN+이/JKS
출격하자	출격/NNG+하/XSV+자/EC
되돌아갔다”며	되돌아가/VV+았/EP+다/EF+”/SS+며/EC
“이후	“/SS+이후/NNG
특이한	특이/NNG+하/XSA+ㄴ/ETM
동향은	동향/NNG+은/JX
관측되지	관측/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.329.5.1
북한 전투기가 올 들어 TAL을 넘어 개성 상공까지 남하 비행한 것은 이례적이라고 이 관계자는 설명했다.

북한	북한/NNP
전투기가	전투기/NNG+가/JKS
올	올/NNG
들어	들/VV+어/EC
TAL을	TAL/SL+을/JKO
넘어	넘/VV+어/EC
개성	개성/NNP
상공까지	상공/NNG+까지/JX
남하	남하/NNG
비행한	비행/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이라고	이례/NNG+적/XSN+이/VCP+라고/EC
이	이/MMD
관계자는	관계자/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.329.5.2
군 정보당국에 따르면 북한은 올해 5월 중순 이후 전투기의 출격 횟수를 크게 늘렸다.

군	군/NNG
정보당국에	정보/NNG+당국/NNG+에/JKB
따르면	따르/VV+면/EC
북한은	북한/NNP+은/JX
올해	올해/NNG
5월	5/SN+월/NNB
중순	중순/NNG
이후	이후/NNG
전투기의	전투기/NNG+의/JKG
출격	출격/NNG
횟수를	횟수/NNG+를/JKO
크게	크/VA+게/EC
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.329.5.3
군 관계자는 “북한이 많게는 하루 50여 차례 전투기 출격훈련을 하고 이 중 두세 대가 TAL 인근까지 남하하기도 한다”고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
“북한이	“/SS+북한/NNP+이/JKS
많게는	많/VA+게/EC+는/JX
하루	하루/NNG
50여	50/SN+여/XSN
차례	차례/NNG
전투기	전투기/NNG
출격훈련을	출격/NNG+훈련/NNG+을/JKO
하고	하/VV+고/EC
이	이/MMD
중	중/NNB
두세	두세/MMN
대가	대/NNB+가/JKS
TAL	TAL/SL
인근까지	인근/NNG+까지/JX
남하하기도	남하/NNG+하/XSV+기/ETN+도/JX
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.329.6.1
군 당국은 북한 공군이 최근 하계 전투검열기간을 맞아 출격훈련을 활발히 하는 것으로 분석하면서도 만일의 사태에 철저히 대비하고 있다.

군	군/NNG
당국은	당국/NNG+은/JX
북한	북한/NNP
공군이	공군/NNG+이/JKS
최근	최근/MAG
하계	하계/NNG
전투검열기간을	전투/NNG+검열/NNG+기간/NNG+을/JKO
맞아	맞/VV+아/EC
출격훈련을	출격/NNG+훈련/NNG+을/JKO
활발히	활발히/MAG
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
분석하면서도	분석/NNG+하/XSV+면서/EC+도/JX
만일의	만일/NNG+의/JKG
사태에	사태/NNG+에/JKB
철저히	철저히/MAG
대비하고	대비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.329.6.2
국방부는 지난해 10월 국회 국방위원회에 제출한 국정감사 자료에서 북한 전투기의 서북도서 공격 시나리오를 상정해 관련 대책을 마련하고 있다고 밝힌 바 있다.

국방부는	국방부/NNG+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
국회	국회/NNG
국방위원회에	국방/NNG+위원회/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
국정감사	국정/NNG+감사/NNG
자료에서	자료/NNG+에서/JKB
북한	북한/NNP
전투기의	전투기/NNG+의/JKG
서북도서	서북/NNG+도서/NNG
공격	공격/NNG
시나리오를	시나리오/NNG+를/JKO
상정해	상정/NNG+하/XSV+아/EC
관련	관련/NNG
대책을	대책/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.329.7.1
합참 관계자는 “한국 공군이 질적 우세를 믿고 북한의 공중도발 가능성을 결코 배제해선 안 된다”며 “북한이 연평도 포격 직전 일제타격식(TOT) 사격훈련 등 도발 징후를 보였다.

합참	합참/NNG
관계자는	관계자/NNG+는/JX
“한국	“/SS+한국/NNP
공군이	공군/NNG+이/JKS
질적	질/NNG+적/XSN
우세를	우세/NNG+를/JKO
믿고	믿/VV+고/EC
북한의	북한/NNP+의/JKG
공중도발	공중/NNG+도발/NNG
가능성을	가능/NNG+성/XSN+을/JKO
결코	결코/MAG
배제해선	배제/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“북한이	“/SS+북한/NNP+이/JKS
연평도	연평도/NNP
포격	포격/NNG
직전	직전/NNG
일제타격식(TOT)	일제/NNG+타격식/NNG+(/SS+TOT/SL+)/SS
사격훈련	사격/NNG+훈련/NNG
등	등/NNB
도발	도발/NNG
징후를	징후/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.329.7.2
최근 북한 공군의 움직임도 이런 맥락에서 주시하고 있다”고 말했다.

최근	최근/MAG
북한	북한/NNP
공군의	공군/NNG+의/JKG
움직임도	움직임/NNG+도/JX
이런	이런/MMD
맥락에서	맥락/NNG+에서/JKB
주시하고	주시/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.329.8.1
:: 전술조치선 ::

::	:/SP+:/SP
전술조치선	전술/NNG+조치선/NNG


# id : NWRW1800000033.329.9.1
북한 전투기가 이륙 후 3∼5분 안에 수도권에 도달하는 위협 상황을 고려해 한국군이 군사분계선(MDL)과 서해 북방한계선(NLL)에서 20∼50km 떨어진 북쪽 상공에 가상으로 설정한 선.

북한	북한/NNP
전투기가	전투기/NNG+가/JKS
이륙	이륙/NNG
후	후/NNG
3∼5분	3/SN+∼/SO+5/SN+분/NNB
안에	안/NNG+에/JKB
수도권에	수도/NNG+권/XSN+에/JKB
도달하는	도달/NNG+하/XSV+는/ETM
위협	위협/NNG
상황을	상황/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
한국군이	한국군/NNG+이/JKS
군사분계선(MDL)과	군사/NNG+분계선/NNG+(/SS+MDL/SL+)/SS+과/JC
서해	서해/NNP
북방한계선(NLL)에서	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS+에서/JKB
20∼50km	20/SN+∼/SO+50/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
북쪽	북쪽/NNG
상공에	상공/NNG+에/JKB
가상으로	가상/NNG+으로/JKB
설정한	설정/NNG+하/XSV+ㄴ/ETM
선.	선/NNG+./SF


# id : NWRW1800000033.329.9.2
북한 전투기가 이 선을 넘거나 근접비행하면 한국 공군 전투기가 즉각 대응 발진하도록 돼 있다.

북한	북한/NNP
전투기가	전투기/NNG+가/JKS
이	이/MMD
선을	선/NNG+을/JKO
넘거나	넘/VV+거나/EC
근접비행하면	근접/NNG+비행/NNG+하/XSV+면/EC
한국	한국/NNP
공군	공군/NNG
즉각	즉각/MAG
대응	대응/NNG
발진하도록	발진/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


