# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.74
metadata : {}


# id : NWRW1800000021.74.1.1
[수도권]경인운하 해사부두 어디로…

[수도권]경인운하	[/SS+수도/NNG+권/XSN+]/SS+경인운하/NNP
국토부에 따르면 경인운하를 이용한 물동량 목표치는 2030년 기준으로 연간 △컨테이너 93만 TEU(1TEU는 20피트짜리 컨테이너 1개) △모래 1000만 t △자동차 6만 대 △철강재 57만 t △여객 63만 명 등이다.

국토부에	국토부/NNG+에/JKB
따르면	따르/VV+면/EC
경인운하를	경인운하/NNP+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
물동량	물동량/NNG
목표치는	목표/NNG+치/XSN+는/JX
2030년	2030/SN+년/NNB
기준으로	기준/NNG+으로/JKB
연간	연간/NNG
△컨테이너	△/SW+컨테이너/NNG
93만	93/SN+만/NR
TEU(1TEU는	TEU/SW+(/SS+1/SN+TEU/SW+는/JX
20피트짜리	20/SN+피트/NNB+짜리/XSN
컨테이너	컨테이너/NNG
1개)	1/SN+개/NNB+)/SS
△모래	△/SW+모래/NNG
1000만	1000/SN+만/NR
t	t/SW
△자동차	△/SW+자동차/NNG
6만	6/SN+만/NR
대	대/NNB
△철강재	△/SW+철강재/NNG
57만	57/SN+만/NR
△여객	△/SW+여객/NNG
63만	63/SN+만/NR
명	명/NNB
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.74.12.1
해사부두를 짓지 않으면 경인운하의 경제성이 크게 떨어지게 된다.

해사부두를	해사/NNG+부두/NNG+를/JKO
짓지	짓/VV+지/EC
않으면	않/VX+으면/EC
경인운하의	경인운하/NNP+의/JKG
경제성이	경제/NNG+성/XSN+이/JKS
크게	크/VA+게/EC
떨어지게	떨어지/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.74.12.2
게다가 김포터미널에서 취급하는 화물은 모래와 컨테이너뿐이어서 해사부두를 없애면 김포터미널의 기능도 축소될 수밖에 없다.

게다가	게다가/MAG
김포터미널에서	김포터미널/NNP+에서/JKB
취급하는	취급/NNG+하/XSV+는/ETM
화물은	화물/NNG+은/JX
모래와	모래/NNG+와/JC
컨테이너뿐이어서	컨테이너/NNG+뿐/JX+이/VCP+어서/EC
해사부두를	해사/NNG+부두/NNG+를/JKO
없애면	없애/VV+면/EC
김포터미널의	김포터미널/NNP+의/JKG
기능도	기능/NNG+도/JX
축소될	축소/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.74.13.1
해사부두를 경인운하에서 멀리 떨어진 곳에 지으면 모래를 육로로 다시 운송해야 해 물류비용이 늘어나고 경인운하의 건설 명분도 약해질 수 있다.

해사부두를	해사/NNG+부두/NNG+를/JKO
경인운하에서	경인운하/NNP+에서/JKB
멀리	멀리/MAG
떨어진	떨어지/VV+ㄴ/ETM
곳에	곳/NNG+에/JKB
지으면	짓/VV+으면/EC
모래를	모래/NNG+를/JKO
육로로	육로/NNG+로/JKB
다시	다시/MAG
운송해야	운송/NNG+하/XSV+아야/EC
해	하/VX+아/EC
물류비용이	물류비용/NNG+이/JKS
늘어나고	늘어나/VV+고/EC
경인운하의	경인운하/NNP+의/JKG
건설	건설/NNG
명분도	명분/NNG+도/JX
약해질	약하/VA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.74.14.1
국토부와 수자원공사는 해사부두를 지하화하고 차폐시설을 설치해 환경 피해를 최소화하겠다고 밝혔다.

국토부와	국토부/NNG+와/JC
수자원공사는	수자원공사/NNP+는/JX
해사부두를	해사/NNG+부두/NNG+를/JKO
지하화하고	지하/NNG+화/XSN+하/XSV+고/EC
차폐시설을	차폐/NNG+시설/NNG+을/JKO
설치해	설치/NNG+하/XSV+아/EC
환경	환경/NNG
피해를	피해/NNG+를/JKO
최소화하겠다고	최소/NNG+화/XSN+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


