# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.44
metadata : {}


# id : NWRW1800000033.44.1.1
전기車 사실상 실패 ‘충격’…하이브리드가 살길

전기車	전기/NNG+車/SH
모델이다.	모델/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.44.4.4
이 기간 하이브리드 차량의 판매량은 매년 100만 대를 웃돌 것으로 내다봤다.

이	이/MMD
기간	기간/NNG
하이브리드	하이브리드/NNG
차량의	차량/NNG+의/JKG
판매량은	판매량/NNG+은/JX
매년	매년/MAG
100만	100/SN+만/NR
대를	대/NNB+를/JKO
웃돌	웃돌/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.44.5.1
도요타는 가장 자신하는 가솔린 엔진 분야에서도 에너지 절감에 나선다.

도요타는	도요타/NNP+는/JX
가장	가장/MAG
자신하는	자신/NNG+하/XSV+는/ETM
가솔린	가솔린/NNG
엔진	엔진/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
에너지	에너지/NNG
절감에	절감/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.44.5.2
현재 ‘캠리’ 등에 들어가는 2.5L급 가솔린 엔진을 바탕으로 애킨슨 사이클과 직분사 시스템을 채택해 연료소비효율을 높이면서도 성능을 강화하는 것이 도요타의 목표다.

현재	현재/MAG
‘캠리’	‘/SS+캠리/NNP+’/SS
등에	등/NNB+에/JKB
들어가는	들어가/VV+는/ETM
2.5L급	2/SN+./SP+5/SN+L/SW+급/NNG
가솔린	가솔린/NNG
엔진을	엔진/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
애킨슨	애킨슨/NNP
사이클과	사이클/NNG+과/JC
직분사	직분사/NNG
시스템을	시스템/NNG+을/JKO
채택해	채택/NNG+하/XSV+아/EC
연료소비효율을	연료/NNG+소비/NNG+효율/NNG+을/JKO
높이면서도	높이/VV+면서/EC+도/JX
성능을	성능/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
도요타의	도요타/NNP+의/JKG
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.44.5.3
이 가솔린 엔진은 하이브리드 차량에도 들어간다.

이	이/MMD
가솔린	가솔린/NNG
엔진은	엔진/NNG+은/JX
하이브리드	하이브리드/NNG
차량에도	차량/NNG+에/JKB+도/JX
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.44.6.1
이에 반해 전기자동차에 대해서는 회의적인 시각을 밝혔다.

이에	이/NP+에/JKB
반해	반하/VV+아/EC
전기자동차에	전기/NNG+자동차/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
회의적인	회의/NNG+적/XSN+이/VCP+ㄴ/ETM
시각을	시각/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.44.6.2
이날 도요타가 선보인 고성능 콤팩트 전기차 ‘eQ’는 일본과 미국의 관공서나 공공기관 용도로 연간 100대 안팎에서 한정 생산할 계획이다.

이날	이날/NNG
도요타가	도요타/NNP+가/JKS
선보인	선보이/VV+ㄴ/ETM
고성능	고/XPN+성능/NNG
콤팩트	콤팩트/NNG
전기차	전기/NNG+차/NNG
‘eQ’는	‘/SS+eQ/SL+’/SS+는/JX
일본과	일본/NNP+과/JC
미국의	미국/NNP+의/JKG
관공서나	관공서/NNG+나/JC
공공기관	공공/NNG+기관/NNG
용도로	용도/NNG+로/JKB
연간	연간/NNG
100대	100/SN+대/NNB
안팎에서	안팎/NNG+에서/JKB
한정	한정/NNG
생산할	생산/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.44.6.3
eQ의 모태가 됐던 2010년 전기콘셉트카 ‘iQ’ 출시 당시만 해도 매년 수천 대씩 팔겠다던 전략을 대폭 수정한 셈이다.

eQ의	eQ/SL+의/JKG
모태가	모태/NNG+가/JKC
됐던	되/VV+었/EP+던/ETM
2010년	2010/SN+년/NNB
전기콘셉트카	전기/NNG+콘셉트카/NNG
‘iQ’	‘/SS+iQ/SL+’/SS
출시	출시/NNG
당시만	당시/NNG+만/JX
해도	하/VV+아도/EC
매년	매년/MAG
수천	수천/NR
대씩	대/NNB+씩/XSN
팔겠다던	팔/VV+겠/EP+다던/ETM
전략을	전략/NNG+을/JKO
대폭	대폭/MAG
수정한	수정/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.44.6.4
프리우스 개발을 이끌었던 우치야마다 다케시 도요타 부회장은 “현재 전기차 성능은 사회의 필요를 충족시키지 못하고 있다”면서 “짧은 주행거리, 비싼 가격, 긴 충전시간 등 3가지 문제점이 장애요인”이라고 지적했다.

프리우스	프리우스/NNP
개발을	개발/NNG+을/JKO
이끌었던	이끌/VV+었/EP+던/ETM
우치야마다	우치야마다/NNP
다케시	다케시/NNP
도요타	도요타/NNP
부회장은	부회장/NNG+은/JX
“현재	“/SS+현재/MAG
전기차	전기/NNG+차/NNG
성능은	성능/NNG+은/JX
사회의	사회/NNG+의/JKG
필요를	필요/NNG+를/JKO
충족시키지	충족/NNG+시키/XSV+지/EC
못하고	못하/VX+고/EC
있다”면서	있/VX+다/EF+”/SS+면서/EC
“짧은	“/SS+짧/VA+은/ETM
주행거리,	주행/NNG+거리/NNG+,/SP
비싼	비싸/VA+ㄴ/ETM
가격,	가격/NNG+,/SP
긴	길/VA+ㄴ/ETM
충전시간	충전/NNG+시간/NNG
등	등/NNB
3가지	3/SN+가지/NNB
문제점이	문제점/NNG+이/JKS
장애요인”이라고	장애/NNG+요인/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


