# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.118
metadata : {}


# id : NWRW1800000036.118.1.1
난 왜 ‘야동’에 관심 없지?‘성’스러운 고민 빠진 15살

난	나/NP+ㄴ/JX
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
주인공	주인공/NNG
대신	대신/NNG
‘나는	‘/SS+나/NP+는/JX
왜	왜/MAG
여자친구를	여자/NNG+친구/NNG+를/JKO
사귀지	사귀/VV+지/EC
않는가?’	않/VX+는가/EF+?/SF+’/SS
야한	야하/VA+ㄴ/ETM
비디오	비디오/NNG
따위에	따위/NNB+에/JKB
관심이	관심/NNG+이/JKS
없을까?’	없/VA+을까/EF+?/SF+’/SS
고민하는	고민/NNG+하/XSV+는/ETM
주인공이	주인공/NNG+이/JKS
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.118.7.3
여기에다 주인공의 머리를 통해 하이데거와 사르트르 같은 철학자들의 생각들까지 나온다.

여기에다	여기/NP+에다/JKB
주인공의	주인공/NNG+의/JKG
머리를	머리/NNG+를/JKO
통해	통하/VV+아/EC
하이데거와	하이데거/NNP+와/JC
사르트르	사르트르/NNP
같은	같/VA+은/ETM
철학자들의	철학자/NNG+들/XSN+의/JKG
생각들까지	생각/NNG+들/XSN+까지/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.118.7.4
그렇다고 따분한 책일 거라 지레 겁먹을 필요는 없다.

그렇다고	그렇/VA+다고/EC
따분한	따분하/VA+ㄴ/ETM
책일	책/NNG+이/VCP+ㄹ/ETM
거라	거/NNB+이/VCP+라/EC
지레	지레/MAG
겁먹을	겁먹/VV+을/ETM
필요는	필요/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.118.7.5
따분하긴커녕 풍자와 유머가 넘치는 ‘사랑 이야기’니까.

따분하긴커녕	따분하/VA+기/ETN+ㄴ/JX+커녕/JX
풍자와	풍자/NNG+와/JC
유머가	유머/NNG+가/JKS
넘치는	넘치/VV+는/ETM
‘사랑	‘/SS+사랑/NNG
이야기’니까.	이야기/NNG+’/SS+이/VCP+니까/EC+./SF


# id : NWRW1800000036.118.8.1
세바스티안은 변호사인 엄마와 단둘이 사는, 똑똑하고 잘생긴 열다섯살 남자아이다.

세바스티안은	세바스티안/NNP+은/JX
변호사인	변호사/NNG+이/VCP+ㄴ/ETM
엄마와	엄마/NNG+와/JKB
단둘이	단둘/NNG+이/JKS
사는,	살/VV+는/ETM+,/SP
똑똑하고	똑똑하/VA+고/EC
잘생긴	잘생기/VV+ㄴ/ETM
열다섯살	열다섯/NR+살/NNB
남자아이다.	남자아이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.118.8.2
다만 여자아이들보다도 키가 작기 때문에 ‘분재’라는 별명을 갖고 있다.

다만	다만/MAG
여자아이들보다도	여자아이/NNG+들/XSN+보다/JKB+도/JX
키가	키/NNG+가/JKS
작기	작/VA+기/ETN
때문에	때문/NNB+에/JKB
‘분재’라는	‘/SS+분재/NNG+’/SS+이/VCP+라는/ETM
별명을	별명/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.118.8.3
말싸움으로 늘 엄마를 이겨버리고, 엉뚱하지만 철학적인 질문으로 선생님들을 당혹시키는 세바스티안은 다른 남자아이들과 달리 운동장에서 고추 크기를 자랑하거나 함께 모여 자위행위를 하는 등에 별다른 관심이 없다.

말싸움으로	말싸움/NNG+으로/JKB
늘	늘/MAG
엄마를	엄마/NNG+를/JKO
이겨버리고,	이기/VV+어/EC+버리/VX+고/EC+,/SP
엉뚱하지만	엉뚱하/VA+지만/EC
철학적인	철학/NNG+적/XSN+이/VCP+ㄴ/ETM
질문으로	질문/NNG+으로/JKB
선생님들을	선생/NNG+님/XSN+들/XSN+을/JKO
당혹시키는	당혹/NNG+시키/XSV+는/ETM
세바스티안은	세바스티안/NNP+은/JX
다른	다른/MMD
남자아이들과	남자아이/NNG+들/XSN+과/JKB
달리	달리/MAG
운동장에서	운동장/NNG+에서/JKB
고추	고추/NNG
크기를	크기/NNG+를/JKO
자랑하거나	자랑/NNG+하/XSV+거나/EC
함께	함께/MAG
모여	모이/VV+어/EC
자위행위를	자위행위/NNG+를/JKO
하는	하/VV+는/ETM
등에	등/NNB+에/JKB
별다른	별다르/VA+ㄴ/ETM
관심이	관심/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.118.8.4
이런 그의 유일한 대화 상대는 동갑내기 사촌인 에바-마리.

이런	이런/MMD
그의	그/NP+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
대화	대화/NNG
상대는	상대/NNG+는/JX
동갑내기	동갑내기/NNG
사촌인	사촌/NNG+이/VCP+ㄴ/ETM
에바-마리.	에바/NNP+-/SO+마리/NNP+./SF


# id : NWRW1800000036.118.9.1
그러던 어느날 바로 그 에바-마리가 세바스티안에게 엄청난 고민거리를 던져준다.

그러던	그러/VV+던/ETM
어느날	어느/MMD+날/NNG
바로	바로/MAG
그	그/MMD
에바-마리가	에바/NNP+-/SO+마리/NNP+가/JKS
세바스티안에게	세바스티안/NNP+에게/JKB
엄청난	엄청나/VA+ㄴ/ETM
고민거리를	고민거리/NNG+를/JKO
던져준다.	던지/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.118.9.2
세바스티안에게 여자 분장을 하게 한 뒤 사진을 찍는 장난을 벌였는데, 그 뒤 ‘이런 장난을 싫어하지 않다니, 넌 혹시 동성애자가 아닐까?’ 의문을 제기한 것.

세바스티안에게	세바스티안/NNP+에게/JKB
여자	여자/NNG
분장을	분장/NNG+을/JKO
하게	하/VV+게/EC
한	하/VX+ㄴ/ETM
뒤	뒤/NNG
사진을	사진/NNG+을/JKO
찍는	찍/VV+는/ETM
장난을	장난/NNG+을/JKO
벌였는데,	벌이/VV+었/EP+는데/EC+,/SP
그	그/MMD
‘이런	‘/SS+이런/MMD
싫어하지	싫어하/VV+지/EC
않다니,	않/VX+다니/EC+,/SP
넌	너/NP+ㄴ/JX
혹시	혹시/MAG
동성애자가	동성애자/NNG+가/JKC
아닐까?’	아니/VCN+ㄹ까/EF+?/SF+’/SS
의문을	의문/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000036.118.9.3
그런데 문제는 성적 호기심이 거의 없는 세바스티안 스스로도 자신의 성 정체성을 알 수 없다는 것.

그런데	그런데/MAJ
문제는	문제/NNG+는/JX
성적	성/NNG+적/XSN
호기심이	호기심/NNG+이/JKS
거의	거의/MAG
없는	없/VA+는/ETM
세바스티안	세바스티안/NNP
스스로도	스스로/NNG+도/JX
자신의	자신/NNG+의/JKG
성	성/NNG
정체성을	정체/NNG+성/XSN+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000036.118.9.4
이때부터 자신의 성 정체성을 확인하고 싶어하는 세바스티안의 좌충우돌이 시작된다.

이때부터	이때/NNG+부터/JX
자신의	자신/NNG+의/JKG
성	성/NNG
정체성을	정체/NNG+성/XSN+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
세바스티안의	세바스티안/NNP+의/JKG
좌충우돌이	좌충우돌/NNG+이/JKS
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.118.9.5
여기에 엎친 데 덮친 격으로 우연히 보게 된 에바-마리의 ‘빨간 노트’ 속에서 자신을 성적으로 유혹하려 했던 에바-마리의 속마음을 알게 돼, 일은 더욱 복잡하게 꼬여간다.

여기에	여기/NP+에/JKB
엎친	엎치/VV+ㄴ/ETM
데	데/NNB
덮친	덮치/VV+ㄴ/ETM
격으로	격/NNB+으로/JKB
우연히	우연히/MAG
보게	보/VV+게/EC
된	되/VV+ㄴ/ETM
에바-마리의	에바/NNP+-/SO+마리/NNP+의/JKG
‘빨간	‘/SS+빨갛/VA+ㄴ/ETM
노트’	노트/NNG+’/SS
속에서	속/NNG+에서/JKB
자신을	자신/NNG+을/JKO
성적으로	성/NNG+적/XSN+으로/JKB
유혹하려	유혹/NNG+하/XSV+려/EC
했던	하/VX+았/EP+던/ETM
속마음을	속마음/NNG+을/JKO
알게	알/VV+게/EC
돼,	되/VV+어/EC+,/SP
일은	일/NNG+은/JX
더욱	더욱/MAG
복잡하게	복잡하/VA+게/EC
꼬여간다.	꼬이/VV+어/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.118.10.1
우리 사회와는 문화가 제법 다른 유럽 사회에서 쓰여진 책인데다, 억누를 수 없는 성적 호기심에 괴로워하는 것이 아니라 그 반대의 고민을 가진 소년의 이야기는 사뭇 낯설게 느껴질 수 있다.

우리	우리/NP
사회와는	사회/NNG+와/JKB+는/JX
문화가	문화/NNG+가/JKS
제법	제법/MAG
다른	다르/VA+ㄴ/ETM
유럽	유럽/NNP
사회에서	사회/NNG+에서/JKB
쓰여진	쓰이/VV+어/EC+지/VX+ㄴ/ETM
책인데다,	책/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX+,/SP
억누를	억누르/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
성적	성/NNG+적/XSN
호기심에	호기심/NNG+에/JKB
괴로워하는	괴로워하/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
그	그/MMD
반대의	반대/NNG+의/JKG
고민을	고민/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
소년의	소년/NNG+의/JKG
이야기는	이야기/NNG+는/JX
사뭇	사뭇/MAG
낯설게	낯설/VA+게/EC
느껴질	느끼/VV+어/EC+지/VX+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.118.10.2
그러나 청소년들의 생각은 어른들이 예단하는 것보다 훨씬 더 자유롭고 고차원적일 수 있다.

그러나	그러나/MAJ
청소년들의	청소년/NNG+들/XSN+의/JKG
생각은	생각/NNG+은/JX
어른들이	어른/NNG+들/XSN+이/JKS
예단하는	예단/NNG+하/XSV+는/ETM
것보다	것/NNB+보다/JKB
훨씬	훨씬/MAG
더	더/MAG
자유롭고	자유/NNG+롭/XSA+고/EC
고차원적일	고/XPN+차원/NNG+적/XSN+이/VCP+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.118.10.3
또 성 정체성에 대한 탐구는 자기 자신과 욕망, 타인과의 관계 등을 종합적으로 탐구해나가는 과정이기도 하다.

또	또/MAG
성	성/NNG
정체성에	정체/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
탐구는	탐구/NNG+는/JX
자기	자기/NNG
자신과	자신/NNG+과/JC
욕망,	욕망/NNG+,/SP
타인과의	타인/NNG+과/JKB+의/JKG
관계	관계/NNG
등을	등/NNB+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
탐구해나가는	탐구/NNG+하/XSV+아/EC+나가/VX+는/ETM
과정이기도	과정/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000036.118.10.4
그런 과정을 차분하게 풀어놓은 세바스티안의 이야기는 보편적인 성장소설의 미덕과 만나기도 한다.

그런	그런/MMD
과정을	과정/NNG+을/JKO
차분하게	차분하/VA+게/EC
풀어놓은	풀어놓/VV+은/ETM
세바스티안의	세바스티안/NNP+의/JKG
이야기는	이야기/NNG+는/JX
보편적인	보편/NNG+적/XSN+이/VCP+ㄴ/ETM
성장소설의	성장/NNG+소설/NNG+의/JKG
미덕과	미덕/NNG+과/JKB
만나기도	만나/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.118.11.1
무엇보다 어른들의 생각과 논리를 무조건적으로 받아들이지 않고 늘 주체적으로 생각해나가려 하는 세바스티안의 모습은 이야기에 신랄한 풍자와 유머를 더해준다.

무엇보다	무엇/NP+보다/JKB
어른들의	어른/NNG+들/XSN+의/JKG
생각과	생각/NNG+과/JC
논리를	논리/NNG+를/JKO
무조건적으로	무/XPN+조건/NNG+적/XSN+으로/JKB
받아들이지	받아들이/VV+지/EC
않고	않/VX+고/EC
늘	늘/MAG
주체적으로	주체/NNG+적/XSN+으로/JKB
생각해나가려	생각/NNG+하/XSV+아/EC+나가/VX+려/EC
하는	하/VX+는/ETM
세바스티안의	세바스티안/NNP+의/JKG
모습은	모습/NNG+은/JX
이야기에	이야기/NNG+에/JKB
신랄한	신랄하/VA+ㄴ/ETM
풍자와	풍자/NNG+와/JC
유머를	유머/NNG+를/JKO
더해준다.	더/MAG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


