# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.216
metadata : {}


# id : NWRW1800000046.216.1.1
日 야구 '대은 사마', 욘사마 인기 못잖네

日	日/SH
그는 현지 언론에 "내가 던지는 날은 항상 타선이 점수를 따준다"면서 "개인 성적보다는 팀 승리를 먼저 생각한다"고 말했다.

그는	그/NP+는/JX
현지	현지/NNG
언론에	언론/NNG+에/JKB
"내가	"/SS+내/NP+가/JKS
던지는	던지/VV+는/ETM
날은	날/NNG+은/JX
항상	항상/MAG
타선이	타선/NNG+이/JKS
점수를	점수/NNG+를/JKO
따준다"면서	따/VV+아/EC+주/VX+ㄴ다/EF+"/SS+면서/EC
"개인	"/SS+개인/NNG
성적보다는	성적/NNG+보다/JKB+는/JX
팀	팀/NNG
승리를	승리/NNG+를/JKO
먼저	먼저/MAG
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.216.8.3
롯데 타선은 이대은이 승리를 따낸 4경기에서 평균 6.75득점이라는 화끈한 지원을 하고 있다.

롯데	롯데/NNP
타선은	타선/NNG+은/JX
이대은이	이대은/NNP+이/JKS
승리를	승리/NNG+를/JKO
따낸	따내/VV+ㄴ/ETM
4경기에서	4/SN+경기/NNG+에서/JKB
평균	평균/NNG
6.75득점이라는	6/SN+./SP+75/SN+득점/NNG+이/VCP+라는/ETM
화끈한	화끈/MAG+하/XSA+ㄴ/ETM
지원을	지원/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.216.9.1
이대은(26)은 누구

이대은(26)은	이대은/NNP+(/SS+26/SN+)/SS+은/JX
누구	누구/NP


# id : NWRW1800000046.216.10.1
▲1989년 3월 23일 서울 출생(키 188㎝·몸무게 86㎏)

▲1989년	▲/SW+1989/SN+년/NNB
3월	3/SN+월/NNB
23일	23/SN+일/NNB
서울	서울/NNP
출생(키	출생/NNG+(/SS+키/NNG
188㎝·몸무게	188/SN+㎝/SW+·/SP+몸무게/NNG
86㎏)	86/SN+㎏/SW+)/SS


# id : NWRW1800000046.216.11.1
▲역삼초―경원중―신일고―2007년 시카고 컵스 입단

▲역삼초―경원중―신일고―2007년	▲/SW+역삼초/NNP+―/SS+경원중/NNP+―/SS+신일고/NNP+―/SS+2007/SN+년/NNB
시카고	시카고/NNP
컵스	컵스/NNP
입단	입단/NNG


# id : NWRW1800000046.216.12.1
▲2008~2014년 컵스 산하 마이너리그(통산 40승37패)

▲2008~2014년	▲/SW+2008/SN+~/SO+2014/SN+년/NNB
컵스	컵스/NNP
산하	산하/NNG
마이너리그(통산	마이너리그/NNG+(/SS+통산/NNG
40승37패)	40/SN+승/NNB+37/SN+패/NNB+)/SS


# id : NWRW1800000046.216.13.1
▲2015년~ 지바 롯데.

▲2015년~	▲/SW+2015/SN+년/NNB+~/SO
지바	지바/NNP
롯데.	롯데/NNP+./SF


# id : NWRW1800000046.216.13.2
연봉 5400만엔(약 4억9000만원)

연봉	연봉/NNG
5400만엔(약	5400/SN+만/NR+엔/NNB+(/SS+약/MMA
4억9000만원)	4/SN+억/NR+9000/SN+만/NR+원/NNB+)/SS


