# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.399
metadata : {}


# id : NWRW1800000030.399.1.1
[수도권II] [우리동네'보물'] (10) 파주 용미리 석불입상

[수도권II]	[/SS+수도/NNG+권/XSN+II/SL+]/SS
게	거/NNB+이/JKS
고려시대	고려/NNP+시대/NNG
제작된	제작/NNG+되/XSV+ㄴ/ETM
불상의	불상/NNG+의/JKG
모습이라는	모습/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.399.5.2
또한 다음과 같은 구체적인 전설도 고려시대에 제작된 것임을 뒷받침하고 있다.

또한	또한/MAG
다음과	다음/NNG+과/JKB
같은	같/VA+은/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
전설도	전설/NNG+도/JX
고려시대에	고려/NNP+시대/NNG+에/JKB
제작된	제작/NNG+되/XSV+ㄴ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
뒷받침하고	뒷받침/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.399.6.1
고려 13대 왕 선종(1049~1094)은 자식이 없어 원신궁주를 맞이했으나 여전히 왕자를 낳지 못했다.

고려	고려/NNP
13대	13/SN+대/NNB
왕	왕/NNG
선종(1049~1094)은	선종/NNP+(/SS+1049/SN+~/SO+1094/SN+)/SS+은/JX
자식이	자식/NNG+이/JKS
없어	없/VA+어/EC
원신궁주를	원신/NNP+궁주/NNG+를/JKO
맞이했으나	맞이하/VV+았/EP+으나/EC
여전히	여전히/MAG
왕자를	왕자/NNG+를/JKO
낳지	낳/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.399.6.2
이를 못내 걱정하던 궁주가 어느 날 밤 꿈을 꾸었는데 두 도승이 나타나 "우리는 장지산 남쪽 기슭 바위틈에 사는 사람들인데 매우 배가 고프니 먹을 것을 달라"하고 사라져 버렸다.

이를	이/NP+를/JKO
못내	못내/MAG
걱정하던	걱정/NNG+하/XSV+던/ETM
궁주가	궁주/NNG+가/JKS
어느	어느/MMD
날	날/NNG
밤	밤/NNG
꿈을	꿈/NNG+을/JKO
꾸었는데	꾸/VV+었/EP+는데/EC
두	두/MMN
도승이	도승/NNG+이/JKS
나타나	나타나/VV+아/EC
"우리는	"/SS+우리/NP+는/JX
장지산	장지산/NNP
남쪽	남쪽/NNG
기슭	기슭/NNG
바위틈에	바위틈/NNG+에/JKB
사는	살/VV+는/ETM
사람들인데	사람/NNG+들/XSN+이/VCP+ㄴ데/EC
매우	매우/MAG
배가	배/NNG+가/JKS
고프니	고프/VA+니/EC
먹을	먹/VV+을/ETM
것을	것/NNB+을/JKO
달라"하고	달/VV+라/EF+"/SS+하/VV+고/EC
사라져	사라지/VV+어/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.399.6.3
꿈에서 깨어난 궁주가 하도 이상하여 선종에게 고하자 선종은 곧 사람을 장지산에 보냈다.

꿈에서	꿈/NNG+에서/JKB
깨어난	깨어나/VV+ㄴ/ETM
궁주가	궁주/NNG+가/JKS
하도	하도/MAG
이상하여	이상/NNG+하/XSA+아/EC
선종에게	선종/NNP+에게/JKB
고하자	고하/VV+자/EC
선종은	선종/NNP+은/JX
곧	곧/MAG
사람을	사람/NNG+을/JKO
장지산에	장지산/NNP+에/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.399.6.4
한참 후 장지산에 다녀온 사람이 "장지산 아래에 큰 바위 두 개가 나란히 서 있다"고 전했다.

한참	한참/NNG
후	후/NNG
장지산에	장지산/NNP+에/JKB
다녀온	다녀오/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
"장지산	"/SS+장지산/NNP
아래에	아래/NNG+에/JKB
큰	크/VA+ㄴ/ETM
바위	바위/NNG
두	두/MMN
개가	개/NNB+가/JKS
나란히	나란히/MAG
서	서/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.399.6.5
이에 선종은 즉시 이 바위에 두 도승을 새기게 하고 절을 지어 불공을 드렸다.

이에	이/NP+에/JKB
선종은	선종/NNP+은/JX
즉시	즉시/NNG
이	이/MMD
바위에	바위/NNG+에/JKB
두	두/MMN
도승을	도승/NNG+을/JKO
새기게	새기/VV+게/EC
하고	하/VX+고/EC
절을	절/NNG+을/JKO
지어	짓/VV+어/EC
불공을	불공/NNG+을/JKO
드렸다.	드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.399.6.6
그러자 그 해에 왕자가 태어났다.

그러자	그러/VV+자/EC
그	그/MMD
해에	해/NNG+에/JKB
왕자가	왕자/NNG+가/JKS
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.399.7.1
하지만 이와 다른 주장도 있다.

하지만	하지만/MAJ
이와	이/NP+와/JKB
다른	다르/VA+ㄴ/ETM
주장도	주장/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.399.7.2
불상의 앞면에는 조선시대 초기 세조와 세조의 부인인 정희왕후의 극락왕생을 기원하는 명문이 새겨져 있다.

불상의	불상/NNG+의/JKG
앞면에는	앞면/NNG+에/JKB+는/JX
조선시대	조선시대/NNG
초기	초기/NNG
세조와	세조/NNP+와/JC
세조의	세조/NNP+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
정희왕후의	정희/NNP+왕후/NNG+의/JKG
극락왕생을	극락왕생/NNG+을/JKO
기원하는	기원/NNG+하/XSV+는/ETM
명문이	명문/NNG+이/JKS
새겨져	새기/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.399.7.3
이로 미루어 조선시대 때 만들어진 불상이라는 것이다.

이로	이/NP+로/JKB
미루어	미루/VV+어/EC
조선시대	조선시대/NNG
때	때/NNG
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
불상이라는	불상/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.399.8.1
용미리 석불입상은 언제 만들어진것인지에 대한 논란이 남아있지만 불상양식을 연구하는 중요한 사례로 평가된다.

용미리	용미리/NNP
석불입상은	석불/NNG+입상/NNG+은/JX
언제	언제/MAG
만들어진것인지에	만들/VV+어/EC+지/VX+ㄴ/ETM+것/NNB+이/VCP+ㄴ지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
논란이	논란/NNG+이/JKS
남아있지만	남/VV+아/EC+있/VX+지만/EC
불상양식을	불상/NNG+양식/NNG+을/JKO
연구하는	연구/NNG+하/XSV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
사례로	사례/NNG+로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.399.8.2
1963년 문화재청으로부터 보물 93호로 지정됐다.

1963년	1963/SN+년/NNB
문화재청으로부터	문화재청/NNG+으로부터/JKB
보물	보물/NNG
93호로	93/SN+호/NNB+로/JKB
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


