# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.336
metadata : {}


# id : NWRW1800000045.336.1.1
아베, 산케이 前지국장 불러 “고생했다” 위로

아베,	아베/NNP+,/SP
신문은 미국 주도의 한미일 외교차관 회담(16일), 아베 총리의 미국 방문 등을 앞둔 상황에서 한일관계 개선 노력을 미국 측에 보여주려는 한국 정부의 의중이 이번 조치에 깔려 있었다는 분석을 내놓았다.

신문은	신문/NNG+은/JX
미국	미국/NNP
주도의	주도/NNG+의/JKG
한미일	한미일/NNP
외교차관	외교/NNG+차관/NNG
회담(16일),	회담/NNG+(/SS+16/SN+일/NNB+)/SS+,/SP
아베	아베/NNP
총리의	총리/NNG+의/JKG
방문	방문/NNG
등을	등/NNB+을/JKO
앞둔	앞두/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
한일관계	한일/NNP+관계/NNG
개선	개선/NNG
노력을	노력/NNG+을/JKO
측에	측/NNB+에/JKB
보여주려는	보이/VV+어/EC+주/VX+려는/ETM
한국	한국/NNP
정부의	정부/NNG+의/JKG
의중이	의중/NNG+이/JKS
이번	이번/NNG
조치에	조치/NNG+에/JKB
깔려	깔리/VV+어/EC
있었다는	있/VX+었/EP+다는/ETM
분석을	분석/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.6.1
아사히신문은 “얼어붙은 한일관계를 더 악화시키지 않기 위한 대응이라는 시각이 많다”고 보도하며 “가토 전 지국장 재판의 향방에 따라 한일관계에 더 강한 그림자가 드리울 수 있다”고 내다봤다.

아사히신문은	아사히신문/NNP+은/JX
“얼어붙은	“/SS+얼어붙/VV+은/ETM
한일관계를	한일/NNP+관계/NNG+를/JKO
더	더/MAG
악화시키지	악화/NNG+시키/XSV+지/EC
않기	않/VX+기/ETN
위한	위하/VV+ㄴ/ETM
대응이라는	대응/NNG+이/VCP+라는/ETM
시각이	시각/NNG+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
보도하며	보도/NNG+하/XSV+며/EC
“가토	“/SS+가토/NNP
전	전/MMD
지국장	지국장/NNG
재판의	재판/NNG+의/JKG
향방에	향방/NNG+에/JKB
따라	따르/VV+아/EC
한일관계에	한일/NNP+관계/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
그림자가	그림자/NNG+가/JKS
드리울	드리우/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.7.1
산케이신문은 가토 씨의 귀국을 15일자 1면 머리기사로 소개하는 등 총 6개면에 걸쳐 관련 내용을 보도했다.

산케이신문은	산케이신문/NNP+은/JX
가토	가토/NNP
씨의	씨/NNB+의/JKG
귀국을	귀국/NNG+을/JKO
15일자	15/SN+일/NNB+자/NNG
1면	1/SN+면/NNG
머리기사로	머리기사/NNG+로/JKB
소개하는	소개/NNG+하/XSV+는/ETM
등	등/NNB
총	총/MMA
6개면에	6/SN+개/NNB+면/NNG+에/JKB
걸쳐	걸치/VV+어/EC
관련	관련/NNG
내용을	내용/NNG+을/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.7.2
사설에서는 “거듭 기소 철회를 요구한다”고 주장했다.

사설에서는	사설/NNG+에서/JKB+는/JX
“거듭	“/SS+거듭/MAG
기소	기소/NNG
철회를	철회/NNG+를/JKO
요구한다”고	요구/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


