# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.135
metadata : {}


# id : NWRW1800000046.135.1.1
"國軍포로 귀환 노력안한 국가 1억 배상"

"國軍포로	"/SS+國軍/SH+포로/NNG
한씨가	한/NNP+씨/NNB+가/JKS
북송되자	북송/NNG+되/XSV+자/EC
그가	그/NP+가/JKS
받았던	받/VV+았/EP+던/ETM
훈장을	훈장/NNG+을/JKO
국가에	국가/NNG+에/JKB
반납하기도	반납/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.135.7.1
당시 72세였던 한씨는 평안남도의 정치범 수용소에 수감됐고, 2009년 사망한 것으로 알려졌다.

당시	당시/NNG
72세였던	72/SN+세/NNB+이/VCP+었/EP+던/ETM
한씨는	한/NNP+씨/NNB+는/JX
평안남도의	평안남도/NNP+의/JKG
정치범	정치범/NNG
수용소에	수용소/NNG+에/JKB
수감됐고,	수감/NNG+되/XSV+었/EP+고/EC+,/SP
2009년	2009/SN+년/NNB
사망한	사망/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.135.7.2
이에 가족은 "외교부·국방부가 탈출 계획을 고지받고서도 제대로 대책을 세우지 않았고, 구출을 호소했는데도 무성의하게 대처했다"며 지난해 4월 소송을 냈다.

이에	이/NP+에/JKB
가족은	가족/NNG+은/JX
"외교부·국방부가	"/SS+외교부/NNG+·/SP+국방부/NNG+가/JKS
탈출	탈출/NNG
계획을	계획/NNG+을/JKO
고지받고서도	고지/NNG+받/XSV+고서/EC+도/JX
제대로	제대로/MAG
대책을	대책/NNG+을/JKO
세우지	세우/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
구출을	구출/NNG+을/JKO
호소했는데도	호소/NNG+하/XSV+았/EP+는데/EC+도/JX
무성의하게	무/XPN+성의/NNG+하/XSA+게/EC
대처했다"며	대처/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
지난해	지난해/NNG
4월	4/SN+월/NNB
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.135.8.1
재판 과정에서 정부의 안이한 대처 사실이 드러나기도 했다.

재판	재판/NNG
과정에서	과정/NNG+에서/JKB
정부의	정부/NNG+의/JKG
안이한	안이하/VA+ㄴ/ETM
대처	대처/NNG
사실이	사실/NNG+이/JKS
드러나기도	드러나/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.135.8.2
사건 당시 정부는 "중국으로부터 2004년 12월 30일 이전에 한씨를 북송했다는 내용의 전화를 받았다"고 밝혔는데, 실제 한씨는 2005년 1월 6일 북송된 것으로 조사됐다.

사건	사건/NNG
당시	당시/NNG
정부는	정부/NNG+는/JX
"중국으로부터	"/SS+중국/NNP+으로부터/JKB
2004년	2004/SN+년/NNB
12월	12/SN+월/NNB
30일	30/SN+일/NNB
이전에	이전/NNG+에/JKB
한씨를	한/NNP+씨/NNB+를/JKO
북송했다는	북송/NNG+하/XSV+았/EP+다는/ETM
내용의	내용/NNG+의/JKG
전화를	전화/NNG+를/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔는데,	밝히/VV+었/EP+는데/EC+,/SP
실제	실제/NNG
한씨는	한/NNP+씨/NNB+는/JX
2005년	2005/SN+년/NNB
1월	1/SN+월/NNB
6일	6/SN+일/NNB
북송된	북송/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.135.8.3
또 중국 주재 영사는 한씨를 구출해달라는 가족의 요청에도 한씨를 방문·면담하거나 교신을 시도한 적이 없었던 것으로 밝혀졌다.

또	또/MAG
중국	중국/NNP
주재	주재/NNG
영사는	영사/NNG+는/JX
한씨를	한/NNP+씨/NNB+를/JKO
구출해달라는	구출/NNG+하/XSV+아/EC+달/VX+라는/ETM
가족의	가족/NNG+의/JKG
요청에도	요청/NNG+에/JKB+도/JX
방문·면담하거나	방문/NNG+·/SP+면담/NNG+하/XSV+거나/EC
교신을	교신/NNG+을/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없었던	없/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


