# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.223
metadata : {}


# id : NWRW1800000032.223.1.1
여성폭력피해 쉼터 이용자 정보 /‘정부 전산망 5년 보관’ 갈등 지속

여성폭력피해	여성/NNG+폭력/NNG+피해/NNG
“개인정보를	“/SS+개인/NNG+정보/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
싶지	싶/VX+지/EC
않지만	않/VX+지만/EC
쉼터	쉼터/NNG
외에는	외/NNB+에/JKB+는/JX
갈	가/VV+ㄹ/ETM
곳이	곳/NNG+이/JKS
없기	없/VA+기/ETN
때문”을	때문/NNB+”/SS+을/JKO
이유로	이유/NNG+로/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.223.8.1
한국여성의전화 성폭력상담소 이화영 소장은 “여성폭력피해자의 인권보호가 우선인데 여성가족부는 업무 효율성만 따지고 있다”고 지적했다.

한국여성의전화	한국여성의전화/NNP
성폭력상담소	성폭력/NNG+상담소/NNG
이화영	이화영/NNP
소장은	소장/NNG+은/JX
“여성폭력피해자의	“/SS+여성/NNG+폭력/NNG+피해자/NNG+의/JKG
인권보호가	인권/NNG+보호/NNG+가/JKS
우선인데	우선/NNG+이/VCP+ㄴ데/EC
여성가족부는	여성/NNG+가족부/NNG+는/JX
업무	업무/NNG
효율성만	효율/NNG+성/XSN+만/JX
따지고	따지/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.223.8.2
이 단체들은 8일 서울 중구 여성가족부 앞에서 “피해자 인권을 침해하는 신상정보 집적에 반대한다”는 집회를 열 예정이다.

이	이/MMD
단체들은	단체/NNG+들/XSN+은/JX
8일	8/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
여성가족부	여성/NNG+가족부/NNG
앞에서	앞/NNG+에서/JKB
“피해자	“/SS+피해자/NNG
인권을	인권/NNG+을/JKO
침해하는	침해/NNG+하/XSV+는/ETM
신상정보	신상/NNG+정보/NNG
집적에	집적/NNG+에/JKB
반대한다”는	반대/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
집회를	집회/NNG+를/JKO
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.223.9.1
이에 대해 여성가족부 관계자는 “생계비 등 지원비를 받는 피해시설 이용자들의 자료는 5년간 보관하게 돼 있다”며 “주민등록번호는 관리번호로 자동 변환되기 때문에 공무원들에게도 노출되지 않으며, 업무 범위 내에서만 열람이 가능해 개인정보가 유출될 가능성은 없다”고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
여성가족부	여성/NNG+가족부/NNG
관계자는	관계자/NNG+는/JX
“생계비	“/SS+생계비/NNG
등	등/NNB
지원비를	지원비/NNG+를/JKO
받는	받/VV+는/ETM
피해시설	피해/NNG+시설/NNG
이용자들의	이용자/NNG+들/XSN+의/JKG
자료는	자료/NNG+는/JX
5년간	5/SN+년/NNB+간/XSN
보관하게	보관/NNG+하/XSV+게/EC
돼	되/VV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“주민등록번호는	“/SS+주민/NNG+등록/NNG+번호/NNG+는/JX
관리번호로	관리/NNG+번호/NNG+로/JKB
자동	자동/NNG
변환되기	변환/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
공무원들에게도	공무원/NNG+들/XSN+에게/JKB+도/JX
노출되지	노출/NNG+되/XSV+지/EC
않으며,	않/VX+으며/EC+,/SP
업무	업무/NNG
범위	범위/NNG
내에서만	내/NNB+에서/JKB+만/JX
열람이	열람/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
개인정보가	개인/NNG+정보/NNG+가/JKS
유출될	유출/NNG+되/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


