# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.338
metadata : {}


# id : NWRW1800000028.338.1.1
“당장 이사갈 수도 없고…” /초고층아파트 주민들 불안

“당장	“/SS+당장/NNG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
비상통로	비상/NNG+통로/NNG
등은	등/NNB+은/JX
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.338.5.2
다른 주민은 “승강기 옆에 있는 문으로 화재를 차단할 수 있지 않겠느냐”고 막연하게 대답했다.

다른	다른/MMD
주민은	주민/NNG+은/JX
“승강기	“/SS+승강기/NNG
옆에	옆/NNG+에/JKB
있는	있/VA+는/ETM
문으로	문/NNG+으로/JKB
화재를	화재/NNG+를/JKO
차단할	차단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
막연하게	막연하/VA+게/EC
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.338.6.1
소방서가 보유한 고가사다리 장착 소방차는 기껏해야 12~15층까지 닿기 때문에, 이런 고층 아파트에서 불이 나면 각 층에 설치된 소화전을 연결해 진화 작업을 벌여야 한다.

소방서가	소방서/NNG+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
고가사다리	고가/NNG+사다리/NNG
장착	장착/NNG
소방차는	소방차/NNG+는/JX
기껏해야	기껏해야/MAG
12~15층까지	12/SN+~/SO+15/SN+층/NNG+까지/JX
닿기	닿/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
이런	이런/MMD
고층	고층/NNG
아파트에서	아파트/NNG+에서/JKB
불이	불/NNG+이/JKS
나면	나/VV+면/EC
각	각/MMD
층에	층/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
소화전을	소화전/NNG+을/JKO
연결해	연결/NNG+하/XSV+아/EC
진화	진화/NNG
작업을	작업/NNG+을/JKO
벌여야	벌이/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.338.6.2
30층에서 불이 나면 소방대원들이 가장 가까운 아래층까지 올라가 불을 꺼야 하는 구조다.

30층에서	30/SN+층/NNG+에서/JKB
불이	불/NNG+이/JKS
나면	나/VV+면/EC
소방대원들이	소방대원/NNG+들/XSN+이/JKS
가장	가장/MAG
가까운	가깝/VA+ㄴ/ETM
아래층까지	아래층/NNG+까지/JX
올라가	올라가/VV+아/EC
불을	불/NNG+을/JKO
꺼야	끄/VV+어야/EC
하는	하/VX+는/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.338.6.3
한 소방서 관계자는 “고층에서 불이 나면 현장에 빨리 도착하더라도 발화 지점까지 도달하는 데는 시간이 걸릴 수 있다”고 말했다.

한	한/MMN
소방서	소방서/NNG
관계자는	관계자/NNG+는/JX
“고층에서	“/SS+고층/NNG+에서/JKB
불이	불/NNG+이/JKS
나면	나/VV+면/EC
현장에	현장/NNG+에/JKB
빨리	빨리/MAG
도착하더라도	도착/NNG+하/XSV+더라도/EC
발화	발화/NNG
지점까지	지점/NNG+까지/JX
도달하는	도달/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


