# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.218
metadata : {}


# id : NWRW1800000046.218.1.1
버림받은 소년, NBA 스타로

버림받은	버림받/VV+은/ETM
최다인	최다/NNG+이/VCP+ㄴ/ETM
24.8점(5.5리바운드)을	24/SN+./SP+8/SN+점/NNB+(/SS+5/SN+./SP+5/SN+리바운드/NNG+)/SS+을/JKO
올리면서	올리/VV+면서/EC
불스가	불스/NNP+가/JKS
시리즈	시리즈/NNG
전적	전적/NNG
4승2패로	4/SN+승/NNB+2/SN+패/NNG+로/JKB
2라운드에	2/SN+라운드/NNG+에/JKB
진출하는	진출/NNG+하/XSV+는/ETM
데	데/NNB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.218.5.2
이날 열린 원정 6차전(120대66 승)에선 일찍 승부가 결정되는 바람에 31분만 소화하면서 16점·5도움·4스틸을 기록했다.

이날	이날/NNG
열린	열리/VV+ㄴ/ETM
원정	원정/NNG
6차전(120대66	6/SN+차전/NNB+(/SS+120/SN+대/NNB+66/SN
승)에선	승/NNG+)/SS+에서/JKB+ㄴ/JX
일찍	일찍/MAG
승부가	승부/NNG+가/JKS
결정되는	결정/NNG+되/XSV+는/ETM
바람에	바람/NNB+에/JKB
31분만	31/SN+분/NNB+만/JX
소화하면서	소화/NNG+하/XSV+면서/EC
16점·5도움·4스틸을	16/SN+점/NNB+·/SP+5/SN+도움/NNG+·/SP+4/SN+스틸/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.5.3
버틀러는 미국 텍사스주 휴스턴의 외곽 지역에서 태어났다.

버틀러는	버틀러/NNP+는/JX
미국	미국/NNP
텍사스주	텍사스주/NNP
휴스턴의	휴스턴/NNP+의/JKG
외곽	외곽/NNG
지역에서	지역/NNG+에서/JKB
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.5.4
아버지는 그가 태어나자마자 가족을 버리고 떠났다.

아버지는	아버지/NNG+는/JX
그가	그/NP+가/JKS
태어나자마자	태어나/VV+자마자/EC
가족을	가족/NNG+을/JKO
버리고	버리/VV+고/EC
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.5.5
어머니는 "그냥 꼴 보기 싫으니 집에서 나가라"는 모진 말로 버틀러를 거리로 내몰았다.

어머니는	어머니/NNG+는/JX
"그냥	"/SS+그냥/MAG
꼴	꼴/NNG
보기	보/VV+기/ETN
싫으니	싫/VA+으니/EC
집에서	집/NNG+에서/JKB
나가라"는	나가/VV+라/EF+"/SS+는/ETM
모진	모질/VA+ㄴ/ETM
말로	말/NNG+로/JKB
버틀러를	버틀러/NNP+를/JKO
거리로	거리/NNG+로/JKB
내몰았다.	내몰/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.5.6
그는 고등학교 입학 전까지 친구 집을 전전하면서 숙식을 해결했다.

그는	그/NP+는/JX
고등학교	고등학교/NNG
입학	입학/NNG
전까지	전/NNG+까지/JX
친구	친구/NNG
집을	집/NNG+을/JKO
전전하면서	전전/NNG+하/XSV+면서/EC
숙식을	숙식/NNG+을/JKO
해결했다.	해결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.5.7
버틀러는 "왜 친부모가 나를 버렸는지는 잘 모르겠다"고 말했다.

버틀러는	버틀러/NNP+는/JX
"왜	"/SS+왜/MAG
친부모가	친/XPN+부모/NNG+가/JKS
나를	나/NP+를/JKO
버렸는지는	버리/VV+었/EP+는지/EF+는/JX
잘	잘/MAG
모르겠다"고	모르/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.6.1
노숙자로 전락할 위기의 그를 구한 건 고등학교 시절 농구부 동료의 어머니 미셸 램버트씨였다.

노숙자로	노숙자/NNG+로/JKB
전락할	전락/NNG+하/XSV+ㄹ/ETM
위기의	위기/NNG+의/JKG
그를	그/NP+를/JKO
구한	구하/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
고등학교	고등학교/NNG
시절	시절/NNG
농구부	농구부/NNG
동료의	동료/NNG+의/JKG
어머니	어머니/NNG
미셸	미셸/NNP
램버트씨였다.	램버트/NNP+씨/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.218.6.2
버틀러의 사정을 딱하게 여긴 램버트씨는 그를 자신의 집에서 지낼 수 있도록 허락했다.

버틀러의	버틀러/NNP+의/JKG
사정을	사정/NNG+을/JKO
딱하게	딱하/VA+게/EC
여긴	여기/VV+ㄴ/ETM
램버트씨는	램버트/NNP+씨/NNB+는/JX
그를	그/NP+를/JKO
자신의	자신/NNG+의/JKG
집에서	집/NNG+에서/JKB
지낼	지내/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허락했다.	허락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.6.3
그리고 다른 자녀와 똑같이 키웠다.

그리고	그리고/MAJ
다른	다른/MMD
자녀와	자녀/NNG+와/JKB
똑같이	똑같이/MAG
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.218.6.4
수업이나 농구부 연습에 빠지면 엄하게 꾸짖었고, 진로에 대해선 세심한 조언을 아끼지 않았다.

수업이나	수업/NNG+이나/JC
농구부	농구부/NNG
연습에	연습/NNG+에/JKB
빠지면	빠지/VV+면/EC
엄하게	엄하/VA+게/EC
꾸짖었고,	꾸짖/VV+었/EP+고/EC+,/SP
진로에	진로/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
세심한	세심하/VA+ㄴ/ETM
조언을	조언/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.218.7.1
버틀러는 2011년 신인 드래프트에서 전체 30번째로 불스 유니폼을 입자 눈물을 쏟으면서 램버트씨에게 고마움을 나타냈다.

버틀러는	버틀러/NNP+는/JX
2011년	2011/SN+년/NNB
신인	신인/NNG
드래프트에서	드래프트/NNG+에서/JKB
전체	전체/NNG
30번째로	30/SN+번/NNB+째/XSN+로/JKB
불스	불스/NNP
유니폼을	유니폼/NNG+을/JKO
입자	입/VV+자/EC
눈물을	눈물/NNG+을/JKO
쏟으면서	쏟/VV+으면서/EC
램버트씨에게	램버트/NNP+씨/NNB+에게/JKB
고마움을	고마움/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.218.7.2
그리고 자신의 등번호를 램버트씨가 골라준 21번으로 정했다.

그리고	그리고/MAJ
자신의	자신/NNG+의/JKG
등번호를	등/NNG+번호/NNG+를/JKO
램버트씨가	램버트/NNP+씨/NNB+가/JKS
골라준	고르/VV+아/EC+주/VX+ㄴ/ETM
21번으로	21/SN+번/NNB+으로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.7.3
2013~2014시즌 주전으로 도약한 그는 올 시즌 정규리그에서 20점·5.8리바운드를 올리면서 팀 에이스로 거듭났다.

2013~2014시즌	2013/SN+~/SO+2014/SN+시즌/NNG
주전으로	주전/NNG+으로/JKB
도약한	도약/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
올	올/NNG
시즌	시즌/NNG
정규리그에서	정규/NNG+리그/NNG+에서/JKB
20점·5.8리바운드를	20/SN+점/NNB+·/SP+5/SN+./SP+8/SN+리바운드/NNG+를/JKO
올리면서	올리/VV+면서/EC
팀	팀/NNG
에이스로	에이스/NNG+로/JKB
거듭났다.	거듭나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.8.1
올 시즌이 끝나면 더 큰 기회가 그를 기다린다.

올	올/NNG
시즌이	시즌/NNG+이/JKS
끝나면	끝나/VV+면/EC
더	더/MAG
큰	크/VA+ㄴ/ETM
기회가	기회/NNG+가/JKS
그를	그/NP+를/JKO
기다린다.	기다리/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.218.8.2
버틀러는 올 시즌 종료 후 FA(자유계약선수) 신분을 획득한다.

버틀러는	버틀러/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
종료	종료/NNG
후	후/NNG
FA(자유계약선수)	FA/SL+(/SS+자유/NNG+계약/NNG+선수/NNG+)/SS
신분을	신분/NNG+을/JKO
획득한다.	획득/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.218.8.3
현지 언론에선 "버틀러를 잡기 위해선 연평균 1500만달러(약 162억원)의 거액을 투자해야 할 것"이라고 전망하고 있다.

현지	현지/NNG
언론에선	언론/NNG+에서/JKB+ㄴ/JX
"버틀러를	"/SS+버틀러/NNP+를/JKO
잡기	잡/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
연평균	연평균/NNG
1500만달러(약	1500/SN+만/NR+달러/NNB+(/SS+약/MMA
162억원)의	162/SN+억/NR+원/NNB+)/SS+의/JKG
거액을	거액/NNG+을/JKO
투자해야	투자/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


