# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.399
metadata : {}


# id : NWRW1800000054.399.1.1
北ICBM, 24일만에 3000㎞ 늘어… 언제 어디서든 타격 능력

北ICBM,	北/SH+ICBM/SL+,/SP
지난	지나/VV+ㄴ/ETM
4일에	4/SN+일/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
크게	크/VA+게/EC
향상된	향상/NNG+되/XSV+ㄴ/ETM
성능을	성능/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.399.4.4
지난 4일 화성14형은 최고 고도 2802㎞, 비행거리 933㎞, 비행시간 39분을 기록했다.

지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
화성14형은	화성/NNP+14/SN+형/XSN+은/JX
최고	최고/NNG
고도	고도/NNG
2802㎞,	2802/SN+㎞/SW+,/SP
비행거리	비행/NNG+거리/NNG
933㎞,	933/SN+㎞/SW+,/SP
비행시간	비행시간/NNG
39분을	39/SN+분/NNB+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.399.4.5
반면 28일 화성 14형은 최고 고도 3724㎞, 비행거리 998㎞, 비행시간 47분을 기록했다.

반면	반면/NNG
28일	28/SN+일/NNB
화성	화성/NNP
14형은	14/SN+형/XSN+은/JX
최고	최고/NNG
고도	고도/NNG
3724㎞,	3724/SN+㎞/SW+,/SP
비행거리	비행/NNG+거리/NNG
998㎞,	998/SN+㎞/SW+,/SP
비행시간	비행시간/NNG
47분을	47/SN+분/NNB+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.399.4.6
최고 고도는 900여㎞, 비행거리는 60㎞, 비행시간은 8분이 각각 늘어난 것이다.

최고	최고/NNG
고도는	고도/NNG+는/JX
900여㎞,	900/SN+여/XSN+㎞/SW+,/SP
비행거리는	비행/NNG+거리/NNG+는/JX
60㎞,	60/SN+㎞/SW+,/SP
비행시간은	비행시간/NNG+은/JX
8분이	8/SN+분/NNB+이/JKS
각각	각각/MAG
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.399.4.7
두 발사 모두 정상적인 발사 각도(30~45도)보다 훨씬 급격한, 수직에 가까운 고각(高角) 발사로 이뤄졌다.

두	두/MMN
발사	발사/NNG
모두	모두/MAG
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
각도(30~45도)보다	각도/NNG+(/SS+30/SN+~/SO+45/SN+도/NNB+)/SS+보다/JKB
훨씬	훨씬/MAG
급격한,	급격하/VA+ㄴ/ETM+,/SP
수직에	수직/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
고각(高角)	고각/NNG+(/SS+高角/SH+)/SS
발사로	발사/NNG+로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.399.4.8
정상적인 비행궤도로 발사될 경우 최대 사거리는 4일 미사일은 7000~8000㎞였던 반면, 28일 미사일은 1만㎞ 이상일 것으로 추정됐다.

정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
비행궤도로	비행/NNG+궤도/NNG+로/JKB
발사될	발사/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
최대	최대/NNG
사거리는	사거리/NNG+는/JX
4일	4/SN+일/NNB
미사일은	미사일/NNG+은/JX
7000~8000㎞였던	7000/SN+~/SO+8000/SN+㎞/SW+이/VCP+었/EP+던/ETM
반면,	반면/NNG+,/SP
28일	28/SN+일/NNB
1만㎞	1/SN+만/NR+㎞/SW
이상일	이상/NNG+이/VCP+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정됐다.	추정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.399.4.9
최대 3000㎞ 이상 늘어난 것이다.

최대	최대/NNG
3000㎞	3000/SN+㎞/SW
이상	이상/NNG
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.399.5.1
24일 만에 이렇게 성능이 달라진 데 대해 군 당국과 전문가들은 미사일 엔진의 추력 등이 향상됐다기보다는 탄두중량을 낮추는 등의 방법을 썼을 가능성이 높다고 보고 있다.

24일	24/SN+일/NNB
만에	만/NNB+에/JKB
이렇게	이렇/VA+게/EC
성능이	성능/NNG+이/JKS
달라진	달라지/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
군	군/NNG
당국과	당국/NNG+과/JC
전문가들은	전문가/NNG+들/XSN+은/JX
미사일	미사일/NNG
엔진의	엔진/NNG+의/JKG
추력	추력/NNG
등이	등/NNB+이/JKS
향상됐다기보다는	향상/NNG+되/XSV+었/EP+다기/ETN+보다/JKB+는/JX
탄두중량을	탄두/NNG+중량/NNG+을/JKO
낮추는	낮추/VV+는/ETM
등의	등/NNB+의/JKG
방법을	방법/NNG+을/JKO
썼을	쓰/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.399.5.2
똑같은 엔진추력을 갖고 있더라도 탄두 중량이 가벼워지면 미사일은 더 멀리 날아갈 수 있다.

똑같은	똑같/VA+은/ETM
엔진추력을	엔진/NNG+추력/NNG+을/JKO
갖고	갖/VV+고/EC
있더라도	있/VX+더라도/EC
탄두	탄두/NNG
중량이	중량/NNG+이/JKS
가벼워지면	가볍/VA+어/EC+지/VX+면/EC
미사일은	미사일/NNG+은/JX
더	더/MAG
멀리	멀리/MAG
날아갈	날아가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.399.5.3
북한도 이번 미사일 발사의 목적이 최대 사거리를 보여주는 데 있었다고 주장했다.

북한도	북한/NNP+도/JX
이번	이번/NNG
미사일	미사일/NNG
발사의	발사/NNG+의/JKG
목적이	목적/NNG+이/JKS
최대	최대/NNG
사거리를	사거리/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
데	데/NNB
있었다고	있/VA+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.399.5.4
조선중앙통신은 "이번 시험발사는 최대 사거리를 모의하여 최대 고각 발사 체제로 진행하였다"고 보도했다.

조선중앙통신은	조선중앙통신/NNP+은/JX
"이번	"/SS+이번/NNG
시험발사는	시험/NNG+발사/NNG+는/JX
최대	최대/NNG
사거리를	사거리/NNG+를/JKO
모의하여	모의/NNG+하/XSV+아/EC
고각	고각/NNG
발사	발사/NNG
체제로	체제/NNG+로/JKB
진행하였다"고	진행/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.399.6.1
장영근 한국항공대 교수는 "시뮬레이션 결과 지난 4일 시험발사에서는 약 900㎏의 모의탄두를 탑재했지만, 이번에는 탄두를 450㎏ 수준으로 줄였을 가능성이 높은 것으로 나타났다"고 말했다.

장영근	장영근/NNP
한국항공대	한국항공대/NNP
교수는	교수/NNG+는/JX
"시뮬레이션	"/SS+시뮬레이션/NNG
결과	결과/NNG
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
시험발사에서는	시험/NNG+발사/NNG+에서/JKB+는/JX
약	약/MMA
900㎏의	900/SN+㎏/SW+의/JKG
모의탄두를	모의/NNG+탄두/NNG+를/JKO
탑재했지만,	탑재/NNG+하/XSV+았/EP+지만/EC+,/SP
이번에는	이번/NNG+에/JKB+는/JX
탄두를	탄두/NNG+를/JKO
450㎏	450/SN+㎏/SW
수준으로	수준/NNG+으로/JKB
줄였을	줄이/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다"고	나타나/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.399.6.2
450㎏이라도 핵탄두를 운반할 수 있는 수준이다.

450㎏이라도	450/SN+㎏/SW+이/VCP+라도/EC
핵탄두를	핵탄두/NNG+를/JKO
운반할	운반/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.399.6.3
화성-14형이 두 차례 모두 정상적인 비행에 성공함으로써 엔진 등의 신뢰성이 높아졌다는 것도 이번 발사의 의미로 꼽힌다.

화성-14형이	화성/NNP+-/SO+14/SN+형/XSN+이/JKS
두	두/MMN
차례	차례/NNG
모두	모두/MAG
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
비행에	비행/NNG+에/JKB
성공함으로써	성공/NNG+하/XSV+ㅁ/ETN+으로써/JKB
엔진	엔진/NNG
등의	등/NNB+의/JKG
신뢰성이	신뢰/NNG+성/XSN+이/JKS
높아졌다는	높아지/VV+었/EP+다는/ETM
것도	것/NNB+도/JX
이번	이번/NNG
발사의	발사/NNG+의/JKG
의미로	의미/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.399.7.1
북한은 4일에 이어 이번에도 대기권 재진입 시험에 성공했다고 주장했다.

북한은	북한/NNP+은/JX
4일에	4/SN+일/NNB+에/JKB
이어	잇/VV+어/EC
이번에도	이번/NNG+에/JKB+도/JX
대기권	대기/NNG+권/XSN
재진입	재/XPN+진입/NNG
시험에	시험/NNG+에/JKB
성공했다고	성공/NNG+하/XSV+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.399.7.2
하지만 군 당국은 여전히 북한의 재진입 시험 성공 여부가 확인되지 않았다는 입장이다.

하지만	하지만/MAJ
군	군/NNG
당국은	당국/NNG+은/JX
여전히	여전히/MAG
북한의	북한/NNP+의/JKG
재진입	재/XPN+진입/NNG
시험	시험/NNG
성공	성공/NNG
여부가	여부/NNG+가/JKS
확인되지	확인/NNG+되/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.399.7.3
재진입 시험에 성공하려면 탄두가 마하 24~25(음속의 24~25배)로 낙하하면서 생기는 7000~8000도의 고열을 견뎌내야 한다.

재진입	재/XPN+진입/NNG
시험에	시험/NNG+에/JKB
성공하려면	성공/NNG+하/XSV+려면/EC
탄두가	탄두/NNG+가/JKS
마하	마하/NNG
24~25(음속의	24/SN+~/SO+25/SN+(/SS+음속/NNG+의/JKG
24~25배)로	24/SN+~/SO+25/SN+배/NNG+)/SS+로/JKB
낙하하면서	낙하/NNG+하/XSV+면서/EC
생기는	생기/VV+는/ETM
7000~8000도의	7000/SN+~/SO+8000/SN+도/NNB+의/JKG
고열을	고열/NNG+을/JKO
견뎌내야	견디/VV+어/EC+내/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.399.7.4
초고속으로 낙하하면서 탄두가 균일하게 깎이도록 하는 '화학적 삭마' 기술도 필요하다.

초고속으로	초/XPN+고속/NNG+으로/JKB
낙하하면서	낙하/NNG+하/XSV+면서/EC
탄두가	탄두/NNG+가/JKS
균일하게	균일/NNG+하/XSA+게/EC
깎이도록	깎이/VV+도록/EC
하는	하/VX+는/ETM
'화학적	'/SS+화학/NNG+적/XSN
삭마'	삭마/NNG+'/SS
기술도	기술/NNG+도/JX
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.399.7.5
일부 전문가는 북한이 화학적 삭마 기술은 몰라도 내열(耐熱) 기술은 상당 수준 확보했을 가능성이 있다고 보고 있다.

일부	일부/NNG
전문가는	전문가/NNG+는/JX
북한이	북한/NNP+이/JKS
화학적	화학/NNG+적/XSN
삭마	삭마/NNG
기술은	기술/NNG+은/JX
몰라도	모르/VV+아도/EC
내열(耐熱)	내열/NNG+(/SS+耐熱/SH+)/SS
상당	상당/NNG
수준	수준/NNG
확보했을	확보/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.399.8.1
북한은 28일 발사가 성공했다고 하면서도 실전 배치에 대해선 언급하지 않았다.

북한은	북한/NNP+은/JX
28일	28/SN+일/NNB
발사가	발사/NNG+가/JKS
성공했다고	성공/NNG+하/XSV+았/EP+다고/EC
하면서도	하/VV+면서/EC+도/JX
실전	실전/NNG
배치에	배치/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
언급하지	언급/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.399.8.2
실전 배치 이전에 추가 시험 발사가 있을 수 있음을 시사하는 대목이다.

실전	실전/NNG
배치	배치/NNG
이전에	이전/NNG+에/JKB
추가	추가/NNG
시험	시험/NNG
발사가	발사/NNG+가/JKS
있을	있/VA+을/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
시사하는	시사/NNG+하/XSV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.399.8.3
실전 배치 시기는 당초 전문가들이 예상했던 2~3년 내보다 앞당겨진 올해 말이나 내년쯤이 될 가능성이 높다는 분석이다.

실전	실전/NNG
배치	배치/NNG
시기는	시기/NNG+는/JX
당초	당초/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
예상했던	예상/NNG+하/XSV+았/EP+던/ETM
2~3년	2/SN+~/SO+3/SN+년/NNB
내보다	내/NNB+보다/JKB
앞당겨진	앞당기/VV+어/EC+지/VX+ㄴ/ETM
올해	올해/NNG
말이나	말/NNB+이나/JC
내년쯤이	내년/NNG+쯤/XSN+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.399.8.4
일명 백두산 엔진 2~3개를 결합한 새로운 ICBM을 개발할 필요 없이 현재의 1개 엔진 장착ICBM만으로도 미 본토를 타격할 능력을 갖췄기 때문이다.

일명	일명/NNG
백두산	백두산/NNP
엔진	엔진/NNG
2~3개를	2/SN+~/SO+3/SN+개/NNB+를/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
ICBM을	ICBM/SL+을/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
필요	필요/NNG
없이	없이/MAG
현재의	현재/NNG+의/JKG
1개	1/SN+개/NNB
장착ICBM만으로도	장착/NNG+ICBM/SL+만/JX+으로/JKB+도/JX
미	미/NNP
본토를	본토/NNG+를/JKO
타격할	타격/NNG+하/XSV+ㄹ/ETM
능력을	능력/NNG+을/JKO
갖췄기	갖추/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.399.8.5
구소련은 이미 60~70년대에 화성-14형처럼 추력 80t 엔진 1기를 장착한 SS-11 '세고' 2단 로켓 미사일로 1t 핵탄두를 1만1000㎞ 떨어진 미 본토까지 운반할 수 있는 능력을 보여줬었다.

구소련은	구/XPN+소련/NNP+은/JX
이미	이미/MAG
60~70년대에	60/SN+~/SO+70/SN+년대/NNB+에/JKB
화성-14형처럼	화성/NNP+-/SO+14/SN+형/XSN+처럼/JKB
추력	추력/NNG
80t	80/SN+t/SW
엔진	엔진/NNG
1기를	1/SN+기/NNB+를/JKO
장착한	장착/NNG+하/XSV+ㄴ/ETM
SS-11	SS/SL+-/SO+11/SN
'세고'	'/SS+세고/NNG+'/SS
2단	2/SN+단/NNG
로켓	로켓/NNG
미사일로	미사일/NNG+로/JKB
1t	1/SN+t/SW
핵탄두를	핵탄두/NNG+를/JKO
1만1000㎞	1/SN+만/NR+1000/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
미	미/NNP
본토까지	본토/NNG+까지/JX
운반할	운반/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
능력을	능력/NNG+을/JKO
보여줬었다.	보이/VV+어/EC+주/VX+었/EP+었/EP+다/EF+./SF


# id : NWRW1800000054.399.8.6
한 전문가는 "북한이 러시아 수준으로 엔진의 효율성을 높이고 미사일 무게를 줄인다면 화성14형에 더 무거운 탄두를 장착해 미 본토를 타격할 수도 있을 것"이라고 말했다.

한	한/MMN
전문가는	전문가/NNG+는/JX
"북한이	"/SS+북한/NNP+이/JKS
러시아	러시아/NNP
수준으로	수준/NNG+으로/JKB
엔진의	엔진/NNG+의/JKG
효율성을	효율/NNG+성/XSN+을/JKO
높이고	높이/VV+고/EC
미사일	미사일/NNG
무게를	무게/NNG+를/JKO
줄인다면	줄이/VV+ㄴ다면/EC
화성14형에	화성/NNP+14/SN+형/XSN+에/JKB
더	더/MAG
무거운	무겁/VA+ㄴ/ETM
탄두를	탄두/NNG+를/JKO
장착해	장착/NNG+하/XSV+아/EC
미	미/NNP
본토를	본토/NNG+를/JKO
타격할	타격/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


