# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.388
metadata : {}


# id : NWRW1800000032.388.1.1
서울시, 무상급식 예산집행 거부

서울시,	서울시/NNP+,/SP
거부하면	거부/NNG+하/XSV+면/EC
시내	시내/NNG
549개	549/SN+개/NNB
초등학교	초등학교/NNG
5~6학년	5/SN+~/SO+6/SN+학년/NNG
학생	학생/NNG
20만여명은	20/SN+만/NR+여/XSN+명/NNB+은/JX
2학기에도	2/SN+학기/NNG+에/JKB+도/JX
매달	매달/MAG
5만5000원의	5/SN+만/NR+5000/SN+원/NNB+의/JKG
급식비를	급식비/NNG+를/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.388.6.2
서울 초등학교들은 오는 29일까지 모두 개학해 2학기를 시작하게 된다.

서울	서울/NNP
초등학교들은	초등학교/NNG+들/XSN+은/JX
오는	오/VV+는/ETM
29일까지	29/SN+일/NNB+까지/JX
모두	모두/MAG
개학해	개학/NNG+하/XSV+아/EC
2학기를	2/SN+학기/NNG+를/JKO
시작하게	시작/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.388.6.3
광진구에 사는 초등 6학년 학부모 백아무개(44)씨는 “전면 무상급식 실시가 맞다고 생각해 투표에 불참했고, 당연히 2학기부터 무상급식이 실시될 것으로 예상했다”며 “서울시가 결과에 승복하지 않는 것은 시민을 우롱하는 것”이라고 말했다.

광진구에	광진구/NNP+에/JKB
사는	살/VV+는/ETM
초등	초등/NNG
6학년	6/SN+학년/NNG
학부모	학부모/NNG
백아무개(44)씨는	백/NNP+아무개/NP+(/SS+44/SN+)/SS+씨/NNB+는/JX
“전면	“/SS+전면/NNG
무상급식	무상/NNG+급식/NNG
실시가	실시/NNG+가/JKS
맞다고	맞/VV+다고/EC
생각해	생각/NNG+하/XSV+아/EC
투표에	투표/NNG+에/JKB
불참했고,	불참/NNG+하/XSV+았/EP+고/EC+,/SP
당연히	당연히/MAG
2학기부터	2/SN+학기/NNG+부터/JX
무상급식이	무상/NNG+급식/NNG+이/JKS
실시될	실시/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다”며	예상/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“서울시가	“/SS+서울시/NNP+가/JKS
결과에	결과/NNG+에/JKB
승복하지	승복/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
시민을	시민/NNG+을/JKO
우롱하는	우롱/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.388.7.1
민주당 등 야당 소속 시의원들은 오 시장의 예산 집행 거부에 대해 “직무유기”라고 비판했다.

민주당	민주당/NNP
등	등/NNB
야당	야당/NNG
소속	소속/NNG
시의원들은	시/NNG+의원/NNG+들/XSN+은/JX
오	오/NNP
시장의	시장/NNG+의/JKG
예산	예산/NNG
집행	집행/NNG
거부에	거부/NNG+에/JKB
대해	대하/VV+아/EC
“직무유기”라고	“/SS+직무/NNG+유기/NNG+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.388.7.2
강희용 서울시의원(민주당)은 “행정안전부가 지난해 ‘의회가 예산을 편성해 확정했는데도 지자체의 장이 집행하지 않으면 의무 해태’라는 유권해석을 내렸음에도, 오 시장이 주민투표로 확인된 시민의 뜻까지 무시한 채 몽니를 부리고 있다”고 말했다.

강희용	강희용/NNP
서울시의원(민주당)은	서울시/NNP+의원/NNG+(/SS+민주당/NNP+)/SS+은/JX
“행정안전부가	“/SS+행정/NNG+안전부/NNG+가/JKS
지난해	지난해/NNG
‘의회가	‘/SS+의회/NNG+가/JKS
예산을	예산/NNG+을/JKO
편성해	편성/NNG+하/XSV+아/EC
확정했는데도	확정/NNG+하/XSV+았/EP+는데/EC+도/JX
지자체의	지자체/NNG+의/JKG
장이	장/NNG+이/JKS
집행하지	집행/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
의무	의무/NNG
해태’라는	해태/NNG+’/SS+이/VCP+라는/ETM
유권해석을	유권/NNG+해석/NNG+을/JKO
내렸음에도,	내리/VV+었/EP+음/ETN+에/JKB+도/JX+,/SP
오	오/NNP
시장이	시장/NNG+이/JKS
주민투표로	주민/NNG+투표/NNG+로/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
시민의	시민/NNG+의/JKG
뜻까지	뜻/NNG+까지/JX
무시한	무시/NNG+하/XSV+ㄴ/ETM
채	채/NNB
몽니를	몽니/NNG+를/JKO
부리고	부리/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


