# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.278
metadata : {}


# id : NWRW1800000045.278.1.1
[최영훈의 법과 사람]박 대통령이 찍은 황교안 총리 후보자

[최영훈의	[/SS+최영훈/NNP+의/JKG
# id : NWRW1800000045.278.4.2
그때 총리 제의를 받은 일이 있는지 세 차례나 물어봤다.

그때	그때/NNG
총리	총리/NNG
제의를	제의/NNG+를/JKO
받은	받/VV+은/ETM
일이	일/NNG+이/JKS
있는지	있/VA+는지/EF
세	세/MMN
차례나	차례/NNG+나/JX
물어봤다.	물어보/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.278.4.3
“그런 일 없다”고 부인한 그에게 사실이냐고 거듭 묻자 “그걸 거짓말 하겠느냐”며 웃음 지었다.

“그런	“/SS+그런/MMD
일	일/NNG
없다”고	없/VA+다/EF+”/SS+고/JKQ
부인한	부인/NNG+하/XSV+ㄴ/ETM
그에게	그/NP+에게/JKB
사실이냐고	사실/NNG+이/VCP+냐고/EC
거듭	거듭/MAG
묻자	묻/VV+자/EC
“그걸	“/SS+그거/NP+ㄹ/JKO
거짓말	거짓말/NNG
하겠느냐”며	하/VV+겠/EP+느냐/EF+”/SS+며/EC
웃음	웃음/NNG
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.278.4.4
이틀 뒤 미진한 내용을 보완하기 위해 통화를 하면서 다시 물었다.

이틀	이틀/NNG
뒤	뒤/NNG
미진한	미진하/VA+ㄴ/ETM
내용을	내용/NNG+을/JKO
보완하기	보완/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
통화를	통화/NNG+를/JKO
하면서	하/VV+면서/EC
다시	다시/MAG
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.278.4.5
제의를 받고 고사했다는 게 사실이냐고 묻자 “(머뭇거리다) 언급하기 그렇다”고 답했다.

제의를	제의/NNG+를/JKO
받고	받/VV+고/EC
고사했다는	고사/NNG+하/XSV+았/EP+다는/ETM
게	거/NNB+이/JKS
사실이냐고	사실/NNG+이/VCP+냐고/EC
묻자	묻/VV+자/EC
“(머뭇거리다)	“/SS+(/SS+머뭇거리/VV+다/EC+)/SS
언급하기	언급/NNG+하/XSV+기/ETN
그렇다”고	그렇/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.278.4.6
제의를 받은 것으로 알겠다고 하자 그는 “추측은 금물”이라며 전화를 끊었다.

제의를	제의/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알겠다고	알/VV+겠/EP+다고/EC
하자	하/VV+자/EC
그는	그/NP+는/JX
“추측은	“/SS+추측/NNG+은/JX
금물”이라며	금물/NNG+”/SS+이/VCP+라며/EC
전화를	전화/NNG+를/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.278.4.7
자신이 유력하다는 사실은 알았던 것 같다.

자신이	자신/NNG+이/JKS
유력하다는	유력/NNG+하/XSA+다는/ETM
사실은	사실/NNG+은/JX
알았던	알/VV+았/EP+던/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000045.278.5.1
그의 총리 내정은 누가 천거한 것이 아니다.

그의	그/NP+의/JKG
총리	총리/NNG
내정은	내정/NNG+은/JX
누가	누구/NP+가/JKS
천거한	천거/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.278.5.2
100명 이상을 검증하며 돌고 돌다 ‘수첩 인사’ ‘회전문 인사’라는 비판을 각오하고 박 대통령이 찍었다.

100명	100/SN+명/NNB
이상을	이상/NNG+을/JKO
검증하며	검증/NNG+하/XSV+며/EC
돌고	돌/VV+고/EC
돌다	돌/VV+다/EC
‘수첩	‘/SS+수첩/NNG
인사’	인사/NNG+’/SS
‘회전문	‘/SS+회전문/NNG
인사’라는	인사/NNG+’/SS+이/VCP+라는/ETM
비판을	비판/NNG+을/JKO
각오하고	각오/NNG+하/XSV+고/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.278.5.3
인터뷰 때 그에게 박 대통령이 왜 그렇게 좋아하는지 물어봤다.

인터뷰	인터뷰/NNG
때	때/NNG
그에게	그/NP+에게/JKB
박	박/NNP
대통령이	대통령/NNG+이/JKS
왜	왜/MAG
그렇게	그렇/VA+게/EC
좋아하는지	좋아하/VV+는지/EF
물어봤다.	물어보/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.278.5.4
“(박 대통령이) 국가관이 분명하고 나라를 바로 세워야 한다는 생각이 강한 분이니까, 법무부가 하는 일이 바로 그것이니까, 누가 하더라도 정상적으로 열심히 하면 좋게 볼 수밖에 없을 거다.”

“(박	“/SS+(/SS+박/NNP
대통령이)	대통령/NNG+이/JKS+)/SS
국가관이	국가관/NNG+이/JKS
분명하고	분명/MAG+하/XSA+고/EC
나라를	나라/NNG+를/JKO
바로	바로/MAG
세워야	세우/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
생각이	생각/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
분이니까,	분/NNB+이/VCP+니까/EC+,/SP
법무부가	법무부/NNG+가/JKS
하는	하/VV+는/ETM
일이	일/NNG+이/JKS
그것이니까,	그것/NP+이/VCP+니까/EC+,/SP
누가	누구/NP+가/JKS
하더라도	하/VV+더라도/EC
정상적으로	정상/NNG+적/XSN+으로/JKB
열심히	열심히/MAG
하면	하/VV+면/EC
좋게	좋/VA+게/EC
볼	보/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없을	없/VA+을/ETM
거다.”	거/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000045.278.6.1
대통령의 부패 척결 의지가 너무 강한 것 아니냐는 지적에 그는 바로 “내가 의지가 더 강하다”고 답했다.

대통령의	대통령/NNG+의/JKG
부패	부패/NNG
척결	척결/NNG
의지가	의지/NNG+가/JKS
너무	너무/MAG
강한	강하/VA+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적에	지적/NNG+에/JKB
그는	그/NP+는/JX
바로	바로/MAG
“내가	“/SS+내/NP+가/JKS
더	더/MAG
강하다”고	강하/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.278.6.2
박 대통령과 황 후보자는 법과 원칙을 강조한다는 점에서 코드가 딱 맞다.

박	박/NNP
대통령과	대통령/NNG+과/JC
황	황/NNP
후보자는	후보자/NNG+는/JX
법과	법/NNG+과/JC
원칙을	원칙/NNG+을/JKO
강조한다는	강조/NNG+하/XSV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
코드가	코드/NNG+가/JKS
딱	딱/MAG
맞다.	맞/VV+다/EF+./SF


# id : NWRW1800000045.278.6.3
청와대는 발탁 배경으로 부패 척결과 정치 개혁을 강조했지만 그는 경제활성화와 민생안정을 앞세웠다.

청와대는	청와대/NNP+는/JX
발탁	발탁/NNG
배경으로	배경/NNG+으로/JKB
부패	부패/NNG
척결과	척결/NNG+과/JC
정치	정치/NNG
개혁을	개혁/NNG+을/JKO
강조했지만	강조/NNG+하/XSV+았/EP+지만/EC
그는	그/NP+는/JX
경제활성화와	경제/NNG+활성/NNG+화/XSN+와/JC
민생안정을	민생/NNG+안정/NNG+을/JKO
앞세웠다.	앞세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.278.7.1
부패 척결은 검찰 경찰과 감사원이 소리 나지 않게 상시적으로 하면 된다.

부패	부패/NNG
척결은	척결/NNG+은/JX
검찰	검찰/NNG
경찰과	경찰/NNG+과/JC
감사원이	감사원/NNG+이/JKS
소리	소리/NNG
나지	나/VV+지/EC
않게	않/VX+게/EC
상시적으로	상시/NNG+적/XSN+으로/JKB
하면	하/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.278.7.2
대통령이나 총리가 앞장서 목소리를 높이면 공연히 ‘기획사정’ 논란에 휩싸여 수사나 감사 결과를 정치적으로 해석하게 된다.

대통령이나	대통령/NNG+이나/JC
총리가	총리/NNG+가/JKS
앞장서	앞장서/VV+어/EC
목소리를	목소리/NNG+를/JKO
높이면	높이/VV+면/EC
공연히	공연히/MAG
‘기획사정’	‘/SS+기획/NNG+사정/NNG+’/SS
논란에	논란/NNG+에/JKB
휩싸여	휩싸이/VV+어/EC
수사나	수사/NNG+나/JC
감사	감사/NNG
결과를	결과/NNG+를/JKO
정치적으로	정치/NNG+적/XSN+으로/JKB
해석하게	해석/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.278.7.3
성완종 리스트 사건의 돌출이 웅변한다.

성완종	성완종/NNP
리스트	리스트/NNG
사건의	사건/NNG+의/JKG
돌출이	돌출/NNG+이/JKS
웅변한다.	웅변/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.278.7.4
그 바람에 사정수사는 빛을 잃었다.

그	그/MMD
바람에	바람/NNB+에/JKB
사정수사는	사정/NNG+수사/NNG+는/JX
빛을	빛/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.278.8.1
박 대통령으로선 정치개혁을 완수할 수 있다면 남은 임기 내내 사정 드라이브를 지속해도 좋다는 생각일 것이다.

박	박/NNP
대통령으로선	대통령/NNG+으로서/JKB+ㄴ/JX
정치개혁을	정치/NNG+개혁/NNG+을/JKO
완수할	완수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
남은	남/VV+은/ETM
임기	임기/NNG
내내	내내/MAG
사정	사정/NNG
드라이브를	드라이브/NNG+를/JKO
지속해도	지속/NNG+하/XSV+아도/EC
좋다는	좋/VA+다는/ETM
생각일	생각/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.278.8.2
야당의 발목잡기로 어떤 개혁도 여의치 않은 상황에서 대통령의 마음은 시간이 갈수록 조급해질 수밖에 없다.

야당의	야당/NNG+의/JKG
발목잡기로	발목/NNG+잡/VV+기/ETN+로/JKB
어떤	어떤/MMD
개혁도	개혁/NNG+도/JX
여의치	여의하/VA+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
대통령의	대통령/NNG+의/JKG
마음은	마음/NNG+은/JX
시간이	시간/NNG+이/JKS
갈수록	가/VV+ㄹ수록/EC
조급해질	조급하/VA+아/EC+지/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.278.8.3
그러나 한 원로 법조인은 “칼로 나라를 다스리는 것은 하책 중의 하책”이라고 꼬집었다.

그러나	그러나/MAJ
한	한/MMN
원로	원로/NNG
법조인은	법조인/NNG+은/JX
“칼로	“/SS+칼/NNG+로/JKB
나라를	나라/NNG+를/JKO
다스리는	다스리/VV+는/ETM
것은	것/NNB+은/JX
하책	하책/NNG
중의	중/NNB+의/JKG
하책”이라고	하책/NNG+”/SS+이라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.278.9.1
칼로 다스리는 건 下之下策

칼로	칼/NNG+로/JKB
다스리는	다스리/VV+는/ETM
건	거/NNB+ㄴ/JX
下之下策	下之下策/SH


# id : NWRW1800000045.278.10.1
야당이 벼르는 기세로 봐선 황 후보자의 총리 인준이 결코 순탄치 않겠지만 청문회 과정에서 낙마할 것 같진 않다.

야당이	야당/NNG+이/JKS
벼르는	벼르/VV+는/ETM
기세로	기세/NNG+로/JKB
봐선	보/VV+아서/EC+ㄴ/JX
황	황/NNP
후보자의	후보자/NNG+의/JKG
총리	총리/NNG
인준이	인준/NNG+이/JKS
결코	결코/MAG
순탄치	순탄하/VA+지/EC
않겠지만	않/VX+겠/EP+지만/EC
청문회	청문회/NNG
과정에서	과정/NNG+에서/JKB
낙마할	낙마/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같진	같/VA+지/EC+ㄴ/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.278.10.2
둑을 무너뜨릴 개미굴을 없애는 공안검사의 리더십을 확장하면 장관의 역할을 수행할 수 있다.

둑을	둑/NNG+을/JKO
무너뜨릴	무너뜨리/VV+ㄹ/ETM
개미굴을	개미굴/NNG+을/JKO
없애는	없애/VV+는/ETM
공안검사의	공안/NNG+검사/NNG+의/JKG
리더십을	리더십/NNG+을/JKO
확장하면	확장/NNG+하/XSV+면/EC
장관의	장관/NNG+의/JKG
역할을	역할/NNG+을/JKO
수행할	수행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.278.10.3
그러나 국정을 총괄하는 총리의 역할은 둑 전체를 살피고 때론 둑 너머 저 멀리까지 볼 수 있어야 한다.

그러나	그러나/MAJ
국정을	국정/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
총리의	총리/NNG+의/JKG
역할은	역할/NNG+은/JX
둑	둑/NNG
전체를	전체/NNG+를/JKO
살피고	살피/VV+고/EC
때론	때로/MAG+ㄴ/JX
너머	너머/NNG
저	저/MMD
멀리까지	멀리/NNG+까지/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.278.11.1
김종필 전 총리는 올해 설 연휴 때 이완구 총리에게 “절대로 저촉되는 말을 먼저 하지 말고 선행하지 말라”고 ‘2인자 처세’를 충고한 바 있다.

김종필	김종필/NNP
전	전/MMD
총리는	총리/NNG+는/JX
올해	올해/NNG
설	설/NNG
연휴	연휴/NNG
때	때/NNG
이완구	이완구/NNP
총리에게	총리/NNG+에게/JKB
“절대로	“/SS+절대로/MAG
저촉되는	저촉/NNG+되/XSV+는/ETM
말을	말/NNG+을/JKO
먼저	먼저/MAG
하지	하/VV+지/EC
말고	말/VX+고/EC
선행하지	선행/NNG+하/XSV+지/EC
말라”고	말/VX+라/EF+”/SS+고/JKQ
‘2인자	‘/SS+2인자/NNG
처세’를	처세/NNG+’/SS+를/JKO
충고한	충고/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.278.11.2
현직 법무부 장관을 바로 총리에 지명한 것은 조선시대라면 형조판서를 일약 영의정으로 등용한 셈이다.

현직	현직/NNG
법무부	법무부/NNG
장관을	장관/NNG+을/JKO
바로	바로/MAG
총리에	총리/NNG+에/JKB
지명한	지명/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
조선시대라면	조선시대/NNG+이/VCP+라면/EC
형조판서를	형조/NNG+판서/NNG+를/JKO
일약	일약/MAG
영의정으로	영의정/NNG+으로/JKB
등용한	등용/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.278.11.3
황 후보자가 총리가 되면 역린(逆鱗)을 건드리지 않고 국정의 완급을 잘 조절한 명재상 황희 정승에게 길을 묻기 바란다.

황	황/NNP
후보자가	후보자/NNG+가/JKS
총리가	총리/NNG+가/JKC
되면	되/VV+면/EC
역린(逆鱗)을	역린/NNG+(/SS+逆鱗/SH+)/SS+을/JKO
건드리지	건드리/VV+지/EC
않고	않/VX+고/EC
국정의	국정/NNG+의/JKG
완급을	완급/NNG+을/JKO
잘	잘/MAG
조절한	조절/NNG+하/XSV+ㄴ/ETM
명재상	명재상/NNG
황희	황희/NNP
정승에게	정승/NNG+에게/JKB
길을	길/NNG+을/JKO
묻기	묻/VV+기/ETN
바란다.	바라/VV+ㄴ다/EF+./SF


