# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.139
metadata : {}


# id : NWRW1800000049.139.1.1
인문계도 수리문제 출제… 자연계는 논리력 묻는 유형 주의

인문계도	인문/NNG+계/XSN+도/JX
평가하는	평가/NNG+하/XSV+는/ETM
문제가	문제/NNG+가/JKS
주로	주로/MAG
출제된다.	출제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.139.4.2
일반적인 인문계열 논술 형태인 언어 논술 이외에도 경북대 부산대 등에서는 단답 혹은 약술 형태의 답안을 요구하기도 한다.

일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
인문계열	인문/NNG+계열/NNG
논술	논술/NNG
형태인	형태/NNG+이/VCP+ㄴ/ETM
언어	언어/NNG
이외에도	이외/NNG+에/JKB+도/JX
경북대	경북대/NNP
부산대	부산대/NNP
등에서는	등/NNB+에서/JKB+는/JX
단답	단답/NNG
혹은	혹은/MAG
약술	약술/NNG
형태의	형태/NNG+의/JKG
답안을	답안/NNG+을/JKO
요구하기도	요구/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.139.5.1
또 고려대 중앙대(경영경제) 등에서는 수리적 사고가 필요한 문항을 함께 출제한다.

또	또/MAG
고려대	고려대/NNP
중앙대(경영경제)	중앙대/NNP+(/SS+경영/NNG+경제/NNG+)/SS
등에서는	등/NNB+에서/JKB+는/JX
수리적	수리/NNG+적/XSN
사고가	사고/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
문항을	문항/NNG+을/JKO
함께	함께/MAG
출제한다.	출제/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.139.5.2
인문계열 수리논술은 자연계에 비해 난도가 낮고 통계·확률·경우의 수·비례식·추론 등 제한적인 범위에서 출제되기 때문에 기본 개념을 이해하면 큰 어려움 없이 해결할 수 있다.

인문계열	인문/NNG+계열/NNG
수리논술은	수리/NNG+논술/NNG+은/JX
자연계에	자연/NNG+계/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
난도가	난도/NNG+가/JKS
낮고	낮/VA+고/EC
통계·확률·경우의	통계/NNG+·/SP+확률/NNG+·/SP+경우/NNG+의/JKG
수·비례식·추론	수/NNG+·/SP+비례식/NNG+·/SP+추론/NNG
등	등/NNB
제한적인	제한/NNG+적/XSN+이/VCP+ㄴ/ETM
범위에서	범위/NNG+에서/JKB
출제되기	출제/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
기본	기본/NNG
개념을	개념/NNG+을/JKO
이해하면	이해/NNG+하/XSV+면/EC
큰	크/VA+ㄴ/ETM
어려움	어려움/NNG
없이	없이/MAG
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.139.5.3
이영덕 대성학력개발연구소장은 “문제가 쉽지만 충분한 대비를 못 하는 경우가 많아 인문계 수리 논술 문제가 논술전형의 당락에 매우 중요한 요소”라고 말했다.

이영덕	이영덕/NNP
대성학력개발연구소장은	대성학력개발연구소장/NNG+은/JX
“문제가	“/SS+문제/NNG+가/JKS
쉽지만	쉽/VA+지만/EC
충분한	충분하/VA+ㄴ/ETM
대비를	대비/NNG+를/JKO
못	못/MAG
하는	하/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
인문계	인문/NNG+계/XSN
수리	수리/NNG
논술	논술/NNG
문제가	문제/NNG+가/JKS
논술전형의	논술/NNG+전형/NNG+의/JKG
당락에	당락/NNG+에/JKB
매우	매우/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
요소”라고	요소/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.139.6.1
채점의 객관성을 확보하기 위해 일정 정도는 정답의 방향이 있는 문항이 출제된다.

채점의	채점/NNG+의/JKG
객관성을	객관/NNG+성/XSN+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
일정	일정/NNG
정도는	정도/NNG+는/JX
정답의	정답/NNG+의/JKG
방향이	방향/NNG+이/JKS
있는	있/VA+는/ETM
문항이	문항/NNG+이/JKS
출제된다.	출제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.139.6.2
자유로운 글쓰기 문제 대신 요구 조건을 제시하고 이것이 충족될 때만 정답으로 인정하는 식이다.

자유로운	자유/NNG+롭/XSA+ㄴ/ETM
글쓰기	글쓰기/NNG
문제	문제/NNG
대신	대신/NNG
요구	요구/NNG
조건을	조건/NNG+을/JKO
제시하고	제시/NNG+하/XSV+고/EC
이것이	이것/NP+이/JKS
충족될	충족/NNG+되/XSV+ㄹ/ETM
때만	때/NNG+만/JX
정답으로	정답/NNG+으로/JKB
인정하는	인정/NNG+하/XSV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.139.6.3
대부분의 대학에서 매년 논술 가이드북과 모의 논술을 통해 구체적인 출제 방향과 유형을 사전에 공지하기 때문에 본인이 지원한 대학의 해당 자료를 분석하는 것이 좋다.

대부분의	대/XPN+부분/NNG+의/JKG
대학에서	대학/NNG+에서/JKB
매년	매년/MAG
논술	논술/NNG
가이드북과	가이드북/NNG+과/JC
모의	모의/NNG
논술을	논술/NNG+을/JKO
통해	통하/VV+아/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
출제	출제/NNG
방향과	방향/NNG+과/JC
유형을	유형/NNG+을/JKO
사전에	사전/NNG+에/JKB
공지하기	공지/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
본인이	본인/NNG+이/JKS
지원한	지원/NNG+하/XSV+ㄴ/ETM
대학의	대학/NNG+의/JKG
해당	해당/NNG
자료를	자료/NNG+를/JKO
분석하는	분석/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000049.139.7.1
자연계 수리논술은 지식 체계를 암기하고 있는지 묻는 것이 아니라 제시문과 논제에 주어진 정보를 엮어 나가는 논리력을 확인하는 문제가 많다.

자연계	자연/NNG+계/XSN
수리논술은	수리/NNG+논술/NNG+은/JX
지식	지식/NNG
체계를	체계/NNG+를/JKO
암기하고	암기/NNG+하/XSV+고/EC
있는지	있/VX+는지/EF
묻는	묻/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
제시문과	제시문/NNG+과/JC
논제에	논제/NNG+에/JKB
주어진	주어지/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
엮어	엮/VV+어/EC
나가는	나가/VX+는/ETM
논리력을	논리력/NNG+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
문제가	문제/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.139.7.2
고교 교육과정에서 배운 단순한 개념을 중심으로, 문제에 주어진 조건을 모두 사용해야 문제를 해결할 수 있다는 점을 기억해야 한다.

고교	고교/NNG
교육과정에서	교육/NNG+과정/NNG+에서/JKB
배운	배우/VV+ㄴ/ETM
단순한	단순/NNG+하/XSA+ㄴ/ETM
개념을	개념/NNG+을/JKO
중심으로,	중심/NNG+으로/JKB+,/SP
문제에	문제/NNG+에/JKB
주어진	주어지/VV+ㄴ/ETM
조건을	조건/NNG+을/JKO
모두	모두/MAG
사용해야	사용/NNG+하/XSV+아야/EC
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
기억해야	기억/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.139.8.1
자연계열에서는 특히 수학 문항의 문제 해결 능력이 더욱 강조되고 있고, 과학 문항은 수험생이 선택한 과목을 중심으로 응용력을 평가하는 경우가 많다.

자연계열에서는	자연/NNG+계열/NNG+에서/JKB+는/JX
특히	특히/MAG
수학	수학/NNG
문항의	문항/NNG+의/JKG
문제	문제/NNG
해결	해결/NNG
능력이	능력/NNG+이/JKS
더욱	더욱/MAG
강조되고	강조/NNG+되/XSV+고/EC
있고,	있/VX+고/EC+,/SP
과학	과학/NNG
문항은	문항/NNG+은/JX
수험생이	수험/NNG+생/XSN+이/JKS
선택한	선택/NNG+하/XSV+ㄴ/ETM
과목을	과목/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
응용력을	응용력/NNG+을/JKO
평가하는	평가/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.139.8.2
경북대 경희대 성균관대 등은 수학 문항은 필수로 하고, 과학은 선택하는 방식이지만 숭실대 아주대(의학과) 등은 수학과 과학 문항을 모두 풀어야 한다.

경북대	경북대/NNP
경희대	경희대/NNP
성균관대	성균관대/NNP
등은	등/NNB+은/JX
수학	수학/NNG
문항은	문항/NNG+은/JX
필수로	필수/NNG+로/JKB
하고,	하/VV+고/EC+,/SP
과학은	과학/NNG+은/JX
선택하는	선택/NNG+하/XSV+는/ETM
방식이지만	방식/NNG+이/VCP+지만/EC
숭실대	숭실대/NNP
아주대(의학과)	아주대/NNP+(/SS+의학과/NNG+)/SS
수학과	수학/NNG+과/JC
과학	과학/NNG
문항을	문항/NNG+을/JKO
모두	모두/MAG
풀어야	풀/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.139.8.3
서강대 이화여대 한양대 등은 수학 문항만 출제하는데 교과서의 수학 개념과 원리를 응용하고 정확한 과정을 거쳐 결과를 유도하는 것이 중요하다.

서강대	서강대/NNP
이화여대	이화여대/NNP
한양대	한양대/NNP
등은	등/NNB+은/JX
수학	수학/NNG
문항만	문항/NNG+만/JX
출제하는데	출제/NNG+하/XSV+는데/EC
교과서의	교과서/NNG+의/JKG
개념과	개념/NNG+과/JC
원리를	원리/NNG+를/JKO
응용하고	응용/NNG+하/XSV+고/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
결과를	결과/NNG+를/JKO
유도하는	유도/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.139.9.1
논술 답안을 작성할 때 필기구를 제한하는 경우가 있기 때문에 지원한 대학에서 지정한 필기구로 연습할 필요가 있고, 답안지의 여백에 불필요한 표시를 하는 것도 부정 의혹을 살 수 있기 때문에 각별히 유의해야 한다.

논술	논술/NNG
답안을	답안/NNG+을/JKO
작성할	작성/NNG+하/XSV+ㄹ/ETM
때	때/NNG
필기구를	필기구/NNG+를/JKO
제한하는	제한/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
지원한	지원/NNG+하/XSV+ㄴ/ETM
대학에서	대학/NNG+에서/JKB
지정한	지정/NNG+하/XSV+ㄴ/ETM
필기구로	필기구/NNG+로/JKB
연습할	연습/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
답안지의	답안지/NNG+의/JKG
여백에	여백/NNG+에/JKB
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
표시를	표시/NNG+를/JKO
하는	하/VV+는/ETM
것도	것/NNB+도/JX
부정	부정/NNG
의혹을	의혹/NNG+을/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
각별히	각별히/MAG
유의해야	유의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.139.9.2
완벽한 답안을 쓰지 못하더라도 개념이나 원리, 계획 수립 과정 등을 일부라도 작성하면 부분 점수를 받을 수 있으니 문항 전체를 포기해서는 안 된다.

완벽한	완벽/NNG+하/XSA+ㄴ/ETM
답안을	답안/NNG+을/JKO
쓰지	쓰/VV+지/EC
못하더라도	못하/VX+더라도/EC
개념이나	개념/NNG+이나/JC
원리,	원리/NNG+,/SP
계획	계획/NNG
수립	수립/NNG
과정	과정/NNG
등을	등/NNB+을/JKO
일부라도	일부/NNG+라도/JX
작성하면	작성/NNG+하/XSV+면/EC
부분	부분/NNG
점수를	점수/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있으니	있/VA+으니/EC
문항	문항/NNG
전체를	전체/NNG+를/JKO
포기해서는	포기/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.139.9.3
또 대부분의 대학에서 답안 분량을 제시하고 있는데 이를 지키지 못하면 감점된다.

또	또/MAG
대부분의	대/XPN+부분/NNG+의/JKG
대학에서	대학/NNG+에서/JKB
답안	답안/NNG
분량을	분량/NNG+을/JKO
제시하고	제시/NNG+하/XSV+고/EC
있는데	있/VX+는데/EC
이를	이/NP+를/JKO
지키지	지키/VV+지/EC
못하면	못하/VX+면/EC
감점된다.	감점/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.139.9.4
정해진 분량을 지키는 것은 답안 작성의 기본이다.

정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
분량을	분량/NNG+을/JKO
지키는	지키/VV+는/ETM
것은	것/NNB+은/JX
답안	답안/NNG
작성의	작성/NNG+의/JKG
기본이다.	기본/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.139.10.1
메가스터디 관계자는 “각 대학에서 올해 발표한 모의논술 문항을 보면 대부분 지난해 수시 논술고사 출제 경향을 유지하면서 교과서 내용을 중심으로 문제 해결 능력과 응용력을 측정하는 문항을 출제하고 있다”라며 “수험생은 본인이 지원한 대학의 논술고사 문항 구성과 풀이 방식 등을 사전에 명확하게 파악하고 이에 맞춰 대비해야 한다”라고 말했다.

메가스터디	메가스터디/NNP
관계자는	관계자/NNG+는/JX
“각	“/SS+각/MMD
대학에서	대학/NNG+에서/JKB
올해	올해/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
모의논술	모의/NNG+논술/NNG
문항을	문항/NNG+을/JKO
보면	보/VV+면/EC
대부분	대/XPN+부분/NNG
지난해	지난해/NNG
수시	수시/NNG
논술고사	논술/NNG+고사/NNG
출제	출제/NNG
경향을	경향/NNG+을/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
교과서	교과서/NNG
내용을	내용/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
문제	문제/NNG
해결	해결/NNG
능력과	능력/NNG+과/JC
응용력을	응용력/NNG+을/JKO
측정하는	측정/NNG+하/XSV+는/ETM
출제하고	출제/NNG+하/XSV+고/EC
있다”라며	있/VX+다/EF+”/SS+이/VCP+라며/EC
“수험생은	“/SS+수험/NNG+생/XSN+은/JX
본인이	본인/NNG+이/JKS
지원한	지원/NNG+하/XSV+ㄴ/ETM
대학의	대학/NNG+의/JKG
문항	문항/NNG
구성과	구성/NNG+과/JC
풀이	풀이/NNG
방식	방식/NNG
등을	등/NNB+을/JKO
사전에	사전/NNG+에/JKB
명확하게	명확하/VA+게/EC
파악하고	파악/NNG+하/XSV+고/EC
이에	이/NP+에/JKB
맞춰	맞추/VV+어/EC
대비해야	대비/NNG+하/XSV+아야/EC
한다”라고	하/VX+ㄴ다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


