# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.58
metadata : {}


# id : NWRW1800000053.58.1.1
[WCC]직업교육 국제화-개도국 수출로 ‘교육한류’ 선도

[WCC]직업교육	[/SS+WCC/SL+]/SS+직업/NNG+교육/NNG
또한	또한/MAG
동남아시아의	동남아시아/NNP+의/JKG
개발도상국가를	개발/NNG+도상/NNG+국가/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
교육	교육/NNG
프로그램	프로그램/NNG
교류를	교류/NNG+를/JKO
추진함으로써	추진/NNG+하/XSV+ㅁ/ETN+으로써/JKB
우리나라의	우리나라/NNG+의/JKG
우수한	우수/NNG+하/XSA+ㄴ/ETM
직업교육	직업/NNG+교육/NNG
체계를	체계/NNG+를/JKO
이식하고	이식/NNG+하/XSV+고/EC
수출하기	수출/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
기반을	기반/NNG+을/JKO
구축하고자	구축/NNG+하/XSV+고자/EC
노력하고	노력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.58.5.1
두원공과대는 세계화에 대비해 학생들의 글로벌 직업능력을 향상하기 위해 글로벌화 튜닝(TG·Tuning for Global)을 실천하고 있다.

두원공과대는	두원공과대/NNP+는/JX
세계화에	세계/NNG+화/XSN+에/JKB
대비해	대비/NNG+하/XSV+아/EC
학생들의	학생/NNG+들/XSN+의/JKG
글로벌	글로벌/NNG
직업능력을	직업/NNG+능력/NNG+을/JKO
향상하기	향상/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
글로벌화	글로벌/NNG+화/XSN
튜닝(TG·Tuning	튜닝/NNG+(/SS+TG/SL+·/SP+Tuning/SL
for	for/SL
Global)을	Global/SL+)/SS+을/JKO
실천하고	실천/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.58.5.2
TG의 성과로는 해외취업 역량 강화를 위한 수준별 어학능력 향상 및 국내외 어학연수와 해외 인턴십, 외국 우수기업체 취업지원 시스템 등을 구축하여 운영하고 있다.

TG의	TG/SL+의/JKG
성과로는	성과/NNG+로/JKB+는/JX
해외취업	해외/NNG+취업/NNG
역량	역량/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
수준별	수준/NNG+별/XSN
어학능력	어학/NNG+능력/NNG
향상	향상/NNG
및	및/MAG
국내외	국내외/NNG
어학연수와	어학연수/NNG+와/JC
해외	해외/NNG
인턴십,	인턴십/NNG+,/SP
외국	외국/NNG
우수기업체	우수/NNG+기업체/NNG
취업지원	취업/NNG+지원/NNG
시스템	시스템/NNG
등을	등/NNB+을/JKO
구축하여	구축/NNG+하/XSV+아/EC
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.58.5.3
문의 031-8056-7020, www.doowon.ac.kr

문의	문의/NNG
031-8056-7020,	031/SN+-/SO+8056/SN+-/SO+7020/SN+,/SP
www.doowon.ac.kr	www/SL+./SP+doowon/SL+./SP+ac/SL+./SP+kr/SL


