# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.386
metadata : {}


# id : NWRW1800000022.386.1.1
[인천·부천] "인천항, 국·시비 들여 친수공간으로";안 시장, "주거·상업시설 반대"

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
국·시비를	국·시비/NNG+를/JKO
들여	들이/VV+어/EC
문화시설	문화/NNG+시설/NNG
등	등/NNB
친수공간으로	친수/NNG+공간/NNG+으로/JKB
조성해야	조성/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.386.4.1
이는 인천시가 그동안 추진해온 사업 계획과 전혀 다른 방향이어서 주목된다.

이는	이/NP+는/JX
인천시가	인천시/NNP+가/JKS
그동안	그동안/NNG
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
사업	사업/NNG
계획과	계획/NNG+과/JKB
전혀	전혀/MAG
다른	다르/VA+ㄴ/ETM
방향이어서	방향/NNG+이/VCP+어서/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.386.4.2
시는 지난달 말 열린 '2025년 도시기본계획 공청회'에서 인천항 내항의 절반이 넘는 1·6·7·8부두 72만㎡를 올해 말까지 공업지역에서 주거(48만㎡)·상업(24만㎡) 용지로 바꾼 뒤 2011년부터 2015년까지 재개발 사업을 벌이겠다고 밝힌 바 있다.

시는	시/NNG+는/JX
지난달	지난달/NNG
말	말/NNB
열린	열리/VV+ㄴ/ETM
'2025년	'/SS+2025/SN+년/NNB
도시기본계획	도시/NNG+기본/NNG+계획/NNG
공청회'에서	공청회/NNG+'/SS+에서/JKB
인천항	인천항/NNP
내항의	내항/NNG+의/JKG
절반이	절반/NNG+이/JKS
넘는	넘/VV+는/ETM
1·6·7·8부두	1/SN+·/SP+6/SN+·/SP+7/SN+·/SP+8/SN+부두/NNG
72만㎡를	72/SN+만/NR+㎡/SW+를/JKO
올해	올해/NNG
말까지	말/NNB+까지/JX
공업지역에서	공업/NNG+지역/NNG+에서/JKB
주거(48만㎡)·상업(24만㎡)	주거/NNG+(/SS+48/SN+만/NR+㎡/SW+)/SS+·/SP+상업/NNG+(/SS+24/SN+만/NR+㎡/SW+)/SS
용지로	용지/NNG+로/JKB
바꾼	바꾸/VV+ㄴ/ETM
뒤	뒤/NNG
2011년부터	2011/SN+년/NNB+부터/JX
2015년까지	2015/SN+년/NNB+까지/JX
재개발	재/XPN+개발/NNG
사업을	사업/NNG+을/JKO
벌이겠다고	벌이/VV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.386.5.1
이날 간담회에서 대책위는 안 시장에게 인천내항을 주거·상업시설로 재개발하지 말고 시민들을 위한 친수공원으로 조성할 것과 1·6·7·8 부두와 그 배후지역을 공업지역에서 주거·상업지역으로 바꾼다는 '2025년 인천도시기본계획'을 철회할 것을 요구했다.

이날	이날/NNG
간담회에서	간담회/NNG+에서/JKB
대책위는	대책위/NNG+는/JX
안	안/NNP
시장에게	시장/NNG+에게/JKB
인천내항을	인천내항/NNP+을/JKO
주거·상업시설로	주거/NNG+·/SP+상업/NNG+시설/NNG+로/JKB
재개발하지	재/XPN+개발/NNG+하/XSV+지/EC
말고	말/VX+고/EC
시민들을	시민/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
친수공원으로	친수/NNG+공원/NNG+으로/JKB
조성할	조성/NNG+하/XSV+ㄹ/ETM
것과	것/NNB+과/JC
1·6·7·8	1/SN+·/SP+6/SN+·/SP+7/SN+·/SP+8/SN
부두와	부두/NNG+와/JC
그	그/MMD
배후지역을	배후/NNG+지역/NNG+을/JKO
공업지역에서	공업/NNG+지역/NNG+에서/JKB
주거·상업지역으로	주거/NNG+·/SP+상업/NNG+지역/NNG+으로/JKB
바꾼다는	바꾸/VV+ㄴ다는/ETM
'2025년	'/SS+2025/SN+년/NNB
인천도시기본계획'을	인천/NNP+도시/NNG+기본/NNG+계획/NNG+'/SS+을/JKO
철회할	철회/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.386.6.1
안 시장은 이에 대해 "항만업계가 반대하는 일을 시가 일방적으로 밀어붙이는 일은 없을 것"이라며 "시와 항만업계가 실무협의회를 구성해 논의할 수 있도록 하겠다"고 약속했다.

안	안/NNP
시장은	시장/NNG+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
"항만업계가	"/SS+항만업/NNG+계/XSN+가/JKS
반대하는	반대/NNG+하/XSV+는/ETM
일을	일/NNG+을/JKO
시가	시/NNG+가/JKS
일방적으로	일방/NNG+적/XSN+으로/JKB
밀어붙이는	밀어붙이/VV+는/ETM
일은	일/NNG+은/JX
없을	없/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"시와	"/SS+시/NNG+와/JC
항만업계가	항만업/NNG+계/XSN+가/JKS
실무협의회를	실무/NNG+협의회/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
논의할	논의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


