# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.53
metadata : {}


# id : NWRW1800000029.53.1.1
글로벌 스마트폰 시장 ‘2분기 반전드라마’

글로벌	글로벌/NNG
팔아치워	팔/VV+아/EC+치우/VX+어/EC
처음으로	처음/NNG+으로/JKB
분기별	분기/NNG+별/XSN
판매량	판매량/NNG
1000만	1000/SN+만/NR
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.53.6.1
HTC의 실적 발표로 마무리된 2분기 스마트폰 판매량 ‘성적표’의 가장 큰 특징은 급격한 순위 변동이었다.

HTC의	HTC/SL+의/JKG
실적	실적/NNG
발표로	발표/NNG+로/JKB
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
2분기	2/SN+분기/NNG
스마트폰	스마트폰/NNG
판매량	판매량/NNG
‘성적표’의	‘/SS+성적표/NNG+’/SS+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
특징은	특징/NNG+은/JX
급격한	급격하/VA+ㄴ/ETM
순위	순위/NNG
변동이었다.	변동/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.53.6.2
2002년부터 1위를 지키던 노키아는 올해 2분기에 3위로 떨어졌고, 애플은 삼성전자에 근소하게 앞서 1위에 올랐다.

2002년부터	2002/SN+년/NNB+부터/JX
1위를	1/SN+위/NNB+를/JKO
지키던	지키/VV+던/ETM
노키아는	노키아/NNP+는/JX
올해	올해/NNG
2분기에	2/SN+분기/NNG+에/JKB
3위로	3/SN+위/NNB+로/JKB
떨어졌고,	떨어지/VV+었/EP+고/EC+,/SP
애플은	애플/NNP+은/JX
삼성전자에	삼성전자/NNP+에/JKB
근소하게	근소하/VA+게/EC
앞서	앞서/VV+어/EC
1위에	1/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.53.6.3
1분기까지 4위였던 삼성전자는 단숨에 2위 자리를 차지했다.

1분기까지	1/SN+분기/NNG+까지/JX
4위였던	4/SN+위/NNB+이/VCP+었/EP+던/ETM
삼성전자는	삼성전자/NNP+는/JX
단숨에	단숨에/MAG
2위	2/SN+위/NNB
자리를	자리/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.53.6.4
5위 HTC는 4위 RIM과의 격차를 100만 대 안팎으로 줄이며 맹추격하고 있다.

5위	5/SN+위/NNB
HTC는	HTC/SL+는/JX
4위	4/SN+위/NNB
RIM과의	RIM/SL+과/JKB+의/JKG
격차를	격차/NNG+를/JKO
100만	100/SN+만/NR
대	대/NNB
안팎으로	안팎/NNG+으로/JKB
줄이며	줄이/VV+며/EC
맹추격하고	맹추격/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.53.7.1
하위권에 머물던 LG전자도 선방했다.

하위권에	하위/NNG+권/XSN+에/JKB
머물던	머물/VV+던/ETM
LG전자도	LG전자/NNP+도/JX
선방했다.	선방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.53.7.2
이번 2분기에 모토로라를 200만 대 차로 앞질러 6위를 차지했다.

이번	이번/NNG
2분기에	2/SN+분기/NNG+에/JKB
모토로라를	모토로라/NNP+를/JKO
200만	200/SN+만/NR
대	대/NNB
차로	차/NNG+로/JKB
앞질러	앞지르/VV+어/EC
6위를	6/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.53.7.3
7위로 내려간 모토로라는 매출은 3조4800억 원으로 지난해 같은 기간보다 28% 늘었지만 2분기 연속 영업 손실을 내며 흑자 전환에 실패했다.

7위로	7/SN+위/NNB+로/JKB
내려간	내려가/VV+ㄴ/ETM
모토로라는	모토로라/NNP+는/JX
매출은	매출/NNG+은/JX
3조4800억	3/SN+조/NR+4800/SN+억/NR
원으로	원/NNB+으로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
28%	28/SN+%/SW
늘었지만	늘/VV+었/EP+지만/EC
2분기	2/SN+분기/NNG
연속	연속/NNG
영업	영업/NNG
손실을	손실/NNG+을/JKO
내며	내/VV+며/EC
흑자	흑자/NNG
전환에	전환/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.53.7.4
기업 고객 시장을 장악하던 RIM도 애플과 구글 안드로이드 계열 스마트폰에 시장을 빼앗기며 고전하고 있다.

기업	기업/NNG
고객	고객/NNG
시장을	시장/NNG+을/JKO
장악하던	장악/NNG+하/XSV+던/ETM
RIM도	RIM/SL+도/JX
애플과	애플/NNP+과/JC
구글	구글/NNP
안드로이드	안드로이드/NNG
계열	계열/NNG
스마트폰에	스마트폰/NNG+에/JKB
빼앗기며	빼앗기/VV+며/EC
고전하고	고전/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.53.7.5
RIM은 최근 실적 악화에서 벗어나기 위한 고육책으로 전체 임직원의 11%에 해당하는 2000여 명을 줄이는 인원감축안을 내놓았다.

RIM은	RIM/SL+은/JX
최근	최근/MAG
실적	실적/NNG
악화에서	악화/NNG+에서/JKB
벗어나기	벗어나/VV+기/ETN
위한	위하/VV+ㄴ/ETM
고육책으로	고육책/NNG+으로/JKB
전체	전체/NNG
임직원의	임직원/NNG+의/JKG
11%에	11/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
2000여	2000/SN+여/XSN
명을	명/NNB+을/JKO
줄이는	줄이/VV+는/ETM
인원감축안을	인원/NNG+감축안/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


