# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.438
metadata : {}


# id : NWRW1800000054.438.1.1
'예산 429兆' 한밤 국회 통과

'예산	'/SS+예산/NNG
1375억원을	1375/SN+억/NR+원/NNB+을/JKO
순(純)삭감했다.	순/MMA+(/SS+純/SH+)/SS+삭감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.438.4.2
4조3251억원을 감액하고 4조1876억원을 증액한 것이다.

4조3251억원을	4/SN+조/NR+3251/SN+억/NR+원/NNB+을/JKO
감액하고	감액/NNG+하/XSV+고/EC
4조1876억원을	4/SN+조/NR+1876/SN+억/NR+원/NNB+을/JKO
증액한	증액/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.438.4.3
특히 복지 분야(보건·복지·노동) 예산은 144조7000억원가량 반영돼 전체 예산의 3분의 1가량인 33.7%를 차지했다.

특히	특히/MAG
복지	복지/NNG
분야(보건·복지·노동)	분야/NNG+(/SS+보건/NNG+·/SP+복지/NNG+·/SP+노동/NNG+)/SS
예산은	예산/NNG+은/JX
144조7000억원가량	144/SN+조/NR+7000/SN+억/NR+원/NNB+가량/XSN
반영돼	반영/NNG+되/XSV+어/EC
전체	전체/NNG
예산의	예산/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1가량인	1/SN+가량/XSN+이/VCP+ㄴ/ETM
33.7%를	33/SN+./SP+7/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.438.4.4
복지 예산은 2013년 97조원에서 2014년 106조4000억원, 2015년 115조원, 2016년 123조4000억원, 2017년 129조5000억원으로 계속 인상돼 왔다.

복지	복지/NNG
예산은	예산/NNG+은/JX
2013년	2013/SN+년/NNB
97조원에서	97/SN+조/NR+원/NNB+에서/JKB
2014년	2014/SN+년/NNB
106조4000억원,	106/SN+조/NR+4000/SN+억/NR+원/NNB+,/SP
2015년	2015/SN+년/NNB
115조원,	115/SN+조/NR+원/NNB+,/SP
2016년	2016/SN+년/NNB
123조4000억원,	123/SN+조/NR+4000/SN+억/NR+원/NNB+,/SP
2017년	2017/SN+년/NNB
129조5000억원으로	129/SN+조/NR+5000/SN+억/NR+원/NNB+으로/JKB
계속	계속/MAG
인상돼	인상/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.438.4.5
대표적인 복지 예산은 내년 9월부터 적용되는 아동수당과 기초연금 확대 예산, 공무원 증원과 최저임금 인상 지원 등이다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
복지	복지/NNG
예산은	예산/NNG+은/JX
내년	내년/NNG
9월부터	9/SN+월/NNB+부터/JX
적용되는	적용/NNG+되/XSV+는/ETM
아동수당과	아동/NNG+수당/NNG+과/JC
기초연금	기초/NNG+연금/NNG
확대	확대/NNG
예산,	예산/NNG+,/SP
공무원	공무원/NNG
증원과	증원/NNG+과/JC
최저임금	최저/NNG+임금/NNG
인상	인상/NNG
지원	지원/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.438.4.6
국가 재정을 투입해 곧바로 늘릴 수 있는 공무원 규모를 확대하고, 저임금 근로자들의 임금을 인상해 소득주도 성장을 이뤄내겠다는 문재인 정부의 국정 운영 기조가 반영된 것이다.

국가	국가/NNG
재정을	재정/NNG+을/JKO
투입해	투입/NNG+하/XSV+아/EC
곧바로	곧바로/MAG
늘릴	늘리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공무원	공무원/NNG
규모를	규모/NNG+를/JKO
확대하고,	확대/NNG+하/XSV+고/EC+,/SP
저임금	저/XPN+임금/NNG
근로자들의	근로자/NNG+들/XSN+의/JKG
임금을	임금/NNG+을/JKO
인상해	인상/NNG+하/XSV+아/EC
소득주도	소득/NNG+주도/NNG
성장을	성장/NNG+을/JKO
이뤄내겠다는	이루/VV+어/EC+내/VX+겠/EP+다는/ETM
문재인	문재인/NNP
정부의	정부/NNG+의/JKG
국정	국정/NNG
운영	운영/NNG
기조가	기조/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.438.5.1
복지 예산은 국회 심의 과정에서 정부안(146조2000억원)보다는 1조5000억원 감액됐다.

복지	복지/NNG
예산은	예산/NNG+은/JX
국회	국회/NNG
심의	심의/NNG
과정에서	과정/NNG+에서/JKB
정부안(146조2000억원)보다는	정부안/NNG+(/SS+146/SN+조/NR+2000/SN+억/NR+원/NNB+)/SS+보다/JKB+는/JX
1조5000억원	1/SN+조/NR+5000/SN+억/NR+원/NNB
감액됐다.	감액/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.5.2
아동수당과 기초연금은 지급 시기를 늦추는 방식 등으로 국회에서 각각 3912억원, 7171억원 감액됐다.

아동수당과	아동/NNG+수당/NNG+과/JC
기초연금은	기초/NNG+연금/NNG+은/JX
지급	지급/NNG
시기를	시기/NNG+를/JKO
늦추는	늦추/VV+는/ETM
방식	방식/NNG
등으로	등/NNB+으로/JKB
국회에서	국회/NNG+에서/JKB
각각	각각/MAG
3912억원,	3912/SN+억/NR+원/NNB+,/SP
7171억원	7171/SN+억/NR+원/NNB
감액됐다.	감액/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.5.3
중앙직 공무원 증원은 당초 정부는 1만2221명에 대한 예산 3026억원(6개월치 인건비)을 편성했지만, 여야 협상 과정에서 증원 규모가 9475명으로 줄면서 예산도 일부 삭감됐다.

중앙직	중앙직/NNG
공무원	공무원/NNG
증원은	증원/NNG+은/JX
당초	당초/NNG
정부는	정부/NNG+는/JX
1만2221명에	1/SN+만/NR+2221/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
예산	예산/NNG
3026억원(6개월치	3026/SN+억/NR+원/NNB+(/SS+6/SN+개월/NNB+치/NNB
인건비)을	인건비/NNG+)/SS+을/JKO
편성했지만,	편성/NNG+하/XSV+았/EP+지만/EC+,/SP
여야	여야/NNG
협상	협상/NNG
과정에서	과정/NNG+에서/JKB
증원	증원/NNG
규모가	규모/NNG+가/JKS
9475명으로	9475/SN+명/NNB+으로/JKB
줄면서	줄/VV+면서/EC
예산도	예산/NNG+도/JX
일부	일부/NNG
삭감됐다.	삭감/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.5.4
야당이 "포퓰리즘"이라고 반대했기 때문이기도 하지만 정치권에서는 "애초에 정부가 너무 많은 복지 예산을 잡아왔다"고 했다.

야당이	야당/NNG+이/JKS
"포퓰리즘"이라고	"/SS+포퓰리즘/NNG+"/SS+이라고/JKQ
반대했기	반대/NNG+하/XSV+았/EP+기/ETN
때문이기도	때문/NNB+이/VCP+기/ETN+도/JX
하지만	하/VX+지만/EC
정치권에서는	정치/NNG+권/XSN+에서/JKB+는/JX
"애초에	"/SS+애초/NNG+에/JKB
정부가	정부/NNG+가/JKS
너무	너무/MAG
많은	많/VA+은/ETM
복지	복지/NNG
예산을	예산/NNG+을/JKO
잡아왔다"고	잡/VV+아/EC+오/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.438.5.5
반면 SOC 예산은 정부안보다 1조3000억원 증액돼 19조원, 국방 예산은 400억원 증액돼 43조2000억원이 반영됐다.

반면	반면/NNG
SOC	SOC/SL
예산은	예산/NNG+은/JX
정부안보다	정부안/NNG+보다/JKB
1조3000억원	1/SN+조/NR+3000/SN+억/NR+원/NNB
증액돼	증액/NNG+되/XSV+어/EC
19조원,	19/SN+조/NR+원/NNB+,/SP
국방	국방/NNG
400억원	400/SN+억/NR+원/NNB
43조2000억원이	43/SN+조/NR+2000/SN+억/NR+원/NNB+이/JKS
반영됐다.	반영/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.6.1
국회는 5일 법인세법·소득세법 개정안도 통과시켰다.

국회는	국회/NNG+는/JX
5일	5/SN+일/NNB
법인세법·소득세법	법인세법/NNG+·/SP+소득세법/NNG
개정안도	개정안/NNG+도/JX
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.6.2
과세표준 3억~5억원인 소득자는 내년부터 소득세율이 현행 38%에서 40%로, 5억원 초과인 소득자는 40%에서 42%로 높아진다.

과세표준	과세/NNG+표준/NNG
3억~5억원인	3/SN+억/NR+~/SO+5/SN+억/NR+원/NNB+이/VCP+ㄴ/ETM
소득자는	소득자/NNG+는/JX
내년부터	내년/NNG+부터/JX
소득세율이	소득세/NNG+율/XSN+이/JKS
현행	현행/NNG
38%에서	38/SN+%/SW+에서/JKB
40%로,	40/SN+%/SW+로/JKB+,/SP
5억원	5/SN+억/NR+원/NNB
초과인	초과/NNG+이/VCP+ㄴ/ETM
40%에서	40/SN+%/SW+에서/JKB
42%로	42/SN+%/SW+로/JKB
높아진다.	높아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.438.6.3
과세표준 3000억원 이상인 기업들도 내년부터 법인세율이 현행 22%에서 25%로 인상된다.

과세표준	과세/NNG+표준/NNG
3000억원	3000/SN+억/NR+원/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
기업들도	기업/NNG+들/XSN+도/JX
내년부터	내년/NNG+부터/JX
법인세율이	법인세/NNG+율/XSN+이/JKS
현행	현행/NNG
22%에서	22/SN+%/SW+에서/JKB
25%로	25/SN+%/SW+로/JKB
인상된다.	인상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.438.6.4
법인세법은 자유한국당이 불참한 가운데 찬성 133명, 반대 33명, 기권 11명으로 가결됐다.

법인세법은	법인세법/NNG+은/JX
자유한국당이	자유한국당/NNP+이/JKS
불참한	불참/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
찬성	찬성/NNG
133명,	133/SN+명/NNB+,/SP
반대	반대/NNG
33명,	33/SN+명/NNB+,/SP
기권	기권/NNG
11명으로	11/SN+명/NNB+으로/JKB
가결됐다.	가결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.6.5
전체 116명인 한국당 의원들이 표결에 참여했다면 부결되는 것이었다.

전체	전체/NNG
116명인	116/SN+명/NNB+이/VCP+ㄴ/ETM
한국당	한국당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
표결에	표결/NNG+에/JKB
참여했다면	참여/NNG+하/XSV+았/EP+다면/EC
부결되는	부결/NNG+되/XSV+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.438.6.6
소득세법은 찬성 161명, 반대 4명, 기권 3명으로 통과됐다.

소득세법은	소득세법/NNG+은/JX
찬성	찬성/NNG
161명,	161/SN+명/NNB+,/SP
반대	반대/NNG
4명,	4/SN+명/NNB+,/SP
기권	기권/NNG
3명으로	3/SN+명/NNB+으로/JKB
통과됐다.	통과/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.6.7
한국당 의원들은 법인세법 처리 소식을 듣고 뒤늦게 본회의장에 들어와 "국회의장 사퇴하라" 등의 구호를 외치며 항의하기도 했다.

한국당	한국당/NNP
의원들은	의원/NNG+들/XSN+은/JX
법인세법	법인세법/NNG
처리	처리/NNG
소식을	소식/NNG+을/JKO
듣고	듣/VV+고/EC
뒤늦게	뒤늦/VA+게/EC
본회의장에	본회의장/NNG+에/JKB
들어와	들어오/VV+아/EC
"국회의장	"/SS+국회/NNG+의장/NNG
사퇴하라"	사퇴/NNG+하/XSV+라/EF+"/SS
등의	등/NNB+의/JKG
구호를	구호/NNG+를/JKO
외치며	외치/VV+며/EC
항의하기도	항의/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.438.7.1
여야는 공무원 증원 예산 등을 놓고 대립하면서 결국 예산안 처리 법정 시한(12월 2일)을 넘겼다.

여야는	여야/NNG+는/JX
공무원	공무원/NNG
증원	증원/NNG
예산	예산/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
대립하면서	대립/NNG+하/XSV+면서/EC
결국	결국/MAG
예산안	예산안/NNG
처리	처리/NNG
법정	법정/NNG
시한(12월	시한/NNG+(/SS+12/SN+월/NNB
2일)을	2/SN+일/NNB+)/SS+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.7.2
국회가 법정 시한을 지키지 못한 것은 2014년 이른바 국회선진화법 도입 이후 처음이다.

국회가	국회/NNG+가/JKS
법정	법정/NNG
시한을	시한/NNG+을/JKO
지키지	지키/VV+지/EC
못한	못하/VX+ㄴ/ETM
것은	것/NNB+은/JX
2014년	2014/SN+년/NNB
이른바	이른바/MAG
국회선진화법	국회/NNG+선진/NNG+화/XSN+법/NNG
도입	도입/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


