# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.96
metadata : {}


# id : NWRW1800000038.96.1.1
쉰여섯의 댄스가수, 나미

쉰여섯의	쉰여섯/NR+의/JKG
빛났던	빛나/VV+았/EP+던/ETM
나미	나미/NNP
음악의	음악/NNG+의/JKG
연장선상에	연장선/NNG+상/XSN+에/JKB
있는	있/VA+는/ETM
노래.	노래/NNG+./SF


# id : NWRW1800000038.96.4.2
하지만 쉰여섯이라는 나이를 감안하면 파격에 가깝다.

하지만	하지만/MAJ
쉰여섯이라는	쉰여섯/NR+이/VCP+라는/ETM
나이를	나이/NNG+를/JKO
감안하면	감안/NNG+하/XSV+면/EC
파격에	파격/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000038.96.4.3
댄스곡치고 아주 빠른 비트는 아니지만, 날카로운 전자음과 음향을 버무린 편곡은 그가 지금까지 발표했던 노래 중 '센' 편에 속한다.

댄스곡치고	댄스곡/NNG+치고/JX
아주	아주/MAG
빠른	빠르/VA+ㄴ/ETM
비트는	비트/NNG+는/JX
아니지만,	아니/VCN+지만/EC+,/SP
날카로운	날카롭/VA+ㄴ/ETM
전자음과	전자음/NNG+과/JC
음향을	음향/NNG+을/JKO
버무린	버무리/VV+ㄴ/ETM
편곡은	편곡/NNG+은/JX
그가	그/NP+가/JKS
지금까지	지금/NNG+까지/JX
발표했던	발표/NNG+하/XSV+았/EP+던/ETM
노래	노래/NNG
중	중/NNB
'센'	'/SS+세/VA+ㄴ/ETM+'/SS
편에	편/NNB+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.96.4.4
소속사 TGS는 "'Voyeur'는 프랑스어로 '바라보는 사람'을 뜻하며 발음도 국어의 '보여'와 같아 '사랑하는 사람을 바라보는 마음'이 담긴 제목"이라고 했다.

소속사	소속사/NNG
TGS는	TGS/SL+는/JX
"'Voyeur'는	"/SS+'/SS+Voyeur/SL+'/SS+는/JX
프랑스어로	프랑스어/NNP+로/JKB
'바라보는	'/SS+바라보/VV+는/ETM
사람'을	사람/NNG+'/SS+을/JKO
뜻하며	뜻/NNG+하/XSV+며/EC
발음도	발음/NNG+도/JX
국어의	국어/NNG+의/JKG
'보여'와	'/SS+보/VV+여/EF+'/SS+와/JKB
같아	같/VA+아/EC
'사랑하는	'/SS+사랑/NNG+하/XSV+는/ETM
사람을	사람/NNG+을/JKO
바라보는	바라보/VV+는/ETM
마음'이	마음/NNG+'/SS+이/JKS
담긴	담기/VV+ㄴ/ETM
제목"이라고	제목/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.96.5.1
일찍이 1970~80년대 '영원한 친구'(이탈리아의 프랑코 로마노) '슬픈 인연'(일본의 우자키 류도) 등 외국 작곡가들의 노래를 부르고 히트시켰던 나미답게 이번 신곡도 외국에서 만들었다.

일찍이	일찍이/MAG
1970~80년대	1970/SN+~/SO+80/SN+년대/NNB
'영원한	'/SS+영원/NNG+하/XSA+ㄴ/ETM
친구'(이탈리아의	친구/NNG+'/SS+(/SS+이탈리아/NNP+의/JKG
프랑코	프랑코/NNP
로마노)	로마노/NNP+)/SS
'슬픈	'/SS+슬프/VA+ㄴ/ETM
인연'(일본의	인연/NNG+'/SS+(/SS+일본/NNP+의/JKG
우자키	우자키/NNP
류도)	류도/NNP+)/SS
등	등/NNB
외국	외국/NNG
작곡가들의	작곡가/NNG+들/XSN+의/JKG
노래를	노래/NNG+를/JKO
부르고	부르/VV+고/EC
히트시켰던	히트/NNG+시키/XSV+었/EP+던/ETM
나미답게	나미/NNP+답/XSA+게/EC
이번	이번/NNG
신곡도	신곡/NNG+도/JX
외국에서	외국/NNG+에서/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.96.5.2
공동 작곡가인 독일의 안드레아스 배르텔스·뤼드거 슈람은 '으르렁'(엑소) '트윙클'(소녀시대 태티서) 등을 히트시킨 음악그룹 잼팩토리 소속이다.

공동	공동/NNG
작곡가인	작곡가/NNG+이/VCP+ㄴ/ETM
독일의	독일/NNP+의/JKG
안드레아스	안드레아스/NNP
배르텔스·뤼드거	배르텔스/NNP+·/SP+뤼드거/NNP
슈람은	슈람/NNP+은/JX
'으르렁'(엑소)	'/SS+으르렁/MAG+'/SS+(/SS+엑소/NNP+)/SS
'트윙클'(소녀시대	'/SS+트윙클/NNG+'/SS+(/SS+소녀시대/NNP
태티서)	태티서/NNP+)/SS
등을	등/NNB+을/JKO
히트시킨	히트/NNG+시키/XSV+ㄴ/ETM
음악그룹	음악/NNG+그룹/NNG
잼팩토리	잼팩토리/NNP
소속이다.	소속/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.96.5.3
미국에서 촬영한 뮤직비디오는 나미의 노래에 맞춰 남녀 댄서들의 선정적 춤이 이어지는데, 나미가 직접 출연하지 않았다.

미국에서	미국/NNP+에서/JKB
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
뮤직비디오는	뮤직비디오/NNG+는/JX
나미의	나미/NNP+의/JKG
노래에	노래/NNG+에/JKB
맞춰	맞추/VV+어/EC
남녀	남녀/NNG
댄서들의	댄서/NNG+들/XSN+의/JKG
선정적	선정/NNG+적/XSN
춤이	춤/NNG+이/JKS
이어지는데,	이어지/VV+는데/EC+,/SP
나미가	나미/NNP+가/JKS
직접	직접/MAG
출연하지	출연/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.96.5.4
뮤직비디오 제작에는 마돈나·U2 등의 뮤직비디오를 만든 마이클 파이저가 참여했다.

뮤직비디오	뮤직비디오/NNG
제작에는	제작/NNG+에/JKB+는/JX
마돈나·U2	마돈나/NNP+·/SP+U2/NNP
등의	등/NNB+의/JKG
뮤직비디오를	뮤직비디오/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
마이클	마이클/NNP
파이저가	파이저/NNP+가/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.96.6.1
나미는 트위터와 유튜브 등에 공식 채널을 열었고 "17년 만에 여러분 앞에 서게 되어 너무 설렌다. 많은 격려와 응원을 부탁드린다"고 소감을 밝혔다.

나미는	나미/NNP+는/JX
트위터와	트위터/NNP+와/JC
유튜브	유튜브/NNP
등에	등/NNB+에/JKB
공식	공식/NNG
채널을	채널/NNG+을/JKO
열었고	열/VV+었/EP+고/EC
"17년	"/SS+17/SN+년/NNB
만에	만/NNB+에/JKB
여러분	여러분/NP
앞에	앞/NNG+에/JKB
서게	서/VV+게/EC
되어	되/VV+어/EC
너무	너무/MAG
설렌다.	설레/VV+ㄴ다/EF+./SF
많은	많/VA+은/ETM
격려와	격려/NNG+와/JC
응원을	응원/NNG+을/JKO
부탁드린다"고	부탁/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


