# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.402
metadata : {}


# id : NWRW1800000032.402.1.1
클리닉 들어서자 “보통 우리는 소개로 환자받는데…”

클리닉	클리닉/NNG
들어서니	들어서/VV+니/EC
텔레비전과	텔레비전/NNG+과/JC
커피제조기	커피/NNG+제조기/NNG
등이	등/NNB+이/JKS
새것처럼	새것/NNG+처럼/JKB
보여	보이/VV+어/EC
최근	최근/MAG
내부를	내부/NNG+를/JKO
단장한	단장/NNG+하/XSV+ㄴ/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000032.402.6.2
ㄷ클리닉은 건물의 3층 전체(약 330㎡)를 사용하고 있었다.

ㄷ클리닉은	ㄷ/NNG+클리닉/NNG+은/JX
건물의	건물/NNG+의/JKG
3층	3/SN+층/NNG
전체(약	전체/NNG+(/SS+약/MMA
330㎡)를	330/SN+㎡/SW+)/SS+를/JKO
사용하고	사용/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.402.6.3
유니폼을 맞춰 입은 5~6명의 간호사들은 “상담을 받고 싶다”는 기자에게 환자 명단으로 보이는 노트를 들여다보며 “누구의 소개로 왔느냐”고 물었다.

유니폼을	유니폼/NNG+을/JKO
맞춰	맞추/VV+어/EC
입은	입/VV+은/ETM
5~6명의	5/SN+~/SO+6/SN+명/NNB+의/JKG
간호사들은	간호사/NNG+들/XSN+은/JX
“상담을	“/SS+상담/NNG+을/JKO
받고	받/VV+고/EC
싶다”는	싶/VX+다/EF+”/SS+는/ETM
기자에게	기자/NNG+에게/JKB
환자	환자/NNG
명단으로	명단/NNG+으로/JKB
보이는	보이/VV+는/ETM
노트를	노트/NNG+를/JKO
들여다보며	들여다보/VV+며/EC
“누구의	“/SS+누구/NP+의/JKG
소개로	소개/NNG+로/JKB
왔느냐”고	오/VV+았/EP+느냐/EF+”/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.402.6.4
기자가 “소개 없이 왔다”고 했더니 “우리는 보통 소개로 환자를 받는데…”라며 말꼬리를 흐렸다.

기자가	기자/NNG+가/JKS
“소개	“/SS+소개/NNG
없이	없이/MAG
왔다”고	오/VV+았/EP+다/EF+”/SS+고/JKQ
했더니	하/VV+았/EP+더니/EC
“우리는	“/SS+우리/NP+는/JX
보통	보통/MAG
소개로	소개/NNG+로/JKB
환자를	환자/NNG+를/JKO
받는데…”라며	받/VV+는데/EC+…/SE+”/SS+이/VCP+라며/EC
말꼬리를	말/NNG+꼬리/NNG+를/JKO
흐렸다.	흐리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.402.7.1
대부분의 피부과나 성형외과들이 먼저 상담실장(코디네이터)과 상담한 뒤 원장에게 진료를 받는 것과 달리, ㄷ클리닉은 그런 절차 없이 바로 원장과 상담을 시작했다.

대부분의	대/XPN+부분/NNG+의/JKG
피부과나	피부과/NNG+나/JC
성형외과들이	성형외과/NNG+들/XSN+이/JKS
먼저	먼저/MAG
상담실장(코디네이터)과	상담실장/NNG+(/SS+코디네이터/NNG+)/SS+과/JKB
상담한	상담/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
원장에게	원장/NNG+에게/JKB
진료를	진료/NNG+를/JKO
받는	받/VV+는/ETM
것과	것/NNB+과/JKB
달리,	달리/MAG+,/SP
ㄷ클리닉은	ㄷ/NNG+클리닉/NNG+은/JX
그런	그런/MMD
절차	절차/NNG
없이	없이/MAG
바로	바로/MAG
원장과	원장/NNG+과/JKB
상담을	상담/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.402.7.2
보통은 시술비와 스케줄 등도 상담실장이나 간호사들과 상의를 하는데, 이곳은 원장이 직접 이야기하는 점도 특이했다.

보통은	보통/NNG+은/JX
시술비와	시술비/NNG+와/JC
스케줄	스케줄/NNG
등도	등/NNB+도/JX
상담실장이나	상담실장/NNG+이나/JC
간호사들과	간호사/NNG+들/XSN+과/JKB
상의를	상의/NNG+를/JKO
하는데,	하/VV+는데/EC+,/SP
이곳은	이곳/NP+은/JX
원장이	원장/NNG+이/JKS
직접	직접/MAG
이야기하는	이야기/NNG+하/XSV+는/ETM
점도	점/NNG+도/JX
특이했다.	특이/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000032.402.8.1
50대 중반의 김아무개 원장은 시술을 받으러 온 40~50대 여성 환자들에게 “넌 살 더 빼야 해”, “너 요즘 계속 운동하니?” 등 반말로 대화하는 등 친근한 모습이었다.

50대	50/SN+대/NNB
중반의	중반/NNG+의/JKG
김아무개	김/NNP+아무개/NP
원장은	원장/NNG+은/JX
시술을	시술/NNG+을/JKO
받으러	받/VV+으러/EC
온	오/VV+ㄴ/ETM
40~50대	40/SN+~/SO+50/SN+대/NNB
여성	여성/NNG
환자들에게	환자/NNG+들/XSN+에게/JKB
“넌	“/SS+너/NP+ㄴ/JX
살	살/NNG
더	더/MAG
빼야	빼/VV+어야/EC
해”,	하/VX+아/EF+”/SS+,/SP
“너	“/SS+너/NP
요즘	요즘/NNG
계속	계속/MAG
운동하니?”	운동/NNG+하/XSV+니/EF+?/SF+”/SS
등	등/NNB
반말로	반말/NNG+로/JKB
대화하는	대화/NNG+하/XSV+는/ETM
친근한	친근하/VA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.402.8.2
병원을 찾은 50대 초반의 한 여성은 “피부가 30대보다 더 좋아 보인다”는 기자의 말에, “이 병원에서 계속 치료받으면 좋아진다.

병원을	병원/NNG+을/JKO
찾은	찾/VV+은/ETM
50대	50/SN+대/NNB
초반의	초반/NNG+의/JKG
한	한/MMN
여성은	여성/NNG+은/JX
“피부가	“/SS+피부/NNG+가/JKS
30대보다	30/SN+대/NNB+보다/JKB
더	더/MAG
좋아	좋/VA+아/EC
보인다”는	보이/VV+ㄴ다/EF+”/SS+는/ETM
기자의	기자/NNG+의/JKG
말에,	말/NNG+에/JKB+,/SP
“이	“/SS+이/MMD
병원에서	병원/NNG+에서/JKB
계속	계속/MAG
치료받으면	치료/NNG+받/XSV+으면/EC
좋아진다.	좋/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.402.8.3
원장님 실력이 좋다”고 말했다.

원장님	원장/NNG+님/XSN
실력이	실력/NNG+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.402.9.1
한 업계 관계자는 “광고나 홍보가 아닌 입소문으로 회원을 모집하는 곳이고, 연예인이라도 고현정 정도는 돼야 명함을 내밀 수 있다”고 전했다.

한	한/MMN
업계	업계/NNG
관계자는	관계자/NNG+는/JX
“광고나	“/SS+광고/NNG+나/JC
홍보가	홍보/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
입소문으로	입소문/NNG+으로/JKB
회원을	회원/NNG+을/JKO
모집하는	모집/NNG+하/XSV+는/ETM
곳이고,	곳/NNG+이/VCP+고/EC+,/SP
연예인이라도	연예인/NNG+이/VCP+라도/EC
고현정	고현정/NNP
정도는	정도/NNG+는/JX
돼야	되/VV+어야/EC
명함을	명함/NNG+을/JKO
내밀	내밀/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.402.9.2
이날도 기사가 운전하는 벤츠 자동차를 타고 온 40대 여성부터 미모의 20대 여성까지 다양한 회원들이 ㄷ클리닉을 드나들었다.

이날도	이날/NNG+도/JX
기사가	기사/NNG+가/JKS
운전하는	운전/NNG+하/XSV+는/ETM
벤츠	벤츠/NNP
자동차를	자동차/NNG+를/JKO
타고	타/VV+고/EC
온	오/VV+ㄴ/ETM
40대	40/SN+대/NNB
여성부터	여성/NNG+부터/JX
미모의	미모/NNG+의/JKG
20대	20/SN+대/NNB
여성까지	여성/NNG+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
회원들이	회원/NNG+들/XSN+이/JKS
ㄷ클리닉을	ㄷ/NNG+클리닉/NNG+을/JKO
드나들었다.	드나들/VV+었/EP+다/EF+./SF


