# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.208
metadata : {}


# id : NWRW1800000030.208.1.1
"프로 축구선수 거쳐야 명감독 되란 법 있나요"

"프로	"/SS+프로/NNG
레알	레알/NNP
마드리드	마드리드/NNP
감독과	감독/NNG+과/JKB
닮았다.	닮/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.208.4.2
무리뉴는 자신의 아버지가 코치로 있던 팀에서 선수 생활을 시작해 24세에 유니폼을 벗었지만, 비야스-보아스는 아예 프로리그에 선수로 등록된 적도 없었다.

무리뉴는	무리뉴/NNP+는/JX
자신의	자신/NNG+의/JKG
아버지가	아버지/NNG+가/JKS
코치로	코치/NNG+로/JKB
있던	있/VA+던/ETM
팀에서	팀/NNG+에서/JKB
선수	선수/NNG
생활을	생활/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
24세에	24/SN+세/NNB+에/JKB
유니폼을	유니폼/NNG+을/JKO
벗었지만,	벗/VV+었/EP+지만/EC+,/SP
비야스-보아스는	비야스/NNP+-/SO+보아스/NNP+는/JX
아예	아예/MAG
프로리그에	프로/NNG+리그/NNG+에/JKB
선수로	선수/NNG+로/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
적도	적/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.208.5.1
둘은 모두 잉글랜드의 전설적인 축구영웅 바비 롭슨의 도움으로 축구계에 입문했다.

둘은	둘/NR+은/JX
모두	모두/MAG
잉글랜드의	잉글랜드/NNP+의/JKG
전설적인	전설/NNG+적/XSN+이/VCP+ㄴ/ETM
축구영웅	축구/NNG+영웅/NNG
바비	바비/NNP
롭슨의	롭슨/NNP+의/JKG
도움으로	도움/NNG+으로/JKB
축구계에	축구/NNG+계/XSN+에/JKB
입문했다.	입문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.208.5.2
무리뉴는 FC바르셀로나에서 롭슨의 통역을 맡다 지도자의 길로 들어섰다.

무리뉴는	무리뉴/NNP+는/JX
FC바르셀로나에서	FC바르셀로나/NNP+에서/JKB
롭슨의	롭슨/NNP+의/JKG
통역을	통역/NNG+을/JKO
맡다	맡/VV+다/EC
지도자의	지도자/NNG+의/JKG
길로	길/NNG+로/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.208.5.3
비야스-보아스의 경우는 그보다 더 영화에 가깝다.

비야스-보아스의	비야스/NNP+-/SO+보아스/NNP+의/JKG
경우는	경우/NNG+는/JX
그보다	그/NP+보다/JKB
더	더/MAG
영화에	영화/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000030.208.5.4
롭슨이 포르투 감독을 맡던 시절 17세의 비야스-보아스는 그와 같은 아파트에 살았다.

롭슨이	롭슨/NNP+이/JKS
포르투	포르투/NNP
감독을	감독/NNG+을/JKO
맡던	맡/VV+던/ETM
시절	시절/NNG
17세의	17/SN+세/NNB+의/JKG
비야스-보아스는	비야스/NNP+-/SO+보아스/NNP+는/JX
그와	그/NP+와/JKB
같은	같/VA+은/ETM
아파트에	아파트/NNG+에/JKB
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.208.6.1
축구 마니아 비야스-보아스는 동네 주민으로 만난 롭슨에게 고향팀 포르투에 대한 의견을 자주 피력했고, 그의 해박한 축구 지식에 반한 롭슨은 비야스-보아스를 포르투의 스카우트팀으로 발탁했다.

축구	축구/NNG
마니아	마니아/NNG
비야스-보아스는	비야스/NNP+-/SO+보아스/NNP+는/JX
동네	동네/NNG
주민으로	주민/NNG+으로/JKB
만난	만나/VV+ㄴ/ETM
롭슨에게	롭슨/NNP+에게/JKB
고향팀	고향/NNG+팀/NNG
포르투에	포르투/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
자주	자주/MAG
피력했고,	피력/NNG+하/XSV+았/EP+고/EC+,/SP
그의	그/NP+의/JKG
해박한	해박하/VA+ㄴ/ETM
지식에	지식/NNG+에/JKB
반한	반하/VV+ㄴ/ETM
롭슨은	롭슨/NNP+은/JX
비야스-보아스를	비야스/NNP+-/SO+보아스/NNP+를/JKO
포르투의	포르투/NNP+의/JKG
스카우트팀으로	스카우트/NNG+팀/NNG+으로/JKB
발탁했다.	발탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.208.6.2
당시 비야스-보아스가 더 중용해야 한다고 롭슨에게 조언한 선수가 아이러니하게도 유로파리그 결승에서 맞붙은 브라가의 도밍고스 감독이다.

당시	당시/NNG
비야스-보아스가	비야스/NNP+-/SO+보아스/NNP+가/JKS
더	더/MAG
중용해야	중용/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
롭슨에게	롭슨/NNP+에게/JKB
조언한	조언/NNG+하/XSV+ㄴ/ETM
선수가	선수/NNG+가/JKS
아이러니하게도	아이러니/NNG+하/XSA+게/EC+도/JX
유로파리그	유로파/NNP+리그/NNG
결승에서	결승/NNG+에서/JKB
맞붙은	맞붙/VV+은/ETM
브라가의	브라가/NNP+의/JKG
도밍고스	도밍고스/NNP
감독이다.	감독/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.208.7.1
롭슨에게 가르침을 받으며 지도자 수업을 한 비야스-보아스는 2000년 23세의 나이로 버진군도 대표팀 감독을 맡았다.

롭슨에게	롭슨/NNP+에게/JKB
가르침을	가르침/NNG+을/JKO
받으며	받/VV+으며/EC
지도자	지도자/NNG
수업을	수업/NNG+을/JKO
한	하/VV+ㄴ/ETM
비야스-보아스는	비야스/NNP+-/SO+보아스/NNP+는/JX
2000년	2000/SN+년/NNB
23세의	23/SN+세/NNB+의/JKG
나이로	나이/NNG+로/JKB
버진군도	버진군도/NNP
대표팀	대표/NNG+팀/NNG
감독을	감독/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.208.7.2
비야스-보아스가 한 단계 더 성장한 것은 그의 닮은꼴인 무리뉴와 함께 일하고 난 뒤부터다.

비야스-보아스가	비야스/NNP+-/SO+보아스/NNP+가/JKS
한	한/MMN
단계	단계/NNG
더	더/MAG
성장한	성장/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
그의	그/NP+의/JKG
닮은꼴인	닮/VV+은/ETM+꼴/NNG+이/VCP+ㄴ/ETM
무리뉴와	무리뉴/NNP+와/JKB
함께	함께/MAG
일하고	일/NNG+하/XSV+고/EC
난	나/VX+ㄴ/ETM
뒤부터다.	뒤/NNG+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000030.208.7.3
코치 시절부터 비야스-보아스를 눈여겨본 무리뉴는 포르투 사령탑에 오르자 그에게 상대팀 전력분석을 맡겼다.

코치	코치/NNG
시절부터	시절/NNG+부터/JX
비야스-보아스를	비야스/NNP+-/SO+보아스/NNP+를/JKO
눈여겨본	눈여겨보/VV+ㄴ/ETM
무리뉴는	무리뉴/NNP+는/JX
포르투	포르투/NNP
사령탑에	사령탑/NNG+에/JKB
오르자	오르/VV+자/EC
그에게	그/NP+에게/JKB
상대팀	상대/NNG+팀/NNG
전력분석을	전력/NNG+분석/NNG+을/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.208.7.4
비야스-보아스는 무리뉴가 첼시·인터밀란 감독을 거치며 수많은 우승 트로피를 들어 올릴 때 정확한 분석으로 힘을 보탰다.

비야스-보아스는	비야스/NNP+-/SO+보아스/NNP+는/JX
무리뉴가	무리뉴/NNP+가/JKS
첼시·인터밀란	첼시/NNP+·/SP+인터밀란/NNP
감독을	감독/NNG+을/JKO
거치며	거치/VV+며/EC
수많은	수많/VA+은/ETM
우승	우승/NNG
트로피를	트로피/NNG+를/JKO
들어	들/VV+어/EC
올릴	올리/VV+ㄹ/ETM
때	때/NNG
정확한	정확/NNG+하/XSA+ㄴ/ETM
분석으로	분석/NNG+으로/JKB
힘을	힘/NNG+을/JKO
보탰다.	보태/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.208.8.1
무리뉴로부터 독립 선언을 하고 지난해 6월 포르투 사령탑에 오른 비야스-보아스는 올 시즌 뚜렷한 성과를 남겼다.

무리뉴로부터	무리뉴/NNP+로부터/JKB
독립	독립/NNG
선언을	선언/NNG+을/JKO
하고	하/VV+고/EC
지난해	지난해/NNG
6월	6/SN+월/NNB
포르투	포르투/NNP
사령탑에	사령탑/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
비야스-보아스는	비야스/NNP+-/SO+보아스/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
뚜렷한	뚜렷하/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.208.8.2
젊은 명장의 눈부신 지도력에 첼시 등 빅클럽의 러브콜도 잇따르고 있다.

젊은	젊/VA+은/ETM
명장의	명장/NNG+의/JKG
눈부신	눈부시/VA+ㄴ/ETM
지도력에	지도력/NNG+에/JKB
첼시	첼시/NNP
등	등/NNB
빅클럽의	빅클럽/NNG+의/JKG
러브콜도	러브콜/NNG+도/JX
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.208.8.3
비야스-보아스는 "나에게 축구를 가르쳐준 롭슨과 프로리그의 세계를 알려준 무리뉴에게 우승의 영광을 돌리고 싶다"고 했다.

비야스-보아스는	비야스/NNP+-/SO+보아스/NNP+는/JX
"나에게	"/SS+나/NP+에게/JKB
축구를	축구/NNG+를/JKO
가르쳐준	가르치/VV+어/EC+주/VX+ㄴ/ETM
롭슨과	롭슨/NNP+과/JC
프로리그의	프로/NNG+리그/NNG+의/JKG
세계를	세계/NNG+를/JKO
알려준	알리/VV+어/EC+주/VX+ㄴ/ETM
무리뉴에게	무리뉴/NNP+에게/JKB
우승의	우승/NNG+의/JKG
영광을	영광/NNG+을/JKO
돌리고	돌리/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


