# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.352
metadata : {}


# id : NWRW1800000022.352.1.1
"카메룬한테 진 날, 감독님은 독일전 얘기뿐 '카'자도 안 꺼내";청소년 축구대표팀 어제 귀국… 최고스타 김민우 인터뷰

"카메룬한테	"/SS+카메룬/NNP+한테/JKB
팬의	팬/NNG+의/JKG
등에	등/NNG+에/JKB
종이를	종이/NNG+를/JKO
받쳐	받치/VV+어/EC
쓱쓱	쓱쓱/MAG
자기	자기/NP
이름을	이름/NNG+을/JKO
써	쓰/VV+어/EC
내려가던	내려가/VV+던/ETM
그는	그/NP+는/JX
"이집트에서	"/SS+이집트/NNP+에서/JKB
보낸	보내/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
보름간	보름/NNG+간/XSN
일이	일/NNG+이/JKS
꿈만	꿈/NNG+만/JX
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.3.4
U―20 월드컵(20세 이하 세계청소년축구대회)에서 3골을 터뜨리며 대회 최고 스타로 떠오른 김민우는 이날 귀국했다.

U―20	U/SL+―/SS+20/SN
월드컵(20세	월드컵/NNG+(/SS+20/SN+세/NNB
이하	이하/NNG
세계청소년축구대회)에서	세계/NNG+청소년/NNG+축구/NNG+대회/NNG+)/SS+에서/JKB
3골을	3/SN+골/NNG+을/JKO
터뜨리며	터뜨리/VV+며/EC
대회	대회/NNG
최고	최고/NNG
스타로	스타/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
김민우는	김민우/NNP+는/JX
이날	이날/NNG
귀국했다.	귀국/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.4.1
■모두 외친 '네버 스톱(Never stop)'

■모두	■/SW+모두/MAG
외친	외치/VV+ㄴ/ETM
'네버	'/SS+네버/NNG
스톱(Never	스톱/NNG+(/SS+Never/SL
stop)'	stop/SL+)/SS+'/SS


# id : NWRW1800000022.352.5.1
이틀 전 김민우는 고개를 떨어뜨렸지만 울지는 않았다고 했다.

이틀	이틀/NNG
전	전/NNG
김민우는	김민우/NNP+는/JX
고개를	고개/NNG+를/JKO
떨어뜨렸지만	떨어뜨리/VV+었/EP+지만/EC
울지는	울/VV+지/EC+는/JX
않았다고	않/VX+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.5.2
한국이 10일(한국 시각) 끝난 가나와의 8강전에서 2대3으로 분패했을 때였다.

한국이	한국/NNP+이/JKS
10일(한국	10/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
끝난	끝나/VV+ㄴ/ETM
가나와의	가나/NNP+와/JKB+의/JKG
8강전에서	8/SN+강전/NNB+에서/JKB
2대3으로	2/SN+대/NNB+3/SN+으로/JKB
분패했을	분패/NNG+하/XSV+았/EP+을/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.352.5.3
"스스로 대견해 할 만큼 열심히 뛰었거든요.

"스스로	"/SS+스스로/MAG
대견해	대견하/VA+아/EC
할	하/VX+ㄹ/ETM
만큼	만큼/NNB
열심히	열심히/MAG
뛰었거든요.	뛰/VV+었/EP+거든/EF+요/JX+./SF


# id : NWRW1800000022.352.5.4
아쉬움은 컸지만 눈물은 나오지 않았습니다."

아쉬움은	아쉬움/NNG+은/JX
컸지만	크/VA+었/EP+지만/EC
눈물은	눈물/NNG+은/JX
나오지	나오/VV+지/EC
않았습니다."	않/VX+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.352.5.5
경기 직후 도핑 테스트를 받느라 라커룸에 들르지 못한 김민우는 테스트 후 곧바로 호텔로 향했다.

경기	경기/NNG
직후	직후/NNG
도핑	도핑/NNG
테스트를	테스트/NNG+를/JKO
받느라	받/VV+느라/EC
라커룸에	라커룸/NNG+에/JKB
들르지	들르/VV+지/EC
못한	못하/VX+ㄴ/ETM
김민우는	김민우/NNP+는/JX
테스트	테스트/NNG
후	후/NNG
곧바로	곧바로/MAG
호텔로	호텔/NNG+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.5.6
"아깝게 4강행이 좌절되고 우느라 눈이 빨개진 친구도 많았지만 이내 기운을 차렸더라고요.

"아깝게	"/SS+아깝/VA+게/EC
4강행이	4/SN+강행/NNB+이/JKS
좌절되고	좌절/NNG+되/XSV+고/EC
우느라	울/VV+느라/EC
눈이	눈/NNG+이/JKS
빨개진	빨개지/VV+ㄴ/ETM
친구도	친구/NNG+도/JX
많았지만	많/VA+았/EP+지만/EC
이내	이내/MAG
기운을	기운/NNG+을/JKO
차렸더라고요.	차리/VV+었/EP+더라고/EF+요/JX+./SF


# id : NWRW1800000022.352.5.7
선생님이 애들을 잘 다독거려 주신 것 같았어요."

선생님이	선생/NNG+님/XSN+이/JKS
애들을	애/NNG+들/XSN+을/JKO
잘	잘/MAG
다독거려	다독거리/VV+어/EC
주신	주/VX+시/EP+ㄴ/ETM
것	것/NNB
같았어요."	같/VA+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000022.352.5.8
김민우는 홍명보 감독을 선생님이라 불렀다.

김민우는	김민우/NNP+는/JX
홍명보	홍명보/NNP
감독을	감독/NNG+을/JKO
선생님이라	선생/NNG+님/XSN+이/VCP+라/EC
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.352.6.1
청소년팀 8강의 비결을 묻자 김민우는 "즐겁게 하나가 된 것"이라고 했다.

청소년팀	청소년/NNG+팀/NNG
8강의	8/SN+강/NNB+의/JKG
비결을	비결/NNG+을/JKO
묻자	묻/VV+자/EC
김민우는	김민우/NNP+는/JX
"즐겁게	"/SS+즐겁/VA+게/EC
하나가	하나/NR+가/JKC
된	되/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.6.2
이집트에서 한국 대표팀은 패배와 승리의 순간을 수시로 넘나들었지만 늘 팀 분위기는 활기에 넘쳤다고 그는 말했다.

이집트에서	이집트/NNP+에서/JKB
한국	한국/NNP
대표팀은	대표/NNG+팀/NNG+은/JX
패배와	패배/NNG+와/JC
승리의	승리/NNG+의/JKG
순간을	순간/NNG+을/JKO
수시로	수시로/MAG
넘나들었지만	넘나들/VV+었/EP+지만/EC
늘	늘/MAG
팀	팀/NNG
분위기는	분위기/NNG+는/JX
활기에	활기/NNG+에/JKB
넘쳤다고	넘치/VV+었/EP+다고/EC
그는	그/NP+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.6.3
"첫날 카메룬전에서 지고 난 뒤 다들 꾸중 들을 생각에 긴장했어요.

"첫날	"/SS+첫날/NNG
카메룬전에서	카메룬전/NNG+에서/JKB
지고	지/VV+고/EC
난	나/VX+ㄴ/ETM
뒤	뒤/NNG
다들	다/MAG+들/XSN
꾸중	꾸중/NNG
들을	듣/VV+을/ETM
생각에	생각/NNG+에/JKB
긴장했어요.	긴장/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000022.352.6.4
근데 선생님은 지고 나선 카메룬의 '카'자도 꺼내지 않으셨어요.

근데	근데/MAJ
선생님은	선생/NNG+님/XSN+은/JX
지고	지/VV+고/EC
나선	나/VX+아서/EC+ㄴ/JX
카메룬의	카메룬/NNP+의/JKG
'카'자도	'/SS+카/NNG+'/SS+자/NNG+도/JX
꺼내지	꺼내/VV+지/EC
않으셨어요.	않/VX+으시/EP+었/EP+어요/EF+./SF


# id : NWRW1800000022.352.6.5
다음 경기인 독일전에 대한 얘기뿐이었죠."

다음	다음/NNG
경기인	경기/NNG+이/VCP+ㄴ/ETM
독일전에	독일전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
얘기뿐이었죠."	얘기/NNG+뿐/JX+이/VCP+었/EP+죠/EF+./SF+"/SS


# id : NWRW1800000022.352.7.1
따뜻한 격려를 받은 어린 태극전사들은 독일전 무승부(1대1)를 통해 자신감을 되찾았고, 이는 미국과 파라과이전 3대0 대승으로 이어졌다.

따뜻한	따뜻하/VA+ㄴ/ETM
격려를	격려/NNG+를/JKO
받은	받/VV+은/ETM
어린	어리/VA+ㄴ/ETM
태극전사들은	태극/NNG+전사/NNG+들/XSN+은/JX
독일전	독일전/NNG
무승부(1대1)를	무/XPN+승부/NNG+(/SS+1/SN+대/NNB+1/SN+)/SS+를/JKO
통해	통하/VV+아/EC
자신감을	자신감/NNG+을/JKO
되찾았고,	되찾/VV+았/EP+고/EC+,/SP
이는	이/NP+는/JX
미국과	미국/NNP+과/JC
파라과이전	파라과이전/NNG
3대0	3/SN+대/NNB+0/SN
대승으로	대승/NNG+으로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.352.7.2
"파라과이전이 끝나고 선생님이 '키가 작아도 네가 언젠간 헤딩으로 한 골 넣을 줄 알았다'며 웃으시더라고요."

"파라과이전이	"/SS+파라과이전/NNG+이/JKS
끝나고	끝나/VV+고/EC
선생님이	선생/NNG+님/XSN+이/JKS
'키가	'/SS+키/NNG+가/JKS
작아도	작/VA+아도/EC
네가	네/NP+가/JKS
언젠간	언젠가/MAG+ㄴ/JX
헤딩으로	헤딩/NNG+으로/JKB
한	한/MMN
골	골/NNG
넣을	넣/VV+을/ETM
줄	줄/NNB
알았다'며	알/VV+았/EP+다/EF+'/SS+며/EC
웃으시더라고요."	웃/VV+으시/EP+더라고/EF+요/JX+./SF+"/SS


# id : NWRW1800000022.352.7.3
서정원, 김태영 코치는 선수들의 슬리퍼를 감추거나 작은 돌을 던지는 장난으로 선수들의 긴장을 덜어줬다.

서정원,	서정원/NNP+,/SP
김태영	김태영/NNP
코치는	코치/NNG+는/JX
선수들의	선수/NNG+들/XSN+의/JKG
슬리퍼를	슬리퍼/NNG+를/JKO
감추거나	감추/VV+거나/EC
작은	작/VA+은/ETM
돌을	돌/NNG+을/JKO
던지는	던지/VV+는/ETM
장난으로	장난/NNG+으로/JKB
긴장을	긴장/NNG+을/JKO
덜어줬다.	덜/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.352.8.1
그렇다고 선수들이 마냥 풀어지지는 않았다는 게 김민우의 얘기였다.

그렇다고	그렇/VA+다고/EC
선수들이	선수/NNG+들/XSN+이/JKS
마냥	마냥/MAG
풀어지지는	풀/VV+어/EC+지/VX+지/EC+는/JX
않았다는	않/VX+았/EP+다는/ETM
게	거/NNB+이/JKS
김민우의	김민우/NNP+의/JKG
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.352.8.2
"경기 전날 밤엔 선수들끼리 늘 숙소 근처 공원으로 가서 선생님이 일러준 구호인 '네버 스톱(Never stop)'을 외쳤어요.

"경기	"/SS+경기/NNG
전날	전날/NNG
밤엔	밤/NNG+에/JKB+ㄴ/JX
선수들끼리	선수/NNG+들/XSN+끼리/XSN
늘	늘/MAG
숙소	숙소/NNG
근처	근처/NNG
공원으로	공원/NNG+으로/JKB
가서	가/VV+아서/EC
선생님이	선생/NNG+님/XSN+이/JKS
일러준	이르/VV+어/EC+주/VX+ㄴ/ETM
구호인	구호/NNG+이/VCP+ㄴ/ETM
'네버	'/SS+네버/NNG
스톱(Never	스톱/NNG+(/SS+Never/SL
stop)'을	stop/SL+)/SS+'/SS+을/JKO
외쳤어요.	외치/VV+었/EP+어요/EF+./SF


# id : NWRW1800000022.352.8.3
벤치를 지키는 선수나 그라운드에 서는 선수나 모두 한마음이었습니다."

벤치를	벤치/NNG+를/JKO
지키는	지키/VV+는/ETM
선수나	선수/NNG+나/JC
그라운드에	그라운드/NNG+에/JKB
서는	서/VV+는/ETM
모두	모두/MAG
한마음이었습니다."	한마음/NNG+이/VCP+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.352.9.1
■가난도, 작은 키도 이겨낸 열아홉살

■가난도,	■/SW+가난/NNG+도/JX+,/SP
작은	작/VA+은/ETM
키도	키/NNG+도/JX
이겨낸	이기/VV+어/EC+내/VX+ㄴ/ETM
열아홉살	열아홉/NR+살/NNB


# id : NWRW1800000022.352.10.1
김민우는 1m71로 청소년 대표팀 최단신이다.

김민우는	김민우/NNP+는/JX
1m71로	1/SN+m/SW+71/SN+로/JKB
청소년	청소년/NNG
대표팀	대표/NNG+팀/NNG
최단신이다.	최/XPN+단신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.352.10.2
삼전초·배재중·언남고를 거치는 동안도 늘 최단신이었다.

삼전초·배재중·언남고를	삼전초/NNP+·/SP+배재중/NNP+·/SP+언남고/NNP+를/JKO
거치는	거치/VV+는/ETM
동안도	동안/NNG+도/JX
늘	늘/MAG
최단신이었다.	최/XPN+단신/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.352.10.3
공 다루는 기술은 아버지 김성대(55)씨에게 물려받았다.

공	공/NNG
다루는	다루/VV+는/ETM
기술은	기술/NNG+은/JX
아버지	아버지/NNG
김성대(55)씨에게	김성대/NNP+(/SS+55/SN+)/SS+씨/NNB+에게/JKB
물려받았다.	물려받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.10.4
아버지는 진주 봉래초등학교에서 조광래 경남 FC 감독과 함께 그라운드를 누빈 유망주였다.

아버지는	아버지/NNG+는/JX
진주	진주/NNP
봉래초등학교에서	봉래초등학교/NNP+에서/JKB
조광래	조광래/NNP
경남	경남/NNP
FC	FC/SL
감독과	감독/NNG+과/JKB
함께	함께/MAG
그라운드를	그라운드/NNG+를/JKO
누빈	누비/VV+ㄴ/ETM
유망주였다.	유망주/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.352.10.5
하지만 어려운 가정 형편 탓에 고교 졸업 후 축구를 접었다.

하지만	하지만/MAJ
어려운	어렵/VA+ㄴ/ETM
가정	가정/NNG
형편	형편/NNG
탓에	탓/NNG+에/JKB
고교	고교/NNG
졸업	졸업/NNG
후	후/NNG
축구를	축구/NNG+를/JKO
접었다.	접/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.352.11.1
김민우도 아버지의 전철을 밟을 뻔했다.

김민우도	김민우/NNP+도/JX
아버지의	아버지/NNG+의/JKG
전철을	전철/NNG+을/JKO
밟을	밟/VV+을/ETM
뻔했다.	뻔/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.352.11.2
당뇨병에 시달린 아버지를 대신해 어머니 허득(52)씨가 음식점 일로 힘들게 생계를 꾸려갔다.

당뇨병에	당뇨병/NNG+에/JKB
시달린	시달리/VV+ㄴ/ETM
아버지를	아버지/NNG+를/JKO
대신해	대신/NNG+하/XSV+아/EC
어머니	어머니/NNG
허득(52)씨가	허득/NNP+(/SS+52/SN+)/SS+씨/NNB+가/JKS
음식점	음식점/NNG
일로	일/NNG+로/JKB
힘들게	힘들/VA+게/EC
생계를	생계/NNG+를/JKO
꾸려갔다.	꾸리/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.352.11.3
다행히 김민우의 재능을 아끼는 이들이 많았다.

다행히	다행히/MAG
김민우의	김민우/NNP+의/JKG
재능을	재능/NNG+을/JKO
아끼는	아끼/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.352.11.4
고향인 진주에서 어린 김민우를 지도했던 장연환 대한축구협회 심판부장 등이 중심이 돼 후원회를 꾸렸고, 이 도움 속에 김민우는 초등학교 5학년 때 서울로 갔다.

고향인	고향/NNG+이/VCP+ㄴ/ETM
진주에서	진주/NNP+에서/JKB
어린	어리/VA+ㄴ/ETM
김민우를	김민우/NNP+를/JKO
지도했던	지도/NNG+하/XSV+았/EP+던/ETM
장연환	장연환/NNP
대한축구협회	대한축구협회/NNP
심판부장	심판부장/NNG
등이	등/NNB+이/JKS
중심이	중심/NNG+이/JKC
돼	되/VV+어/EC
후원회를	후원회/NNG+를/JKO
꾸렸고,	꾸리/VV+었/EP+고/EC+,/SP
이	이/MMD
도움	도움/NNG
속에	속/NNG+에/JKB
김민우는	김민우/NNP+는/JX
초등학교	초등학교/NNG
5학년	5/SN+학년/NNG
때	때/NNG
서울로	서울/NNP+로/JKB
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.11.5
"합숙소에서 잠자리에 들 때마다 '꼭 성공하겠다'고 다짐하곤 했다"는 김민우였다.

"합숙소에서	"/SS+합숙소/NNG+에서/JKB
잠자리에	잠자리/NNG+에/JKB
들	들/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
'꼭	'/SS+꼭/MAG
성공하겠다'고	성공/NNG+하/XSV+겠/EP+다/EF+'/SS+고/JKQ
다짐하곤	다짐/NNG+하/XSV+곤/EC
했다"는	하/VX+았/EP+다/EF+"/SS+는/ETM
김민우였다.	김민우/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.352.12.1
김민우의 가능성은 정종선 언남고 감독을 만나 꽃을 피웠다.

김민우의	김민우/NNP+의/JKG
가능성은	가능/NNG+성/XSN+은/JX
정종선	정종선/NNP
언남고	언남고/NNP
감독을	감독/NNG+을/JKO
만나	만나/VV+아/EC
꽃을	꽃/NNG+을/JKO
피웠다.	피우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.352.12.2
정 감독은 김민우를 다양한 포지션을 소화할 수 있는 선수로 키웠고, 김민우는 2학년이던 2007년 17세 이하 청소년 대표팀의 주축 미드필더로 성장했다.

정	정/NNP
감독은	감독/NNG+은/JX
김민우를	김민우/NNP+를/JKO
다양한	다양/NNG+하/XSA+ㄴ/ETM
포지션을	포지션/NNG+을/JKO
소화할	소화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
선수로	선수/NNG+로/JKB
키웠고,	키우/VV+었/EP+고/EC+,/SP
김민우는	김민우/NNP+는/JX
2학년이던	2/SN+학년/NNG+이/VCP+던/ETM
2007년	2007/SN+년/NNB
17세	17/SN+세/NNB
이하	이하/NNG
청소년	청소년/NNG
대표팀의	대표/NNG+팀/NNG+의/JKG
주축	주축/NNG
미드필더로	미드필더/NNG+로/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.13.1
하지만 김민우는 그해 8월 U―17 월드컵 본선을 사흘 앞둔 연습 경기 도중 오른쪽 복사뼈가 부서지는 중상을 입었다.

하지만	하지만/MAJ
김민우는	김민우/NNP+는/JX
그해	그해/NNG
8월	8/SN+월/NNB
U―17	U/SL+―/SS+17/SN
월드컵	월드컵/NNG
본선을	본선/NNG+을/JKO
사흘	사흘/NNG
앞둔	앞두/VV+ㄴ/ETM
연습	연습/NNG
경기	경기/NNG
도중	도중/NNG
오른쪽	오른쪽/NNG
복사뼈가	복사뼈/NNG+가/JKS
부서지는	부서지/VV+는/ETM
중상을	중상/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.352.13.2
"축구 생명이 끝날 수 있다"는 진단에 펑펑 울었지만 김민우는 마음을 다잡고 대표팀 주치의 김현철 박사가 있는 김앤송 유나이티드 정형외과를 찾아 재활에 매달렸다.

"축구	"/SS+축구/NNG
생명이	생명/NNG+이/JKS
끝날	끝나/VV+ㄹ/ETM
수	수/NNB
있다"는	있/VA+다/EF+"/SS+는/ETM
진단에	진단/NNG+에/JKB
펑펑	펑펑/MAG
울었지만	울/VV+었/EP+지만/EC
김민우는	김민우/NNP+는/JX
마음을	마음/NNG+을/JKO
다잡고	다잡/VV+고/EC
대표팀	대표/NNG+팀/NNG
주치의	주치의/NNG
김현철	김현철/NNP
박사가	박사/NNG+가/JKS
있는	있/VA+는/ETM
김앤송	김앤송/NNP
유나이티드	유나이티드/NNG
정형외과를	정형외과/NNG+를/JKO
찾아	찾/VV+아/EC
재활에	재활/NNG+에/JKB
매달렸다.	매달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.352.13.3
정종선 감독은 "힘든 재활 과정을 8개월 만에 이겨내고 복귀하는 모습을 보고 나도 감동했다"고 말했다.

정종선	정종선/NNP
감독은	감독/NNG+은/JX
"힘든	"/SS+힘들/VA+ㄴ/ETM
재활	재활/NNG
과정을	과정/NNG+을/JKO
8개월	8/SN+개월/NNB
만에	만/NNB+에/JKB
이겨내고	이기/VV+어/EC+내/VX+고/EC
복귀하는	복귀/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보고	보/VV+고/EC
나도	나/NP+도/JX
감동했다"고	감동/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.352.13.4
그리고 2년 후 김민우는 '홍명보호(號)의 황태자'가 됐다.

그리고	그리고/MAJ
2년	2/SN+년/NNB
후	후/NNG
김민우는	김민우/NNP+는/JX
'홍명보호(號)의	'/SS+홍명보호/NNP+(/SS+號/SH+)/SS+의/JKG
황태자'가	황태자/NNG+'/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.352.13.5
김민우는 인터뷰가 끝났다고 하자 "지금까지 도와주신 분들에 감사하다는 말을 꼭 전하고 싶다"고 했다.

김민우는	김민우/NNP+는/JX
인터뷰가	인터뷰/NNG+가/JKS
끝났다고	끝나/VV+았/EP+다고/EC
하자	하/VV+자/EC
"지금까지	"/SS+지금/NNG+까지/JX
도와주신	도와주/VV+시/EP+ㄴ/ETM
분들에	분/NNB+들/XSN+에/JKB
감사하다는	감사/NNG+하/XSA+다는/ETM
말을	말/NNG+을/JKO
꼭	꼭/MAG
전하고	전하/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


