# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.296
metadata : {}


# id : NWRW1800000053.296.1.1
문재인, 반기문에 견제구 “변화의지도 준비도 부족”

문재인,	문재인/NNP+,/SP
보내는	보내/VV+는/ETM
편지’를	편지/NNG+’/SS+를/JKO
공개하며	공개/NNG+하/XSV+며/EC
“만시지탄이지만	“/SS+만시지탄/NNG+이/VCP+지만/EC
이제부터라도	이제/NNG+부터/JX+이/VCP+라도/EC
뿌리째	뿌리/NNG+째/XSN
썩어	썩/VV+어/EC
있는	있/VX+는/ETM
대한민국을	대한민국/NNP+을/JKO
바꾸겠다”며	바꾸/VV+겠/EP+다/EF+”/SS+며/EC
“그것이	“/SS+그것/NP+이/JKS
여러분을	여러분/NP+을/JKO
지켜주지	지키/VV+어/EC+주/VX+지/EC
못한	못하/VX+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
제	저/NP+의/JKG
사과이자	사과/NNG+이/VCP+자/EC
도리”라고	도리/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.296.6.1
또 그는 경향신문 인터뷰에서 “다음 정권을 책임질 자격이 있는 정당은 민주당과 국민의당밖에 없다”며 “이번 대선은 문재인과 안철수의 대결이 될 것”이라고 말했다.

또	또/MAG
그는	그/NP+는/JX
경향신문	경향신문/NNP
인터뷰에서	인터뷰/NNG+에서/JKB
“다음	“/SS+다음/NNG
정권을	정권/NNG+을/JKO
책임질	책임지/VV+ㄹ/ETM
자격이	자격/NNG+이/JKS
있는	있/VA+는/ETM
정당은	정당/NNG+은/JX
민주당과	민주당/NNP+과/JC
국민의당밖에	국민의당/NNP+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
대선은	대선/NNG+은/JX
문재인과	문재인/NNP+과/JC
안철수의	안철수/NNP+의/JKG
대결이	대결/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.296.6.2
개헌을 고리로 한 제3지대 연대론에 대해서도 “개헌을 연대의 수단으로 삼는 건 적절치 않다”며 손학규 전 민주당 대표 등과 거리를 뒀다.

개헌을	개헌/NNG+을/JKO
고리로	고리/NNG+로/JKB
한	하/VV+ㄴ/ETM
제3지대	제/XPN+3/SN+지대/NNG
연대론에	연대/NNG+론/XSN+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“개헌을	“/SS+개헌/NNG+을/JKO
연대의	연대/NNG+의/JKG
수단으로	수단/NNG+으로/JKB
삼는	삼/VV+는/ETM
건	거/NNB+ㄴ/JX
적절치	적절하/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
손학규	손학규/NNP
전	전/MMD
민주당	민주당/NNP
대표	대표/NNG
등과	등/NNB+과/JKB
거리를	거리/NNG+를/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.296.6.3
며칠간 공개 행보를 자제하며 숙고한 끝에 ‘연대론’ 대신 독자 노선의 ‘자강론’으로 궤도를 수정한 것이다.

며칠간	며칠/NNG+간/XSN
공개	공개/NNG
행보를	행보/NNG+를/JKO
자제하며	자제/NNG+하/XSV+며/EC
숙고한	숙고/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
‘연대론’	‘/SS+연대/NNG+론/XSN+’/SS
대신	대신/NNG
독자	독자/NNG
노선의	노선/NNG+의/JKG
‘자강론’으로	‘/SS+자강/NNG+론/XSN+’/SS+으로/JKB
궤도를	궤도/NNG+를/JKO
수정한	수정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


