# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.250
metadata : {}


# id : NWRW1800000024.250.1.1
학계 ‘MB정권, 파시즘인가’ 논쟁중

학계	학계/NNG
시작은	시작/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
민교협	민교협/NNP
토론회였다.	토론회/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.250.3.2
참가자들은 “‘경향으로서의 파시즘’은 이미 존재하고 있다”(손호철 서강대 교수), “경제위기에 따른 삶의 불안이 정치 불신과 만나 네오파시즘을 부를 수 있다”(임운택 계명대 교수)는 우려를 쏟아냈다.

참가자들은	참가자/NNG+들/XSN+은/JX
“‘경향으로서의	“/SS+‘/SS+경향/NNG+으로서/JKB+의/JKG
파시즘’은	파시즘/NNG+’/SS+은/JX
이미	이미/MAG
존재하고	존재/NNG+하/XSV+고/EC
있다”(손호철	있/VX+다/EF+”/SS+(/SS+손호철/NNP
서강대	서강대/NNP
교수),	교수/NNG+)/SS+,/SP
“경제위기에	“/SS+경제/NNG+위기/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
삶의	삶/NNG+의/JKG
불안이	불안/NNG+이/JKS
정치	정치/NNG
불신과	불신/NNG+과/JKB
만나	만나/VV+아/EC
네오파시즘을	네오파시즘/NNG+을/JKO
부를	부르/VV+ㄹ/ETM
수	수/NNB
있다”(임운택	있/VA+다/EF+”/SS+(/SS+임운택/NNP
계명대	계명대/NNP
교수)는	교수/NNG+)/SS+는/JX
우려를	우려/NNG+를/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.250.3.3
6월 중순 발간된 계간 <문화과학>은 책 전체를 ‘파시즘 특집’으로 꾸몄다.

6월	6/SN+월/NNB
중순	중순/NNG
발간된	발간/NNG+되/XSV+ㄴ/ETM
계간	계간/NNG
<문화과학>은	</SS+문화/NNG+과학/NNG+>/SS+은/JX
책	책/NNG
전체를	전체/NNG+를/JKO
‘파시즘	‘/SS+파시즘/NNG
특집’으로	특집/NNG+’/SS+으로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.250.3.4
같은달 26일 ‘맑스 코뮤날레’ 토론회에서도 ‘한국형 파시즘’의 출현 가능성을 두고 열띤 논전이 벌어졌고, 닷새 뒤 인권연대 10주년 강연회에선 리영희 한양대 명예교수가 “파시즘 초기 단계에 들어섰다”는 발언으로 파문을 던졌다.

같은달	같/VA+은/ETM+달/NNG
26일	26/SN+일/NNB
‘맑스	‘/SS+맑스/NNP
코뮤날레’	코뮤날레/NA+’/SS
토론회에서도	토론회/NNG+에서/JKB+도/JX
‘한국형	‘/SS+한국/NNP+형/XSN
파시즘’의	파시즘/NNG+’/SS+의/JKG
출현	출현/NNG
가능성을	가능/NNG+성/XSN+을/JKO
두고	두/VV+고/EC
열띤	열띠/VA+ㄴ/ETM
논전이	논전/NNG+이/JKS
벌어졌고,	벌어지/VV+었/EP+고/EC+,/SP
닷새	닷새/NNG
뒤	뒤/NNG
인권연대	인권/NNG+연대/NNG
10주년	10/SN+주년/NNB
강연회에선	강연회/NNG+에서/JKB+ㄴ/JX
리영희	리영희/NNP
한양대	한양대/NNP
명예교수가	명예/NNG+교수/NNG+가/JKS
“파시즘	“/SS+파시즘/NNG
초기	초기/NNG
단계에	단계/NNG+에/JKB
들어섰다”는	들어서/VV+었/EP+다/EF+”/SS+는/ETM
발언으로	발언/NNG+으로/JKB
파문을	파문/NNG+을/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.250.4.1
학계의 반응은 엇갈린다.

학계의	학계/NNG+의/JKG
반응은	반응/NNG+은/JX
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.250.4.2
“구체성을 결여한 단순하고 거친 진단”(김진석 인하대 교수)이란 비판이 있는 반면 ‘잠재된 위험에 대한 예방적 비판’이란 차원에서 담론의 유용성을 수긍하는 견해도 적지 않다.

“구체성을	“/SS+구체/NNG+성/XSN+을/JKO
결여한	결여/NNG+하/XSV+ㄴ/ETM
단순하고	단순/NNG+하/XSA+고/EC
거친	거칠/VA+ㄴ/ETM
진단”(김진석	진단/NNG+”/SS+(/SS+김진석/NNP
인하대	인하대/NNP
교수)이란	교수/NNG+)/SS+이/VCP+란/ETM
비판이	비판/NNG+이/JKS
있는	있/VA+는/ETM
반면	반면/NNG
‘잠재된	‘/SS+잠재/NNG+되/XSV+ㄴ/ETM
위험에	위험/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예방적	예방/NNG+적/XSN
비판’이란	비판/NNG+’/SS+이/VCP+란/ETM
차원에서	차원/NNG+에서/JKB
담론의	담론/NNG+의/JKG
유용성을	유용/NNG+성/XSN+을/JKO
수긍하는	수긍/NNG+하/XSV+는/ETM
견해도	견해/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000024.250.4.3
논쟁은 비정규직법·언론관련법 등 민감한 현안이 산적한 하반기에 한층 달아오를 전망이다.

논쟁은	논쟁/NNG+은/JX
비정규직법·언론관련법	비/XPN+정규직/NNG+법/NNG+·/SP+언론/NNG+관련/NNG+법/NNG
등	등/NNB
민감한	민감/NNG+하/XSA+ㄴ/ETM
현안이	현안/NNG+이/JKS
산적한	산적/NNG+하/XSA+ㄴ/ETM
하반기에	하반기/NNG+에/JKB
한층	한층/MAG
달아오를	달아오르/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


