# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.199
metadata : {}


# id : NWRW1800000052.199.1.1
새달부터 서울 대학병원서도 간호·간병 통합서비스

새달부터	새달/NNG+부터/JX
경우	경우/NNG
산정특례를	산정/NNG+특례/NNG+를/JKO
받기	받/VV+기/ETN
때문에	때문/NNB+에/JKB
4천원가량으로	4/SN+천/NR+원/NNB+가량/XSN+으로/JKB
부담이	부담/NNG+이/JKS
감소한다.	감소/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.199.7.3
상급종합병원의 경우 이 서비스를 제공하는 병동에 입원하면 병실비가 하루 1만5천원(6인실)에서 2만3천원(4인실) 더 드나, 보통 8만원가량 하는 간병비에 견줘 보면 비용 부담이 크게 줄어드는 셈이다.

상급종합병원의	상급/NNG+종합/NNG+병원/NNG+의/JKG
경우	경우/NNG
이	이/MMD
서비스를	서비스/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
병동에	병동/NNG+에/JKB
입원하면	입원/NNG+하/XSV+면/EC
병실비가	병실비/NNG+가/JKS
하루	하루/NNG
1만5천원(6인실)에서	1/SN+만/NR+5/SN+천/NR+원/NNB+(/SS+6인실/NNG+)/SS+에서/JKB
2만3천원(4인실)	2/SN+만/NR+3/SN+천/NR+원/NNB+(/SS+4인실/NNG+)/SS
더	더/MAG
드나,	들/VV+나/EC+,/SP
보통	보통/MAG
8만원가량	8/SN+만/NR+원/NNB+가량/XSN
하는	하/VV+는/ETM
간병비에	간병비/NNG+에/JKB
견줘	견주/VV+어/EC
보면	보/VX+면/EC
비용	비용/NNG
부담이	부담/NNG+이/JKS
크게	크/VA+게/EC
줄어드는	줄어들/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.199.7.4
복지부 관계자는 “메르스 유행 때 환자를 돌보던 간병인, 보호자 등이 많이 감염됐다.

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“메르스	“/SS+메르스/NNG
유행	유행/NNG
때	때/NNG
환자를	환자/NNG+를/JKO
돌보던	돌보/VV+던/ETM
간병인,	간병인/NNG+,/SP
보호자	보호자/NNG
등이	등/NNB+이/JKS
많이	많이/MAG
감염됐다.	감염/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.199.7.5
의료기관의 감염 관리를 강화한다는 차원에서 예정보다 더 빨리 간호·간병 통합 서비스를 확대하기로 한 것”이라며 “올해 말까지 총 400개 병원이 참여한다면 환자 2만여명이 혜택을 받을 수 있을 것으로 전망된다”고 말했다.

의료기관의	의료/NNG+기관/NNG+의/JKG
감염	감염/NNG
관리를	관리/NNG+를/JKO
강화한다는	강화/NNG+하/XSV+ㄴ다는/ETM
차원에서	차원/NNG+에서/JKB
예정보다	예정/NNG+보다/JKB
더	더/MAG
빨리	빨리/MAG
간호·간병	간호/NNG+·/SP+간병/NNG
통합	통합/NNG
서비스를	서비스/NNG+를/JKO
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“올해	“/SS+올해/NNG
말까지	말/NNB+까지/JX
총	총/MMA
400개	400/SN+개/NNB
병원이	병원/NNG+이/JKS
참여한다면	참여/NNG+하/XSV+ㄴ다면/EC
환자	환자/NNG
2만여명이	2/SN+만/NR+여/XSN+명/NNB+이/JKS
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
전망된다”고	전망/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


