# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.219
metadata : {}


# id : NWRW1800000049.219.1.1
안병훈 “亞골프 명예를 위해”

안병훈	안병훈/NNP
대륙	대륙/NNG
간	간/NNB
골프대항전으로	골프/NNG+대항전/NNG+으로/JKB
열리는	열리/VV+는/ETM
이	이/MMD
대회에	대회/NNG+에/JKB
안병훈은	안병훈/NNP+은/JX
아시아를	아시아/NNP+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
12명의	12/SN+명/NNB+의/JKG
멤버	멤버/NNG
중	중/NNB
한	한/MMN
명으로	명/NNB+으로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.219.4.3
안병훈은 “유럽 팀을 꼭 이기고 싶다.

안병훈은	안병훈/NNP+은/JX
“유럽	“/SS+유럽/NNP
팀을	팀/NNG+을/JKO
꼭	꼭/MAG
이기고	이기/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000049.219.4.4
매치플레이 경험이 풍부하기 때문에 팀에 도움이 될 것으로 본다”고 말했다.

매치플레이	매치플레이/NNG
경험이	경험/NNG+이/JKS
풍부하기	풍부하/VA+기/ETN
때문에	때문/NNB+에/JKB
팀에	팀/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.219.5.1
지난해 말부터 미국 올랜도의 데이비드 리드베터 아카데미에서 훈련을 해온 안병훈의 세계 랭킹은 현재 29위.

지난해	지난해/NNG
말부터	말/NNB+부터/JX
미국	미국/NNP
올랜도의	올랜도/NNP+의/JKG
데이비드	데이비드/NNP
리드베터	리드베터/NNP
아카데미에서	아카데미/NNG+에서/JKB
훈련을	훈련/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
안병훈의	안병훈/NNP+의/JKG
세계	세계/NNG
랭킹은	랭킹/NNG+은/JX
현재	현재/MAG
29위.	29/SN+위/NNB+./SF


# id : NWRW1800000049.219.5.2
한국인 선수 가운데 가장 높다.

한국인	한국인/NNG
선수	선수/NNG
가운데	가운데/NNG
가장	가장/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.219.5.3
안병훈은 “세계 50위 이내에 진입했기 때문에 메이저나 월드골프챔피언십(WGC) 같은 특급 대회에 출전할 수 있다.

안병훈은	안병훈/NNP+은/JX
“세계	“/SS+세계/NNG
50위	50/SN+위/NNB
이내에	이내/NNG+에/JKB
진입했기	진입/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
메이저나	메이저/NNG+나/JC
월드골프챔피언십(WGC)	월드골프챔피언십/NNG+(/SS+WGC/SL+)/SS
같은	같/VA+은/ETM
특급	특급/NNG
대회에	대회/NNG+에/JKB
출전할	출전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.219.5.4
여기서 좋은 성적을 거둬 미국프로골프(PGA)투어에 직행하고 싶다”고 말했다.

여기서	여기/NP+서/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
거둬	거두/VV+어/EC
미국프로골프(PGA)투어에	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS+투어/NNG+에/JKB
직행하고	직행/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.219.5.5
안병훈의 매니지먼트를 맡고 있는 ISM 아시아에 따르면 “PGA투어 정식 회원이 아니더라도 페덱스컵 랭킹 125위 이내에 드는 성적을 내면 다음 시즌 출전권을 받게 된다”고 설명했다.

안병훈의	안병훈/NNP+의/JKG
매니지먼트를	매니지먼트/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
ISM	ISM/SL
아시아에	아시아/NNP+에/JKB
따르면	따르/VV+면/EC
“PGA투어	“/SS+PGA/SL+투어/NNG
정식	정식/NNG
회원이	회원/NNG+이/JKC
아니더라도	아니/VCN+더라도/EC
페덱스컵	페덱스/NNP+컵/NNG
랭킹	랭킹/NNG
125위	125/SN+위/NNB
이내에	이내/NNG+에/JKB
드는	들/VV+는/ETM
성적을	성적/NNG+을/JKO
내면	내/VV+면/EC
다음	다음/NNG
시즌	시즌/NNG
출전권을	출전/NNG+권/XSN+을/JKO
받게	받/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.219.6.1
안병훈이 쫓고 있는 또 다른 ‘토끼’는 8월 리우데자네이루 올림픽이다.

안병훈이	안병훈/NNP+이/JKS
쫓고	쫓/VV+고/EC
있는	있/VX+는/ETM
또	또/MAG
다른	다른/MMD
‘토끼’는	‘/SS+토끼/NNG+’/SS+는/JX
8월	8/SN+월/NNB
리우데자네이루	리우데자네이루/NNP
올림픽이다.	올림픽/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.219.6.2
올림픽 골프에는 60명이 출전한다.

올림픽	올림픽/NNG
골프에는	골프/NNG+에/JKB+는/JX
60명이	60/SN+명/NNB+이/JKS
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.219.6.3
출전 자격이 되는 올림픽 랭킹에서 안병훈은 현재 18위에 이름을 올리고 있다.

출전	출전/NNG
자격이	자격/NNG+이/JKC
되는	되/VV+는/ETM
올림픽	올림픽/NNG
랭킹에서	랭킹/NNG+에서/JKB
안병훈은	안병훈/NNP+은/JX
현재	현재/MAG
18위에	18/SN+위/NNB+에/JKB
이름을	이름/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.219.6.4
안병훈은 “올림픽에 출전한다는 것은 당연히 큰 영광”이라며 “아버지(안재형 한국 탁구 대표팀 코치)와 함께 태극마크를 달 수 있다면 더 기쁠 것”이라고 말했다.

안병훈은	안병훈/NNP+은/JX
“올림픽에	“/SS+올림픽/NNG+에/JKB
출전한다는	출전/NNG+하/XSV+ㄴ다는/ETM
것은	것/NNB+은/JX
당연히	당연히/MAG
큰	크/VA+ㄴ/ETM
영광”이라며	영광/NNG+”/SS+이/VCP+라며/EC
“아버지(안재형	“/SS+아버지/NNG+(/SS+안재형/NNP
한국	한국/NNP
탁구	탁구/NNG
대표팀	대표/NNG+팀/NNG
코치)와	코치/NNG+)/SS+와/JKB
함께	함께/MAG
태극마크를	태극/NNG+마크/NNG+를/JKO
달	달/VV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
더	더/MAG
기쁠	기쁘/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.219.6.5
안 코치는 “골프 선수들은 철저히 개인 위주이다 보니 올림픽과 같은 종합대회가 낯설 수 있다.

안	안/NNP
코치는	코치/NNG+는/JX
“골프	“/SS+골프/NNG
선수들은	선수/NNG+들/XSN+은/JX
철저히	철저히/MAG
개인	개인/NNG
위주이다	위주/NNG+이/VCP+다/EC
보니	보/VX+니/EC
올림픽과	올림픽/NNG+과/JKB
같은	같/VA+은/ETM
종합대회가	종합/NNG+대회/NNG+가/JKS
낯설	낯설/VA+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.219.6.6
내가 곁에 있으면 분위기에 적응하는 데 도움을 줄 수 있다”고 기대감을 나타냈다.

내가	내/NP+가/JKS
곁에	곁/NNG+에/JKB
있으면	있/VA+으면/EC
분위기에	분위기/NNG+에/JKB
적응하는	적응/NNG+하/XSV+는/ETM
데	데/NNB
도움을	도움/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
기대감을	기대감/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


