# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.25
metadata : {}


# id : NWRW1800000028.25.1.1
대전 자전거 통학 쉬워진다

대전	대전/NNP
보관대는 눈·비 등 외부 환경에 대응할 수 있도록 지붕을 달기로 했으며, 보관대 주변에는 공기 주입기와 간단한 정비 공구를 설치해 자전거 이용의 편의성을 높이기로 했다.

보관대는	보관대/NNG+는/JX
눈·비	눈·비/NNG
등	등/NNB
외부	외부/NNG
환경에	환경/NNG+에/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지붕을	지붕/NNG+을/JKO
달기로	달/VV+기/ETN+로/JKB
했으며,	하/VV+았/EP+으며/EC+,/SP
보관대	보관대/NNG
주변에는	주변/NNG+에/JKB+는/JX
공기	공기/NNG
주입기와	주입기/NNG+와/JC
간단한	간단하/VA+ㄴ/ETM
정비	정비/NNG
공구를	공구/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
자전거	자전거/NNG
이용의	이용/NNG+의/JKG
편의성을	편의/NNG+성/XSN+을/JKO
높이기로	높이/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.25.9.1
또 2007년부터 지정된 11곳의 시범·선도학교에 별도의 예산을 지원해 운영상의 내실화를 꾀하는 한편, 올해 20곳, 내년 30곳 등 지정 학교를 확대하기로 했다.

또	또/MAG
2007년부터	2007/SN+년/NNB+부터/JX
지정된	지정/NNG+되/XSV+ㄴ/ETM
11곳의	11/SN+곳/NNG+의/JKG
시범·선도학교에	시범/NNG+·/SP+선도/NNG+학교/NNG+에/JKB
별도의	별도/NNG+의/JKG
예산을	예산/NNG+을/JKO
지원해	지원/NNG+하/XSV+아/EC
운영상의	운영/NNG+상/XSN+의/JKG
내실화를	내실/NNG+화/XSN+를/JKO
꾀하는	꾀하/VV+는/ETM
한편,	한편/NNG+,/SP
올해	올해/NNG
20곳,	20/SN+곳/NNG+,/SP
내년	내년/NNG
30곳	30/SN+곳/NNG
등	등/NNB
지정	지정/NNG
학교를	학교/NNG+를/JKO
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.25.9.2
전 학교를 대상으로 정규 체육시간이나 특별활동 시간을 이용해 자전거 안전교육을 하도록 하고 이수자에게는 교통카드 기능이 들어간 수료증을 발급한다.

전	전/MMN
학교를	학교/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
정규	정규/NNG
체육시간이나	체육/NNG+시간/NNG+이나/JC
특별활동	특별/NNG+활동/NNG
시간을	시간/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
자전거	자전거/NNG
안전교육을	안전/NNG+교육/NNG+을/JKO
하도록	하/VV+도록/EC
하고	하/VX+고/EC
이수자에게는	이수자/NNG+에게/JKB+는/JX
교통카드	교통/NNG+카드/NNG
기능이	기능/NNG+이/JKS
들어간	들어가/VV+ㄴ/ETM
수료증을	수료증/NNG+을/JKO
발급한다.	발급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.25.10.1
특히 현재 운영중인 시민 공영자전거 ‘타슈’ 무인대여 시스템을 둔산여고, 외삼중 등 도시철도 인근 시범·선도학교 중심으로 우선 설치한 뒤 단계적으로 확대해 나가기로 했다.

특히	특히/MAG
현재	현재/MAG
운영중인	운영/NNG+중/NNB+이/VCP+ㄴ/ETM
시민	시민/NNG
공영자전거	공영/NNG+자전거/NNG
‘타슈’	‘/SS+타슈/NNP+’/SS
무인대여	무인/NNG+대여/NNG
시스템을	시스템/NNG+을/JKO
둔산여고,	둔산여고/NNP+,/SP
외삼중	외삼중/NNP
등	등/NNB
도시철도	도시/NNG+철도/NNG
인근	인근/NNG
시범·선도학교	시범/NNG+·/SP+선도/NNG+학교/NNG
중심으로	중심/NNG+으로/JKB
우선	우선/MAG
설치한	설치/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
단계적으로	단계/NNG+적/XSN+으로/JKB
확대해	확대/NNG+하/XSV+아/EC
나가기로	나가/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.25.10.2
내년 3월까지 25개교로 확대되며, 대여소당 자전거는 20대씩 배치할 예정이다.

내년	내년/NNG
3월까지	3/SN+월/NNB+까지/JX
25개교로	25/SN+개교/NNB+로/JKB
확대되며,	확대/NNG+되/XSV+며/EC+,/SP
대여소당	대여소/NNG+당/XSN
자전거는	자전거/NNG+는/JX
20대씩	20/SN+대/NNB+씩/XSN
배치할	배치/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.25.11.1
대전시 건설도로과 김창섭씨는 “학생 시절부터 자전거 이용 습관을 갖게 되면 청·장년층까지 이어져 자전거 문화 수준을 높이는 데 도움이 될 것을 기대한다”고 말했다.

대전시	대전시/NNP
건설도로과	건설/NNG+도로과/NNG
김창섭씨는	김창섭/NNP+씨/NNB+는/JX
“학생	“/SS+학생/NNG
시절부터	시절/NNG+부터/JX
자전거	자전거/NNG
이용	이용/NNG
습관을	습관/NNG+을/JKO
갖게	갖/VV+게/EC
되면	되/VV+면/EC
청·장년층까지	청·장년/NNG+층/XSN+까지/JX
이어져	이어지/VV+어/EC
문화	문화/NNG
수준을	수준/NNG+을/JKO
높이는	높이/VV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것을	것/NNB+을/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


