# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.427
metadata : {}


# id : NWRW1800000026.427.1.1
[부산·경남] 창원 프로야구단 창단작업 급물살;내년 1월 창단기업 확정 마산구장 리모델링 추진

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
또 이미 확보된 15억원으로 전광판을 바꾸고, 도색·음향 등 부대시설 공사도 마칠 계획이다.

또	또/MAG
이미	이미/MAG
확보된	확보/NNG+되/XSV+ㄴ/ETM
15억원으로	15/SN+억/NR+원/NNB+으로/JKB
전광판을	전광판/NNG+을/JKO
바꾸고,	바꾸/VV+고/EC+,/SP
도색·음향	도색/NNG+·/SP+음향/NNG
등	등/NNB
부대시설	부대시설/NNG
공사도	공사/NNG+도/JX
마칠	마치/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.427.7.1
마산야구장 리모델링과 함께 신규 구장 건립사업도 조만간 가시화할 것으로 보인다.

마산야구장	마산야구장/NNP
리모델링과	리모델링/NNG+과/JKB
함께	함께/MAG
신규	신규/NNG
구장	구장/NNG
건립사업도	건립/NNG+사업/NNG+도/JX
조만간	조만간/MAG
가시화할	가시/NNG+화/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.427.7.2
창원시는 시민여론조사 및 인터넷 조사, 창단기업과의 협의 등을 거쳐 신규 구장 건립을 본격화할 계획이다.

창원시는	창원시/NNP+는/JX
시민여론조사	시민/NNG+여론/NNG+조사/NNG
및	및/MAG
인터넷	인터넷/NNG
조사,	조사/NNG+,/SP
창단기업과의	창단/NNG+기업/NNG+과/JKB+의/JKG
협의	협의/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
신규	신규/NNG
구장	구장/NNG
건립을	건립/NNG+을/JKO
본격화할	본격/NNG+화/XSN+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.427.8.1
창원시는 창단기업이 선수단 구성, 2부 리그 참여 등을 거쳐 시즌에 본격 참여하는 2014년 홈 개막 경기는 신규 구장에서 한다는 계획을 세워두고 있다.

창원시는	창원시/NNP+는/JX
창단기업이	창단/NNG+기업/NNG+이/JKS
선수단	선수단/NNG
구성,	구성/NNG+,/SP
2부	2/SN+부/NNB
리그	리그/NNG
참여	참여/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
시즌에	시즌/NNG+에/JKB
본격	본격/NNG
참여하는	참여/NNG+하/XSV+는/ETM
2014년	2014/SN+년/NNB
홈	홈/NNG
개막	개막/NNG
경기는	경기/NNG+는/JX
신규	신규/NNG
구장에서	구장/NNG+에서/JKB
한다는	하/VV+ㄴ다는/ETM
계획을	계획/NNG+을/JKO
세워두고	세우/VV+어/EC+두/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.427.8.2
신규 구장 건립에는 1200억원 정도 소요될 것으로 예상되며, 장소 물색 등에 이어 건립에는 1년여 걸릴 것으로 전망된다.

신규	신규/NNG
구장	구장/NNG
건립에는	건립/NNG+에/JKB+는/JX
1200억원	1200/SN+억/NR+원/NNB
정도	정도/NNG
소요될	소요/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되며,	예상/NNG+되/XSV+며/EC+,/SP
장소	장소/NNG
물색	물색/NNG
등에	등/NNB+에/JKB
이어	잇/VV+어/EC
1년여	1/SN+년/NNB+여/XSN
걸릴	걸리/VV+ㄹ/ETM
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


