# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.329
metadata : {}


# id : NWRW1800000056.329.1.1
[한겨레 프리즘] 우리 안의 ‘갑질’ / 한귀영

[한겨레	[/SS+한겨레/NNP
작동도	작동/NNG+도/JX
은폐되어	은폐/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.329.3.3
이번 조사에서는 ‘미시적 권력관계’라는 개념으로 직장 갑질의 실태를 들여다보았다.

이번	이번/NNG
조사에서는	조사/NNG+에서/JKB+는/JX
‘미시적	‘/SS+미시/NNG+적/XSN
권력관계’라는	권력관계/NNG+’/SS+이/VCP+라는/ETM
개념으로	개념/NNG+으로/JKB
직장	직장/NNG
갑질의	갑/NNG+질/XSN+의/JKG
실태를	실태/NNG+를/JKO
들여다보았다.	들여다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.329.4.1
크게 네 가지 측면으로 구분했는데, 일상적 의사결정이 민주적인가?

크게	크/VA+게/EC
네	네/MMN
가지	가지/NNB
측면으로	측면/NNG+으로/JKB
구분했는데,	구분/NNG+하/XSV+았/EP+는데/EC+,/SP
일상적	일상/NNG+적/XSN
의사결정이	의사/NNG+결정/NNG+이/JKS
민주적인가?	민주/NNG+적/XSN+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000056.329.4.2
성희롱이나 부당한 지시 등을 지적하고 시정할 수 있는가?

성희롱이나	성희롱/NNG+이나/JC
부당한	부당/NNG+하/XSA+ㄴ/ETM
지시	지시/NNG
등을	등/NNB+을/JKO
지적하고	지적/NNG+하/XSV+고/EC
시정할	시정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는가?	있/VA+는가/EF+?/SF


# id : NWRW1800000056.329.4.3
퇴근, 휴가 등 일과 삶의 균형을 위한 자율성이 보장되는가?

퇴근,	퇴근/NNG+,/SP
휴가	휴가/NNG
등	등/NNB
일과	일/NNG+과/JC
삶의	삶/NNG+의/JKG
균형을	균형/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자율성이	자율/NNG+성/XSN+이/JKS
보장되는가?	보장/NNG+되/XSV+는가/EF+?/SF


# id : NWRW1800000056.329.4.4
인사 및 성과평가는 공정한가 등이다.

인사	인사/NNG
및	및/MAG
성과평가는	성과/NNG+평가/NNG+는/JX
공정한가	공정/NNG+하/XSA+ㄴ가/EF
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.329.5.1
결과를 보면 성과평가의 공정성이 100점 만점에 39.3점으로 가장 낮았고, 일상적 의사결정의 민주성 항목도 44.1점에 그쳤다.

결과를	결과/NNG+를/JKO
보면	보/VV+면/EC
성과평가의	성과/NNG+평가/NNG+의/JKG
공정성이	공정/NNG+성/XSN+이/JKS
100점	100/SN+점/NNB
만점에	만점/NNG+에/JKB
39.3점으로	39/SN+./SP+3/SN+점/NNB+으로/JKB
가장	가장/MAG
낮았고,	낮/VA+았/EP+고/EC+,/SP
일상적	일상/NNG+적/XSN
의사결정의	의사/NNG+결정/NNG+의/JKG
민주성	민주/NNG+성/XSN
항목도	항목/NNG+도/JX
44.1점에	44/SN+./SP+1/SN+점/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.329.5.2
부당한 것에 대한 시정 요구는 55.3점, 일과 삶의 균형을 위한 자율적 결정이 61.5점으로 가장 높았다.

부당한	부당/NNG+하/XSA+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
시정	시정/NNG
요구는	요구/NNG+는/JX
55.3점,	55/SN+./SP+3/SN+점/NNB+,/SP
일과	일/NNG+과/JC
삶의	삶/NNG+의/JKG
균형을	균형/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자율적	자율/NNG+적/XSN
결정이	결정/NNG+이/JKS
61.5점으로	61/SN+./SP+5/SN+점/NNB+으로/JKB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000056.329.6.1
낙제 수준에 가까운 이런 결과가 상대적으로 고용이 안정되고 노조가 든든한 방패막이가 되는 민주노총 소속 산별노조를 대상으로 한 조사라는 사실에 주목하자.

낙제	낙제/NNG
수준에	수준/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
이런	이런/MMD
결과가	결과/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
고용이	고용/NNG+이/JKS
안정되고	안정/NNG+되/XSV+고/EC
노조가	노조/NNG+가/JKS
든든한	든든하/VA+ㄴ/ETM
방패막이가	방패막이/NNG+가/JKC
되는	되/VV+는/ETM
민주노총	민주노총/NNP
소속	소속/NNG
산별노조를	산별/NNG+노조/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
조사라는	조사/NNG+이/VCP+라는/ETM
사실에	사실/NNG+에/JKB
주목하자.	주목/NNG+하/XSV+자/EF+./SF


# id : NWRW1800000056.329.6.2
다른 곳이 얼마나 심각한 수준일지는 가늠하기조차 어렵다.

다른	다른/MMD
곳이	곳/NNG+이/JKS
얼마나	얼마나/MAG
심각한	심각하/VA+ㄴ/ETM
수준일지는	수준/NNG+이/VCP+ㄹ지/EF+는/JX
가늠하기조차	가늠/NNG+하/XSV+기/ETN+조차/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000056.329.7.1
산별 차이도 눈길을 끈다.

산별	산별/NNG
차이도	차이/NNG+도/JX
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.329.7.2
대부분의 항목에서 공무원이 가장 점수가 높고 다른 산별과의 격차도 크다.

대부분의	대/XPN+부분/NNG+의/JKG
항목에서	항목/NNG+에서/JKB
공무원이	공무원/NNG+이/JKS
가장	가장/MAG
점수가	점수/NNG+가/JKS
높고	높/VA+고/EC
다른	다른/MMD
산별과의	산별/NNG+과/JKB+의/JKG
격차도	격차/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000056.329.7.3
청년들의 꿈이 왜 9급 공무원인지를 실감하게 된다.

청년들의	청년/NNG+들/XSN+의/JKG
꿈이	꿈/NNG+이/JKS
왜	왜/MAG
9급	9/SN+급/NNG
공무원인지를	공무원/NNG+이/VCP+ㄴ지/EF+를/JKO
실감하게	실감/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.329.7.4
보건의료노조는 항목과 관계없이 가장 낮았고 일상적 의사결정의 민주성은 38.4점으로 특히 낮았다.

보건의료노조는	보건의료노조/NNP+는/JX
항목과	항목/NNG+과/JKB
관계없이	관계없이/MAG
가장	가장/MAG
낮았고	낮/VA+았/EP+고/EC
일상적	일상/NNG+적/XSN
의사결정의	의사/NNG+결정/NNG+의/JKG
민주성은	민주/NNG+성/XSN+은/JX
38.4점으로	38/SN+./SP+4/SN+점/NNB+으로/JKB
특히	특히/MAG
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000056.329.7.5
심층인터뷰에 응한 간호사 출신 노조 간부는 심지어 직원 간 폭행도 종종 있다고 토로했다.

심층인터뷰에	심층/NNG+인터뷰/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
간호사	간호사/NNG
출신	출신/NNG
노조	노조/NNG
간부는	간부/NNG+는/JX
심지어	심지어/MAG
직원	직원/NNG
간	간/NNB
폭행도	폭행/NNG+도/JX
종종	종종/MAG
있다고	있/VA+다고/EC
토로했다.	토로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.329.7.6
“폭언·폭행한 사람은 자기가 무얼 잘못했는지 모른다.

“폭언·폭행한	“/SS+폭언/NNG+·/SP+폭행/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
자기가	자기/NP+가/JKS
무얼	무어/NP+ㄹ/JKO
잘못했는지	잘못/MAG+하/XSV+았/EP+는지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.329.7.7
선배로부터 그렇게 받아왔고, 자연스러운 과정으로 여겨왔기 때문이다.”

선배로부터	선배/NNG+로부터/JKB
그렇게	그렇/VA+게/EC
받아왔고,	받/VV+아/EC+오/VX+았/EP+고/EC+,/SP
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
과정으로	과정/NNG+으로/JKB
여겨왔기	여기/VV+어/EC+오/VX+았/EP+기/ETN
때문이다.”	때문/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000056.329.7.8
직장 갑질이 경영진의 갑질을 넘어 선임 노동자의 갑질이라는 중층적인 구조 속에 놓여 있음을 보여준다.

직장	직장/NNG
갑질이	갑/NNG+질/XSN+이/JKS
경영진의	경영진/NNG+의/JKG
갑질을	갑/NNG+질/XSN+을/JKO
넘어	넘/VV+어/EC
선임	선임/NNG
노동자의	노동자/NNG+의/JKG
갑질이라는	갑/NNG+질/XSN+이/VCP+라는/ETM
중층적인	중층/NNG+적/XSN+이/VCP+ㄴ/ETM
구조	구조/NNG
속에	속/NNG+에/JKB
놓여	놓이/VV+어/EC
있음을	있/VX+음/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.329.8.1
사무금융노조의 경우도 의미심장하다.

사무금융노조의	사무금융노조/NNP+의/JKG
경우도	경우/NNG+도/JX
의미심장하다.	의미심장하/VA+다/EF+./SF


# id : NWRW1800000056.329.8.2
임금도 높고 복지도 좋아 소위 높은 ‘스펙’이 요구되는 선망의 직장이지만 조사 결과는 일상적 의사결정의 민주성, 성과평가의 공정성 모두 가장 낮게 나타났다.

임금도	임금/NNG+도/JX
높고	높/VA+고/EC
복지도	복지/NNG+도/JX
좋아	좋/VA+아/EC
소위	소위/MAG
높은	높/VA+은/ETM
‘스펙’이	‘/SS+스펙/NNG+’/SS+이/JKS
요구되는	요구/NNG+되/XSV+는/ETM
선망의	선망/NNG+의/JKG
직장이지만	직장/NNG+이/VCP+지만/EC
조사	조사/NNG
결과는	결과/NNG+는/JX
일상적	일상/NNG+적/XSN
의사결정의	의사/NNG+결정/NNG+의/JKG
민주성,	민주/NNG+성/XSN+,/SP
성과평가의	성과/NNG+평가/NNG+의/JKG
공정성	공정/NNG+성/XSN
모두	모두/MAG
가장	가장/MAG
낮게	낮/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.329.8.3
“폭언, 폭행 문제가 발생하면 피해자의 맷집, 멘탈이 나쁘다는 식으로 호도하고, 피해자를 탓하는 구조가 존재한다”는 사무금융노조 간부의 지적이 뼈아프다.

“폭언,	“/SS+폭언/NNG+,/SP
폭행	폭행/NNG
문제가	문제/NNG+가/JKS
발생하면	발생/NNG+하/XSV+면/EC
피해자의	피해자/NNG+의/JKG
맷집,	맷집/NNG+,/SP
멘탈이	멘탈/NNG+이/JKS
나쁘다는	나쁘/VA+다는/ETM
식으로	식/NNB+으로/JKB
호도하고,	호도/NNG+하/XSV+고/EC+,/SP
피해자를	피해자/NNG+를/JKO
탓하는	탓/NNG+하/XSV+는/ETM
구조가	구조/NNG+가/JKS
존재한다”는	존재/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
사무금융노조	사무금융노조/NNP
간부의	간부/NNG+의/JKG
지적이	지적/NNG+이/JKS
뼈아프다.	뼈아프/VA+다/EF+./SF


# id : NWRW1800000056.329.8.4
게다가 기업은 갑질을 시스템화한다.

게다가	게다가/MAG
기업은	기업/NNG+은/JX
갑질을	갑/NNG+질/XSN+을/JKO
시스템화한다.	시스템/NNG+화/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.329.8.5
“중간관리자는 정글에서 살아남기 위해 아랫사람들을 강하게 쪼게 된다.”

“중간관리자는	“/SS+중간/NNG+관리자/NNG+는/JX
정글에서	정글/NNG+에서/JKB
살아남기	살아남/VV+기/ETN
위해	위하/VV+아/EC
아랫사람들을	아랫사람/NNG+들/XSN+을/JKO
강하게	강하/VA+게/EC
쪼게	쪼/VV+게/EC
된다.”	되/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000056.329.8.6
갑질을 안 하면 낙오하는 구조 속에서 혼자 착하게 살 수는 없다.

갑질을	갑/NNG+질/XSN+을/JKO
안	안/MAG
하면	하/VV+면/EC
낙오하는	낙오/NNG+하/XSV+는/ETM
구조	구조/NNG
속에서	속/NNG+에서/JKB
혼자	혼자/NNG
착하게	착하/VA+게/EC
살	살/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.329.8.7
갑질을 욕하는 우리 역시 갑질 구조의 일부를 구성하고 있다는 성찰이 절실하다.

갑질을	갑/NNG+질/XSN+을/JKO
욕하는	욕/NNG+하/XSV+는/ETM
우리	우리/NP
역시	역시/MAG
갑질	갑/NNG+질/XSN
구조의	구조/NNG+의/JKG
일부를	일부/NNG+를/JKO
구성하고	구성/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
성찰이	성찰/NNG+이/JKS
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000056.329.9.1
노동이 불행한데 우리 삶이 존엄할 수는 없다.

노동이	노동/NNG+이/JKS
불행한데	불행/NNG+하/XSA+ㄴ데/EC
우리	우리/NP
삶이	삶/NNG+이/JKS
존엄할	존엄/NNG+하/XSA+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.329.9.2
행복할 수도 없다.

행복할	행복/NNG+하/XSA+ㄹ/ETM
수도	수/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.329.9.3
이번 조사는 강력한 노조의 보호를 받는 정규직 노동자들의 삶조차 일상적으로 훼손되고 있음을 보여준다.

이번	이번/NNG
조사는	조사/NNG+는/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
노조의	노조/NNG+의/JKG
보호를	보호/NNG+를/JKO
받는	받/VV+는/ETM
정규직	정규직/NNG
노동자들의	노동자/NNG+들/XSN+의/JKG
삶조차	삶/NNG+조차/JX
일상적으로	일상/NNG+적/XSN+으로/JKB
훼손되고	훼손/NNG+되/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.329.9.4
비정규 불안정 노동자들의 삶이야 말해서 무엇 하랴.

비정규	비/XPN+정규/NNG
불안정	불/XPN+안정/NNG
노동자들의	노동자/NNG+들/XSN+의/JKG
삶이야	삶/NNG+이야/JX
말해서	말/NNG+하/XSV+아서/EC
무엇	무엇/NP
하랴.	하/VV+랴/EF+./SF


# id : NWRW1800000056.329.9.5
장시간 노동, 부조리한 의사결정, 미시폭력이 우리 삶을 황폐하게 만든다.

장시간	장시간/NNG
노동,	노동/NNG+,/SP
부조리한	부/XPN+조리/NNG+하/XSA+ㄴ/ETM
의사결정,	의사/NNG+결정/NNG+,/SP
미시폭력이	미시/NNG+폭력/NNG+이/JKS
우리	우리/NP
삶을	삶/NNG+을/JKO
황폐하게	황폐/NNG+하/XSV+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.329.9.6
이 일터의 부조리함이 가정으로, 마을로, 사회로 전이되어 간다.

이	이/MMD
일터의	일터/NNG+의/JKG
부조리함이	부/XPN+조리/NNG+하/XSA+ㅁ/ETN+이/JKS
가정으로,	가정/NNG+으로/JKB+,/SP
마을로,	마을/NNG+로/JKB+,/SP
사회로	사회/NNG+로/JKB
전이되어	전이/NNG+되/XSV+어/EC
간다.	가/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.329.10.1
‘촛불’이 일어난 지 1년이 지났다.

‘촛불’이	‘/SS+촛불/NNG+’/SS+이/JKS
일어난	일어나/VV+ㄴ/ETM
지	지/NNB
1년이	1/SN+년/NNB+이/JKS
지났다.	지나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.329.10.2
광장 민주주의의 기억을 소중히 간직하되 일상에 스며든 권위주의, 부조리도 바꾸지 않으면 안 된다.

광장	광장/NNG
민주주의의	민주주의/NNG+의/JKG
기억을	기억/NNG+을/JKO
소중히	소중히/MAG
간직하되	간직/NNG+하/XSV+되/EC
일상에	일상/NNG+에/JKB
스며든	스며들/VV+ㄴ/ETM
권위주의,	권위주의/NNG+,/SP
부조리도	부/XPN+조리/NNG+도/JX
바꾸지	바꾸/VV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.329.10.3
민주주의가 멈춘 그곳이 바로 변화의 출발점이 되어야 한다.

민주주의가	민주주의/NNG+가/JKS
멈춘	멈추/VV+ㄴ/ETM
그곳이	그곳/NP+이/JKS
바로	바로/MAG
변화의	변화/NNG+의/JKG
출발점이	출발점/NNG+이/JKC
되어야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


