# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.103
metadata : {}


# id : NWRW1800000056.103.1.1
지엠·르노·쌍용차 내수판매 상승세

지엠·르노·쌍용차	지엠/NNP+·/SP+르노/NNP+·/SP+쌍용차/NNP
판매를	판매/NNG+를/JKO
늘려	늘리/VV+어/EC
국내공장	국내/NNG+공장/NNG
수출	수출/NNG
감소분을	감소/NNG+분/XSN+을/JKO
만회했다.	만회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.103.6.1
현대차는 지난달 국내 4만5100대, 국외 29만7507대 등 세계 시장에서 지난해 같은 달보다 1.3% 증가한 34만2607대를 판매했다고 1일 밝혔다.

현대차는	현대차/NNP+는/JX
지난달	지난달/NNG
국내	국내/NNG
4만5100대,	4/SN+만/NR+5100/SN+대/NNB+,/SP
국외	국외/NNG
29만7507대	29/SN+만/NR+7507/SN+대/NNB
등	등/NNB
세계	세계/NNG
시장에서	시장/NNG+에서/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
달보다	달/NNG+보다/JKB
1.3%	1/SN+./SP+3/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
34만2607대를	34/SN+만/NR+2607/SN+대/NNB+를/JKO
판매했다고	판매/NNG+하/XSV+았/EP+다고/EC
1일	1/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.6.2
국외 현지공장 판매가 증가하면서 국내공장 수출 감소분을 상쇄해 국외 판매는 3.1% 늘었다.

국외	국외/NNG
현지공장	현지/NNG+공장/NNG
판매가	판매/NNG+가/JKS
증가하면서	증가/NNG+하/XSV+면서/EC
국내공장	국내/NNG+공장/NNG
수출	수출/NNG
감소분을	감소/NNG+분/XSN+을/JKO
상쇄해	상쇄/NNG+하/XSV+아/EC
판매는	판매/NNG+는/JX
3.1%	3/SN+./SP+1/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.6.3
그러나 국내 판매는 9.5% 감소했다.

그러나	그러나/MAJ
국내	국내/NNG
판매는	판매/NNG+는/JX
9.5%	9/SN+./SP+5/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.103.6.4
지난해부터 이어지고 있는 내수 부진의 늪에서 좀처럼 벗어나지 못하는 모습이다.

지난해부터	지난해/NNG+부터/JX
이어지고	이어지/VV+고/EC
있는	있/VX+는/ETM
내수	내수/NNG
부진의	부진/NNG+의/JKG
늪에서	늪/NNG+에서/JKB
좀처럼	좀처럼/MAG
벗어나지	벗어나/VV+지/EC
못하는	못하/VX+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.103.6.5
지난해 11월 말 출시된 신형 그랜저가 선전하고 있지만 싼타페와 투싼, 맥스크루즈 등 레저용차량(RV) 판매가 크게 줄어들면서 전체 판매량을 끌어내렸다.

지난해	지난해/NNG
11월	11/SN+월/NNB
말	말/NNB
출시된	출시/NNG+되/XSV+ㄴ/ETM
신형	신형/NNG
그랜저가	그랜저/NNP+가/JKS
선전하고	선전/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
싼타페와	싼타페/NNP+와/JC
투싼,	투싼/NNP+,/SP
맥스크루즈	맥스크루즈/NNG
등	등/NNB
레저용차량(RV)	레저/NNG+용/XSN+차량/NNG+(/SS+RV/SL+)/SS
판매가	판매/NNG+가/JKS
크게	크/VA+게/EC
줄어들면서	줄어들/VV+면서/EC
전체	전체/NNG
판매량을	판매량/NNG+을/JKO
끌어내렸다.	끌어내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.6.6
그랜저는 승용 부문에서 1만586대 팔리며 1월 베스트셀링카에 올랐다.

그랜저는	그랜저/NNP+는/JX
승용	승용/NNG
부문에서	부문/NNG+에서/JKB
1만586대	1/SN+만/NR+586/SN+대/NNB
팔리며	팔리/VV+며/EC
1월	1/SN+월/NNB
베스트셀링카에	베스트셀링카/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.103.6.7
현대차 관계자는 “설연휴가 1월에 포함돼 영업일수가 줄면서 판매에 영향을 끼쳤다”고 말했다.

현대차	현대차/NNP
관계자는	관계자/NNG+는/JX
“설연휴가	“/SS+설/NNG+연휴/NNG+가/JKS
1월에	1/SN+월/NNB+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
영업일수가	영업일/NNG+수/NNG+가/JKS
줄면서	줄/VV+면서/EC
판매에	판매/NNG+에/JKB
영향을	영향/NNG+을/JKO
끼쳤다”고	끼치/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.103.7.1
기아차는 국내·외 판매가 모두 줄었다.

기아차는	기아차/NNP+는/JX
국내·외	국내·외/NNG
판매가	판매/NNG+가/JKS
모두	모두/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.7.2
국내 판매는 연휴에 따른 영업일수 감소와 주요 모델 노후화 등이 겹쳐 9.1% 줄어들었다고 기아차는 밝혔다.

국내	국내/NNG
판매는	판매/NNG+는/JX
연휴에	연휴/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
영업일수	영업일/NNG+수/NNG
감소와	감소/NNG+와/JC
주요	주요/NNG
모델	모델/NNG
노후화	노후/NNG+화/XSN
등이	등/NNB+이/JKS
겹쳐	겹치/VV+어/EC
9.1%	9/SN+./SP+1/SN+%/SW
줄어들었다고	줄어들/VV+었/EP+다고/EC
기아차는	기아차/NNP+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.7.3
국외 판매도 6.5% 감소했다.

국외	국외/NNG
판매도	판매/NNG+도/JX
6.5%	6/SN+./SP+5/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.103.7.4
기아차는 레저용차량의 판매 호조에도 국내외 공장의 휴무일 증가로 생산일수가 감소했고, 신차 투입을 앞두고 국외에서 판매 확대보다 내실 다지기에 집중했기 때문이라고 설명했다.

기아차는	기아차/NNP+는/JX
레저용차량의	레저/NNG+용/XSN+차량/NNG+의/JKG
판매	판매/NNG
호조에도	호조/NNG+에/JKB+도/JX
국내외	국내외/NNG
공장의	공장/NNG+의/JKG
휴무일	휴무일/NNG
증가로	증가/NNG+로/JKB
생산일수가	생산/NNG+일수/NNG+가/JKS
감소했고,	감소/NNG+하/XSV+았/EP+고/EC+,/SP
신차	신차/NNG
투입을	투입/NNG+을/JKO
앞두고	앞두/VV+고/EC
국외에서	국외/NNG+에서/JKB
확대보다	확대/NNG+보다/JKB
내실	내실/NNG
다지기에	다지/VV+기/ETN+에/JKB
집중했기	집중/NNG+하/XSV+았/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.103.8.1
반면 한국지엠과 르노삼성, 쌍용차는 지난달 큰 폭의 판매 증가세로 내수시장을 이끌었다.

반면	반면/NNG
한국지엠과	한국지엠/NNP+과/JC
르노삼성,	르노삼성/NNP+,/SP
쌍용차는	쌍용차/NNP+는/JX
지난달	지난달/NNG
큰	크/VA+ㄴ/ETM
폭의	폭/NNG+의/JKG
판매	판매/NNG
증가세로	증가세/NNG+로/JKB
내수시장을	내수/NNG+시장/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.8.2
한국지엠은 1월 국내에서 1만1643대를 판매해 전년 동기 대비 25.5% 증가했다.

한국지엠은	한국지엠/NNP+은/JX
1월	1/SN+월/NNB
국내에서	국내/NNG+에서/JKB
1만1643대를	1/SN+만/NR+1643/SN+대/NNB+를/JKO
판매해	판매/NNG+하/XSV+아/EC
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
25.5%	25/SN+./SP+5/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.103.8.3
수출은 11.8% 줄었다.

수출은	수출/NNG+은/JX
11.8%	11/SN+./SP+8/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.8.4
데일 설리번 영업마케팅부문 부사장은 “1월 출시한 신형 크루즈를 시작으로 경쟁력 있는 신차를 지속적으로 출시하고 공격적인 마케팅으로 내수시장에서 새로운 이정표를 세울 것”이라고 말했다.

데일	데일/NNP
설리번	설리번/NNP
영업마케팅부문	영업/NNG+마케팅/NNG+부문/NNG
부사장은	부사장/NNG+은/JX
“1월	“/SS+1/SN+월/NNB
출시한	출시/NNG+하/XSV+ㄴ/ETM
신형	신형/NNG
크루즈를	크루즈/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
경쟁력	경쟁력/NNG
있는	있/VA+는/ETM
신차를	신차/NNG+를/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
출시하고	출시/NNG+하/XSV+고/EC
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
마케팅으로	마케팅/NNG+으로/JKB
내수시장에서	내수/NNG+시장/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
이정표를	이정표/NNG+를/JKO
세울	세우/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.103.9.1
르노삼성은 지난달 내수판매(7440대)를 3배 넘게 늘리며 상승세를 이어갔다.

르노삼성은	르노삼성/NNP+은/JX
지난달	지난달/NNG
내수판매(7440대)를	내수/NNG+판매/NNG+(/SS+7440/SN+대/NNB+)/SS+를/JKO
3배	3/SN+배/NNG
넘게	넘/VV+게/EC
늘리며	늘리/VV+며/EC
상승세를	상승세/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.103.9.2
지난해 출시한 SM6와 QM6가 판매를 이끌었다.

지난해	지난해/NNG
출시한	출시/NNG+하/XSV+ㄴ/ETM
SM6와	SM6/NNG+와/JC
QM6가	QM6/NNG+가/JKS
판매를	판매/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.9.3
1월 수출(1만2816대)은 0.8% 줄었다.

1월	1/SN+월/NNB
수출(1만2816대)은	수출/NNG+(/SS+1/SN+만/NR+2816/SN+대/NNB+)/SS+은/JX
0.8%	0/SN+./SP+8/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.9.4
쌍용차도 내수 증가세를 이어간 반면 수출은 부진했다.

쌍용차도	쌍용차/NNP+도/JX
내수	내수/NNG
증가세를	증가세/NNG+를/JKO
이어간	잇/VV+어/EC+가/VX+ㄴ/ETM
반면	반면/NNG
수출은	수출/NNG+은/JX
부진했다.	부진/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000056.103.9.5
국내·외 전체 판매(1만420대)는 3.4% 늘렸다.

국내·외	국내·외/NNG
전체	전체/NNG
판매(1만420대)는	판매/NNG+(/SS+1/SN+만/NR+420/SN+대/NNB+)/SS+는/JX
3.4%	3/SN+./SP+4/SN+%/SW
늘렸다.	늘리/VV+었/EP+다/EF+./SF


