# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.13
metadata : {}


# id : NWRW1800000032.13.1.1
소액주주들 “부당경영 견제” 3월 주총 벼른다

소액주주들	소액/NNG+주주/NNG+들/XSN
대기업을	대/XPN+기업/NNG+을/JKO
상대로	상대/NNG+로/JKB
한다면,	하/VV+ㄴ다면/EC+,/SP
직접	직접/MAG
행동에	행동/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
소액주주들은	소액/NNG+주주/NNG+들/XSN+은/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
작은	작/VA+은/ETM
기업들을	기업/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
지배구조	지배/NNG+구조/NNG
개선	개선/NNG
운동을	운동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.13.4.1
■ ‘직접 행동’ 나선 개미들 지난해 태광그룹의 편법 상속·증여와 비자금 조성 의혹을 제기했던 서울인베스트(대표 박윤배)는 오는 30일 환경폐기물 처리 1위 업체인 인선이엔티 주총에서 경영진 전면 퇴진을 요구할 예정이다.

■	■/SW
‘직접	‘/SS+직접/NNG
행동’	행동/NNG+’/SS
나선	나서/VV+ㄴ/ETM
개미들	개미/NNG+들/XSN
지난해	지난해/NNG
태광그룹의	태광그룹/NNP+의/JKG
편법	편법/NNG
상속·증여와	상속/NNG+·/SP+증여/NNG+와/JC
비자금	비자금/NNG
조성	조성/NNG
의혹을	의혹/NNG+을/JKO
제기했던	제기/NNG+하/XSV+았/EP+던/ETM
서울인베스트(대표	서울인베스트/NNP+(/SS+대표/NNG
박윤배)는	박윤배/NNP+)/SS+는/JX
오는	오/VV+는/ETM
30일	30/SN+일/NNB
환경폐기물	환경/NNG+폐기물/NNG
처리	처리/NNG
1위	1/SN+위/NNB
업체인	업체/NNG+이/VCP+ㄴ/ETM
인선이엔티	인선이엔티/NNP
주총에서	주총/NNG+에서/JKB
경영진	경영진/NNG
전면	전면/NNG
퇴진을	퇴진/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.4.2
인선이엔티 최대주주는 최근 횡령 및 배임 혐의로 구속됐다.

인선이엔티	인선이엔티/NNP
최대주주는	최대/NNG+주주/NNG+는/JX
최근	최근/NNG
횡령	횡령/NNG
및	및/MAG
배임	배임/NNG
혐의로	혐의/NNG+로/JKB
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.13.4.3
박윤배 대표는 2대주주(17%)와 3대주주(5%) 등을 설득하고, 나머지 소액주주들을 결집해, 최대주주(32%)에 맞설 계획이다.

박윤배	박윤배/NNP
대표는	대표/NNG+는/JX
2대주주(17%)와	2/SN+대/NNG+주주/NNG+(/SS+17/SN+%/SW+)/SS+와/JC
3대주주(5%)	3/SN+대/NNG+주주/NNG+(/SS+5/SN+%/SW+)/SS
등을	등/NNB+을/JKO
설득하고,	설득/NNG+하/XSV+고/EC+,/SP
나머지	나머지/NNG
소액주주들을	소액/NNG+주주/NNG+들/XSN+을/JKO
결집해,	결집/NNG+하/XSV+아/EC+,/SP
최대주주(32%)에	최대/NNG+주주/NNG+(/SS+32/SN+%/SW+)/SS+에/JKB
맞설	맞서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.4.4
박 대표는 “이번 정기주총에서 경영권 교체가 이뤄지지 않을 경우 즉각 임시주총 소집을 요구해 경영권을 접수할 것”이라며 “경영혁신방안 발표와 증자를 거쳐 본격적인 지배구조 개선과 기업가치 정상화를 통해 한국형 버크셔 해서웨이(세계적인 투자전문가 워런 버핏이 회장으로 있는 회사) 실험에 나설 것”이라고 말했다.

박	박/NNP
대표는	대표/NNG+는/JX
“이번	“/SS+이번/NNG
정기주총에서	정기/NNG+주총/NNG+에서/JKB
경영권	경영/NNG+권/XSN
교체가	교체/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
즉각	즉각/MAG
임시주총	임시/NNG+주총/NNG
소집을	소집/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
경영권을	경영/NNG+권/XSN+을/JKO
접수할	접수/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“경영혁신방안	“/SS+경영/NNG+혁신/NNG+방안/NNG
발표와	발표/NNG+와/JC
증자를	증자/NNG+를/JKO
거쳐	거치/VV+어/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
지배구조	지배/NNG+구조/NNG
개선과	개선/NNG+과/JC
기업가치	기업/NNG+가치/NNG
정상화를	정상/NNG+화/XSN+를/JKO
통해	통하/VV+아/EC
한국형	한국/NNP+형/XSN
버크셔	버크셔/NNP
해서웨이(세계적인	해서웨이/NNP+(/SS+세계/NNG+적/XSN+이/VCP+ㄴ/ETM
투자전문가	투자/NNG+전문가/NNG
워런	워런/NNP
버핏이	버핏/NNP+이/JKS
회장으로	회장/NNG+으로/JKB
있는	있/VA+는/ETM
회사)	회사/NNG+)/SS
실험에	실험/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.13.5.1
코스닥 상장사들을 대상으로 소액주주운동을 펼치고 있는 네비스탁(대표 김정현)은 오는 18일 실내인테리어디자인 회사인 국보디자인 주주총회에서 정관 변경 안건에 반대 의결권을 행사할 계획이다.

코스닥	코스닥/NNP
상장사들을	상장사/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
소액주주운동을	소액/NNG+주주/NNG+운동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
네비스탁(대표	네비스탁/NNP+(/SS+대표/NNG
김정현)은	김정현/NNP+)/SS+은/JX
오는	오/VV+는/ETM
18일	18/SN+일/NNB
실내인테리어디자인	실내/NNG+인테리어/NNG+디자인/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
국보디자인	국보디자인/NNP
주주총회에서	주주/NNG+총회/NNG+에서/JKB
정관	정관/NNG
변경	변경/NNG
안건에	안건/NNG+에/JKB
반대	반대/NNG
의결권을	의결/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.5.2
네비스탁은 이번 정관 변경안이 최대주주의 경영권 강화를 위해 일반 주주들의 이사 선임 권한을 사실상 봉쇄하려는 시도이며, 상법에 위배되는 행위라고 보고 있다.

네비스탁은	네비스탁/NNP+은/JX
이번	이번/NNG
정관	정관/NNG
변경안이	변경안/NNG+이/JKS
최대주주의	최대/NNG+주주/NNG+의/JKG
경영권	경영/NNG+권/XSN
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
일반	일반/NNG
주주들의	주주/NNG+들/XSN+의/JKG
이사	이사/NNG
선임	선임/NNG
권한을	권한/NNG+을/JKO
사실상	사실/NNG+상/XSN
봉쇄하려는	봉쇄/NNG+하/XSV+려는/ETM
시도이며,	시도/NNG+이/VCP+며/EC+,/SP
상법에	상법/NNG+에/JKB
위배되는	위배/NNG+되/XSV+는/ETM
행위라고	행위/NNG+이/VCP+라고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.13.5.3
김정현 대표는 “소액주주들은 경영에 신경 끄라는 말로밖에 들리지 않는다”며 “대주주가 지분을 50% 가까이 갖고 있어 표 대결에서 이길 수 있을지는 모르겠지만 필요하다면 법적 대응도 불사할 것”이라고 말했다.

김정현	김정현/NNP
대표는	대표/NNG+는/JX
“소액주주들은	“/SS+소액/NNG+주주/NNG+들/XSN+은/JX
경영에	경영/NNG+에/JKB
신경	신경/NNG
끄라는	끄/VV+라는/ETM
말로밖에	말/NNG+로/JKB+밖에/JX
들리지	들리/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“대주주가	“/SS+대/XPN+주주/NNG+가/JKS
지분을	지분/NNG+을/JKO
50%	50/SN+%/SW
가까이	가까이/MAG
갖고	갖/VV+고/EC
있어	있/VX+어/EC
표	표/NNG
대결에서	대결/NNG+에서/JKB
이길	이기/VV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EC+는/JX
모르겠지만	모르/VV+겠/EP+지만/EC
필요하다면	필요/NNG+하/XSA+다면/EC
법적	법/NNG+적/XSN
대응도	대응/NNG+도/JX
불사할	불사/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.13.5.4
김 대표는 개인적으로 소액주주운동을 하다 한계를 느껴 법인을 설립했으며, 온라인을 통해 자발적으로 참여하는 소액주주들과 연대하고 있다.

김	김/NNP
대표는	대표/NNG+는/JX
개인적으로	개인/NNG+적/XSN+으로/JKB
소액주주운동을	소액/NNG+주주/NNG+운동/NNG+을/JKO
하다	하/VV+다/EC
한계를	한계/NNG+를/JKO
느껴	느끼/VV+어/EC
법인을	법인/NNG+을/JKO
설립했으며,	설립/NNG+하/XSV+았/EP+으며/EC+,/SP
온라인을	온라인/NNG+을/JKO
통해	통하/VV+아/EC
자발적으로	자발/NNG+적/XSN+으로/JKB
참여하는	참여/NNG+하/XSV+는/ETM
소액주주들과	소액/NNG+주주/NNG+들/XSN+과/JKB
연대하고	연대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.13.6.1
■ “재벌기업은 우리에게 맡겨라” 경제개혁연대는 18일 비상장사인 삼성에스디에스(SDS) 주총에 참석해 이건희 삼성전자 회장이 재판부를 속인 사건을 집중적으로 문제 삼을 방침이다.

■	■/SW
“재벌기업은	“/SS+재벌/NNG+기업/NNG+은/JX
우리에게	우리/NP+에게/JKB
맡겨라”	맡기/VV+어라/EF+”/SS
경제개혁연대는	경제/NNG+개혁/NNG+연대/NNG+는/JX
18일	18/SN+일/NNB
비상장사인	비상장사/NNG+이/VCP+ㄴ/ETM
삼성에스디에스(SDS)	삼성에스디에스/NNP+(/SS+SDS/SL+)/SS
주총에	주총/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
이건희	이건희/NNP
삼성전자	삼성전자/NNP
회장이	회장/NNG+이/JKS
재판부를	재판부/NNG+를/JKO
속인	속이/VV+ㄴ/ETM
사건을	사건/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
문제	문제/NNG
삼을	삼/VV+을/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.6.2
이 회장은 삼성에스디에스 신주인수권부사채를 헐값에 외아들인 이재용 사장에게 넘긴 사건과 관련해 에스디에스에 1540억원을 지급했다는 내용의 참고자료를 재판부에 제출했다가, 나중에 재판 결과가 나오자 재판부가 회사의 손해로 인정한 금액 및 지연이자(약 347억)를 제외한 나머지 금액을 돌려받았다.

이	이/NNP
회장은	회장/NNG+은/JX
삼성에스디에스	삼성에스디에스/NNP
신주인수권부사채를	신주/NNG+인수권부/NNG+사채/NNG+를/JKO
헐값에	헐값/NNG+에/JKB
외아들인	외아들/NNG+이/VCP+ㄴ/ETM
이재용	이재용/NNP
사장에게	사장/NNG+에게/JKB
넘긴	넘기/VV+ㄴ/ETM
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
에스디에스에	에스디에스/NNP+에/JKB
1540억원을	1540/SN+억/NR+원/NNB+을/JKO
지급했다는	지급/NNG+하/XSV+았/EP+다는/ETM
내용의	내용/NNG+의/JKG
참고자료를	참고/NNG+자료/NNG+를/JKO
재판부에	재판부/NNG+에/JKB
제출했다가,	제출/NNG+하/XSV+았/EP+다가/EC+,/SP
나중에	나중/NNG+에/JKB
재판	재판/NNG
결과가	결과/NNG+가/JKS
나오자	나오/VV+자/EC
재판부가	재판부/NNG+가/JKS
회사의	회사/NNG+의/JKG
손해로	손해/NNG+로/JKB
인정한	인정/NNG+하/XSV+ㄴ/ETM
금액	금액/NNG
및	및/MAG
지연이자(약	지연/NNG+이자/NNG+(/SS+약/MMA
347억)를	347/SN+억/NR+)/SS+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
금액을	금액/NNG+을/JKO
돌려받았다.	돌려받/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.13.7.1
좋은기업지배구조연구소는 11일 열리는 현대자동차 주총에서 정몽구 회장의 이사 재선임 반대 의견을 낼 계획이다.

좋은기업지배구조연구소는	좋/VA+은/ETM+기업/NNG+지배/NNG+구조/NNG+연구소/NNG+는/JX
11일	11/SN+일/NNB
열리는	열리/VV+는/ETM
현대자동차	현대자동차/NNP
주총에서	주총/NNG+에서/JKB
정몽구	정몽구/NNP
회장의	회장/NNG+의/JKG
이사	이사/NNG
재선임	재/XPN+선임/NNG
반대	반대/NNG
의견을	의견/NNG+을/JKO
낼	내/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.7.2
연구소는 “정 회장은 횡령 및 배임 혐의로 2007년 9월 항소심에서 징역 3년, 집행유예 5년의 유죄 판결과 8400억원의 사회환원을 선고받았으며, 현대차와 대규모 거래를 하고 있는 현대모비스의 대표이사이자 글로비스의 지배주주로서 이해관계가 충돌한다”고 밝혔다.

연구소는	연구소/NNG+는/JX
“정	“/SS+정/NNP
회장은	회장/NNG+은/JX
횡령	횡령/NNG
및	및/MAG
배임	배임/NNG
혐의로	혐의/NNG+로/JKB
2007년	2007/SN+년/NNB
9월	9/SN+월/NNB
항소심에서	항소심/NNG+에서/JKB
징역	징역/NNG
3년,	3/SN+년/NNB+,/SP
집행유예	집행/NNG+유예/NNG
5년의	5/SN+년/NNB+의/JKG
유죄	유죄/NNG
판결과	판결/NNG+과/JC
8400억원의	8400/SN+억/NR+원/NNB+의/JKG
사회환원을	사회/NNG+환원/NNG+을/JKO
선고받았으며,	선고/NNG+받/XSV+았/EP+으며/EC+,/SP
현대차와	현대차/NNP+와/JC
대규모	대/XPN+규모/NNG
거래를	거래/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
현대모비스의	현대모비스/NNP+의/JKG
대표이사이자	대표/NNG+이사/NNG+이/VCP+자/EC
글로비스의	글로비스/NNP+의/JKG
지배주주로서	지배/NNG+주주/NNG+로서/JKB
이해관계가	이해관계/NNG+가/JKS
충돌한다”고	충돌/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.13.7.3
같은 날 열리는 현대모비스 주총에서는 정의선 현대차 부회장의 이사 선임에 반대 의견을 내기로 했다.

같은	같/VA+은/ETM
날	날/NNG
열리는	열리/VV+는/ETM
현대모비스	현대모비스/NNP
주총에서는	주총/NNG+에서/JKB+는/JX
정의선	정의선/NNP
현대차	현대차/NNP
부회장의	부회장/NNG+의/JKG
이사	이사/NNG
선임에	선임/NNG+에/JKB
반대	반대/NNG
의견을	의견/NNG+을/JKO
내기로	내/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.13.7.4
이날 에스케이(SK)주식회사 주총에서는 최태원 회장의 이사 재선임을 반대할 계획이다.

이날	이날/NNG
에스케이(SK)주식회사	에스케이/NNP+(/SS+SK/SL+)/SS+주식회사/NNG
주총에서는	주총/NNG+에서/JKB+는/JX
최태원	최태원/NNP
회장의	회장/NNG+의/JKG
이사	이사/NNG
재선임을	재/XPN+선임/NNG+을/JKO
반대할	반대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.7.5
역시 중대한 법령 위반으로 유죄판결을 받아 기업윤리를 훼손했으며, 이해관계 충돌 위험이 있다는 이유다.

역시	역시/MAG
중대한	중대/NNG+하/XSA+ㄴ/ETM
법령	법령/NNG
위반으로	위반/NNG+으로/JKB
유죄판결을	유죄/NNG+판결/NNG+을/JKO
받아	받/VV+아/EC
기업윤리를	기업/NNG+윤리/NNG+를/JKO
훼손했으며,	훼손/NNG+하/XSV+았/EP+으며/EC+,/SP
이해관계	이해관계/NNG
충돌	충돌/NNG
위험이	위험/NNG+이/JKS
있다는	있/VA+다는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.7.6
같은 날 현대중공업에 대해서는 이사보수한도 승인의 건에 대한 반대 입장을 정했다.

같은	같/VA+은/ETM
날	날/NNG
현대중공업에	현대중공업/NNP+에/JKB
대해서는	대하/VV+아서/EC+는/JX
이사보수한도	이사/NNG+보수/NNG+한도/NNG
승인의	승인/NNG+의/JKG
건에	건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반대	반대/NNG
입장을	입장/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.13.7.7
과거 개별 이사들에게 지급한 보수를 공개하지 않았기 때문이다.

과거	과거/NNG
개별	개별/NNG
이사들에게	이사/NNG+들/XSN+에게/JKB
지급한	지급/NNG+하/XSV+ㄴ/ETM
보수를	보수/NNG+를/JKO
공개하지	공개/NNG+하/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.8.1
이른바 ‘장하성 펀드’로 불리는 라자드한국기업지배구조펀드는 18일 태광그룹의 태광산업과 대한화섬 주총을 앞두고 이호진 회장을 비롯한 경영진의 퇴진과 중간 배당 등을 요구했다.

이른바	이른바/MAG
‘장하성	‘/SS+장하성/NNP
펀드’로	펀드/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
라자드한국기업지배구조펀드는	라자드/NNP+한국기업지배구조펀드/NNG+는/JX
18일	18/SN+일/NNB
태광그룹의	태광그룹/NNP+의/JKG
태광산업과	태광산업/NNP+과/JC
대한화섬	대한화섬/NNP
주총을	주총/NNG+을/JKO
앞두고	앞두/VV+고/EC
이호진	이호진/NNP
회장을	회장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
경영진의	경영진/NNG+의/JKG
퇴진과	퇴진/NNG+과/JC
중간	중간/NNG
배당	배당/NNG
등을	등/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


