# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.105
metadata : {}


# id : NWRW1800000046.105.1.1
한겨울 도심에서 벌 키우는 재미?

한겨울	한/XPN+겨울/NNG
"서울에서 벌을 키워 망가진 도시 생태계를 복원하겠다"며 4년 넘게 다니던 안정적인 직장을 아내 '몰래' 박차고 나온 그에게 주변 사람들은 "아직 철이 안 들었다"며 혀를 찼다.

"서울에서	"/SS+서울/NNP+에서/JKB
벌을	벌/NNG+을/JKO
키워	키우/VV+어/EC
망가진	망가지/VV+ㄴ/ETM
도시	도시/NNG
생태계를	생태/NNG+계/XSN+를/JKO
복원하겠다"며	복원/NNG+하/XSV+겠/EP+다/EF+"/SS+며/EC
4년	4/SN+년/NNB
넘게	넘/VV+게/EC
다니던	다니/VV+던/ETM
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
직장을	직장/NNG+을/JKO
아내	아내/NNG
'몰래'	'/SS+몰래/MAG+'/SS
박차고	박차/VV+고/EC
나온	나오/VV+ㄴ/ETM
그에게	그/NP+에게/JKB
주변	주변/NNG
사람들은	사람/NNG+들/XSN+은/JX
"아직	"/SS+아직/MAG
철이	철/NNG+이/JKS
안	안/MAG
들었다"며	들/VV+었/EP+다/EF+"/SS+며/EC
혀를	혀/NNG+를/JKO
찼다.	차/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.105.5.3
아들이 태어난 지 한 달 지난 때였다.

아들이	아들/NNG+이/JKS
태어난	태어나/VV+ㄴ/ETM
지	지/NNB
한	한/MMN
달	달/NNB
지난	지나/VV+ㄴ/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.105.6.1
도시양봉은 2000년대 중반 미국 뉴욕, 영국 런던, 일본 도쿄 등 세계적인 대도시에서 유행하기 시작했다.

도시양봉은	도시/NNG+양봉/NNG+은/JX
2000년대	2000/SN+년대/NNB
중반	중반/NNG
미국	미국/NNP
뉴욕,	뉴욕/NNP+,/SP
영국	영국/NNP
런던,	런던/NNP+,/SP
일본	일본/NNP
도쿄	도쿄/NNP
등	등/NNB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
대도시에서	대/XPN+도시/NNG+에서/JKB
유행하기	유행/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.105.6.2
전 세계 꿀벌 개체 수가 줄고 있다는 관측 때문이었다.

전	전/MMN
세계	세계/NNG
꿀벌	꿀벌/NNG
개체	개체/NNG
수가	수/NNG+가/JKS
줄고	줄/VV+고/EC
있다는	있/VX+다는/ETM
관측	관측/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.105.6.3
도심에서 벌을 키우기 시작한 박씨는 어반비즈서울(Urban Bees Seoul)이라는 단체를 만들고 본격적으로 도시양봉 전도에 나섰다.

도심에서	도심/NNG+에서/JKB
벌을	벌/NNG+을/JKO
키우기	키우/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
박씨는	박/NNP+씨/NNB+는/JX
어반비즈서울(Urban	어반비즈서울/NNP+(/SS+Urban/SL
Bees	Bees/SL
Seoul)이라는	Seoul/SL+)/SS+이/VCP+라는/ETM
단체를	단체/NNG+를/JKO
만들고	만들/VV+고/EC
본격적으로	본격/NNG+적/XSN+으로/JKB
도시양봉	도시/NNG+양봉/NNG
전도에	전도/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.105.6.4
"지난 2년간 저한테 양봉을 배운 교육생만 400명이 넘습니다.

"지난	"/SS+지나/VV+ㄴ/ETM
2년간	2/SN+년/NNB+간/XSN
저한테	저/NP+한테/JKB
양봉을	양봉/NNG+을/JKO
배운	배우/VV+ㄴ/ETM
교육생만	교육/NNG+생/XSN+만/JX
400명이	400/SN+명/NNB+이/JKS
넘습니다.	넘/VV+습니다/EF+./SF


# id : NWRW1800000046.105.6.5
이 가운데 3분의 1가량이 도시에서 벌을 기르고 있죠."

이	이/MMD
가운데	가운데/NNG
3분의	3/SN+분/XSN+의/JKG
1가량이	1/SN+가량/XSN+이/JKS
도시에서	도시/NNG+에서/JKB
벌을	벌/NNG+을/JKO
기르고	기르/VV+고/EC
있죠."	있/VX+죠/EF+./SF+"/SS


# id : NWRW1800000046.105.7.1
도시양봉이라 해서 아무 데서나 벌을 키우는 건 아니다.

도시양봉이라	도시/NNG+양봉/NNG+이/VCP+라/EC
해서	하/VV+아서/EC
아무	아무/MMD
데서나	데/NNB+서/JKB+나/JX
벌을	벌/NNG+을/JKO
키우는	키우/VV+는/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.105.7.2
주로 공공기관 옥상이나 도심 곳곳에 있는 텃밭에서 기른다.

주로	주로/MAG
공공기관	공공/NNG+기관/NNG
옥상이나	옥상/NNG+이나/JC
도심	도심/NNG
곳곳에	곳곳/NNG+에/JKB
있는	있/VA+는/ETM
텃밭에서	텃밭/NNG+에서/JKB
기른다.	기르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.105.7.3
그는 "벌을 싫어하는 주민에게 피해를 끼치지 않도록 주택가에서는 키우지 않는 것이 우리의 원칙"이라고 했다.

그는	그/NP+는/JX
"벌을	"/SS+벌/NNG+을/JKO
싫어하는	싫어하/VV+는/ETM
주민에게	주민/NNG+에게/JKB
피해를	피해/NNG+를/JKO
끼치지	끼치/VV+지/EC
않도록	않/VX+도록/EC
주택가에서는	주택가/NNG+에서/JKB+는/JX
키우지	키우/VV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
우리의	우리/NP+의/JKG
원칙"이라고	원칙/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.105.7.4
주택가에서 양봉을 하다 이웃 주민의 신고로 119구조대가 출동하거나 아이가 벌에 쏘였다며 항의를 하는 일도 있었다.

주택가에서	주택가/NNG+에서/JKB
양봉을	양봉/NNG+을/JKO
하다	하/VV+다/EC
이웃	이웃/NNG
주민의	주민/NNG+의/JKG
신고로	신고/NNG+로/JKB
119구조대가	119/SN+구조대/NNG+가/JKS
출동하거나	출동/NNG+하/XSV+거나/EC
아이가	아이/NNG+가/JKS
벌에	벌/NNG+에/JKB
쏘였다며	쏘이/VV+었/EP+다며/EC
항의를	항의/NNG+를/JKO
하는	하/VV+는/ETM
일도	일/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.105.7.5
"돈을 벌 목적으로 주택가에 벌통을 수십 개 갖다 놓고 이웃에 피해를 주는 건 분명 잘못됐습니다.

"돈을	"/SS+돈/NNG+을/JKO
벌	벌/VV+ㄹ/ETM
목적으로	목적/NNG+으로/JKB
주택가에	주택가/NNG+에/JKB
벌통을	벌통/NNG+을/JKO
수십	수십/NR
개	개/NNB
갖다	갖/VV+다/EC
놓고	놓/VV+고/EC
이웃에	이웃/NNG+에/JKB
피해를	피해/NNG+를/JKO
주는	주/VV+는/ETM
건	거/NNB+ㄴ/JX
분명	분명/MAG
잘못됐습니다.	잘못/NNG+되/XSV+었/EP+습니다/EF+./SF


# id : NWRW1800000046.105.7.6
도시양봉의 취지는 이윤 추구가 아니라 사람과 벌의 공존에 있기 때문이죠." 박씨는 도시양봉의 목적이 꿀을 얻는 데 있는 것만은 아니라고 강조했다.

도시양봉의	도시/NNG+양봉/NNG+의/JKG
취지는	취지/NNG+는/JX
이윤	이윤/NNG
추구가	추구/NNG+가/JKC
아니라	아니/VCN+라/EC
사람과	사람/NNG+과/JC
벌의	벌/NNG+의/JKG
공존에	공존/NNG+에/JKB
있기	있/VA+기/ETN
때문이죠."	때문/NNB+이/VCP+죠/EF+./SF+"/SS
박씨는	박/NNP+씨/NNB+는/JX
목적이	목적/NNG+이/JKS
꿀을	꿀/NNG+을/JKO
얻는	얻/VV+는/ETM
데	데/NNB
있는	있/VA+는/ETM
것만은	것/NNB+만/JX+은/JX
아니라고	아니/VCN+라고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.105.7.7
"벌을 기르면 자연스럽게 벌의 먹이가 되는 해바라기나 사과나무 같은 밀원식물(蜜源植物)을 심어야 합니다.

"벌을	"/SS+벌/NNG+을/JKO
기르면	기르/VV+면/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
벌의	벌/NNG+의/JKG
먹이가	먹이/NNG+가/JKC
되는	되/VV+는/ETM
해바라기나	해바라기/NNG+나/JC
사과나무	사과나무/NNG
같은	같/VA+은/ETM
밀원식물(蜜源植物)을	밀원/NNG+식물/NNG+(/SS+蜜源植物/SH+)/SS+을/JKO
심어야	심/VV+어야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000046.105.7.8
그러면 자연스럽게 녹지도 많아지고 도시의 생태계가 복원될 수 있죠."

그러면	그러면/MAJ
자연스럽게	자연/NNG+스럽/XSA+게/EC
녹지도	녹지/NNG+도/JX
많아지고	많아지/VV+고/EC
도시의	도시/NNG+의/JKG
생태계가	생태/NNG+계/XSN+가/JKS
복원될	복원/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있죠."	있/VA+죠/EF+./SF+"/SS


# id : NWRW1800000046.105.8.1
여왕벌의 일탈로 곤란을 겪은 적도 있다.

여왕벌의	여왕벌/NNG+의/JKG
일탈로	일탈/NNG+로/JKB
곤란을	곤란/NNG+을/JKO
겪은	겪/VV+은/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.105.8.2
지난 4월 숭실대 교내 건물 옥상에 설치된 벌통에서 여왕벌이 탈출했다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
숭실대	숭실대/NNP
교내	교내/NNG
건물	건물/NNG
옥상에	옥상/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
벌통에서	벌통/NNG+에서/JKB
여왕벌이	여왕벌/NNG+이/JKS
탈출했다.	탈출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.105.8.3
일벌 수만 마리가 뒤를 따랐다.

일벌	일벌/NNG
수만	수만/NR
마리가	마리/NNB+가/JKS
뒤를	뒤/NNG+를/JKO
따랐다.	따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.105.8.4
캠퍼스를 뒤덮은 벌떼를 보고 학생들이 다급하게 몸을 피하는 소동이 벌어졌다.

캠퍼스를	캠퍼스/NNG+를/JKO
뒤덮은	뒤덮/VV+은/ETM
벌떼를	벌/NNG+떼/NNG+를/JKO
보고	보/VV+고/EC
학생들이	학생/NNG+들/XSN+이/JKS
다급하게	다급하/VA+게/EC
몸을	몸/NNG+을/JKO
피하는	피하/VV+는/ETM
소동이	소동/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.105.8.5
"다행히 별다른 피해 없이 1시간 만에 수습됐는데 현장 사진에 '렛잇비(Let it bee)'나 '허니버터대학교'라는 제목이 붙어 SNS를 통해 퍼졌어요.

"다행히	"/SS+다행히/MAG
별다른	별다르/VA+ㄴ/ETM
피해	피해/NNG
없이	없이/MAG
1시간	1/SN+시간/NNB
만에	만/NNB+에/JKB
수습됐는데	수습/NNG+되/XSV+었/EP+는데/EC
현장	현장/NNG
사진에	사진/NNG+에/JKB
'렛잇비(Let	'/SS+렛잇비/NA+(/SS+Let/SL
it	it/SL
bee)'나	bee/SL+)/SS+'/SS+나/JC
'허니버터대학교'라는	'/SS+허니/NNG+버터/NNG+대/XPN+학교/NNG+'/SS+이/VCP+라는/ETM
제목이	제목/NNG+이/JKS
붙어	붙/VV+어/EC
SNS를	SNS/SL+를/JKO
통해	통하/VV+아/EC
퍼졌어요.	퍼지/VV+었/EP+어요/EF+./SF


# id : NWRW1800000046.105.8.6
도시양봉에 대해 안 좋은 여론이 생길까 봐 걱정했는데 다행히 재밌게 웃고 넘기는 분이 더 많더라고요."

도시양봉에	도시/NNG+양봉/NNG+에/JKB
대해	대하/VV+아/EC
안	안/MAG
좋은	좋/VA+은/ETM
여론이	여론/NNG+이/JKS
생길까	생기/VV+ㄹ까/EF
봐	보/VX+아/EC
걱정했는데	걱정/NNG+하/XSV+았/EP+는데/EC
다행히	다행히/MAG
재밌게	재밌/VA+게/EC
웃고	웃/VV+고/EC
넘기는	넘기/VV+는/ETM
분이	분/NNB+이/JKS
더	더/MAG
많더라고요."	많/VA+더라고/EF+요/JX+./SF+"/SS


# id : NWRW1800000046.105.9.1
주변에서 가장 많이 듣는 우려가 "농촌보다 대기오염이 심한 도시에서 생산된 꿀이 건강에 해롭지 않겠느냐"는 것이다.

주변에서	주변/NNG+에서/JKB
가장	가장/MAG
많이	많이/MAG
듣는	듣/VV+는/ETM
우려가	우려/NNG+가/JKS
"농촌보다	"/SS+농촌/NNG+보다/JKB
대기오염이	대기/NNG+오염/NNG+이/JKS
심한	심하/VA+ㄴ/ETM
도시에서	도시/NNG+에서/JKB
생산된	생산/NNG+되/XSV+ㄴ/ETM
꿀이	꿀/NNG+이/JKS
건강에	건강/NNG+에/JKB
해롭지	해/NNG+롭/XSA+지/EC
않겠느냐"는	않/VX+겠/EP+느냐/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.105.9.2
박씨는 "명동, 노들섬, 서초동 등에서 생산한 꿀을 서울시 보건환경연구원에 의뢰했는데 납이나 카드뮴 같은 중금속이 검출되지 않았고 먹어도 안전하다는 판정을 받았다"고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"명동,	"/SS+명동/NNP+,/SP
노들섬,	노들섬/NNP+,/SP
서초동	서초동/NNP
등에서	등/NNB+에서/JKB
생산한	생산/NNG+하/XSV+ㄴ/ETM
꿀을	꿀/NNG+을/JKO
서울시	서울시/NNP
보건환경연구원에	보건환경연구원/NNP+에/JKB
의뢰했는데	의뢰/NNG+하/XSV+았/EP+는데/EC
납이나	납/NNG+이나/JC
카드뮴	카드뮴/NNG
같은	같/VA+은/ETM
중금속이	중금속/NNG+이/JKS
검출되지	검출/NNG+되/XSV+지/EC
않았고	않/VX+았/EP+고/EC
먹어도	먹/VV+어도/EC
안전하다는	안전/NNG+하/XSA+다는/ETM
판정을	판정/NNG+을/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.105.9.3
"도시에서 취미로 벌을 기르는 사람들은 일부 전업 양봉업자처럼 항생제나 농약을 사용하지 않아요.

"도시에서	"/SS+도시/NNG+에서/JKB
취미로	취미/NNG+로/JKB
벌을	벌/NNG+을/JKO
기르는	기르/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
일부	일부/NNG
전업	전업/NNG
양봉업자처럼	양봉업자/NNG+처럼/JKB
항생제나	항생제/NNG+나/JC
농약을	농약/NNG+을/JKO
사용하지	사용/NNG+하/XSV+지/EC
않아요.	않/VX+아요/EF+./SF


# id : NWRW1800000046.105.9.4
또 수확량을 늘리려 벌통을 옮겨 다니거나 벌에게 설탕물을 먹이지도 않아요.

또	또/MAG
수확량을	수확량/NNG+을/JKO
늘리려	늘리/VV+려/EC
벌통을	벌통/NNG+을/JKO
옮겨	옮기/VV+어/EC
다니거나	다니/VV+거나/EC
벌에게	벌/NNG+에게/JKB
설탕물을	설탕물/NNG+을/JKO
먹이지도	먹이/VV+지/EC+도/JX
않아요.	않/VX+아요/EF+./SF


# id : NWRW1800000046.105.9.5
그러니 오히려 더 믿고 먹을 수 있죠."

그러니	그러니/MAJ
오히려	오히려/MAG
더	더/MAG
믿고	믿/VV+고/EC
먹을	먹/VV+을/ETM
수	수/NNB
있죠."	있/VA+죠/EF+./SF+"/SS


# id : NWRW1800000046.105.10.1
그가 하는 일을 못마땅해 하던 아내도 지금은 생활비를 잘 챙겨다주는 남편을 응원하고 있다고 한다.

그가	그/NP+가/JKS
하는	하/VV+는/ETM
일을	일/NNG+을/JKO
못마땅해	못마땅하/VA+아/EC
하던	하/VX+던/ETM
아내도	아내/NNG+도/JX
지금은	지금/NNG+은/JX
생활비를	생활비/NNG+를/JKO
잘	잘/MAG
챙겨다주는	챙기/VV+어다/EC+주/VX+는/ETM
남편을	남편/NNG+을/JKO
응원하고	응원/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.105.10.2
박씨의 목표는 2009년 발생한 낭충봉아부패병이라는 괴질 바이러스로 90% 이상 멸종된 토종벌을 복원하는 것이다.

박씨의	박/NNP+씨/NNB+의/JKG
목표는	목표/NNG+는/JX
2009년	2009/SN+년/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
낭충봉아부패병이라는	낭충/NNG+봉아/NNG+부패병/NNG+이/VCP+라는/ETM
괴질	괴질/NNG
바이러스로	바이러스/NNG+로/JKB
90%	90/SN+%/SW
이상	이상/NNG
멸종된	멸종/NNG+되/XSV+ㄴ/ETM
토종벌을	토종벌/NNG+을/JKO
복원하는	복원/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.105.10.3
"지금까진 주로 비용이 저렴한 서양벌을 길렀지만 앞으로 설치하는 벌통엔 토종벌을 들일 겁니다.

"지금까진	"/SS+지금/NNG+까지/JX+ㄴ/JX
주로	주로/MAG
비용이	비용/NNG+이/JKS
저렴한	저렴하/VA+ㄴ/ETM
서양벌을	서양/NNG+벌/NNG+을/JKO
길렀지만	기르/VV+었/EP+지만/EC
앞으로	앞/NNG+으로/JKB
설치하는	설치/NNG+하/XSV+는/ETM
벌통엔	벌통/NNG+에/JKB+ㄴ/JX
토종벌을	토종벌/NNG+을/JKO
들일	들이/VV+ㄹ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000046.105.10.4
도시에서 토종벌 개체 수를 늘린 다음에 이들을 다시 시골로 전파할 계획입니다."

도시에서	도시/NNG+에서/JKB
토종벌	토종벌/NNG
개체	개체/NNG
수를	수/NNG+를/JKO
늘린	늘리/VV+ㄴ/ETM
다음에	다음/NNG+에/JKB
이들을	이/NP+들/XSN+을/JKO
다시	다시/MAG
시골로	시골/NNG+로/JKB
전파할	전파/NNG+하/XSV+ㄹ/ETM
계획입니다."	계획/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


