# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.3
metadata : {}


# id : NWRW1800000056.3.1.1
연근해 어업 생산량 44년 만에 최저

연근해	연근해/NNG
생산량	생산량/NNG
또한	또한/MAG
근해어업이	근해/NNG+어업/NNG+이/JKS
1972년	1972/SN+년/NNB
370.3t에서	370/SN+./SP+3/SN+t/SW+에서/JKB
2016년에는	2016/SN+년/NNB+에/JKB+는/JX
251.6t으로,	251/SN+./SP+6/SN+t/SW+으로/JKB+,/SP
연안어업이	연안/NNG+어업/NNG+이/JKS
10.1t에서	10/SN+./SP+1/SN+t/SW+에서/JKB
6.2t으로	6/SN+./SP+2/SN+t/SW+으로/JKB
크게	크/VA+게/EC
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.3.5.4
수십 년간 기술이 발전해 어선은 더 빠르고 커졌지만 수산자원 양이 1972년의 60% 수준으로 터무니없이 줄어든 탓이다.

수십	수십/NR
년간	년/NNB+간/XSN
기술이	기술/NNG+이/JKS
발전해	발전/NNG+하/XSV+아/EC
어선은	어선/NNG+은/JX
더	더/MAG
빠르고	빠르/VA+고/EC
커졌지만	커지/VV+었/EP+지만/EC
수산자원	수산/NNG+자원/NNG
양이	양/NNG+이/JKS
1972년의	1972/SN+년/NNB+의/JKG
60%	60/SN+%/SW
수준으로	수준/NNG+으로/JKB
터무니없이	터무니없이/MAG
줄어든	줄어들/VV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.3.6.1
보고서는 수산자원이 줄어든 이유로 과도한 어획과 중국 어선 불법 조업, 온난화에 따른 어장 변화를 꼽았다.

보고서는	보고서/NNG+는/JX
수산자원이	수산/NNG+자원/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
이유로	이유/NNG+로/JKB
과도한	과도/NNG+하/XSA+ㄴ/ETM
어획과	어획/NNG+과/JC
중국	중국/NNP
어선	어선/NNG
불법	불법/NNG
조업,	조업/NNG+,/SP
온난화에	온난/NNG+화/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
어장	어장/NNG
변화를	변화/NNG+를/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.3.6.2
장기간에 걸쳐 수산자원을 남획하고, 특히 어린 물고기까지 마구 잡아 재생산을 위한 산란 기회를 줄임으로써 ‘바닷속 저출산’의 악순환을 낳고 있다는 것이다.

장기간에	장기간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
수산자원을	수산/NNG+자원/NNG+을/JKO
남획하고,	남획/NNG+하/XSV+고/EC+,/SP
특히	특히/MAG
어린	어리/VA+ㄴ/ETM
물고기까지	물고기/NNG+까지/JX
마구	마구/MAG
잡아	잡/VV+아/EC
재생산을	재/XPN+생산/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
산란	산란/NNG
기회를	기회/NNG+를/JKO
줄임으로써	줄이/VV+ㅁ/ETN+으로써/JKB
‘바닷속	‘/SS+바닷속/NNG
저출산’의	저/XPN+출산/NNG+’/SS+의/JKG
악순환을	악순환/NNG+을/JKO
낳고	낳/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.3.6.3
중국 어선 불법 조업으로 인한 타격은 더욱 심각한 수준이다.

중국	중국/NNP
어선	어선/NNG
불법	불법/NNG
조업으로	조업/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
타격은	타격/NNG+은/JX
더욱	더욱/MAG
심각한	심각하/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.3.6.4
보고서는 이로 인한 수산자원 손실을 10만t에서 최대 65만t까지 추정하고 있다.

보고서는	보고서/NNG+는/JX
이로	이/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
수산자원	수산/NNG+자원/NNG
손실을	손실/NNG+을/JKO
10만t에서	10/SN+만/NR+t/SW+에서/JKB
최대	최대/NNG
65만t까지	65/SN+만/NR+t/SW+까지/JX
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.3.6.5
지난해 수산업협동조합중앙회는 중국대사관에서 전달한 항의문에서 중국 어선 불법 조업이 한국 수산업에 미치는 피해 규모가 연간 1조3000억원에 달한다고 주장한 바 있다.

지난해	지난해/NNG
수산업협동조합중앙회는	수산업/NNG+협동조합/NNG+중앙회/NNG+는/JX
중국대사관에서	중국/NNP+대사관/NNG+에서/JKB
전달한	전달/NNG+하/XSV+ㄴ/ETM
항의문에서	항의문/NNG+에서/JKB
중국	중국/NNP
어선	어선/NNG
불법	불법/NNG
조업이	조업/NNG+이/JKS
한국	한국/NNP
수산업에	수산업/NNG+에/JKB
미치는	미치/VV+는/ETM
피해	피해/NNG
규모가	규모/NNG+가/JKS
연간	연간/NNG
1조3000억원에	1/SN+조/NR+3000/SN+억/NR+원/NNB+에/JKB
달한다고	달하/VV+ㄴ다고/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.3.6.6
온난화로 수온이 높아져 어종이 바뀌는 양상도 수산자원 고갈에 영향을 미치는 것으로 나타났다.

온난화로	온난/NNG+화/XSN+로/JKB
수온이	수온/NNG+이/JKS
높아져	높아지/VV+어/EC
어종이	어종/NNG+이/JKS
바뀌는	바뀌/VV+는/ETM
양상도	양상/NNG+도/JX
수산자원	수산/NNG+자원/NNG
고갈에	고갈/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.3.7.1
고등어, 갈치, 오징어, 꽃게 등 싸게 먹을 수 있던 어종들의 귀해지며 그 피해는 소비자에게 고스란히 전가되고 있다.

고등어,	고등어/NNG+,/SP
갈치,	갈치/NNG+,/SP
오징어,	오징어/NNG+,/SP
꽃게	꽃게/NNG
등	등/NNB
싸게	싸/VA+게/EC
먹을	먹/VV+을/ETM
수	수/NNB
있던	있/VA+던/ETM
어종들의	어종/NNG+들/XSN+의/JKG
귀해지며	귀하/VA+아/EC+지/VX+며/EC
그	그/MMD
피해는	피해/NNG+는/JX
소비자에게	소비자/NNG+에게/JKB
고스란히	고스란히/MAG
전가되고	전가/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.3.7.2
통계청 발표를 보면, 지난해 신선어개(생선류과 조개류) 소비자물가지수 상승률은 3.1%로 전체 물가지수 상승률(1.0%)을 크게 웃돌았다.

통계청	통계청/NNG
발표를	발표/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
지난해	지난해/NNG
신선어개(생선류과	신선어개/NNG+(/SS+생선/NNG+류/XSN+과/JC
조개류)	조개/NNG+류/XSN+)/SS
소비자물가지수	소비자/NNG+물가/NNG+지수/NNG
상승률은	상승/NNG+률/XSN+은/JX
3.1%로	3/SN+./SP+1/SN+%/SW+로/JKB
전체	전체/NNG
물가지수	물가/NNG+지수/NNG
상승률(1.0%)을	상승/NNG+률/XSN+(/SS+1/SN+./SP+0/SN+%/SW+)/SS+을/JKO
크게	크/VA+게/EC
웃돌았다.	웃돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.3.7.3
보고서는 생사료 사용 금지, 알 밴 생선 유통 자제 등 어린 물고기 남획을 막기 위한 정책 마련, 중국 어선 불법 조업 문제에 대한 외교적 노력을 해결책으로 제시했다.

보고서는	보고서/NNG+는/JX
생사료	생/XPN+사료/NNG
사용	사용/NNG
금지,	금지/NNG+,/SP
알	알/NNG
밴	배/VV+ㄴ/ETM
생선	생선/NNG
유통	유통/NNG
자제	자제/NNG
등	등/NNB
어린	어리/VA+ㄴ/ETM
물고기	물고기/NNG
남획을	남획/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정책	정책/NNG
마련,	마련/NNG+,/SP
중국	중국/NNP
어선	어선/NNG
불법	불법/NNG
조업	조업/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
외교적	외교/NNG+적/XSN
노력을	노력/NNG+을/JKO
해결책으로	해결책/NNG+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


