# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.175
metadata : {}


# id : NWRW1800000054.175.1.1
내년 대입, 수시로 76% 선발 '역대 최대'

내년	내년/NNG
4년제	4/SN+년/NNB+제/XSN
대학	대학/NNG
196개교	196/SN+개교/NNB
모임인	모임/NNG+이/VCP+ㄴ/ETM
한국대학교육협의회는	한국대학교육협의회/NNP+는/JX
'2019학년도	'/SS+2019/SN+학년도/NNG
입학	입학/NNG
전형	전형/NNG
시행	시행/NNG
계획'을	계획/NNG+'/SS+을/JKO
27일	27/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.175.4.2
시행 계획에 따르면 196개 대학은 전체 모집 인원 34만8834명의 76.2%(26만5862명)를 수시 모집에서 뽑고, 23.8%(8만2972명)는 정시 모집으로 선발한다.

시행	시행/NNG
계획에	계획/NNG+에/JKB
따르면	따르/VV+면/EC
196개	196/SN+개/NNB
대학은	대학/NNG+은/JX
전체	전체/NNG
모집	모집/NNG
인원	인원/NNG
34만8834명의	34/SN+만/NR+8834/SN+명/NNB+의/JKG
76.2%(26만5862명)를	76/SN+./SP+2/SN+%/SW+(/SS+26/SN+만/NR+5862/SN+명/NNB+)/SS+를/JKO
수시	수시/NNG
모집에서	모집/NNG+에서/JKB
뽑고,	뽑/VV+고/EC+,/SP
23.8%(8만2972명)는	23/SN+./SP+8/SN+%/SW+(/SS+8/SN+만/NR+2972/SN+명/NNB+)/SS+는/JX
정시	정시/NNG
모집으로	모집/NNG+으로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.175.4.3
김현 서울·경인 지역 입학처장협의회장(경희대 입학처장)은 "수능 문제만 잘 푼 학생들보다 고교 3년간 내신과 비교과 활동 모두 충실히 한 학생이 대학에 와서도 잘 적응하고, 취업도 잘한다는 연구 결과가 있다"면서 "수시, 특히 학생부 종합 전형으로 우수한 학생들이 들어온다"고 말했다.

김현	김현/NNP
서울·경인	서울/NNP+·/SP+경인/NNP
지역	지역/NNG
입학처장협의회장(경희대	입학처장/NNG+협의회장/NNG+(/SS+경희대/NNP
입학처장)은	입학처장/NNG+)/SS+은/JX
"수능	"/SS+수능/NNG
문제만	문제/NNG+만/JX
잘	잘/MAG
푼	풀/VV+ㄴ/ETM
학생들보다	학생/NNG+들/XSN+보다/JKB
고교	고교/NNG
3년간	3/SN+년/NNB+간/XSN
내신과	내신/NNG+과/JC
비교과	비/XPN+교과/NNG
활동	활동/NNG
모두	모두/MAG
충실히	충실히/MAG
한	하/VV+ㄴ/ETM
학생이	학생/NNG+이/JKS
대학에	대학/NNG+에/JKB
와서도	오/VV+아서/EC+도/JX
적응하고,	적응/NNG+하/XSV+고/EC+,/SP
취업도	취업/NNG+도/JX
잘한다는	잘/MAG+하/XSV+ㄴ다는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
있다"면서	있/VV+다/EF+"/SS+면서/EC
"수시,	"/SS+수시/NNG+,/SP
특히	특히/MAG
학생부	학생부/NNG
종합	종합/NNG
전형으로	전형/NNG+으로/JKB
우수한	우수/NNG+하/XSA+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
들어온다"고	들어오/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.175.5.1
수시 모집은 학생부 교과 성적을 주로 보는 '학생부 교과 전형'과 교과 성적과 동아리·독서 등 비(非)교과 활동을 함께 보는 '학생부 종합 전형' '논술' '실기' 전형으로 나뉜다.

수시	수시/NNG
모집은	모집/NNG+은/JX
학생부	학생부/NNG
교과	교과/NNG
성적을	성적/NNG+을/JKO
주로	주로/MAG
보는	보/VV+는/ETM
'학생부	'/SS+학생부/NNG
전형'과	전형/NNG+'/SS+과/JC
성적과	성적/NNG+과/JC
동아리·독서	동아리/NNG+·/SP+독서/NNG
등	등/NNB
비(非)교과	비/XPN+(/SS+非/SH+)/SS+교과/NNG
활동을	활동/NNG+을/JKO
함께	함께/MAG
종합	종합/NNG
전형'	전형/NNG+'/SS
'논술'	'/SS+논술/NNG+'/SS
'실기'	'/SS+실기/NNG+'/SS
전형으로	전형/NNG+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.175.5.2
2019학년도 수시 모집 중에서는 '학생부 교과 전형' 비율이 54.3%(14만4340명)로 가장 많고 '학생부 종합 전형'은 31.9%(8만4764명), 실기(7.3%), 논술(5%) 순이었다.

2019학년도	2019/SN+학년도/NNG
수시	수시/NNG
모집	모집/NNG
중에서는	중/NNB+에서/JKB+는/JX
'학생부	'/SS+학생부/NNG
교과	교과/NNG
전형'	전형/NNG+'/SS
비율이	비율/NNG+이/JKS
54.3%(14만4340명)로	54/SN+./SP+3/SN+%/SW+(/SS+14/SN+만/NR+4340/SN+명/NNB+)/SS+로/JKB
가장	가장/MAG
많고	많/VA+고/EC
종합	종합/NNG
전형'은	전형/NNG+'/SS+은/JX
31.9%(8만4764명),	31/SN+./SP+9/SN+%/SW+(/SS+8/SN+만/NR+4764/SN+명/NNB+)/SS+,/SP
실기(7.3%),	실기/NNG+(/SS+7/SN+./SP+3/SN+%/SW+)/SS+,/SP
논술(5%)	논술/NNG+(/SS+5/SN+%/SW+)/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.175.6.1
전문가들은 "현재 고2 학생들은 교과 성적을 최우선순위에 두고 학생부 관리를 꾸준히 하면서 수시 최저 학력 기준인 수능 준비도 함께 해야 한다"고 말했다.

전문가들은	전문가/NNG+들/XSN+은/JX
"현재	"/SS+현재/MAG
고2	고/NNG+2/SN
학생들은	학생/NNG+들/XSN+은/JX
교과	교과/NNG
성적을	성적/NNG+을/JKO
최우선순위에	최/XPN+우선/NNG+순위/NNG+에/JKB
두고	두/VV+고/EC
학생부	학생부/NNG
관리를	관리/NNG+를/JKO
꾸준히	꾸준히/MAG
하면서	하/VV+면서/EC
수시	수시/NNG
최저	최저/NNG
학력	학력/NNG
기준인	기준/NNG+이/VCP+ㄴ/ETM
수능	수능/NNG
준비도	준비/NNG+도/JX
함께	함께/MAG
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.175.6.2
김혜남 문일고 진학부장은 "특히 상위권 대학들은 학생부 종합 전형을 계속 확대하는 추세"라며 "교과 공부를 하면서 생긴 지적 호기심을 동아리나 독서 등 다양한 활동을 통해 심화·탐구 학습했다는 걸 보여줘야 유리하다"고 말했다.

김혜남	김혜남/NNP
문일고	문일고/NNP
진학부장은	진학부장/NNG+은/JX
"특히	"/SS+특히/MAG
상위권	상위/NNG+권/XSN
대학들은	대학/NNG+들/XSN+은/JX
학생부	학생부/NNG
종합	종합/NNG
전형을	전형/NNG+을/JKO
계속	계속/MAG
확대하는	확대/NNG+하/XSV+는/ETM
추세"라며	추세/NNG+"/SS+이/VCP+라며/EC
"교과	"/SS+교과/NNG
공부를	공부/NNG+를/JKO
하면서	하/VV+면서/EC
생긴	생기/VV+ㄴ/ETM
지적	지/NNG+적/XSN
호기심을	호기심/NNG+을/JKO
동아리나	동아리/NNG+나/JC
독서	독서/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
통해	통하/VV+아/EC
심화·탐구	심화/NNG+·/SP+탐구/NNG
학습했다는	학습/NNG+하/XSV+았/EP+다는/ETM
걸	거/NNB+ㄹ/JKO
보여줘야	보이/VV+어/EC+주/VX+어야/EC
유리하다"고	유리/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.175.7.1
앞으로 대입에서 학생부의 중요성은 더욱 커질 전망이다.

앞으로	앞/NNG+으로/JKB
대입에서	대입/NNG+에서/JKB
학생부의	학생부/NNG+의/JKG
중요성은	중요/NNG+성/XSN+은/JX
더욱	더욱/MAG
커질	커지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.175.7.2
문재인 더불어민주당 대선 후보와 심상정 정의당 후보는 현재 중3이 치를 2021학년도 수능부터 전 과목 절대평가로 전환하겠다고 공약했다.

문재인	문재인/NNP
더불어민주당	더불어민주당/NNP
대선	대선/NNG
후보와	후보/NNG+와/JC
심상정	심상정/NNP
정의당	정의당/NNP
후보는	후보/NNG+는/JX
현재	현재/MAG
중3이	중/NNG+3/SN+이/JKS
치를	치르/VV+ㄹ/ETM
2021학년도	2021/SN+학년도/NNG
수능부터	수능/NNG+부터/JX
전	전/MMN
과목	과목/NNG
절대평가로	절대/NNG+평가/NNG+로/JKB
전환하겠다고	전환/NNG+하/XSV+겠/EP+다고/EC
공약했다.	공약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.175.7.3
현재는 한국사와 영어만 절대평가로 치른다.

현재는	현재/NNG+는/JX
한국사와	한국사/NNG+와/JC
영어만	영어/NNP+만/JX
절대평가로	절대/NNG+평가/NNG+로/JKB
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.175.7.4
안철수 국민의당 후보와 유승민 바른정당 후보는 당분간은 현 수능 제도를 유지하지만, 장기적으로는 수능을 자격고사화하겠다는 입장이다.

안철수	안철수/NNP
국민의당	국민의당/NNP
후보와	후보/NNG+와/JC
유승민	유승민/NNP
바른정당	바른정당/NNP
후보는	후보/NNG+는/JX
당분간은	당분간/NNG+은/JX
현	현/MMD
수능	수능/NNG
제도를	제도/NNG+를/JKO
유지하지만,	유지/NNG+하/XSV+지만/EC+,/SP
장기적으로는	장기/NNG+적/XSN+으로/JKB+는/JX
수능을	수능/NNG+을/JKO
자격고사화하겠다는	자격/NNG+고사/NNG+화/XSN+하/XSV+겠/EP+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.175.7.5
이처럼 수능 전 과목이 절대평가 또는 자격고사로 전환되면 수능의 학생 변별력이 떨어져 대학들이 정시를 크게 줄이거나 심지어 폐지하는 대학도 나올 수 있다는 말이 나온다.

이처럼	이/NP+처럼/JKB
수능	수능/NNG
전	전/MMN
과목이	과목/NNG+이/JKS
절대평가	절대/NNG+평가/NNG
또는	또는/MAG
자격고사로	자격/NNG+고사/NNG+로/JKB
전환되면	전환/NNG+되/XSV+면/EC
수능의	수능/NNG+의/JKG
학생	학생/NNG
변별력이	변별력/NNG+이/JKS
떨어져	떨어지/VV+어/EC
대학들이	대학/NNG+들/XSN+이/JKS
정시를	정시/NNG+를/JKO
크게	크/VA+게/EC
줄이거나	줄이/VV+거나/EC
심지어	심지어/MAG
폐지하는	폐지/NNG+하/XSV+는/ETM
대학도	대학/NNG+도/JX
나올	나오/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
말이	말/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.175.7.6
수시가 더 강화될 것이란 얘기다.

수시가	수시/NNG+가/JKS
더	더/MAG
강화될	강화/NNG+되/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.175.7.7
이영덕 대성학력개발연구소장은 "결국 고교 3년간 학교생활을 충실히 했는지를 보여주는 학생부가 매우 중요해진다는 의미"라고 말했다.

이영덕	이영덕/NNP
대성학력개발연구소장은	대성학력개발연구소장/NNG+은/JX
"결국	"/SS+결국/MAG
고교	고교/NNG
3년간	3/SN+년/NNB+간/XSN
학교생활을	학교생활/NNG+을/JKO
충실히	충실히/MAG
했는지를	하/VV+았/EP+는지/EF+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
학생부가	학생부/NNG+가/JKS
매우	매우/MAG
중요해진다는	중요/NNG+하/XSA+아/EC+지/VX+ㄴ다는/ETM
의미"라고	의미/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.175.8.1
하지만 수능 절대평가 전환과 자격고사화 그리고 정시 축소 또는 폐지 가능성에 우려하는 목소리도 많다.

하지만	하지만/MAJ
수능	수능/NNG
절대평가	절대/NNG+평가/NNG
전환과	전환/NNG+과/JC
자격고사화	자격/NNG+고사/NNG+화/XSN
그리고	그리고/MAJ
정시	정시/NNG
축소	축소/NNG
또는	또는/MAG
폐지	폐지/NNG
가능성에	가능/NNG+성/XSN+에/JKB
우려하는	우려/NNG+하/XSV+는/ETM
목소리도	목소리/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.175.8.2
수능 변별력이 떨어지고 대학들이 면접 등 대학별 고사를 강화하면서 사교육이 더 늘어날 수 있다는 것이다.

수능	수능/NNG
변별력이	변별력/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
대학들이	대학/NNG+들/XSN+이/JKS
면접	면접/NNG
등	등/NNB
대학별	대학/NNG+별/XSN
고사를	고사/NNG+를/JKO
강화하면서	강화/NNG+하/XSV+면서/EC
사교육이	사교육/NNG+이/JKS
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


