# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.416
metadata : {}


# id : NWRW1800000032.416.1.1
“비무장지대 가스관, 남-북-러 대면 필요”

“비무장지대	“/SS+비/XPN+무장/NNG+지대/NNG
그는 토론회 기조강연을 통해 “러시아는 현재 이 프로젝트에 참여한 세 나라가 같은 테이블에 앉아 논의하는 게 어렵다는 점을 감안해서 남북과 별도로 협의하고 있다”며 “(그러나) 가스관이 (남북의) 비무장지대를 통과하는 문제를 논의하는 단계에선 당연히 (남-북-러) 3자대면이 필요하다”고 말했다.

그는	그/NP+는/JX
토론회	토론회/NNG
기조강연을	기조/NNG+강연/NNG+을/JKO
통해	통하/VV+아/EC
“러시아는	“/SS+러시아/NNP+는/JX
현재	현재/MAG
이	이/MMD
프로젝트에	프로젝트/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
세	세/MMN
나라가	나라/NNG+가/JKS
같은	같/VA+은/ETM
테이블에	테이블/NNG+에/JKB
앉아	앉/VV+아/EC
논의하는	논의/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
어렵다는	어렵/VA+다는/ETM
점을	점/NNG+을/JKO
감안해서	감안/NNG+하/XSV+아서/EC
남북과	남북/NNP+과/JKB
별도로	별도/NNG+로/JKB
협의하고	협의/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“(그러나)	“/SS+(/SS+그러나/MAJ+)/SS
가스관이	가스관/NNG+이/JKS
(남북의)	(/SS+남북/NNP+의/JKG+)/SS
비무장지대를	비/XPN+무장/NNG+지대/NNG+를/JKO
통과하는	통과/NNG+하/XSV+는/ETM
문제를	문제/NNG+를/JKO
단계에선	단계/NNG+에서/JKB+ㄴ/JX
당연히	당연히/MAG
(남-북-러)	(/SS+남-북/NNP+-/SO+러/NNP+)/SS
3자대면이	3자/NNG+대면/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.416.6.1
브누코프 대사는 북한의 가스관 봉쇄 가능성 등에 대한 우려와 관련해 “지난 2일 러시아 상트페테르부르크에서 열린 러-한 정상회담에서는 가스관을 비롯한 러·남·북 3각 협력 프로젝트를 심도있게 논의했다”며 “러시아는 북한을 거쳐 가는 가스관과 관련한 리스크를 포함해 모든 담보를 다 할 수 있다”고 공급자인 러시아의 안정성 보장 방침을 거듭 확인했다.

브누코프	브누코프/NNP
대사는	대사/NNG+는/JX
북한의	북한/NNP+의/JKG
가스관	가스관/NNG
봉쇄	봉쇄/NNG
가능성	가능/NNG+성/XSN
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
우려와	우려/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“지난	“/SS+지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
러시아	러시아/NNP
상트페테르부르크에서	상트페테르부르크/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
러-한	러/NNP+-/SO+한/NNP
정상회담에서는	정상/NNG+회담/NNG+에서/JKB+는/JX
가스관을	가스관/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
러·남·북	러/NNP+·/SP+남·북/NNP
3각	3/SN+각/NNG
협력	협력/NNG
프로젝트를	프로젝트/NNG+를/JKO
심도있게	심도/NNG+있/VA+게/EC
논의했다”며	논의/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“러시아는	“/SS+러시아/NNP+는/JX
북한을	북한/NNP+을/JKO
거쳐	거치/VV+어/EC
가는	가/VV+는/ETM
가스관과	가스관/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
리스크를	리스크/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
모든	모든/MMN
담보를	담보/NNG+를/JKO
다	다/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
공급자인	공급자/NNG+이/VCP+ㄴ/ETM
러시아의	러시아/NNP+의/JKG
안정성	안정/NNG+성/XSN
보장	보장/NNG
방침을	방침/NNG+을/JKO
거듭	거듭/MAG
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.416.7.1
브누코프 대사는 또 “여러분이 잘 알다시피 러시아는 1990년대에 가스관과 철도, 송전선 연결 등 러-남-북을 잇는 3각 협력 프로젝트에 대한 제안을 내놨다”며 “러시아는 가스관 외의 나머지 2개 프로젝트를 추진하는 데도 남북과 협의할 용의가 있다”고 말했다.

브누코프	브누코프/NNP
대사는	대사/NNG+는/JX
또	또/MAG
“여러분이	“/SS+여러분/NP+이/JKS
잘	잘/MAG
알다시피	알/VV+다시피/EC
러시아는	러시아/NNP+는/JX
1990년대에	1990/SN+년대/NNB+에/JKB
가스관과	가스관/NNG+과/JKB
철도,	철도/NNG+,/SP
송전선	송전선/NNG
연결	연결/NNG
등	등/NNB
러-남-북을	러/NNP+-/SO+남-북/NNP+을/JKO
잇는	잇/VV+는/ETM
3각	3/SN+각/NNG
협력	협력/NNG
프로젝트에	프로젝트/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제안을	제안/NNG+을/JKO
내놨다”며	내놓/VV+았/EP+다/EF+”/SS+며/EC
“러시아는	“/SS+러시아/NNP+는/JX
가스관	가스관/NNG
외의	외/NNB+의/JKG
나머지	나머지/NNG
2개	2/SN+개/NNB
프로젝트를	프로젝트/NNG+를/JKO
추진하는	추진/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
남북과	남북/NNP+과/JKB
협의할	협의/NNG+하/XSV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.416.7.2
그는 “이런 협력 강화는 한반도 정세 안정과 북한의 대외 공개화(개방), 남북관계 개선에 도움이 될 것으로 확신한다”고 말했다.

그는	그/NP+는/JX
“이런	“/SS+이런/MMD
협력	협력/NNG
강화는	강화/NNG+는/JX
한반도	한반도/NNP
정세	정세/NNG
안정과	안정/NNG+과/JC
북한의	북한/NNP+의/JKG
대외	대외/NNG
공개화(개방),	공개/NNG+화/XSN+(/SS+개방/NNG+)/SS+,/SP
남북관계	남북/NNP+관계/NNG
개선에	개선/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
확신한다”고	확신/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.416.8.1
포럼에서 김덕룡 민화협 대표상임의장은 인사말을 통해 “북한을 통과하는 가스의 안정적 공급을 위해선 러시아가 이를 보증하는 방법도 필요하지만, 남북이 신뢰와 협력 관계를 높여나가는 것도 중요하다”며 “북한이 하루빨리 핵을 포기하고 국제사회의 일원이 되도록 촉진하는 역할을 가스관 사업이 할 수 있기를 기대한다”고 말했다.

포럼에서	포럼/NNG+에서/JKB
김덕룡	김덕룡/NNP
민화협	민화협/NNP
대표상임의장은	대표/NNG+상임/NNG+의장/NNG+은/JX
인사말을	인사말/NNG+을/JKO
통해	통하/VV+아/EC
“북한을	“/SS+북한/NNP+을/JKO
통과하는	통과/NNG+하/XSV+는/ETM
가스의	가스/NNG+의/JKG
안정적	안정/NNG+적/XSN
공급을	공급/NNG+을/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
러시아가	러시아/NNP+가/JKS
이를	이/NP+를/JKO
보증하는	보증/NNG+하/XSV+는/ETM
방법도	방법/NNG+도/JX
필요하지만,	필요/NNG+하/XSA+지만/EC+,/SP
남북이	남북/NNP+이/JKS
신뢰와	신뢰/NNG+와/JC
협력	협력/NNG
관계를	관계/NNG+를/JKO
높여나가는	높이/VV+어/EC+나가/VX+는/ETM
것도	것/NNB+도/JX
중요하다”며	중요/NNG+하/XSA+다/EF+”/SS+며/EC
“북한이	“/SS+북한/NNP+이/JKS
하루빨리	하루빨리/MAG
핵을	핵/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
국제사회의	국제/NNG+사회/NNG+의/JKG
일원이	일원/NNG+이/JKC
되도록	되/VV+도록/EC
촉진하는	촉진/NNG+하/XSV+는/ETM
역할을	역할/NNG+을/JKO
가스관	가스관/NNG
사업이	사업/NNG+이/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있기를	있/VA+기/ETN+를/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


