# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.305
metadata : {}


# id : NWRW1800000022.305.1.1
[부산ㆍ경남]한·중·일 "문화콘텐츠 공동발전" 포럼

[부산ㆍ경남]한·중·일	[/SS+부산/NNP+ㆍ/SP+경남/NNP+]/SS+한·중·일/NNP
마스터클래스 강연회는 공개행사로 진행된다.

마스터클래스	마스터클래스/NNG
강연회는	강연회/NNG+는/JX
공개행사로	공개/NNG+행사/NNG+로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.305.7.1
이 강연회에선 김동호 부산국제영화제 집행위원장이 '아시아 영화의 허브, 부산국제영화제'를, 구보 마사카즈 포켓몬스터 해외사업 총괄은 '차세대 인터넷 사회에서의 일본 애니메이션과 만화'를, 정문 중국 대외문화무역처장은 '베이징올림픽과 중국의 문화산업'을 각각 주제로 특강을 한다.

이	이/MMD
강연회에선	강연회/NNG+에서/JKB+ㄴ/JX
김동호	김동호/NNP
부산국제영화제	부산/NNP+국제/NNG+영화제/NNG
집행위원장이	집행/NNG+위원장/NNG+이/JKS
'아시아	'/SS+아시아/NNP
영화의	영화/NNG+의/JKG
허브,	허브/NNG+,/SP
부산국제영화제'를,	부산/NNP+국제/NNG+영화제/NNG+'/SS+를/JKO+,/SP
구보	구보/NNP
마사카즈	마사카즈/NNP
포켓몬스터	포켓몬스터/NNP
해외사업	해외/NNG+사업/NNG
총괄은	총괄/NNG+은/JX
'차세대	'/SS+차세대/NNG
인터넷	인터넷/NNG
사회에서의	사회/NNG+에서/JKB+의/JKG
일본	일본/NNP
애니메이션과	애니메이션/NNG+과/JC
만화'를,	만화/NNG+'/SS+를/JKO+,/SP
정문	정문/NNP
중국	중국/NNP
대외문화무역처장은	대외/NNG+문화/NNG+무역/NNG+처장/NNG+은/JX
'베이징올림픽과	'/SS+베이징/NNP+올림픽/NNG+과/JC
중국의	중국/NNP+의/JKG
문화산업'을	문화/NNG+산업/NNG+'/SS+을/JKO
각각	각각/MAG
주제로	주제/NNG+로/JKB
특강을	특강/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


