# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.372
metadata : {}


# id : NWRW1800000029.372.1.1
민주, 평창효과 곁불 - 내부결속 ‘양수겸장’

민주,	민주/NNP+,/SP
민주당이	민주당/NNP+이/JKS
평창	평창/NNP
겨울올림픽	겨울/NNG+올림픽/NNG
유치를	유치/NNG+를/JKO
계기로	계기/NNG+로/JKB
정부에	정부/NNG+에/JKB
대북기조	대북/NNG+기조/NNG
전환을	전환/NNG+을/JKO
촉구하며	촉구/NNG+하/XSV+며/EC
남북문제	남북문제/NNG
이슈화에	이슈/NNG+화/XSN+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
6·2지방선거	6/SN+·/SP+2/SN+지방/NNG+선거/NNG
때부터	때/NNG+부터/JX
내세운	내세우/VV+ㄴ/ETM
‘평화	‘/SS+평화/NNG
세력’	세력/NNG+’/SS
이미지를	이미지/NNG+를/JKO
이어나가면서	잇/VV+어/EC+나가/VX+면서/EC
전통적	전통/NNG+적/XSN
지지층의	지지/NNG+층/XSN+의/JKG
결속을	결속/NNG+을/JKO
다지겠다는	다지/VV+겠/EP+다는/ETM
의도가	의도/NNG+가/JKS
깔린	깔리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.372.6.2
또 올림픽 유치라는 호재를 정부 여당에 고스란히 넘겨줄 수 있다는 위기감도 작용한 것으로 보인다.

또	또/MAG
올림픽	올림픽/NNG
유치라는	유치/NNG+이/VCP+라는/ETM
호재를	호재/NNG+를/JKO
정부	정부/NNG
여당에	여당/NNG+에/JKB
고스란히	고스란히/MAG
넘겨줄	넘겨주/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
위기감도	위기감/NNG+도/JX
작용한	작용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.372.6.3
그 때문에 손학규 대표의 ‘종북 진보’ 발언으로 빚어진 논란도 소강 국면으로 접어들었다.

그	그/NP
때문에	때문/NNB+에/JKB
손학규	손학규/NNP
대표의	대표/NNG+의/JKG
‘종북	‘/SS+종북/NNG
진보’	진보/NNG+’/SS
발언으로	발언/NNG+으로/JKB
빚어진	빚어지/VV+ㄴ/ETM
논란도	논란/NNG+도/JX
소강	소강/NNG
국면으로	국면/NNG+으로/JKB
접어들었다.	접어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.372.6.4
내년 총선, 대선을 앞두고 강원권 민심 공략 차원에서 민주당 지도부는 8일에 이어 11일에도 평창 알펜시아 리조트에서 회의를 열어 당 차원의 평창 겨울올림픽 지원대책을 발표하기도 했다.

내년	내년/NNG
총선,	총선/NNG+,/SP
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
강원권	강원/NNP+권/XSN
민심	민심/NNG
공략	공략/NNG
차원에서	차원/NNG+에서/JKB
민주당	민주당/NNP
지도부는	지도부/NNG+는/JX
8일에	8/SN+일/NNB+에/JKB
이어	잇/VV+어/EC
11일에도	11/SN+일/NNB+에/JKB+도/JX
평창	평창/NNP
알펜시아	알펜시아/NNP
리조트에서	리조트/NNG+에서/JKB
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
당	당/NNG
차원의	차원/NNG+의/JKG
겨울올림픽	겨울/NNG+올림픽/NNG
지원대책을	지원/NNG+대책/NNG+을/JKO
발표하기도	발표/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.372.7.1
이에 대해 한나라당은 “민주당이 평창 겨울올림픽을 정치적으로 활용하고 있다”며 경계심을 드러냈다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
한나라당은	한나라당/NNP+은/JX
“민주당이	“/SS+민주당/NNP+이/JKS
평창	평창/NNP
겨울올림픽을	겨울/NNG+올림픽/NNG+을/JKO
정치적으로	정치/NNG+적/XSN+으로/JKB
활용하고	활용/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
경계심을	경계심/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.372.7.2
이두아 원내 대변인은 “평창 겨울올림픽의 남북 공동 개최는 현실 가능성을 따져보고 주장하는 게 책임 있는 공당의 모습”이라고 비판했다.

이두아	이두아/NNP
원내	원내/NNG
대변인은	대변인/NNG+은/JX
“평창	“/SS+평창/NNP
겨울올림픽의	겨울/NNG+올림픽/NNG+의/JKG
남북	남북/NNP
공동	공동/NNG
개최는	개최/NNG+는/JX
현실	현실/NNG
가능성을	가능/NNG+성/XSN+을/JKO
따져보고	따지/VV+어/EC+보/VX+고/EC
주장하는	주장/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
책임	책임/NNG
있는	있/VA+는/ETM
공당의	공당/NNG+의/JKG
모습”이라고	모습/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


