# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.61
metadata : {}


# id : NWRW1800000038.61.1.1
어떤 피아노가 좋을까

어떤	어떤/MMD
다름	다르/VA+ㅁ/ETN
아닌	아니/VCN+ㄴ/ETM
피아노였다.	피아노/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.61.4.1
공연장마다 피아노를 들고 다닐 수 없기에 피아니스트들은 대개 공연장의 악기를 그대로 사용한다.

공연장마다	공연장/NNG+마다/JX
피아노를	피아노/NNG+를/JKO
들고	들/VV+고/EC
다닐	다니/VV+ㄹ/ETM
수	수/NNB
없기에	없/VA+기에/EC
피아니스트들은	피아니스트/NNG+들/XSN+은/JX
대개	대개/MAG
공연장의	공연장/NNG+의/JKG
악기를	악기/NNG+를/JKO
그대로	그대로/MAG
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.61.4.2
현재 예술의전당에 연주용으로 보관 중인 스타인웨이 그랜드피아노는 모두 7대.

현재	현재/MAG
예술의전당에	예술의전당/NNP+에/JKB
연주용으로	연주/NNG+용/XSN+으로/JKB
보관	보관/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
스타인웨이	스타인웨이/NNP
그랜드피아노는	그랜드피아노/NNG+는/JX
모두	모두/MAG
7대.	7/SN+대/NNB+./SF


# id : NWRW1800000038.61.4.3
이 가운데 모델 번호 571318번과 501660번 두 대를 그는 후보로 점 찍었다.

이	이/MMD
가운데	가운데/NNG
모델	모델/NNG
번호	번호/NNG
571318번과	571318/SN+번/NNB+과/JC
501660번	501660/SN+번/NNB
두	두/MMN
대를	대/NNB+를/JKO
그는	그/NP+는/JX
후보로	후보/NNG+로/JKB
점	점/NNG
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.61.5.1
"571318번은 저음이 폭발하는 것처럼 강하고, 반짝거리는 음색이 객석 3층의 끝까지 그대로 뻗어나가는 힘이 있어요.

"571318번은	"/SS+571318/SN+번/NNB+은/JX
저음이	저음/NNG+이/JKS
폭발하는	폭발/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
강하고,	강하/VA+고/EC+,/SP
반짝거리는	반짝거리/VV+는/ETM
음색이	음색/NNG+이/JKS
객석	객석/NNG
3층의	3/SN+층/NNG+의/JKG
끝까지	끝/NNG+까지/JX
그대로	그대로/MAG
뻗어나가는	뻗/VV+어/EC+나가/VX+는/ETM
힘이	힘/NNG+이/JKS
있어요.	있/VA+어요/EF+./SF


# id : NWRW1800000038.61.5.2
반면 501660번은 둥글고 따뜻한 음색을 갖고 있죠."

반면	반면/NNG
501660번은	501660/SN+번/NNB+은/JX
둥글고	둥글/VA+고/EC
따뜻한	따뜻하/VA+ㄴ/ETM
음색을	음색/NNG+을/JKO
갖고	갖/VV+고/EC
있죠."	있/VX+죠/EF+./SF+"/SS


# id : NWRW1800000038.61.6.1
그동안 김선욱은 라흐마니노프와 차이콥스키 등 화려한 러시아 낭만주의 레퍼토리를 연주할 때 어울리는 571318번으로 연주했다.

그동안	그동안/NNG
김선욱은	김선욱/NNP+은/JX
라흐마니노프와	라흐마니노프/NNP+와/JC
차이콥스키	차이콥스키/NNP
등	등/NNB
화려한	화려하/VA+ㄴ/ETM
러시아	러시아/NNP
낭만주의	낭만주의/NNG
레퍼토리를	레퍼토리/NNG+를/JKO
연주할	연주/NNG+하/XSV+ㄹ/ETM
때	때/NNG
어울리는	어울리/VV+는/ETM
571318번으로	571318/SN+번/NNB+으로/JKB
연주했다.	연주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.61.6.2
하지만 이번 연주에서는 고심 끝에 501660번을 골랐다.

하지만	하지만/MAJ
이번	이번/NNG
연주에서는	연주/NNG+에서/JKB+는/JX
고심	고심/NNG
끝에	끝/NNG+에/JKB
501660번을	501660/SN+번/NNB+을/JKO
골랐다.	고르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.61.7.1
공교롭게 지난해 11월 첫 내한 공연을 가졌던 루마니아 출신의 정상급 피아니스트 라두 루푸(68)도 베토벤의 피아노 협주곡 3~4번을 협연할 때 이 피아노를 사용했다.

공교롭게	공교롭/VA+게/EC
지난해	지난해/NNG
11월	11/SN+월/NNB
첫	첫/MMN
내한	내한/NNG
공연을	공연/NNG+을/JKO
가졌던	가지/VV+었/EP+던/ETM
루마니아	루마니아/NNP
출신의	출신/NNG+의/JKG
정상급	정상급/NNG
피아니스트	피아니스트/NNG
라두	라두/NNP
루푸(68)도	루푸/NNP+(/SS+68/SN+)/SS+도/JX
베토벤의	베토벤/NNP+의/JKG
피아노	피아노/NNG
협주곡	협주곡/NNG
3~4번을	3/SN+~/SO+4/SN+번/NNB+을/JKO
협연할	협연/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이	이/MMD
피아노를	피아노/NNG+를/JKO
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.61.7.2
둘 다 서정적인 2악장에서 눈부신 광채를 염두에 둔 포석.

둘	둘/NR
다	다/MAG
서정적인	서정/NNG+적/XSN+이/VCP+ㄴ/ETM
2악장에서	2/SN+악장/NNG+에서/JKB
눈부신	눈부시/VA+ㄴ/ETM
광채를	광채/NNG+를/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
포석.	포석/NNG+./SF


# id : NWRW1800000038.61.7.3
김선욱은 "루푸보다 먼저 이 피아노를 골랐다"고 주장하고 있다.

김선욱은	김선욱/NNP+은/JX
"루푸보다	"/SS+루푸/NNP+보다/JKB
먼저	먼저/MAG
이	이/MMD
피아노를	피아노/NNG+를/JKO
골랐다"고	고르/VV+았/EP+다/EF+"/SS+고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.61.7.4
당초 예술의전당에서는 "이 피아노는 2500여 석의 콘서트홀이 아니라 600석의 IBK챔버홀 전용"이라며 난색을 보였지만, 결국 이 피아니스트들의 고집을 들어주기로 했다.

당초	당초/NNG
예술의전당에서는	예술의전당/NNP+에서/JKB+는/JX
"이	"/SS+이/MMD
피아노는	피아노/NNG+는/JX
2500여	2500/SN+여/XSN
석의	석/NNB+의/JKG
콘서트홀이	콘서트홀/NNG+이/JKC
아니라	아니/VCN+라/EC
600석의	600/SN+석/NNB+의/JKG
IBK챔버홀	IBK챔버홀/NNG
전용"이라며	전용/NNG+"/SS+이/VCP+라며/EC
난색을	난색/NNG+을/JKO
보였지만,	보이/VV+었/EP+지만/EC+,/SP
결국	결국/MAG
이	이/MMD
피아니스트들의	피아니스트/NNG+들/XSN+의/JKG
고집을	고집/NNG+을/JKO
들어주기로	듣/VV+어/EC+주/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


