# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.407
metadata : {}


# id : NWRW1800000032.407.1.1
야 “ISD만 빼서 재재협상” 여 “승복할 수 없는 제안”

야	야/NNG
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.407.6.1
하지만 한나라당은 사실상의 재재협상 요구라고 보며 난색을 나타낸다.

하지만	하지만/MAJ
한나라당은	한나라당/NNP+은/JX
사실상의	사실/NNG+상/XSN+의/JKG
재재협상	재/XPN+재/XPN+협상/NNG
요구라고	요구/NNG+이/VCP+라고/EC
보며	보/VV+며/EC
난색을	난색/NNG+을/JKO
나타낸다.	나타내/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.407.6.2
황우여 한나라당 원내대표는 이날 국회에서 기자간담회를 열어 “민주당이 정부가 지금 투자자-국가 소송제도 폐지를 위한 양국 간 협의를 시작한다면 비준동의안을 처리하겠다는 새로운 요구를 하고 있다”며 “여당은 승복할 수 없는 제안”이라고 말했다.

황우여	황우여/NNP
한나라당	한나라당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“민주당이	“/SS+민주당/NNP+이/JKS
정부가	정부/NNG+가/JKS
지금	지금/MAG
투자자-국가	투자자/NNG+-/SO+국가/NNG
소송제도	소송/NNG+제도/NNG
폐지를	폐지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
양국	양국/NNG
간	간/NNB
협의를	협의/NNG+를/JKO
시작한다면	시작/NNG+하/XSV+ㄴ다면/EC
비준동의안을	비준/NNG+동의안/NNG+을/JKO
처리하겠다는	처리/NNG+하/XSV+겠/EP+다는/ETM
새로운	새롭/VA+ㄴ/ETM
요구를	요구/NNG+를/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“여당은	“/SS+여당/NNG+은/JX
승복할	승복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
제안”이라고	제안/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.407.6.3
한국은 정부가 통상협상을 진행하는 것과 달리 미국은 정부와 의회, 즉 조야가 함께 협상을 진행한다.

한국은	한국/NNP+은/JX
정부가	정부/NNG+가/JKS
통상협상을	통상/NNG+협상/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
미국은	미국/NNP+은/JX
정부와	정부/NNG+와/JC
의회,	의회/NNG+,/SP
즉	즉/MAG
조야가	조야/NNG+가/JKS
함께	함께/MAG
협상을	협상/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.407.6.4
따라서 투자자-국가 소송제도를 제외하려면 미국과 사실상의 재재협상을 해야 한다.

따라서	따라서/MAJ
투자자-국가	투자자/NNG+-/SO+국가/NNG
소송제도를	소송/NNG+제도/NNG+를/JKO
제외하려면	제외/NNG+하/XSV+려면/EC
미국과	미국/NNP+과/JKB
사실상의	사실/NNG+상/XSN+의/JKG
재재협상을	재/XPN+재/XPN+협상/NNG+을/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.407.7.1
여야의 대치엔 서울시장 보궐선거 이후의 기싸움 성격도 섞여 있다.

여야의	여야/NNG+의/JKG
대치엔	대치/NNG+에/JKB+ㄴ/JX
서울시장	서울시장/NNG
보궐선거	보궐/NNG+선거/NNG
이후의	이후/NNG+의/JKG
기싸움	기/NNG+싸움/NNG
성격도	성격/NNG+도/JX
섞여	섞이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.407.7.2
민주당의 한 중진 의원은 “청와대와 여당이 협정 비준안 처리를 강행하려는 이유는 서울시장 보궐선거 패배에 따른 충격을 최소화하기 위한 강경책으로 본다”며 “이런 상황에서는 강하게 맞설 수밖에 없다”고 말했다.

민주당의	민주당/NNP+의/JKG
한	한/MMN
중진	중진/NNG
의원은	의원/NNG+은/JX
“청와대와	“/SS+청와대/NNP+와/JC
여당이	여당/NNG+이/JKS
협정	협정/NNG
비준안	비준안/NNG
처리를	처리/NNG+를/JKO
강행하려는	강행/NNG+하/XSV+려는/ETM
이유는	이유/NNG+는/JX
서울시장	서울시장/NNG
보궐선거	보궐/NNG+선거/NNG
패배에	패배/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
충격을	충격/NNG+을/JKO
최소화하기	최소/NNG+화/XSN+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
강경책으로	강경책/NNG+으로/JKB
본다”며	보/VV+ㄴ다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
상황에서는	상황/NNG+에서/JKB+는/JX
강하게	강하/VA+게/EC
맞설	맞서/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.407.7.3
여당이 강행하면 몸으로 막는 것도 불사하겠다는 뜻이다.

여당이	여당/NNG+이/JKS
강행하면	강행/NNG+하/XSV+면/EC
몸으로	몸/NNG+으로/JKB
막는	막/VV+는/ETM
것도	것/NNB+도/JX
불사하겠다는	불사/NNG+하/XSV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.407.8.1
■ 농수산, 중소기업 보호 충분하지 않아 여야의 황우여, 김진표 원내대표는 이날 투자자-국가 소송제도 문제와는 별도로 한-미 자유무역협정 발효에 따른 농축산업 및 중소기업, 중소상인들에 대한 피해대책에 합의했다.

■	■/SW
농수산,	농수산/NNG+,/SP
중소기업	중소기업/NNG
보호	보호/NNG
충분하지	충분하/VA+지/EC
않아	않/VX+아/EC
여야의	여야/NNG+의/JKG
황우여,	황우여/NNP+,/SP
김진표	김진표/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
투자자-국가	투자자/NNG+-/SO+국가/NNG
소송제도	소송/NNG+제도/NNG
문제와는	문제/NNG+와/JKB+는/JX
별도로	별도/NNG+로/JKB
한-미	한-미/NNP
자유무역협정	자유/NNG+무역/NNG+협정/NNG
발효에	발효/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
농축산업	농축산업/NNG
및	및/MAG
중소기업,	중소기업/NNG+,/SP
중소상인들에	중소/NNG+상인/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
피해대책에	피해/NNG+대책/NNG+에/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.407.8.2
농축산업 부문에는 △밭농업직불제와 수산직불제 신설 △농어업면세유 10년 지속 유지 △축산발전기금 2조5000억원 조성 △친환경직불금 50% 인상 등 민주당과 농어민들이 요구해 온 내용이 상당수 포함됐다.

농축산업	농축산업/NNG
부문에는	부문/NNG+에/JKB+는/JX
△밭농업직불제와	△/SW+밭/NNG+농업/NNG+직불/NNG+제/XSN+와/JC
수산직불제	수산/NNG+직불/NNG+제/XSN
신설	신설/NNG
△농어업면세유	△/SW+농어업/NNG+면세유/NNG
10년	10/SN+년/NNB
지속	지속/NNG
유지	유지/NNG
△축산발전기금	△/SW+축산/NNG+발전/NNG+기금/NNG
2조5000억원	2/SN+조/NR+5000/SN+억/NR+원/NNB
조성	조성/NNG
△친환경직불금	△/SW+친/XPN+환경/NNG+직불금/NNG
50%	50/SN+%/SW
인상	인상/NNG
등	등/NNB
민주당과	민주당/NNP+과/JC
농어민들이	농어민/NNG+들/XSN+이/JKS
요구해	요구/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
내용이	내용/NNG+이/JKS
상당수	상당수/NNG
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.407.8.3
‘자유무역협정에 따른 농어업인 지원 특별법’도 개정해 피해보전직불금(피해보상금)을 법인은 5000만원, 개인은 3500만원까지 늘렸다.

‘자유무역협정에	‘/SS+자유/NNG+무역/NNG+협정/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
농어업인	농어업인/NNG
지원	지원/NNG
특별법’도	특별법/NNG+’/SS+도/JX
개정해	개정/NNG+하/XSV+아/EC
피해보전직불금(피해보상금)을	피해/NNG+보전/NNG+직불금/NNG+(/SS+피해/NNG+보상금/NNG+)/SS+을/JKO
법인은	법인/NNG+은/JX
5000만원,	5000/SN+만/NR+원/NNB+,/SP
개인은	개인/NNG+은/JX
3500만원까지	3500/SN+만/NR+원/NNB+까지/JX
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.407.8.4
하지만 농민단체들은 대부분이 자유무역협정과는 직접 관련이 없는 통상적인 농어민 대책이라고 비판하고 있다.

하지만	하지만/MAJ
농민단체들은	농민/NNG+단체/NNG+들/XSN+은/JX
대부분이	대/XPN+부분/NNG+이/JKS
자유무역협정과는	자유/NNG+무역/NNG+협정/NNG+과/JKB+는/JX
직접	직접/NNG
관련이	관련/NNG+이/JKS
없는	없/VA+는/ETM
통상적인	통상/NNG+적/XSN+이/VCP+ㄴ/ETM
농어민	농어민/NNG
대책이라고	대책/NNG+이/VCP+라고/EC
비판하고	비판/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.407.8.5
전국농민회총연맹(전농)은 이날 성명을 내어, “축산발전기금 조성을 제외한 나머지 대책들은 예산을 어떻게 순증하겠다는 계획이 없다”며 “결국 기존 농어업 예산을 축소해 새 예산을 충당하겠다는 뜻일 것”이라고 밝혔다.

전국농민회총연맹(전농)은	전국농민회총연맹/NNP+(/SS+전농/NNP+)/SS+은/JX
이날	이날/NNG
성명을	성명/NNG+을/JKO
내어,	내/VV+어/EC+,/SP
“축산발전기금	“/SS+축산/NNG+발전/NNG+기금/NNG
조성을	조성/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
대책들은	대책/NNG+들/XSN+은/JX
예산을	예산/NNG+을/JKO
어떻게	어떻/VA+게/EC
순증하겠다는	순증/NNG+하/XSV+겠/EP+다는/ETM
계획이	계획/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“결국	“/SS+결국/MAG
기존	기존/NNG
농어업	농어업/NNG
축소해	축소/NNG+하/XSV+아/EC
새	새/MMA
충당하겠다는	충당/NNG+하/XSV+겠/EP+다는/ETM
뜻일	뜻/NNG+이/VCP+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.407.9.1
중소기업·상인 대책에는 △중소기업 적합업종 지원 특별법을 제정해 대기업이 적합업종에는 진출하지 못하게 하고 △대형 유통시설의 영업시간 제한과 의무 휴업일을 지정하도록 유통산업발전법을 개정한다는 내용이 포함됐다.

중소기업·상인	중소기업/NNG+·/SP+상인/NNG
대책에는	대책/NNG+에/JKB+는/JX
△중소기업	△/SW+중소기업/NNG
적합업종	적합/NNG+업종/NNG
지원	지원/NNG
특별법을	특별법/NNG+을/JKO
제정해	제정/NNG+하/XSV+아/EC
대기업이	대/XPN+기업/NNG+이/JKS
적합업종에는	적합/NNG+업종/NNG+에/JKB+는/JX
진출하지	진출/NNG+하/XSV+지/EC
못하게	못하/VX+게/EC
하고	하/VX+고/EC
△대형	△/SW+대형/NNG
유통시설의	유통/NNG+시설/NNG+의/JKG
영업시간	영업시간/NNG
제한과	제한/NNG+과/JC
의무	의무/NNG
휴업일을	휴업일/NNG+을/JKO
지정하도록	지정/NNG+하/XSV+도록/EC
유통산업발전법을	유통/NNG+산업/NNG+발전법/NNG+을/JKO
개정한다는	개정/NNG+하/XSV+ㄴ다는/ETM
내용이	내용/NNG+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.407.9.2
이와 관련해 한-미 에프티에이 범국민대책본부(범국본)는 여야 합의로 마련한 대책 자체가 무역협정 위반이 되는 상황이라고 따졌다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
한-미	한-미/NNP
에프티에이	에프티에이/NNG
범국민대책본부(범국본)는	범/XPN+국민/NNG+대책/NNG+본부/NNG+(/SS+범국본/NNG+)/SS+는/JX
여야	여야/NNG
합의로	합의/NNG+로/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
대책	대책/NNG
자체가	자체/NNG+가/JKS
무역협정	무역/NNG+협정/NNG
위반이	위반/NNG+이/JKC
되는	되/VV+는/ETM
상황이라고	상황/NNG+이/VCP+라고/EC
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.407.9.3
범국본은 이날 기자회견을 열어 “민주당이 발의한 중소기업적합업종 제도가 자유무역협정 위반이라고 정부가 답변한 바 있다”며 “대형 유통 시설의 영업시간을 제한하고 의무 휴업일을 지정하는 것도 협정 12장 위반”이라고 지적했다.

범국본은	범국본/NNG+은/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“민주당이	“/SS+민주당/NNP+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
중소기업적합업종	중소기업/NNG+적합/NNG+업종/NNG
제도가	제도/NNG+가/JKS
자유무역협정	자유/NNG+무역/NNG+협정/NNG
위반이라고	위반/NNG+이/VCP+라고/EC
정부가	정부/NNG+가/JKS
답변한	답변/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“대형	“/SS+대형/NNG
유통	유통/NNG
시설의	시설/NNG+의/JKG
영업시간을	영업시간/NNG+을/JKO
제한하고	제한/NNG+하/XSV+고/EC
의무	의무/NNG
휴업일을	휴업일/NNG+을/JKO
지정하는	지정/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
협정	협정/NNG
12장	12/SN+장/NNG
위반”이라고	위반/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


