# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.59
metadata : {}


# id : NWRW1800000040.59.1.1
‘철도산업 시장개방’ 협정문, EU FTA와 연계돼 큰 파장

‘철도산업	‘/SS+철도/NNG+산업/NNG
규정했기	규정/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.59.9.3
한국 철도산업이 고사할 것이라는 견해가 나오는 이유다.

한국	한국/NNP
철도산업이	철도/NNG+산업/NNG+이/JKS
고사할	고사/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
견해가	견해/NNG+가/JKS
나오는	나오/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.59.10.1
그러나 사안의 심각성에 비해 정부는 속전속결식으로 처리하고 있다.

그러나	그러나/MAJ
사안의	사안/NNG+의/JKG
심각성에	심각성/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
정부는	정부/NNG+는/JX
속전속결식으로	속전속결식/NNG+으로/JKB
처리하고	처리/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.59.10.2
먼저 국회 비준동의를 거치지 않은 정부의 비준안 처리가 ‘통상조약의 체결 절차 및 이행에 관한 법률’ 위반이라는 지적이 나온다.

먼저	먼저/MAG
국회	국회/NNG
비준동의를	비준/NNG+동의/NNG+를/JKO
거치지	거치/VV+지/EC
않은	않/VX+은/ETM
정부의	정부/NNG+의/JKG
비준안	비준안/NNG
처리가	처리/NNG+가/JKS
‘통상조약의	‘/SS+통상/NNG+조약/NNG+의/JKG
체결	체결/NNG
절차	절차/NNG
및	및/MAG
이행에	이행/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SS
위반이라는	위반/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.59.10.3
현행 통상절차법 6조에서는 산업통상자원부 장관이 통상조약 체결 계획의 수립 및 보고를 하도록 의무화했으며, 9조에서는 통상조약 체결의 경제적 타당성 등을 검토하도록 돼 있다.

현행	현행/NNG
통상절차법	통상/NNG+절차법/NNG
6조에서는	6/SN+조/NNB+에서/JKB+는/JX
산업통상자원부	산업/NNG+통상/NNG+자원부/NNG
장관이	장관/NNG+이/JKS
통상조약	통상/NNG+조약/NNG
체결	체결/NNG
계획의	계획/NNG+의/JKG
수립	수립/NNG
및	및/MAG
보고를	보고/NNG+를/JKO
하도록	하/VV+도록/EC
의무화했으며,	의무/NNG+화/XSN+하/XSV+았/EP+으며/EC+,/SP
9조에서는	9/SN+조/NNB+에서/JKB+는/JX
체결의	체결/NNG+의/JKG
경제적	경제/NNG+적/XSN
타당성	타당성/NNG
등을	등/NNB+을/JKO
검토하도록	검토/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.59.11.1
법제처의 입장 변화도 문제가 될 것으로 보인다.

법제처의	법제처/NNG+의/JKG
입장	입장/NNG
변화도	변화/NNG+도/JX
문제가	문제/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.59.11.2
청와대 관계자는 지난 11일 기자들에게 “법제처 심사 결과 국회 동의가 필요없는 사안이므로 대통령 재가를 거쳐 비준하면 된다”고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
기자들에게	기자/NNG+들/XSN+에게/JKB
“법제처	“/SS+법제처/NNG
심사	심사/NNG
결과	결과/NNG
국회	국회/NNG
동의가	동의/NNG+가/JKS
필요없는	필요/NNG+없/VA+는/ETM
사안이므로	사안/NNG+이/VCP+므로/EC
대통령	대통령/NNG
재가를	재가/NNG+를/JKO
거쳐	거치/VV+어/EC
비준하면	비준/NNG+하/XSV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.59.11.3
그러나 법제처가 1994년 세계무역기구 가입 당시 작성한 ‘정부조달협정 가입시 국회 비준동의 필요성에 대한 법제처 심사 결과’를 국회 외교통상통일위원회 소속 박주선 의원(무소속)을 통해 받아 보니 내용은 정반대였다.

그러나	그러나/MAJ
법제처가	법제처/NNG+가/JKS
1994년	1994/SN+년/NNB
세계무역기구	세계무역기구/NNP
가입	가입/NNG
당시	당시/NNG
작성한	작성/NNG+하/XSV+ㄴ/ETM
‘정부조달협정	‘/SS+정부/NNG+조달/NNG+협정/NNG
가입시	가입/NNG+시/NNB
국회	국회/NNG
비준동의	비준/NNG+동의/NNG
필요성에	필요/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
법제처	법제처/NNG
심사	심사/NNG
결과’를	결과/NNG+’/SS+를/JKO
외교통상통일위원회	외교/NNG+통상/NNG+통일/NNG+위원회/NNG
소속	소속/NNG
박주선	박주선/NNP
의원(무소속)을	의원/NNG+(/SS+무/XPN+소속/NNG+)/SS+을/JKO
통해	통하/VV+아/EC
받아	받/VV+아/EC
보니	보/VX+니/EC
내용은	내용/NNG+은/JX
정반대였다.	정반대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.59.11.4
당시 법제처는 “이 협정문은 국내 조달시장에 경쟁 요소를 도입하고 선진국 조달시장에 우리의 수출 여건을 조성하기 위한 것으로, 국내법에 규정되지 않은 내국민 대우, 비차별 의무, 강제 분쟁처리절차 등 입법사항을 포함하고 있다”며 “헌법 제60조 1항에 의해 국회의 동의를 요하는 조약”이라고 밝혔다.

당시	당시/NNG
법제처는	법제처/NNG+는/JX
“이	“/SS+이/MMD
협정문은	협정문/NNG+은/JX
국내	국내/NNG
조달시장에	조달/NNG+시장/NNG+에/JKB
경쟁	경쟁/NNG
요소를	요소/NNG+를/JKO
도입하고	도입/NNG+하/XSV+고/EC
선진국	선진국/NNG
우리의	우리/NP+의/JKG
수출	수출/NNG
여건을	여건/NNG+을/JKO
조성하기	조성/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
국내법에	국내법/NNG+에/JKB
규정되지	규정/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
내국민	내국민/NNG
대우,	대우/NNG+,/SP
비차별	비/XPN+차별/NNG
의무,	의무/NNG+,/SP
강제	강제/NNG
분쟁처리절차	분쟁/NNG+처리/NNG+절차/NNG
등	등/NNB
입법사항을	입법/NNG+사항/NNG+을/JKO
포함하고	포함/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“헌법	“/SS+헌법/NNG
제60조	제/XPN+60/SN+조/NNB
1항에	1/SN+항/NNG+에/JKB
의해	의하/VV+아/EC
국회의	국회/NNG+의/JKG
동의를	동의/NNG+를/JKO
요하는	요하/VV+는/ETM
조약”이라고	조약/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.59.11.5
제정과 개정의 차이가 있지만, 국가 재정에 영향을 미치는 조약 개정이라는 점에서 정부 태도에 비판이 일 수 있는 지점이다.

제정과	제정/NNG+과/JC
개정의	개정/NNG+의/JKG
차이가	차이/NNG+가/JKS
있지만,	있/VA+지만/EC+,/SP
국가	국가/NNG
재정에	재정/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
조약	조약/NNG
개정이라는	개정/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
정부	정부/NNG
태도에	태도/NNG+에/JKB
비판이	비판/NNG+이/JKS
일	일/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지점이다.	지점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.59.12.1
이에 대해 국회 기획재정위원회 박원석 의원(정의당)은 “정부가 국민과 국회를 속이고 밀실에서 통상조약을 개정하려 하고 있다”며 “박근혜 대통령은 대통령 재가 및 세계무역기구 사무국 기탁 등 일체의 정부의 독단적인 비준 절차를 중단하고 헌법과 통상절차법에 따라 즉시 비준동의안을 국회에 제출해야 한다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국회	국회/NNG
기획재정위원회	기획/NNG+재정/NNG+위원회/NNG
박원석	박원석/NNP
의원(정의당)은	의원/NNG+(/SS+정의당/NNP+)/SS+은/JX
“정부가	“/SS+정부/NNG+가/JKS
국민과	국민/NNG+과/JC
국회를	국회/NNG+를/JKO
속이고	속이/VV+고/EC
밀실에서	밀실/NNG+에서/JKB
통상조약을	통상/NNG+조약/NNG+을/JKO
개정하려	개정/NNG+하/XSV+려/EC
하고	하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“박근혜	“/SS+박근혜/NNP
대통령은	대통령/NNG+은/JX
대통령	대통령/NNG
재가	재가/NNG
및	및/MAG
세계무역기구	세계무역기구/NNP
사무국	사무국/NNG
기탁	기탁/NNG
등	등/NNB
일체의	일체/NNG+의/JKG
정부의	정부/NNG+의/JKG
독단적인	독단/NNG+적/XSN+이/VCP+ㄴ/ETM
비준	비준/NNG
절차를	절차/NNG+를/JKO
중단하고	중단/NNG+하/XSV+고/EC
헌법과	헌법/NNG+과/JC
통상절차법에	통상/NNG+절차법/NNG+에/JKB
따라	따르/VV+아/EC
즉시	즉시/MAG
비준동의안을	비준/NNG+동의안/NNG+을/JKO
국회에	국회/NNG+에/JKB
제출해야	제출/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


