# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.234
metadata : {}


# id : NWRW1800000054.234.1.1
마포도서관에선 로봇이 안내… 15일 개관

마포도서관에선	마포도서관/NNP+에서/JKB+ㄴ/JX
이끌	이끌/VV+ㄹ/ETM
등대	등대/NNG
같은	같/VA+은/ETM
도서관을	도서관/NNG+을/JKO
짓는	짓/VV+는/ETM
것이	것/NNB+이/JKS
오래된	오래/MAG+되/XSA+ㄴ/ETM
꿈이었다"며	꿈/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"4차	"/SS+4/SN+차/NNB
산업혁명	산업/NNG+혁명/NNG
시대를	시대/NNG+를/JKO
대비해	대비/NNG+하/XSV+아/EC
꿈을	꿈/NNG+을/JKO
키우고	키우/VV+고/EC
배움을	배우/VV+ㅁ/ETN+을/JKO
넓히는	넓히/VV+는/ETM
곳으로	곳/NNG+으로/JKB
가꿔나가겠다"고	가꾸/VV+어/EC+나가/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


