# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.214
metadata : {}


# id : NWRW1800000038.214.1.1
[QS 2013 세계대학평가] 카이스트·서울대, 이공계 분야 상위권… 논문 인용 순위에선 광주과기원이 6위

[QS	[/SS+QS/SL
공학·기술분야 1위는 미국의 MIT가 차지했고, 이어 미국 스탠퍼드대와 영국 케임브리지대가 뒤를 이었다.

공학·기술분야	공학/NNG+·/SP+기술/NNG+분야/NNG
1위는	1/SN+위/NNB+는/JX
미국의	미국/NNP+의/JKG
MIT가	MIT/SL+가/JKS
차지했고,	차지/NNG+하/XSV+았/EP+고/EC+,/SP
이어	이어/MAG
미국	미국/NNP
스탠퍼드대와	스탠퍼드대/NNP+와/JC
영국	영국/NNP
케임브리지대가	케임브리지대/NNP+가/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.214.4.2
이 분야에서 카이스트가 세계 36위, 서울대가 49위를 차지했다.

이	이/MMD
분야에서	분야/NNG+에서/JKB
카이스트가	카이스트/NNP+가/JKS
세계	세계/NNG
36위,	36/SN+위/NNB+,/SP
서울대가	서울대/NNP+가/JKS
49위를	49/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.214.4.3
자연과학 분야에서는 케임브리지대가 1위를 차지했고, MIT와 UC버클리가 뒤를 이었다.

자연과학	자연/NNG+과학/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
케임브리지대가	케임브리지대/NNP+가/JKS
1위를	1/SN+위/NNB+를/JKO
차지했고,	차지/NNG+하/XSV+았/EP+고/EC+,/SP
MIT와	MIT/SL+와/JC
UC버클리가	UC버클리/NNP+가/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.214.4.4
카이스트는 자연과학에서 중국의 푸단대 등 5개 대학과 함께 공동 47위에 올랐다.

카이스트는	카이스트/NNP+는/JX
자연과학에서	자연/NNG+과학/NNG+에서/JKB
중국의	중국/NNP+의/JKG
푸단대	푸단대/NNP
등	등/NNB
5개	5/SN+개/NNB
대학과	대학/NNG+과/JKB
함께	함께/MAG
공동	공동/NNG
47위에	47/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.214.4.5
사회과학·경영 분야 1위는 미국의 하버드대가 차지했으며 2·3위는 영국의 LSE와 옥스퍼드대였다.

사회과학·경영	사회/NNG+과학/NNG+·/SP+경영/NNG
분야	분야/NNG
1위는	1/SN+위/NNB+는/JX
미국의	미국/NNP+의/JKG
하버드대가	하버드대/NNP+가/JKS
차지했으며	차지/NNG+하/XSV+았/EP+으며/EC
2·3위는	2/SN+·/SP+3/SN+위/NNB+는/JX
영국의	영국/NNP+의/JKG
LSE와	LSE/SL+와/JC
옥스퍼드대였다.	옥스퍼드대/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.214.4.6
서울대는 47위로 나타났다.

서울대는	서울대/NNP+는/JX
47위로	47/SN+위/NNB+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.214.4.7
인문·예술 분야에서는 영국의 옥스퍼드대·케임브리지대가 나란히 1·2위를 차지한 가운데 미국의 하버드대가 3위를 차지했다.

인문·예술	인문/NNG+·/SP+예술/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
영국의	영국/NNP+의/JKG
옥스퍼드대·케임브리지대가	옥스퍼드대/NNP+·/SP+케임브리지대/NNP+가/JKS
나란히	나란히/MAG
1·2위를	1/SN+·/SP+2/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
미국의	미국/NNP+의/JKG
하버드대가	하버드대/NNP+가/JKS
3위를	3/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.214.4.8
생명과학 분야에서는 하버드대가 1위를 차지하고, 옥스퍼드대와 케임브리지대가 2·3위에 올랐다.

생명과학	생명/NNG+과학/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
하버드대가	하버드대/NNP+가/JKS
1위를	1/SN+위/NNB+를/JKO
차지하고,	차지/NNG+하/XSV+고/EC+,/SP
옥스퍼드대와	옥스퍼드대/NNP+와/JC
케임브리지대가	케임브리지대/NNP+가/JKS
2·3위에	2/SN+·/SP+3/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.214.5.1
한편 '교수 1인당 논문 인용 수' 지표에서 한국의 광주과기원(GIST)은 미국의 칼텍(Caltech)·하버드대·스탠퍼드대 등에 이어 6위를 차지했다.

한편	한편/MAG
'교수	'/SS+교수/NNG
1인당	1/SN+인/NNG+당/XSN
논문	논문/NNG
인용	인용/NNG
수'	수/NNG+'/SS
지표에서	지표/NNG+에서/JKB
한국의	한국/NNP+의/JKG
광주과기원(GIST)은	광주과기원/NNP+(/SS+GIST/SL+)/SS+은/JX
미국의	미국/NNP+의/JKG
칼텍(Caltech)·하버드대·스탠퍼드대	칼텍/NNP+(/SS+Caltech/SL+)/SS+·/SP+하버드대/NNP+·/SP+스탠퍼드대/NNP
등에	등/NNB+에/JKB
이어	잇/VV+어/EC
6위를	6/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.214.5.2
2010년 첫 학사과정 학생이 입학한 광주과기원은 졸업생을 내지 않아 세계대학평가 대상이 아니어서 전체 순위가 나오지는 않았다.

2010년	2010/SN+년/NNB
첫	첫/MMN
학사과정	학사/NNG+과정/NNG
학생이	학생/NNG+이/JKS
입학한	입학/NNG+하/XSV+ㄴ/ETM
광주과기원은	광주과기원/NNP+은/JX
졸업생을	졸업/NNG+생/XSN+을/JKO
내지	내/VV+지/EC
않아	않/VX+아/EC
세계대학평가	세계/NNG+대학/NNG+평가/NNG
대상이	대상/NNG+이/JKC
아니어서	아니/VCN+어서/EC
전체	전체/NNG
순위가	순위/NNG+가/JKS
나오지는	나오/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.214.6.1
학문분야별 순위는 ①학계 평가 ②졸업생 평판도 ③교수 1인당 논문 인용 수 ④H 인덱스 등 4가지 지표를 이용해 평가했다.

학문분야별	학문/NNG+분야/NNG+별/XSN
순위는	순위/NNG+는/JX
①학계	①/SN+학계/NNG
평가	평가/NNG
②졸업생	②/SN+졸업/NNG+생/XSN
평판도	평판/NNG+도/JX
③교수	③/SN+교수/NNG
1인당	1/SN+인/NNG+당/XSN
논문	논문/NNG
인용	인용/NNG
수	수/NNG
④H	④/SN+H/SL
인덱스	인덱스/NNG
등	등/NNB
4가지	4/SN+가지/NNB
지표를	지표/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.214.6.2
H 인덱스는 올해 처음으로 도입된 지표로, '교수 1인당 논문 수'가 많고 '논문의 평균적 인용 빈도'가 높을수록 'H' 점수가 올라간다.

H	H/SL
인덱스는	인덱스/NNG+는/JX
올해	올해/NNG
처음으로	처음/NNG+으로/JKB
도입된	도입/NNG+되/XSV+ㄴ/ETM
지표로,	지표/NNG+로/JKB+,/SP
'교수	'/SS+교수/NNG
1인당	1/SN+인/NNG+당/XSN
논문	논문/NNG
수'가	수/NNG+'/SS+가/JKS
많고	많/VA+고/EC
'논문의	'/SS+논문/NNG+의/JKG
평균적	평균/NNG+적/XSN
인용	인용/NNG
빈도'가	빈도/NNG+'/SS+가/JKS
높을수록	높/VA+을수록/EC
'H'	'/SS+H/SL+'/SS
점수가	점수/NNG+가/JKS
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.214.6.3
QS 측은 "논문의 영향력이 큰 생명과학·자연과학 부문에서는 H 인덱스 비율을 높였고 논문 발표가 많지 않은 인문·예술 분야에서는 반영 비율을 낮췄다"고 밝혔다.

QS	QS/SL
측은	측/NNB+은/JX
"논문의	"/SS+논문/NNG+의/JKG
영향력이	영향력/NNG+이/JKS
큰	크/VA+ㄴ/ETM
생명과학·자연과학	생명/NNG+과학/NNG+·/SP+자연/NNG+과학/NNG
부문에서는	부문/NNG+에서/JKB+는/JX
H	H/SL
인덱스	인덱스/NNG
비율을	비율/NNG+을/JKO
높였고	높이/VV+었/EP+고/EC
논문	논문/NNG
발표가	발표/NNG+가/JKS
많지	많/VA+지/EC
않은	않/VX+은/ETM
인문·예술	인문/NNG+·/SP+예술/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
반영	반영/NNG
낮췄다"고	낮추/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.214.6.4
또 인문·예술 영역을 평가할 때 논문보다는 저서 등 다른 출판물의 비중을 높였다.

또	또/MAG
인문·예술	인문/NNG+·/SP+예술/NNG
영역을	영역/NNG+을/JKO
평가할	평가/NNG+하/XSV+ㄹ/ETM
때	때/NNG
논문보다는	논문/NNG+보다/JKB+는/JX
저서	저서/NNG
등	등/NNB
다른	다른/MMD
출판물의	출판물/NNG+의/JKG
비중을	비중/NNG+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


