# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.364
metadata : {}


# id : NWRW1800000038.364.1.1
오늘 민주당 전당대회 黨 대표 후보 이용섭 "국민은 21세기인데 민주당은 20세기… 능력으로 保守 이기는 실력진보 될 것"

오늘	오늘/NNG
본	보/VV+ㄴ/ETM
적도	적/NNB+도/JX
없는데	없/VA+는데/EC
완전	완전/MAG
모함"이라고	모함/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.8.1
이 의원은 "내가 당 대표가 되면 국민이 먹고사는 문제를 해결하는 민생정당, 수권 정당으로 만들겠다"며 "이를 위해 경제·안보 국방·복지 등 각 분야 최고 전문가를 예비 장관으로 임명해 정부·여당과 치열한 정책 경쟁을 벌이겠다"고 했다.

이	이/NNP
의원은	의원/NNG+은/JX
"내가	"/SS+내/NP+가/JKS
당	당/NNG
대표가	대표/NNG+가/JKC
되면	되/VV+면/EC
국민이	국민/NNG+이/JKS
먹고사는	먹고살/VV+는/ETM
문제를	문제/NNG+를/JKO
해결하는	해결/NNG+하/XSV+는/ETM
민생정당,	민생/NNG+정당/NNG+,/SP
수권	수권/NNG
정당으로	정당/NNG+으로/JKB
만들겠다"며	만들/VV+겠/EP+다/EF+"/SS+며/EC
"이를	"/SS+이/NP+를/JKO
위해	위하/VV+아/EC
경제·안보	경제/NNG+·/SP+안보/NNG
국방·복지	국방/NNG+·/SP+복지/NNG
등	등/NNB
각	각/MMD
분야	분야/NNG
최고	최고/NNG
전문가를	전문가/NNG+를/JKO
예비	예비/NNG
장관으로	장관/NNG+으로/JKB
임명해	임명/NNG+하/XSV+아/EC
정부·여당과	정부/NNG+·/SP+여당/NNG+과/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
정책	정책/NNG
경쟁을	경쟁/NNG+을/JKO
벌이겠다"고	벌이/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.8.2
또 당의 주요 정책은 전 당원 투표로 결정하겠다고 했다.

또	또/MAG
당의	당/NNG+의/JKG
주요	주요/NNG
정책은	정책/NNG+은/JX
전	전/MMN
당원	당원/NNG
투표로	투표/NNG+로/JKB
결정하겠다고	결정/NNG+하/XSV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.9.1
이 의원은 안철수 의원에 대해선 "새 정치를 함께 해야 할 동반자이자 동지지만, 하나가 될 때까지는 선의의 경쟁자"라고 했다.

이	이/NNP
의원은	의원/NNG+은/JX
안철수	안철수/NNP
의원에	의원/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"새	"/SS+새/MMA
정치를	정치/NNG+를/JKO
함께	함께/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
동반자이자	동반자/NNG+이/VCP+자/EC
동지지만,	동지/NNG+이/VCP+지만/EC+,/SP
하나가	하나/NR+가/JKC
될	되/VV+ㄹ/ETM
때까지는	때/NNG+까지/JX+는/JX
선의의	선의/NNG+의/JKG
경쟁자"라고	경쟁자/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.9.2
그는 "오는 9월까지 안 의원은 자기의 꿈을 추진하고 우리는 당 혁신에 매달릴 것"이라며 "민주당이 혁신해 국민 지지를 받으면 안 의원을 모실 수 있고, 10월 재·보선에서 하나가 돼서 새누리당의 과반 의석을 무너뜨릴 수 있다"고 했다.

그는	그/NP+는/JX
"오는	"/SS+오/VV+는/ETM
9월까지	9/SN+월/NNB+까지/JX
안	안/NNP
의원은	의원/NNG+은/JX
자기의	자기/NP+의/JKG
꿈을	꿈/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
우리는	우리/NP+는/JX
당	당/NNG
혁신에	혁신/NNG+에/JKB
매달릴	매달리/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"민주당이	"/SS+민주당/NNP+이/JKS
혁신해	혁신/NNG+하/XSV+아/EC
국민	국민/NNG
지지를	지지/NNG+를/JKO
받으면	받/VV+으면/EC
의원을	의원/NNG+을/JKO
모실	모시/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
10월	10/SN+월/NNB
재·보선에서	재·보선/NNG+에서/JKB
하나가	하나/NR+가/JKC
돼서	되/VV+어서/EC
새누리당의	새누리당/NNP+의/JKG
과반	과반/NNG
의석을	의석/NNG+을/JKO
무너뜨릴	무너뜨리/VV+ㄹ/ETM
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.9.3
안철수 신당에 대해선 "민주당이 미래 비전 보이면 신당은 나오기 어렵다"고 했다.

안철수	안철수/NNP
신당에	신당/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"민주당이	"/SS+민주당/NNP+이/JKS
미래	미래/NNG
비전	비전/NNG
보이면	보이/VV+면/EC
신당은	신당/NNG+은/JX
나오기	나오/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.10.1
그는 중도 노선으로의 당 강령 개정에 대해 "국민이 우려하는 조항들을 합리적으로 개선한 것"이라며 "국민이 불안해하는 이념적 진보, 불안한 진보가 아닌 민생을 해결하는 생활 진보, 능력으로 보수를 압도하는 실력 진보로 가야 한다"고 했다.

그는	그/NP+는/JX
중도	중도/NNG
노선으로의	노선/NNG+으로/JKB+의/JKG
당	당/NNG
강령	강령/NNG
개정에	개정/NNG+에/JKB
대해	대하/VV+아/EC
"국민이	"/SS+국민/NNG+이/JKS
우려하는	우려/NNG+하/XSV+는/ETM
조항들을	조항/NNG+들/XSN+을/JKO
합리적으로	합리/NNG+적/XSN+으로/JKB
개선한	개선/NNG+하/XSV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
불안해하는	불안/NNG+하/XSA+아/EC+하/VX+는/ETM
이념적	이념/NNG+적/XSN
진보,	진보/NNG+,/SP
불안한	불안/NNG+하/XSA+ㄴ/ETM
진보가	진보/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
민생을	민생/NNG+을/JKO
해결하는	해결/NNG+하/XSV+는/ETM
생활	생활/NNG
능력으로	능력/NNG+으로/JKB
보수를	보수/NNG+를/JKO
압도하는	압도/NNG+하/XSV+는/ETM
실력	실력/NNG
진보로	진보/NNG+로/JKB
가야	가/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


