# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.398
metadata : {}


# id : NWRW1800000054.398.1.1
검찰 수사권 축소 사전 조치… 독립 '국가수사본부' 만든다

검찰	검찰/NNG
수사	수사/NNG
부서는	부서/NNG+는/JX
특수수사과,	특수/NNG+수사과/NNG+,/SP
지능범죄수사대,	지능/NNG+범죄/NNG+수사대/NNG+,/SP
사이버수사과	사이버/NNG+수사과/NNG
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.398.5.3
특수수사과의 전신인 이른바 '사직동팀(경찰청 조사과)'은 과거 김대중 정부 시절 청와대의 하명(下命) 수사를 전담한 바 있다.

특수수사과의	특수/NNG+수사과/NNG+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
이른바	이른바/MAG
'사직동팀(경찰청	'/SS+사직동팀/NNP+(/SS+경찰청/NNG
조사과)'은	조사과/NNG+)/SS+'/SS+은/JX
과거	과거/NNG
김대중	김대중/NNP
정부	정부/NNG
시절	시절/NNG
청와대의	청와대/NNP+의/JKG
하명(下命)	하명/NNG+(/SS+下命/SH+)/SS
수사를	수사/NNG+를/JKO
전담한	전담/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.398.5.4
특수수사과는 사직동팀이 폐지된 뒤에도 일정 기간 국내 정치 관련 첩보 수집과 내사 등을 담당했었다.

특수수사과는	특수/NNG+수사과/NNG+는/JX
사직동팀이	사직동팀/NNP+이/JKS
폐지된	폐지/NNG+되/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
일정	일정/NNG
기간	기간/NNG
국내	국내/NNG
정치	정치/NNG
관련	관련/NNG
첩보	첩보/NNG
수집과	수집/NNG+과/JC
내사	내사/NNG
등을	등/NNB+을/JKO
담당했었다.	담당/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000054.398.5.5
대신 독립 수사 전담기구인 '국가수사본부'를 신설, 전국 경찰의 수사 기능을 총괄 지휘하는 컨트롤타워 역할을 맡긴다.

대신	대신/NNG
독립	독립/NNG
수사	수사/NNG
전담기구인	전담/NNG+기구/NNG+이/VCP+ㄴ/ETM
'국가수사본부'를	'/SS+국가/NNG+수사본부/NNG+'/SS+를/JKO
신설,	신설/NNG+,/SP
전국	전국/NNG
경찰의	경찰/NNG+의/JKG
기능을	기능/NNG+을/JKO
총괄	총괄/NNG
지휘하는	지휘/NNG+하/XSV+는/ETM
컨트롤타워	컨트롤/NNG+타워/NNG
역할을	역할/NNG+을/JKO
맡긴다.	맡기/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.398.6.1
수사에 대한 정치적 개입을 막기 위해 임기 3년의 국가수사본부장은 개방직화하고 경찰청장의 수직적 수사 지휘를 받지 않도록 했다.

수사에	수사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정치적	정치/NNG+적/XSN
개입을	개입/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
임기	임기/NNG
3년의	3/SN+년/NNB+의/JKG
국가수사본부장은	국가/NNG+수사본부장/NNG+은/JX
개방직화하고	개방직/NNG+화/XSN+하/XSV+고/EC
경찰청장의	경찰청장/NNG+의/JKG
수직적	수직/NNG+적/XSN
수사	수사/NNG
지휘를	지휘/NNG+를/JKO
받지	받/VV+지/EC
않도록	않/VX+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.398.6.2
또 국가수사본부장 보좌기관으로 인권특별보좌관을 신설하기로 했다.

또	또/MAG
국가수사본부장	국가/NNG+수사본부장/NNG
보좌기관으로	보좌/NNG+기관/NNG+으로/JKB
인권특별보좌관을	인권/NNG+특별/NNG+보좌관/NNG+을/JKO
신설하기로	신설/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.398.6.3
인권특별보좌관은 수사경찰 활동의 전 과정에 대한 인권 시책을 점검하고 지도·평가하는 역할을 맡게 된다.

인권특별보좌관은	인권/NNG+특별/NNG+보좌관/NNG+은/JX
수사경찰	수사/NNG+경찰/NNG
활동의	활동/NNG+의/JKG
전	전/MMN
과정에	과정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인권	인권/NNG
시책을	시책/NNG+을/JKO
점검하고	점검/NNG+하/XSV+고/EC
지도·평가하는	지도/NNG+·/SP+평가/NNG+하/XSV+는/ETM
역할을	역할/NNG+을/JKO
맡게	맡/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.398.6.4
여당 관계자는 "정권의 성격에 따라 경찰의 집회·시위 관리 기조가 손바닥 뒤집듯 바뀌어 왔고, 백남기 농민 사망 사건 등 '폭력적 법치주의'가 자행돼왔다"며 "고강도 경찰 개혁으로 경찰의 정치적 중립성과 독립성을 제고해야 한다"고 했다.

여당	여당/NNG
관계자는	관계자/NNG+는/JX
"정권의	"/SS+정권/NNG+의/JKG
성격에	성격/NNG+에/JKB
따라	따르/VV+아/EC
경찰의	경찰/NNG+의/JKG
집회·시위	집회/NNG+·/SP+시위/NNG
관리	관리/NNG
기조가	기조/NNG+가/JKS
손바닥	손바닥/NNG
뒤집듯	뒤집/VV+듯/EC
바뀌어	바뀌/VV+어/EC
왔고,	오/VX+았/EP+고/EC+,/SP
백남기	백남기/NNP
농민	농민/NNG
사망	사망/NNG
사건	사건/NNG
등	등/NNB
'폭력적	'/SS+폭력/NNG+적/XSN
법치주의'가	법치주의/NNG+'/SS+가/JKS
자행돼왔다"며	자행/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+"/SS+며/EC
"고강도	"/SS+고/XPN+강도/NNG
경찰	경찰/NNG
개혁으로	개혁/NNG+으로/JKB
정치적	정치/NNG+적/XSN
중립성과	중립/NNG+성/XSN+과/JC
독립성을	독립/NNG+성/XSN+을/JKO
제고해야	제고/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


