# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.23
metadata : {}


# id : NWRW1800000038.23.1.1
졸업장보다 벤처… 스탠퍼드大생 무더기 휴학

졸업장보다	졸업장/NNG+보다/JKB
합류하기	합류/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
휴학계를	휴학계/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.23.4.2
월스트리트저널(WSJ)은 이를 "스탠퍼드대 컴퓨터과학과 사상 최대의 이탈 사태 중 하나"라고 전했다.

월스트리트저널(WSJ)은	월스트리트저널/NNP+(/SS+WSJ/SL+)/SS+은/JX
이를	이/NP+를/JKO
"스탠퍼드대	"/SS+스탠퍼드대/NNP
컴퓨터과학과	컴퓨터/NNG+과학/NNG+과/NNG
사상	사상/NNG
최대의	최대/NNG+의/JKG
이탈	이탈/NNG
사태	사태/NNG
중	중/NNB
하나"라고	하나/NR+"/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.23.5.1
클링클의 창업자는 작년 봄 이 학과를 졸업한 루카스 듀플란(21)이다.

클링클의	클링클/NNP+의/JKG
창업자는	창업자/NNG+는/JX
작년	작년/NNG
봄	봄/NNG
이	이/MMD
학과를	학과/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
루카스	루카스/NNP
듀플란(21)이다.	듀플란/NNP+(/SS+21/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.23.5.2
그는 2년 전 학부생이던 시절부터 창업을 위해 선후배 스카우트에 나섰다.

그는	그/NP+는/JX
2년	2/SN+년/NNB
전	전/NNG
학부생이던	학부/NNG+생/XSN+이/VCP+던/ETM
시절부터	시절/NNG+부터/JX
창업을	창업/NNG+을/JKO
위해	위하/VV+아/EC
선후배	선후배/NNG
스카우트에	스카우트/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.23.5.3
이번 영입을 통해 듀플란은 직원 30명 중 20여명을 스탠퍼드 동문으로 채웠다.

이번	이번/NNG
영입을	영입/NNG+을/JKO
통해	통하/VV+아/EC
듀플란은	듀플란/NNP+은/JX
직원	직원/NNG
30명	30/SN+명/NNB
중	중/NNB
20여명을	20/SN+여/XSN+명/NNB+을/JKO
스탠퍼드	스탠퍼드/NNP
동문으로	동문/NNG+으로/JKB
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.23.5.4
클링클은 스마트폰을 상점에서 현금처럼 사용할 수 있게 하는 기술을 개발하는 회사다.

클링클은	클링클/NNP+은/JX
스마트폰을	스마트폰/NNG+을/JKO
상점에서	상점/NNG+에서/JKB
현금처럼	현금/NNG+처럼/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
기술을	기술/NNG+을/JKO
개발하는	개발/NNG+하/XSV+는/ETM
회사다.	회사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.23.5.5
듀플란은 클링클 서비스의 자세한 내용을 공개하지 않았지만, 매장 측이 별도의 결제 시스템을 새로 도입하지 않고도 클링클의 서비스를 사용하는 소비자들과 거래를 할 수 있는 방법을 찾아낸 것으로 알려졌다고 WSJ는 전했다.

듀플란은	듀플란/NNP+은/JX
클링클	클링클/NNP
서비스의	서비스/NNG+의/JKG
자세한	자세하/VA+ㄴ/ETM
내용을	내용/NNG+을/JKO
공개하지	공개/NNG+하/XSV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
매장	매장/NNG
측이	측/NNB+이/JKS
별도의	별도/NNG+의/JKG
결제	결제/NNG
시스템을	시스템/NNG+을/JKO
새로	새로/MAG
도입하지	도입/NNG+하/XSV+지/EC
않고도	않/VX+고/EC+도/JX
클링클의	클링클/NNP+의/JKG
서비스를	서비스/NNG+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
소비자들과	소비자/NNG+들/XSN+과/JKB
거래를	거래/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법을	방법/NNG+을/JKO
찾아낸	찾아내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다고	알려지/VV+었/EP+다고/EC
WSJ는	WSJ/SL+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.23.6.1
모바일 결제 시장은 구글을 비롯해 이동통신사업자, 유통업체 등이 최적의 결제 시스템을 만들기 위해 수십억달러를 쏟아붓는 분야다.

모바일	모바일/NNG
결제	결제/NNG
시장은	시장/NNG+은/JX
구글을	구글/NNP+을/JKO
비롯해	비롯하/VV+아/EC
이동통신사업자,	이동/NNG+통신/NNG+사업자/NNG+,/SP
유통업체	유통업체/NNG
등이	등/NNB+이/JKS
최적의	최적/NNG+의/JKG
시스템을	시스템/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
수십억달러를	수십억/NR+달러/NNB+를/JKO
쏟아붓는	쏟아붓/VV+는/ETM
분야다.	분야/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.23.7.1
스탠퍼드대 존 헤네시 총장은 "학부생이 창업한 회사 대부분은 1년도 넘기지 못하지만, 내가 보기에 클링클은 싹수가 보인다. 구글과 직접 경쟁하거나, 구글이 인수하려 들 수도 있을 것"이라고 말했다.

스탠퍼드대	스탠퍼드대/NNP
존	존/NNP
헤네시	헤네시/NNP
총장은	총장/NNG+은/JX
"학부생이	"/SS+학부/NNG+생/XSN+이/JKS
창업한	창업/NNG+하/XSV+ㄴ/ETM
회사	회사/NNG
대부분은	대/XPN+부분/NNG+은/JX
1년도	1/SN+년/NNB+도/JX
넘기지	넘기/VV+지/EC
못하지만,	못하/VX+지만/EC+,/SP
내가	내/NP+가/JKS
보기에	보/VV+기/ETN+에/JKB
클링클은	클링클/NNP+은/JX
싹수가	싹수/NNG+가/JKS
보인다.	보이/VV+ㄴ다/EF+./SF
구글과	구글/NNP+과/JKB
직접	직접/MAG
경쟁하거나,	경쟁/NNG+하/XSV+거나/EC+,/SP
구글이	구글/NNP+이/JKS
인수하려	인수/NNG+하/XSV+려/EC
들	들/VX+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.23.7.2
구글 이사를 맡고 있는 헤네시 총장은 제자가 만든 클링클의 고문(adviser)직을 수락했다.

구글	구글/NNP
이사를	이사/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
헤네시	헤네시/NNP
총장은	총장/NNG+은/JX
제자가	제자/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
클링클의	클링클/NNP+의/JKG
고문(adviser)직을	고문/NNG+(/SS+adviser/SL+)/SS+직/NNG+을/JKO
수락했다.	수락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.23.8.1
총장뿐만이 아니다.

총장뿐만이	총장/NNG+뿐/JX+만/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.23.8.2
컴퓨터과학과의 메란 사하미 교수는 개인적으로 이 회사에 투자했으며, 이 대학 경영대학원의 학장 출신이자 시티그룹의 이사회 이사인 봅 조스도 고용과 마케팅 부문 고문으로 이 회사를 돕고 있다.

컴퓨터과학과의	컴퓨터/NNG+과학/NNG+과/NNG+의/JKG
메란	메란/NNP
사하미	사하미/NNP
교수는	교수/NNG+는/JX
개인적으로	개인/NNG+적/XSN+으로/JKB
이	이/MMD
회사에	회사/NNG+에/JKB
투자했으며,	투자/NNG+하/XSV+았/EP+으며/EC+,/SP
대학	대학/NNG
경영대학원의	경영/NNG+대학원/NNG+의/JKG
학장	학장/NNG
출신이자	출신/NNG+이/VCP+자/EC
시티그룹의	시티그룹/NNP+의/JKG
이사회	이사회/NNG
이사인	이사/NNG+이/VCP+ㄴ/ETM
봅	봅/NNP
조스도	조스/NNP+도/JX
고용과	고용/NNG+과/JC
마케팅	마케팅/NNG
부문	부문/NNG
고문으로	고문/NNG+으로/JKB
회사를	회사/NNG+를/JKO
돕고	돕/VV+고/EC
있다.	있/VX+다/EF+./SF


