# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.173
metadata : {}


# id : NWRW1800000038.173.1.1
[윤창중 파문] 피해 여성은 尹씨 전담한 인턴직원… 현지 대학에 다니는 미국 시민권자

[윤창중	[/SS+윤창중/NNP
구사해야	구사/NNG+하/XSV+아야/EC
하고,	하/VX+고/EC+,/SP
현지	현지/NNG
지리와	지리/NNG+와/JC
사정	사정/NNG
등에도	등/NNB+에/JKB+도/JX
밝아야	밝/VA+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.173.6.1
A씨 역시 현지 대학에 다니는 미국 시민권자다.

A씨	A/SL+씨/NNB
역시	역시/MAG
현지	현지/NNG
대학에	대학/NNG+에/JKB
다니는	다니/VV+는/ETM
미국	미국/NNP
시민권자다.	시민권자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.173.6.2
재외공관 관계자는 "기본적으로 보조인력은 무급 자원봉사자의 형태로 뽑지만, 대개 행사가 끝난 뒤 소정의 수고비를 준다"고 말했다.

재외공관	재외/NNG+공관/NNG
관계자는	관계자/NNG+는/JX
"기본적으로	"/SS+기본/NNG+적/XSN+으로/JKB
보조인력은	보조/NNG+인력/NNG+은/JX
무급	무급/NNG
자원봉사자의	자원봉사자/NNG+의/JKG
형태로	형태/NNG+로/JKB
뽑지만,	뽑/VV+지만/EC+,/SP
대개	대개/MAG
행사가	행사/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
소정의	소정/NNG+의/JKG
수고비를	수고비/NNG+를/JKO
준다"고	주/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.173.7.1
주미 대사관 측은 이번 행사를 위해 30여명의 보조인력을 채용했다.

주미	주미/NNG
대사관	대사관/NNG
측은	측/NNB+은/JX
이번	이번/NNG
행사를	행사/NNG+를/JKO
위해	위하/VV+아/EC
30여명의	30/SN+여/XSN+명/NNB+의/JKG
보조인력을	보조/NNG+인력/NNG+을/JKO
채용했다.	채용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.173.7.2
이들 가운데 일부는 방미 대표단 주요 인사들에게 일대일로 배정돼 길 안내와 통역 등을 보조하는 임무를 맡았다.

이들	이/NP+들/XSN
가운데	가운데/NNG
일부는	일부/NNG+는/JX
방미	방미/NNG
대표단	대표단/NNG
주요	주요/NNG
인사들에게	인사/NNG+들/XSN+에게/JKB
일대일로	일대일/NNG+로/JKB
배정돼	배정/NNG+되/XSV+어/EC
길	길/NNG
안내와	안내/NNG+와/JC
통역	통역/NNG
등을	등/NNB+을/JKO
보조하는	보조/NNG+하/XSV+는/ETM
임무를	임무/NNG+를/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.173.7.3
이번 사건의 A씨는 서로 떨어져 있는 대통령 수행단 숙소와 기자단 숙소를 수시로 오가야 하는 윤 전 대변인을 전담했다.

이번	이번/NNG
사건의	사건/NNG+의/JKG
A씨는	A/SL+씨/NNB+는/JX
서로	서로/MAG
떨어져	떨어지/VV+어/EC
있는	있/VX+는/ETM
대통령	대통령/NNG
수행단	수행단/NNG
숙소와	숙소/NNG+와/JC
기자단	기자단/NNG
숙소를	숙소/NNG+를/JKO
수시로	수시로/MAG
오가야	오가/VV+아야/EC
하는	하/VX+는/ETM
윤	윤/NNP
전	전/MMD
대변인을	대변인/NNG+을/JKO
전담했다.	전담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.173.8.1
지난해 뉴욕대를 졸업한 이모(22)씨는 "공관 행사에 뽑히는 인턴들은 학력과 경력이 뛰어난 경우가 많다. 외교적 행사에 직접 참여해 보는 것 자체가 좋은 경험일 뿐 아니라, 취업에도 도움이 돼 희망자가 넘쳐나기 때문"이라고 말했다.

지난해	지난해/NNG
뉴욕대를	뉴욕대/NNP+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
이모(22)씨는	이/NNP+모/NP+(/SS+22/SN+)/SS+씨/NNB+는/JX
"공관	"/SS+공관/NNG
행사에	행사/NNG+에/JKB
뽑히는	뽑히/VV+는/ETM
인턴들은	인턴/NNG+들/XSN+은/JX
학력과	학력/NNG+과/JC
경력이	경력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF
외교적	외교/NNG+적/XSN
직접	직접/MAG
참여해	참여/NNG+하/XSV+아/EC
보는	보/VX+는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
좋은	좋/VA+은/ETM
경험일	경험/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
취업에도	취업/NNG+에/JKB+도/JX
도움이	도움/NNG+이/JKC
돼	되/VV+어/EC
희망자가	희망자/NNG+가/JKS
넘쳐나기	넘치/VV+어/EC+나/VV+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.173.9.1
재외공관 관계자들은 "과거에 일부 정부 대표단의 인턴들과의 행적이 구설에 오른 적은 있으나 이번처럼 사건화된 적은 없었던 것 같다"고 말했다.

재외공관	재외/NNG+공관/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"과거에	"/SS+과거/NNG+에/JKB
일부	일부/NNG
정부	정부/NNG
대표단의	대표단/NNG+의/JKG
인턴들과의	인턴/NNG+들/XSN+과/JKB+의/JKG
행적이	행적/NNG+이/JKS
구설에	구설/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
적은	적/NNB+은/JX
있으나	있/VA+으나/EC
이번처럼	이번/NNG+처럼/JKB
사건화된	사건/NNG+화/XSN+되/XSV+ㄴ/ETM
없었던	없/VA+었/EP+던/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


