# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.207
metadata : {}


# id : NWRW1800000053.207.1.1
[단독]4∼5발 총상 귀순병 오청성, 치료비는 6500만원

[단독]4∼5발	[/SS+단독/NNG+]/SS+4/SN+∼/SO+5/SN+발/NNB
# id : NWRW1800000053.207.5.3
의료급여가 적용되지 않는 비급여 항목은 모두 본인이 부담해야 한다.

의료급여가	의료/NNG+급여/NNG+가/JKS
적용되지	적용/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
비급여	비/XPN+급여/NNG
항목은	항목/NNG+은/JX
모두	모두/MAG
본인이	본인/NNG+이/JKS
부담해야	부담/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.207.5.4
하지만 통일부는 ‘탈북민의 정착 비용을 국가가 부담한다’고 규정한 북한이탈주민법에 따라 본인부담금 2500만 원을 대신 내주기로 결정했다.

하지만	하지만/MAJ
통일부는	통일부/NNG+는/JX
‘탈북민의	‘/SS+탈북민/NNG+의/JKG
정착	정착/NNG
비용을	비용/NNG+을/JKO
국가가	국가/NNG+가/JKS
부담한다’고	부담/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
규정한	규정/NNG+하/XSV+ㄴ/ETM
북한이탈주민법에	북한/NNP+이탈/NNG+주민/NNG+법/NNG+에/JKB
따라	따르/VV+아/EC
본인부담금	본인/NNG+부담금/NNG
2500만	2500/SN+만/NR
원을	원/NNB+을/JKO
대신	대신/NNG
내주기로	내주/VV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.207.6.1
건강보험심사평가원의 ‘의료행위 수가 목록’에 따르면 오 씨가 받은 진료 중 가장 많은 비용이 들어간 처치는 소장 접합 수술로 추정된다.

건강보험심사평가원의	건강/NNG+보험/NNG+심사/NNG+평가원/NNG+의/JKG
‘의료행위	‘/SS+의료/NNG+행위/NNG
수가	수가/NNG
목록’에	목록/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
오	오/NNP
씨가	씨/NNB+가/JKS
받은	받/VV+은/ETM
진료	진료/NNG
중	중/NNB
가장	가장/MAG
많은	많/VA+은/ETM
비용이	비용/NNG+이/JKS
들어간	들어가/VV+ㄴ/ETM
처치는	처치/NNG+는/JX
소장	소장/NNG
접합	접합/NNG
수술로	수술/NNG+로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.207.6.2
오 씨는 지난달 13일 JSA를 넘던 중 총알 4, 5발을 맞는 중상을 입었다.

오	오/NNP
씨는	씨/NNB+는/JX
지난달	지난달/NNG
13일	13/SN+일/NNB
JSA를	JSA/SL+를/JKO
넘던	넘/VV+던/ETM
중	중/NNB
총알	총알/NNG
4,	4/SN+,/SP
5발을	5/SN+발/NNB+을/JKO
맞는	맞/VV+는/ETM
중상을	중상/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.207.6.3
이날 오후 5시경 아주대병원 권역외상센터에 도착하자마자 이국종 권역외상센터장을 비롯한 의료진이 응급 수술을 시작했고, 오후 11시까지 이어진 수술에서 총알이 관통한 소장 40cm가량을 잘라낸 뒤 이어 붙였다.

이날	이날/NNG
오후	오후/NNG
5시경	5/SN+시/NNB+경/XSN
아주대병원	아주대병원/NNP
권역외상센터에	권역/NNG+외상/NNG+센터/NNG+에/JKB
도착하자마자	도착/NNG+하/XSV+자마자/EC
이국종	이국종/NNP
권역외상센터장을	권역/NNG+외상/NNG+센터장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
의료진이	의료진/NNG+이/JKS
응급	응급/NNG
수술을	수술/NNG+을/JKO
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
11시까지	11/SN+시/NNB+까지/JX
이어진	이어지/VV+ㄴ/ETM
수술에서	수술/NNG+에서/JKB
총알이	총알/NNG+이/JKS
관통한	관통/NNG+하/XSV+ㄴ/ETM
소장	소장/NNG
40cm가량을	40/SN+cm/SW+가량/XSN+을/JKO
잘라낸	자르/VV+아/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
이어	잇/VV+어/EC
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.207.6.4
상처 부위가 크지 않은 소장을 절제해 봉합해도 야간에 실시하면 수술비가 200만 원을 넘는다.

상처	상처/NNG
부위가	부위/NNG+가/JKS
크지	크/VA+지/EC
않은	않/VX+은/ETM
소장을	소장/NNG+을/JKO
절제해	절제/NNG+하/XSV+아/EC
봉합해도	봉합/NNG+하/XSV+아도/EC
야간에	야간/NNG+에/JKB
실시하면	실시/NNG+하/XSV+면/EC
수술비가	수술비/NNG+가/JKS
200만	200/SN+만/NR
원을	원/NNB+을/JKO
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000053.207.6.5
수술과 동시에 진행한 컴퓨터단층촬영(CT)에도 수백만 원의 비용이 들었을 것으로 보인다.

수술과	수술/NNG+과/JKB
동시에	동시/NNG+에/JKB
진행한	진행/NNG+하/XSV+ㄴ/ETM
컴퓨터단층촬영(CT)에도	컴퓨터/NNG+단층/NNG+촬영/NNG+(/SS+CT/SL+)/SS+에/JKB+도/JX
수백만	수백만/NR
원의	원/NNB+의/JKG
비용이	비용/NNG+이/JKS
들었을	들/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.207.7.1
오 씨는 처음 병원에 도착했을 때 출혈이 심해 혈액 40유닛(1유닛은 400mL)을 수혈 받았다.

오	오/NNP
씨는	씨/NNB+는/JX
처음	처음/NNG
병원에	병원/NNG+에/JKB
도착했을	도착/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
출혈이	출혈/NNG+이/JKS
심해	심하/VA+아/EC
혈액	혈액/NNG
40유닛(1유닛은	40/SN+유닛/NNB+(/SS+1/SN+유닛/NNB+은/JX
400mL)을	400/SN+mL/SW+)/SS+을/JKO
수혈	수혈/NNG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.207.7.2
혈액 1유닛의 가격은 4만9670원이다.

혈액	혈액/NNG
1유닛의	1/SN+유닛/NNB+의/JKG
가격은	가격/NNG+은/JX
4만9670원이다.	4/SN+만/NR+9670/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.207.7.3
오 씨에게 사용된 혈액 가격만 200만 원에 육박한다.

오	오/NNP
씨에게	씨/NNB+에게/JKB
사용된	사용/NNG+되/XSV+ㄴ/ETM
혈액	혈액/NNG
가격만	가격/NNG+만/JX
200만	200/SN+만/NR
원에	원/NNB+에/JKB
육박한다.	육박/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.207.7.4
수혈 시 헌혈증을 내면 유닛당 1만 원가량을 감면받는다.

수혈	수혈/NNG
시	시/NNB
헌혈증을	헌혈증/NNG+을/JKO
내면	내/VV+면/EC
유닛당	유닛/NNB+당/XSN
1만	1/SN+만/NR
원가량을	원/NNB+가량/XSN+을/JKO
감면받는다.	감면/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000053.207.7.5
오 씨는 한국인 40명이 헌혈한 혈액과 함께 그들의 헌혈증을 한꺼번에 기증받은 셈이다.

오	오/NNP
씨는	씨/NNB+는/JX
한국인	한국인/NNG
40명이	40/SN+명/NNB+이/JKS
헌혈한	헌혈/NNG+하/XSV+ㄴ/ETM
혈액과	혈액/NNG+과/JKB
함께	함께/MAG
그들의	그/NP+들/XSN+의/JKG
헌혈증을	헌혈증/NNG+을/JKO
한꺼번에	한꺼번에/MAG
기증받은	기증/NNG+받/XSV+은/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.207.8.1
오 씨는 상태가 호전된 지난달 24일부터 국군수도병원으로 옮긴 이달 15일까지 혹시 모를 암살 위협에 대비해 1인용 특실을 썼다.

오	오/NNP
씨는	씨/NNB+는/JX
상태가	상태/NNG+가/JKS
호전된	호전/NNG+되/XSV+ㄴ/ETM
지난달	지난달/NNG
24일부터	24/SN+일/NNB+부터/JX
국군수도병원으로	국군수도병원/NNP+으로/JKB
옮긴	옮기/VV+ㄴ/ETM
이달	이달/NNG
15일까지	15/SN+일/NNB+까지/JX
혹시	혹시/MAG
모를	모르/VV+ㄹ/ETM
암살	암살/NNG
위협에	위협/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
1인용	1/SN+인/NNG+용/XSN
특실을	특실/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.207.8.2
아주대병원 1인실의 하루 이용료는 30만 원 수준이다.

아주대병원	아주대병원/NNP
1인실의	1인실/NNG+의/JKG
하루	하루/NNG
이용료는	이용료/NNG+는/JX
30만	30/SN+만/NR
원	원/NNB
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.207.8.3
각종 감염과 생체 신호 감시에 따른 ‘중환자실 관리료’를 제외해도 입원실 사용료만 700만 원 이상이 나왔을 것으로 보인다.

각종	각종/NNG
감염과	감염/NNG+과/JC
생체	생체/NNG
신호	신호/NNG
감시에	감시/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
‘중환자실	‘/SS+중환자실/NNG
관리료’를	관리료/NNG+’/SS+를/JKO
제외해도	제외/NNG+하/XSV+아도/EC
입원실	입원실/NNG
사용료만	사용료/NNG+만/JX
700만	700/SN+만/NR
원	원/NNB
이상이	이상/NNG+이/JKS
나왔을	나오/VV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.207.9.1
오 씨는 태영호 전 주영 북한대사관 공사처럼 하나원에 입소하지 않고 별도의 적응 교육을 받을 가능성이 크다.

오	오/NNP
씨는	씨/NNB+는/JX
태영호	태영호/NNP
전	전/MMD
주영	주영/NNG
북한대사관	북한대사관/NNP
공사처럼	공사/NNG+처럼/JKB
하나원에	하나원/NNP+에/JKB
입소하지	입소/NNG+하/XSV+지/EC
않고	않/VX+고/EC
별도의	별도/NNG+의/JKG
적응	적응/NNG
교육을	교육/NNG+을/JKO
받을	받/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000053.207.9.2
통일부는 “보통 하나원 3개월 교육 종료 시 주민등록증을 발급하는데, 오 씨는 다른 경로를 밟을 것으로 보인다.

통일부는	통일부/NNG+는/JX
“보통	“/SS+보통/MAG
하나원	하나원/NNP
3개월	3/SN+개월/NNB
교육	교육/NNG
종료	종료/NNG
시	시/NNB
주민등록증을	주민/NNG+등록증/NNG+을/JKO
발급하는데,	발급/NNG+하/XSV+는데/EC+,/SP
오	오/NNP
씨는	씨/NNB+는/JX
다른	다른/MMD
경로를	경로/NNG+를/JKO
밟을	밟/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.207.9.3
아직 주민증은 발급하지 않았다”고 말했다.

아직	아직/MAG
주민증은	주민증/NNG+은/JX
발급하지	발급/NNG+하/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


